row_index,gene_id,gene_symbol,uniprot_accession,label,sequence_clean_length,n_windows,window_size,stride,representation
46,ENSG00000188112,C6orf132,Q5T0Z8,0,1188,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
47,ENSG00000158636,EMSY,Q7Z589,1,1322,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
48,ENSG00000163872,YEATS2,Q9ULM3,0,1422,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
49,ENSG00000164935,DCSTAMP,Q9H295,1,470,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
50,ENSG00000197381,ADARB1,P78563,1,741,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
51,ENSG00000174502,SLC26A9,Q7LBE3,1,791,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
52,ENSG00000221914,PPP2R2A,P63151,1,447,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
53,ENSG00000116786,PLEKHM2,Q8IWE5,1,1019,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
54,ENSG00000170906,NDUFA3,O95167,1,84,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
55,ENSG00000148426,PROSER2,Q86WR7,0,435,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
56,ENSG00000100350,FOXRED2,Q8IWF2,0,684,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
57,ENSG00000136634,IL10,P22301,1,178,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
58,ENSG00000070540,WIPI1,Q5MNZ9,1,446,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
59,ENSG00000169019,COMMD8,Q9NX08,0,183,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
60,ENSG00000068078,FGFR3,P22607,1,806,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
61,ENSG00000189420,ZFP92,A6NM28,0,416,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
62,ENSG00000140873,ADAMTS18,Q8TE60,1,1221,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
63,ENSG00000099139,PCSK5,Q92824,0,1860,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
64,ENSG00000100139,MICALL1,Q8N3F8,0,863,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
65,ENSG00000184144,CNTN2,Q02246,1,1040,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
66,ENSG00000203485,INF2,Q27J81,0,1249,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
67,ENSG00000197635,DPP4,P27487,1,766,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
68,ENSG00000217236,SP9,P0CG40,1,484,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
69,ENSG00000100078,PLA2G3,Q9NZ20,0,509,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
70,ENSG00000179397,CATSPERE,Q5SY80,0,951,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
71,ENSG00000055955,ITIH4,Q14624,1,930,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
72,ENSG00000116852,KIF21B,O75037,0,1637,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
73,ENSG00000146802,TMEM168,Q9H0V1,0,697,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
74,ENSG00000125356,NDUFA1,O15239,1,70,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
75,ENSG00000033100,CHPF2,Q9P2E5,0,772,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
76,ENSG00000153707,PTPRD,P23468,1,1912,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
77,ENSG00000171824,EXOSC10,Q01780,0,885,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
78,ENSG00000114416,FXR1,P51114,1,621,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
79,ENSG00000118971,CCND2,P30279,1,289,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
80,ENSG00000148606,POLR3A,O14802,0,1390,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
81,ENSG00000185022,MAFF,Q9ULX9,1,164,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
82,ENSG00000187678,SPRY4,Q9C004,1,299,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
83,ENSG00000170606,HSPA4,P34932,1,840,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
84,ENSG00000122376,SHLD2,Q86V20,0,835,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
85,ENSG00000047315,POLR2B,P30876,0,1174,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
86,ENSG00000174206,KICS2,Q96MD2,0,445,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
87,ENSG00000066084,DIP2B,Q9P265,0,1576,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
88,ENSG00000124787,RPP40,O75818,0,363,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
89,ENSG00000164161,HHIP,Q96QV1,1,700,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
90,ENSG00000186635,ARAP1,Q96P48,1,1450,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
91,ENSG00000129696,TTI2,Q6NXR4,0,508,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
92,ENSG00000141026,MED9,Q9NWA0,0,146,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
93,ENSG00000115993,TRAK2,O60296,0,914,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
94,ENSG00000030110,BAK1,Q16611,1,211,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
95,ENSG00000122778,KIAA1549,Q9HCM3,0,1950,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
96,ENSG00000158497,HMHB1,O97980,1,41,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
97,ENSG00000266074,BAHCC1,Q9P281,0,2639,3,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
98,ENSG00000175787,ZNF169,Q14929,1,603,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
99,ENSG00000135776,ABCB10,Q9NRK6,1,738,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
100,ENSG00000068831,RASGRP2,Q7LDG7,0,609,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
101,ENSG00000229665,PRR20C,P86479,0,221,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
102,ENSG00000134247,PTGFRN,Q9P2B2,1,879,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
103,ENSG00000163599,CTLA4,P16410,1,223,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
104,ENSG00000063169,BICRA,Q9NZM4,0,1560,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
105,ENSG00000151465,CDC123,O75794,1,336,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
106,ENSG00000101463,SYNDIG1,Q9H7V2,1,258,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
107,ENSG00000167619,TMEM145,Q8NBT3,0,493,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
108,ENSG00000100418,DESI1,Q6ICB0,0,168,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
109,ENSG00000171595,DNAI2,Q9GZS0,0,605,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
110,ENSG00000164124,TMEM144,Q7Z5S9,1,345,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
111,ENSG00000184304,PRKD1,Q15139,1,912,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
112,ENSG00000130749,ZC3H4,Q9UPT8,1,1303,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
113,ENSG00000203985,LDLRAD1,Q5T700,0,205,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
114,ENSG00000109501,WFS1,O76024,1,890,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
115,ENSG00000123146,ADGRE5,P48960,0,835,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
116,ENSG00000166669,ATF7IP2,Q5U623,0,682,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
117,ENSG00000188559,RALGAPA2,Q2PPJ7,0,1873,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
118,ENSG00000267368,UPK3BL1,B0FP48,0,263,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
119,ENSG00000171067,C11orf24,Q96F05,0,449,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
120,ENSG00000124789,NUP153,P49790,0,1475,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
121,ENSG00000134243,SORT1,Q99523,1,831,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
122,ENSG00000196839,ADA,P00813,1,363,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
123,ENSG00000163870,TPRA1,Q86W33,0,373,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
124,ENSG00000196584,XRCC2,O43543,0,280,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
125,ENSG00000160460,SPTBN4,Q9H254,0,2564,3,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
126,ENSG00000204930,FAM221B,A6H8Z2,0,402,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
127,ENSG00000066382,MPPED2,Q15777,1,294,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
128,ENSG00000074201,CLNS1A,P54105,0,237,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
129,ENSG00000105792,CFAP69,A5D8W1,1,941,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
130,ENSG00000100711,ZFYVE21,Q9BQ24,0,234,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
131,ENSG00000066135,KDM4A,O75164,0,1064,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
132,ENSG00000182810,DDX28,Q9NUL7,0,540,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
133,ENSG00000198888,MT-ND1,P03886,1,318,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
134,ENSG00000165695,AK8,Q96MA6,0,479,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
135,ENSG00000140718,FTO,Q9C0B1,1,505,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
136,ENSG00000182180,MRPS16,Q9Y3D3,0,137,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
137,ENSG00000196616,ADH1B,P00325,1,375,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
138,ENSG00000165169,DYNLT3,P51808,0,116,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
139,ENSG00000107959,PITRM1,Q5JRX3,0,1037,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
140,ENSG00000113302,IL12B,P29460,1,328,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
141,ENSG00000152270,PDE3B,Q13370,1,1112,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
142,ENSG00000152076,CCDC74B,Q96LY2,0,380,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
143,ENSG00000185619,PCGF3,Q3KNV8,1,242,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
144,ENSG00000092096,SLC22A17,Q8WUG5,0,649,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
145,ENSG00000075035,WSCD2,Q2TBF2,1,565,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
146,ENSG00000104043,ATP8B4,Q8TF62,0,1192,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
147,ENSG00000205669,ACOT6,Q3I5F7,0,421,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
148,ENSG00000276043,UHRF1,Q96T88,1,793,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
149,ENSG00000170262,MRAP,Q8TCY5,0,172,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
150,ENSG00000025156,HSF2,Q03933,0,536,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
151,ENSG00000255713,OR4D2,P58180,0,307,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
152,ENSG00000100034,PPM1F,P49593,0,454,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
153,ENSG00000243480,AMY2A,P04746,1,511,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
154,ENSG00000101680,LAMA1,P25391,1,3075,4,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
155,ENSG00000198752,CDC42BPB,Q9Y5S2,0,1711,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
156,ENSG00000184986,TMEM121,Q9BTD3,0,319,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
157,ENSG00000222011,FAM185A,Q8N0U4,1,392,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
158,ENSG00000099991,CABIN1,Q9Y6J0,0,2220,3,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
159,ENSG00000163116,STPG2,Q8N412,0,459,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
160,ENSG00000087152,ATXN7L3,Q14CW9,0,347,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
161,ENSG00000131725,WDR44,Q5JSH3,0,913,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
162,ENSG00000126337,KRT36,O76013,0,467,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
163,ENSG00000136159,NUDT15,Q9NV35,0,164,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
164,ENSG00000196646,ZNF136,P52737,0,540,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
165,ENSG00000168528,SERINC2,Q96SA4,0,455,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
166,ENSG00000170390,DCLK2,Q8N568,1,766,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
167,ENSG00000183560,IZUMO1R,A6ND01,0,250,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
168,ENSG00000185156,MFSD6L,Q8IWD5,0,586,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
169,ENSG00000140836,ZFHX3,Q15911,1,3703,4,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
170,ENSG00000175699,CCDC197,Q8NCU1,0,143,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
171,ENSG00000101407,TTI1,O43156,0,1089,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
172,ENSG00000154767,XPC,Q01831,0,940,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
173,ENSG00000159387,IRX6,P78412,1,446,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
174,ENSG00000086544,ITPKC,Q96DU7,0,683,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
175,ENSG00000197454,OR2L5,Q8NG80,0,312,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
176,ENSG00000146670,CDCA5,Q96FF9,0,252,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
177,ENSG00000136950,ARPC5L,Q9BPX5,0,153,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
178,ENSG00000243509,TNFRSF6B,O95407,1,300,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
179,ENSG00000161265,U2AF1L4,Q8WU68,0,220,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
180,ENSG00000249471,ZNF324B,Q6AW86,0,544,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
181,ENSG00000084731,KIF3C,O14782,1,793,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
182,ENSG00000167881,SRP68,Q9UHB9,0,627,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
183,ENSG00000106459,NRF1,Q16656,1,503,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
184,ENSG00000162664,ZNF326,Q5BKZ1,0,582,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
185,ENSG00000117154,IGSF21,Q96ID5,1,467,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
186,ENSG00000104763,ASAH1,Q13510,1,395,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
187,ENSG00000141458,NPC1,O15118,1,1278,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
188,ENSG00000156639,ZFAND3,Q9H8U3,1,227,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
189,ENSG00000171873,ADRA1D,P25100,1,572,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
190,ENSG00000182240,BACE2,Q9Y5Z0,1,518,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
191,ENSG00000196099,OR6M1,Q8NGM8,0,313,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
192,ENSG00000154237,LRRK1,Q38SD2,1,2015,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
193,ENSG00000131126,TEX101,Q9BY14,0,249,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
194,ENSG00000183579,ZNRF3,Q9ULT6,1,936,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
195,ENSG00000068028,RASSF1,Q9NS23,0,344,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
196,ENSG00000100106,TRIOBP,Q9H2D6,0,2365,3,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
197,ENSG00000104313,EYA1,Q99502,1,592,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
198,ENSG00000171403,KRT9,P35527,0,623,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
199,ENSG00000182247,UBE2E2,Q96LR5,1,201,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
200,ENSG00000172201,ID4,P47928,1,161,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
201,ENSG00000119723,COQ6,Q9Y2Z9,0,468,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
202,ENSG00000173950,XXYLT1,Q8NBI6,0,393,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
203,ENSG00000156304,SCAF4,O95104,0,1147,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
204,ENSG00000114098,ARMC8,Q8IUR7,0,673,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
205,ENSG00000196476,C20orf96,Q9NUD7,0,363,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
206,ENSG00000170819,BFSP2,Q13515,0,415,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
207,ENSG00000276547,PCDHGB5,Q9Y5G0,0,923,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
208,ENSG00000044090,CUL7,Q14999,0,1698,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
209,ENSG00000164684,ZNF704,Q6ZNC4,0,412,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
210,ENSG00000147180,ZNF711,Q9Y462,0,761,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
211,ENSG00000050767,COL23A1,Q86Y22,0,540,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
212,ENSG00000205186,FABP9,Q0Z7S8,0,132,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
213,ENSG00000100241,SBF1,O95248,0,1868,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
214,ENSG00000143995,MEIS1,O00470,1,390,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
215,ENSG00000128833,MYO5C,Q9NQX4,1,1742,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
216,ENSG00000008083,JARID2,Q92833,1,1246,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
217,ENSG00000176155,CCDC57,Q2TAC2,0,915,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
