top_n,permutation,theme,random_count,random_fraction
50,15,insulin_signalling,0,0.0
50,15,glucose_metabolism,0,0.0
50,15,beta_cell_biology,1,0.02
50,15,mitochondrial_function,1,0.02
50,15,oxidative_phosphorylation,1,0.02
50,15,pancreatic_development,0,0.0
50,15,lipid_metabolism,0,0.0
50,15,known_t2d_gwas_or_monogenic,1,0.02
50,16,insulin_signalling,0,0.0
50,16,glucose_metabolism,0,0.0
50,16,beta_cell_biology,2,0.04
50,16,mitochondrial_function,2,0.04
50,16,oxidative_phosphorylation,2,0.04
50,16,pancreatic_development,1,0.02
50,16,lipid_metabolism,1,0.02
50,16,known_t2d_gwas_or_monogenic,2,0.04
50,17,insulin_signalling,0,0.0
50,17,glucose_metabolism,1,0.02
50,17,beta_cell_biology,1,0.02
50,17,mitochondrial_function,1,0.02
50,17,oxidative_phosphorylation,1,0.02
50,17,pancreatic_development,0,0.0
50,17,lipid_metabolism,0,0.0
50,17,known_t2d_gwas_or_monogenic,2,0.04
50,18,insulin_signalling,0,0.0
50,18,glucose_metabolism,0,0.0
50,18,beta_cell_biology,2,0.04
50,18,mitochondrial_function,0,0.0
50,18,oxidative_phosphorylation,0,0.0
50,18,pancreatic_development,1,0.02
50,18,lipid_metabolism,0,0.0
50,18,known_t2d_gwas_or_monogenic,3,0.06
50,19,insulin_signalling,1,0.02
50,19,glucose_metabolism,1,0.02
50,19,beta_cell_biology,1,0.02
50,19,mitochondrial_function,4,0.08
50,19,oxidative_phosphorylation,4,0.08
50,19,pancreatic_development,0,0.0
50,19,lipid_metabolism,0,0.0
50,19,known_t2d_gwas_or_monogenic,5,0.1
50,20,insulin_signalling,1,0.02
50,20,glucose_metabolism,0,0.0
50,20,beta_cell_biology,2,0.04
50,20,mitochondrial_function,3,0.06
50,20,oxidative_phosphorylation,3,0.06
50,20,pancreatic_development,0,0.0
50,20,lipid_metabolism,0,0.0
50,20,known_t2d_gwas_or_monogenic,4,0.08
50,21,insulin_signalling,0,0.0
50,21,glucose_metabolism,0,0.0
50,21,beta_cell_biology,1,0.02
50,21,mitochondrial_function,2,0.04
50,21,oxidative_phosphorylation,2,0.04
50,21,pancreatic_development,1,0.02
50,21,lipid_metabolism,0,0.0
50,21,known_t2d_gwas_or_monogenic,1,0.02
50,22,insulin_signalling,0,0.0
50,22,glucose_metabolism,0,0.0
50,22,beta_cell_biology,0,0.0
50,22,mitochondrial_function,5,0.1
50,22,oxidative_phosphorylation,5,0.1
50,22,pancreatic_development,0,0.0
50,22,lipid_metabolism,0,0.0
50,22,known_t2d_gwas_or_monogenic,0,0.0
50,23,insulin_signalling,0,0.0
50,23,glucose_metabolism,1,0.02
50,23,beta_cell_biology,3,0.06
50,23,mitochondrial_function,1,0.02
50,23,oxidative_phosphorylation,1,0.02
50,23,pancreatic_development,0,0.0
50,23,lipid_metabolism,0,0.0
50,23,known_t2d_gwas_or_monogenic,4,0.08
50,24,insulin_signalling,0,0.0
50,24,glucose_metabolism,1,0.02
50,24,beta_cell_biology,1,0.02
50,24,mitochondrial_function,4,0.08
50,24,oxidative_phosphorylation,4,0.08
50,24,pancreatic_development,1,0.02
50,24,lipid_metabolism,0,0.0
50,24,known_t2d_gwas_or_monogenic,3,0.06
50,25,insulin_signalling,0,0.0
50,25,glucose_metabolism,0,0.0
50,25,beta_cell_biology,1,0.02
50,25,mitochondrial_function,3,0.06
50,25,oxidative_phosphorylation,3,0.06
50,25,pancreatic_development,0,0.0
50,25,lipid_metabolism,1,0.02
50,25,known_t2d_gwas_or_monogenic,1,0.02
50,26,insulin_signalling,0,0.0
50,26,glucose_metabolism,0,0.0
50,26,beta_cell_biology,2,0.04
50,26,mitochondrial_function,0,0.0
50,26,oxidative_phosphorylation,0,0.0
50,26,pancreatic_development,0,0.0
50,26,lipid_metabolism,0,0.0
50,26,known_t2d_gwas_or_monogenic,3,0.06
50,27,insulin_signalling,1,0.02
50,27,glucose_metabolism,0,0.0
50,27,beta_cell_biology,0,0.0
50,27,mitochondrial_function,1,0.02
50,27,oxidative_phosphorylation,1,0.02
50,27,pancreatic_development,0,0.0
50,27,lipid_metabolism,0,0.0
50,27,known_t2d_gwas_or_monogenic,2,0.04
50,28,insulin_signalling,0,0.0
50,28,glucose_metabolism,1,0.02
50,28,beta_cell_biology,1,0.02
50,28,mitochondrial_function,2,0.04
50,28,oxidative_phosphorylation,2,0.04
50,28,pancreatic_development,0,0.0
50,28,lipid_metabolism,0,0.0
50,28,known_t2d_gwas_or_monogenic,2,0.04
50,29,insulin_signalling,1,0.02
50,29,glucose_metabolism,0,0.0
50,29,beta_cell_biology,1,0.02
50,29,mitochondrial_function,1,0.02
50,29,oxidative_phosphorylation,1,0.02
50,29,pancreatic_development,1,0.02
50,29,lipid_metabolism,0,0.0
50,29,known_t2d_gwas_or_monogenic,3,0.06
50,30,insulin_signalling,0,0.0
50,30,glucose_metabolism,1,0.02
50,30,beta_cell_biology,0,0.0
50,30,mitochondrial_function,1,0.02
50,30,oxidative_phosphorylation,1,0.02
50,30,pancreatic_development,0,0.0
50,30,lipid_metabolism,0,0.0
50,30,known_t2d_gwas_or_monogenic,1,0.02
50,31,insulin_signalling,1,0.02
50,31,glucose_metabolism,1,0.02
50,31,beta_cell_biology,0,0.0
50,31,mitochondrial_function,0,0.0
50,31,oxidative_phosphorylation,0,0.0
50,31,pancreatic_development,0,0.0
50,31,lipid_metabolism,0,0.0
50,31,known_t2d_gwas_or_monogenic,3,0.06
50,32,insulin_signalling,0,0.0
50,32,glucose_metabolism,1,0.02
50,32,beta_cell_biology,1,0.02
50,32,mitochondrial_function,1,0.02
50,32,oxidative_phosphorylation,1,0.02
50,32,pancreatic_development,0,0.0
50,32,lipid_metabolism,0,0.0
50,32,known_t2d_gwas_or_monogenic,1,0.02
50,33,insulin_signalling,0,0.0
50,33,glucose_metabolism,0,0.0
50,33,beta_cell_biology,3,0.06
50,33,mitochondrial_function,0,0.0
50,33,oxidative_phosphorylation,0,0.0
50,33,pancreatic_development,2,0.04
50,33,lipid_metabolism,0,0.0
50,33,known_t2d_gwas_or_monogenic,3,0.06
50,34,insulin_signalling,0,0.0
50,34,glucose_metabolism,0,0.0
50,34,beta_cell_biology,0,0.0
50,34,mitochondrial_function,1,0.02
50,34,oxidative_phosphorylation,1,0.02
50,34,pancreatic_development,0,0.0
50,34,lipid_metabolism,0,0.0
50,34,known_t2d_gwas_or_monogenic,0,0.0
50,35,insulin_signalling,0,0.0
50,35,glucose_metabolism,0,0.0
50,35,beta_cell_biology,0,0.0
50,35,mitochondrial_function,0,0.0
50,35,oxidative_phosphorylation,0,0.0
50,35,pancreatic_development,0,0.0
50,35,lipid_metabolism,0,0.0
50,35,known_t2d_gwas_or_monogenic,0,0.0
50,36,insulin_signalling,0,0.0
50,36,glucose_metabolism,0,0.0
50,36,beta_cell_biology,2,0.04
50,36,mitochondrial_function,1,0.02
50,36,oxidative_phosphorylation,1,0.02
50,36,pancreatic_development,2,0.04
50,36,lipid_metabolism,0,0.0
50,36,known_t2d_gwas_or_monogenic,2,0.04
50,37,insulin_signalling,0,0.0
50,37,glucose_metabolism,1,0.02
50,37,beta_cell_biology,4,0.08
50,37,mitochondrial_function,1,0.02
50,37,oxidative_phosphorylation,1,0.02
50,37,pancreatic_development,1,0.02
50,37,lipid_metabolism,0,0.0
50,37,known_t2d_gwas_or_monogenic,6,0.12
50,38,insulin_signalling,0,0.0
50,38,glucose_metabolism,1,0.02
50,38,beta_cell_biology,0,0.0
50,38,mitochondrial_function,1,0.02
50,38,oxidative_phosphorylation,1,0.02
50,38,pancreatic_development,0,0.0
50,38,lipid_metabolism,0,0.0
50,38,known_t2d_gwas_or_monogenic,0,0.0
50,39,insulin_signalling,0,0.0
50,39,glucose_metabolism,1,0.02
50,39,beta_cell_biology,0,0.0
50,39,mitochondrial_function,3,0.06
50,39,oxidative_phosphorylation,3,0.06
50,39,pancreatic_development,0,0.0
50,39,lipid_metabolism,0,0.0
50,39,known_t2d_gwas_or_monogenic,0,0.0
50,40,insulin_signalling,0,0.0
50,40,glucose_metabolism,0,0.0
50,40,beta_cell_biology,0,0.0
50,40,mitochondrial_function,2,0.04
50,40,oxidative_phosphorylation,2,0.04
50,40,pancreatic_development,0,0.0
50,40,lipid_metabolism,0,0.0
50,40,known_t2d_gwas_or_monogenic,0,0.0
50,41,insulin_signalling,0,0.0
50,41,glucose_metabolism,1,0.02
50,41,beta_cell_biology,1,0.02
50,41,mitochondrial_function,3,0.06
50,41,oxidative_phosphorylation,3,0.06
50,41,pancreatic_development,0,0.0
50,41,lipid_metabolism,0,0.0
50,41,known_t2d_gwas_or_monogenic,2,0.04
50,42,insulin_signalling,0,0.0
50,42,glucose_metabolism,0,0.0
50,42,beta_cell_biology,4,0.08
50,42,mitochondrial_function,3,0.06
50,42,oxidative_phosphorylation,3,0.06
50,42,pancreatic_development,1,0.02
50,42,lipid_metabolism,0,0.0
50,42,known_t2d_gwas_or_monogenic,6,0.12
50,43,insulin_signalling,0,0.0
50,43,glucose_metabolism,1,0.02
50,43,beta_cell_biology,0,0.0
50,43,mitochondrial_function,1,0.02
50,43,oxidative_phosphorylation,1,0.02
50,43,pancreatic_development,0,0.0
50,43,lipid_metabolism,0,0.0
50,43,known_t2d_gwas_or_monogenic,1,0.02
50,44,insulin_signalling,0,0.0
50,44,glucose_metabolism,0,0.0
50,44,beta_cell_biology,1,0.02
50,44,mitochondrial_function,1,0.02
50,44,oxidative_phosphorylation,1,0.02
50,44,pancreatic_development,0,0.0
50,44,lipid_metabolism,0,0.0
50,44,known_t2d_gwas_or_monogenic,4,0.08
50,45,insulin_signalling,1,0.02
50,45,glucose_metabolism,1,0.02
50,45,beta_cell_biology,1,0.02
50,45,mitochondrial_function,3,0.06
50,45,oxidative_phosphorylation,3,0.06
50,45,pancreatic_development,0,0.0
50,45,lipid_metabolism,0,0.0
50,45,known_t2d_gwas_or_monogenic,5,0.1
50,46,insulin_signalling,0,0.0
50,46,glucose_metabolism,2,0.04
50,46,beta_cell_biology,0,0.0
50,46,mitochondrial_function,1,0.02
50,46,oxidative_phosphorylation,1,0.02
50,46,pancreatic_development,0,0.0
50,46,lipid_metabolism,1,0.02
50,46,known_t2d_gwas_or_monogenic,0,0.0
50,47,insulin_signalling,0,0.0
50,47,glucose_metabolism,0,0.0
50,47,beta_cell_biology,2,0.04
50,47,mitochondrial_function,2,0.04
50,47,oxidative_phosphorylation,2,0.04
50,47,pancreatic_development,0,0.0
50,47,lipid_metabolism,0,0.0
50,47,known_t2d_gwas_or_monogenic,3,0.06
50,48,insulin_signalling,1,0.02
50,48,glucose_metabolism,1,0.02
50,48,beta_cell_biology,2,0.04
50,48,mitochondrial_function,1,0.02
50,48,oxidative_phosphorylation,1,0.02
50,48,pancreatic_development,2,0.04
50,48,lipid_metabolism,1,0.02
50,48,known_t2d_gwas_or_monogenic,2,0.04
50,49,insulin_signalling,0,0.0
50,49,glucose_metabolism,0,0.0
50,49,beta_cell_biology,0,0.0
50,49,mitochondrial_function,4,0.08
50,49,oxidative_phosphorylation,4,0.08
50,49,pancreatic_development,0,0.0
50,49,lipid_metabolism,0,0.0
50,49,known_t2d_gwas_or_monogenic,2,0.04
50,50,insulin_signalling,1,0.02
50,50,glucose_metabolism,1,0.02
50,50,beta_cell_biology,2,0.04
50,50,mitochondrial_function,3,0.06
50,50,oxidative_phosphorylation,3,0.06
50,50,pancreatic_development,0,0.0
50,50,lipid_metabolism,0,0.0
50,50,known_t2d_gwas_or_monogenic,5,0.1
50,51,insulin_signalling,0,0.0
50,51,glucose_metabolism,1,0.02
50,51,beta_cell_biology,1,0.02
50,51,mitochondrial_function,5,0.1
50,51,oxidative_phosphorylation,5,0.1
50,51,pancreatic_development,0,0.0
50,51,lipid_metabolism,0,0.0
50,51,known_t2d_gwas_or_monogenic,2,0.04
50,52,insulin_signalling,0,0.0
50,52,glucose_metabolism,0,0.0
50,52,beta_cell_biology,2,0.04
50,52,mitochondrial_function,2,0.04
50,52,oxidative_phosphorylation,2,0.04
50,52,pancreatic_development,0,0.0
50,52,lipid_metabolism,0,0.0
50,52,known_t2d_gwas_or_monogenic,3,0.06
50,53,insulin_signalling,0,0.0
50,53,glucose_metabolism,1,0.02
50,53,beta_cell_biology,3,0.06
50,53,mitochondrial_function,1,0.02
50,53,oxidative_phosphorylation,1,0.02
50,53,pancreatic_development,1,0.02
50,53,lipid_metabolism,0,0.0
50,53,known_t2d_gwas_or_monogenic,5,0.1
50,54,insulin_signalling,0,0.0
50,54,glucose_metabolism,1,0.02
50,54,beta_cell_biology,2,0.04
50,54,mitochondrial_function,2,0.04
50,54,oxidative_phosphorylation,2,0.04
50,54,pancreatic_development,1,0.02
50,54,lipid_metabolism,0,0.0
50,54,known_t2d_gwas_or_monogenic,3,0.06
50,55,insulin_signalling,0,0.0
50,55,glucose_metabolism,1,0.02
50,55,beta_cell_biology,2,0.04
50,55,mitochondrial_function,3,0.06
50,55,oxidative_phosphorylation,3,0.06
50,55,pancreatic_development,1,0.02
50,55,lipid_metabolism,0,0.0
50,55,known_t2d_gwas_or_monogenic,3,0.06
50,56,insulin_signalling,0,0.0
50,56,glucose_metabolism,0,0.0
50,56,beta_cell_biology,2,0.04
50,56,mitochondrial_function,4,0.08
50,56,oxidative_phosphorylation,4,0.08
50,56,pancreatic_development,0,0.0
50,56,lipid_metabolism,1,0.02
50,56,known_t2d_gwas_or_monogenic,3,0.06
50,57,insulin_signalling,0,0.0
50,57,glucose_metabolism,1,0.02
50,57,beta_cell_biology,2,0.04
50,57,mitochondrial_function,1,0.02
50,57,oxidative_phosphorylation,1,0.02
50,57,pancreatic_development,1,0.02
50,57,lipid_metabolism,0,0.0
50,57,known_t2d_gwas_or_monogenic,6,0.12
50,58,insulin_signalling,1,0.02
50,58,glucose_metabolism,0,0.0
50,58,beta_cell_biology,3,0.06
50,58,mitochondrial_function,1,0.02
50,58,oxidative_phosphorylation,1,0.02
50,58,pancreatic_development,1,0.02
50,58,lipid_metabolism,0,0.0
50,58,known_t2d_gwas_or_monogenic,4,0.08
50,59,insulin_signalling,0,0.0
50,59,glucose_metabolism,0,0.0
50,59,beta_cell_biology,1,0.02
50,59,mitochondrial_function,3,0.06
50,59,oxidative_phosphorylation,3,0.06
50,59,pancreatic_development,1,0.02
50,59,lipid_metabolism,0,0.0
50,59,known_t2d_gwas_or_monogenic,1,0.02
50,60,insulin_signalling,0,0.0
50,60,glucose_metabolism,0,0.0
50,60,beta_cell_biology,3,0.06
50,60,mitochondrial_function,2,0.04
50,60,oxidative_phosphorylation,2,0.04
50,60,pancreatic_development,2,0.04
50,60,lipid_metabolism,0,0.0
50,60,known_t2d_gwas_or_monogenic,2,0.04
50,61,insulin_signalling,0,0.0
50,61,glucose_metabolism,2,0.04
50,61,beta_cell_biology,2,0.04
50,61,mitochondrial_function,1,0.02
50,61,oxidative_phosphorylation,1,0.02
50,61,pancreatic_development,0,0.0
50,61,lipid_metabolism,0,0.0
50,61,known_t2d_gwas_or_monogenic,4,0.08
50,62,insulin_signalling,0,0.0
50,62,glucose_metabolism,0,0.0
50,62,beta_cell_biology,2,0.04
50,62,mitochondrial_function,3,0.06
50,62,oxidative_phosphorylation,3,0.06
50,62,pancreatic_development,0,0.0
50,62,lipid_metabolism,0,0.0
50,62,known_t2d_gwas_or_monogenic,2,0.04
50,63,insulin_signalling,0,0.0
50,63,glucose_metabolism,0,0.0
50,63,beta_cell_biology,3,0.06
50,63,mitochondrial_function,2,0.04
50,63,oxidative_phosphorylation,2,0.04
50,63,pancreatic_development,2,0.04
50,63,lipid_metabolism,1,0.02
50,63,known_t2d_gwas_or_monogenic,3,0.06
50,64,insulin_signalling,0,0.0
50,64,glucose_metabolism,0,0.0
50,64,beta_cell_biology,1,0.02
50,64,mitochondrial_function,0,0.0
50,64,oxidative_phosphorylation,0,0.0
50,64,pancreatic_development,1,0.02
50,64,lipid_metabolism,0,0.0
50,64,known_t2d_gwas_or_monogenic,1,0.02
50,65,insulin_signalling,0,0.0
50,65,glucose_metabolism,0,0.0
50,65,beta_cell_biology,2,0.04
50,65,mitochondrial_function,0,0.0
50,65,oxidative_phosphorylation,0,0.0
50,65,pancreatic_development,1,0.02
50,65,lipid_metabolism,0,0.0
50,65,known_t2d_gwas_or_monogenic,3,0.06
50,66,insulin_signalling,0,0.0
50,66,glucose_metabolism,0,0.0
50,66,beta_cell_biology,1,0.02
50,66,mitochondrial_function,1,0.02
50,66,oxidative_phosphorylation,1,0.02
50,66,pancreatic_development,0,0.0
50,66,lipid_metabolism,0,0.0
50,66,known_t2d_gwas_or_monogenic,2,0.04
50,67,insulin_signalling,0,0.0
50,67,glucose_metabolism,0,0.0
50,67,beta_cell_biology,1,0.02
50,67,mitochondrial_function,3,0.06
50,67,oxidative_phosphorylation,3,0.06
50,67,pancreatic_development,1,0.02
50,67,lipid_metabolism,0,0.0
50,67,known_t2d_gwas_or_monogenic,1,0.02
50,68,insulin_signalling,1,0.02
50,68,glucose_metabolism,0,0.0
50,68,beta_cell_biology,3,0.06
50,68,mitochondrial_function,5,0.1
50,68,oxidative_phosphorylation,5,0.1
50,68,pancreatic_development,2,0.04
50,68,lipid_metabolism,0,0.0
50,68,known_t2d_gwas_or_monogenic,4,0.08
50,69,insulin_signalling,0,0.0
50,69,glucose_metabolism,1,0.02
50,69,beta_cell_biology,2,0.04
50,69,mitochondrial_function,2,0.04
50,69,oxidative_phosphorylation,2,0.04
50,69,pancreatic_development,2,0.04
50,69,lipid_metabolism,0,0.0
50,69,known_t2d_gwas_or_monogenic,3,0.06
50,70,insulin_signalling,1,0.02
50,70,glucose_metabolism,0,0.0
50,70,beta_cell_biology,1,0.02
50,70,mitochondrial_function,3,0.06
50,70,oxidative_phosphorylation,3,0.06
50,70,pancreatic_development,0,0.0
50,70,lipid_metabolism,0,0.0
50,70,known_t2d_gwas_or_monogenic,2,0.04
50,71,insulin_signalling,0,0.0
50,71,glucose_metabolism,2,0.04
50,71,beta_cell_biology,2,0.04
50,71,mitochondrial_function,3,0.06
50,71,oxidative_phosphorylation,3,0.06
50,71,pancreatic_development,0,0.0
50,71,lipid_metabolism,0,0.0
50,71,known_t2d_gwas_or_monogenic,3,0.06
50,72,insulin_signalling,0,0.0
50,72,glucose_metabolism,1,0.02
50,72,beta_cell_biology,2,0.04
50,72,mitochondrial_function,1,0.02
50,72,oxidative_phosphorylation,1,0.02
50,72,pancreatic_development,2,0.04
50,72,lipid_metabolism,0,0.0
50,72,known_t2d_gwas_or_monogenic,1,0.02
50,73,insulin_signalling,0,0.0
50,73,glucose_metabolism,1,0.02
50,73,beta_cell_biology,0,0.0
50,73,mitochondrial_function,2,0.04
50,73,oxidative_phosphorylation,2,0.04
50,73,pancreatic_development,0,0.0
50,73,lipid_metabolism,1,0.02
50,73,known_t2d_gwas_or_monogenic,1,0.02
50,74,insulin_signalling,0,0.0
50,74,glucose_metabolism,0,0.0
50,74,beta_cell_biology,1,0.02
50,74,mitochondrial_function,2,0.04
50,74,oxidative_phosphorylation,2,0.04
50,74,pancreatic_development,0,0.0
50,74,lipid_metabolism,0,0.0
50,74,known_t2d_gwas_or_monogenic,3,0.06
50,75,insulin_signalling,0,0.0
50,75,glucose_metabolism,1,0.02
50,75,beta_cell_biology,2,0.04
50,75,mitochondrial_function,3,0.06
50,75,oxidative_phosphorylation,3,0.06
50,75,pancreatic_development,1,0.02
50,75,lipid_metabolism,1,0.02
50,75,known_t2d_gwas_or_monogenic,2,0.04
50,76,insulin_signalling,0,0.0
50,76,glucose_metabolism,2,0.04
50,76,beta_cell_biology,0,0.0
50,76,mitochondrial_function,1,0.02
50,76,oxidative_phosphorylation,1,0.02
50,76,pancreatic_development,0,0.0
50,76,lipid_metabolism,0,0.0
50,76,known_t2d_gwas_or_monogenic,0,0.0
50,77,insulin_signalling,0,0.0
50,77,glucose_metabolism,1,0.02
50,77,beta_cell_biology,2,0.04
50,77,mitochondrial_function,0,0.0
50,77,oxidative_phosphorylation,0,0.0
50,77,pancreatic_development,1,0.02
50,77,lipid_metabolism,0,0.0
50,77,known_t2d_gwas_or_monogenic,4,0.08
50,78,insulin_signalling,0,0.0
50,78,glucose_metabolism,1,0.02
50,78,beta_cell_biology,2,0.04
50,78,mitochondrial_function,3,0.06
50,78,oxidative_phosphorylation,3,0.06
50,78,pancreatic_development,1,0.02
50,78,lipid_metabolism,0,0.0
50,78,known_t2d_gwas_or_monogenic,2,0.04
50,79,insulin_signalling,0,0.0
50,79,glucose_metabolism,0,0.0
50,79,beta_cell_biology,1,0.02
50,79,mitochondrial_function,1,0.02
50,79,oxidative_phosphorylation,1,0.02
50,79,pancreatic_development,0,0.0
50,79,lipid_metabolism,0,0.0
50,79,known_t2d_gwas_or_monogenic,1,0.02
50,80,insulin_signalling,0,0.0
50,80,glucose_metabolism,0,0.0
50,80,beta_cell_biology,1,0.02
50,80,mitochondrial_function,2,0.04
50,80,oxidative_phosphorylation,2,0.04
50,80,pancreatic_development,0,0.0
50,80,lipid_metabolism,0,0.0
50,80,known_t2d_gwas_or_monogenic,3,0.06
50,81,insulin_signalling,1,0.02
50,81,glucose_metabolism,1,0.02
50,81,beta_cell_biology,1,0.02
50,81,mitochondrial_function,1,0.02
50,81,oxidative_phosphorylation,1,0.02
50,81,pancreatic_development,0,0.0
50,81,lipid_metabolism,0,0.0
50,81,known_t2d_gwas_or_monogenic,2,0.04
50,82,insulin_signalling,0,0.0
50,82,glucose_metabolism,1,0.02
50,82,beta_cell_biology,2,0.04
50,82,mitochondrial_function,0,0.0
50,82,oxidative_phosphorylation,0,0.0
50,82,pancreatic_development,2,0.04
50,82,lipid_metabolism,0,0.0
50,82,known_t2d_gwas_or_monogenic,2,0.04
50,83,insulin_signalling,0,0.0
50,83,glucose_metabolism,1,0.02
50,83,beta_cell_biology,2,0.04
50,83,mitochondrial_function,2,0.04
50,83,oxidative_phosphorylation,2,0.04
50,83,pancreatic_development,1,0.02
50,83,lipid_metabolism,1,0.02
50,83,known_t2d_gwas_or_monogenic,2,0.04
50,84,insulin_signalling,0,0.0
50,84,glucose_metabolism,0,0.0
50,84,beta_cell_biology,1,0.02
50,84,mitochondrial_function,3,0.06
50,84,oxidative_phosphorylation,3,0.06
50,84,pancreatic_development,0,0.0
50,84,lipid_metabolism,0,0.0
50,84,known_t2d_gwas_or_monogenic,1,0.02
50,85,insulin_signalling,0,0.0
50,85,glucose_metabolism,0,0.0
50,85,beta_cell_biology,2,0.04
50,85,mitochondrial_function,2,0.04
50,85,oxidative_phosphorylation,2,0.04
50,85,pancreatic_development,2,0.04
50,85,lipid_metabolism,0,0.0
50,85,known_t2d_gwas_or_monogenic,1,0.02
50,86,insulin_signalling,0,0.0
50,86,glucose_metabolism,2,0.04
50,86,beta_cell_biology,3,0.06
50,86,mitochondrial_function,0,0.0
50,86,oxidative_phosphorylation,0,0.0
