sample_index,gene_symbol,true_label,mean_oof_score__DNABERT2_multimodal,mean_oof_score__Genomic_only_K3K4Basic,mean_oof_score__Handcrafted_multimodal,mean_oof_score__Protein_only_ProtBERT_SW,percentile_rank__DNABERT2_multimodal,percentile_rank__Genomic_only_K3K4Basic,percentile_rank__Handcrafted_multimodal,percentile_rank__Protein_only_ProtBERT_SW,rank_desc__DNABERT2_multimodal,rank_desc__Genomic_only_K3K4Basic,rank_desc__Handcrafted_multimodal,rank_desc__Protein_only_ProtBERT_SW,dnabert2_minus_handcrafted_rank_delta,dnabert2_minus_handcrafted_score_delta,dnabert2_minus_handcrafted_percentile_delta,dnabert2_moved_up,dnabert2_moved_down,consensus_rank,mean_percentile_rank,n_curated_pathways,curated_pathways,n_external_sets,external_sets,case_interpretation
427,FST,1,0.66705,0.54414,0.47387,0.51263,0.75845,0.69529,0.4554,0.5108,437,551,984,884,-547,0.19318,0.30305,True,False,680,0.60499,0,,0,,Lower-priority / background candidate
1514,ZNFX1,1,0.63546,0.50262,0.44115,0.479,0.71025,0.56011,0.40886,0.45485,524,795,1068,985,-544,0.19431,0.30138,True,False,837,0.53352,0,,0,,Lower-priority / background candidate
177,TNFRSF6B,0,0.62581,0.46725,0.4332,0.5454,0.69418,0.40942,0.39557,0.56233,553,1067,1092,791,-539,0.19261,0.29862,True,False,871,0.51537,0,,0,,Lower-priority / background candidate
436,ALG14,0,0.46024,0.39508,0.27262,0.34269,0.44321,0.12521,0.14626,0.23712,1006,1580,1542,1378,-536,0.18762,0.29695,True,False,1465,0.23795,0,,0,,Lower-priority / background candidate
1118,IFFO2,0,0.60775,0.45963,0.41951,0.37215,0.66593,0.37673,0.37285,0.28199,604,1126,1133,1297,-529,0.18824,0.29307,True,False,1065,0.42438,0,,0,,Lower-priority / background candidate
1133,HK1,0,0.37956,0.4039,0.18358,0.23381,0.33019,0.15235,0.03823,0.07368,1210,1531,1737,1673,-527,0.19597,0.29197,True,False,1656,0.14862,1,Glucose_metabolism_transport,0,,Lower-priority / background candidate
773,SIGLEC9,1,0.80187,0.69589,0.60533,0.55589,0.93906,0.9723,0.6626,0.58006,111,51,610,759,-499,0.19654,0.27645,True,False,284,0.7885,0,,0,,Lower-priority / background candidate
1650,FOXP1,1,0.69937,0.49137,0.51877,0.44588,0.80277,0.51246,0.52687,0.40443,357,881,855,1076,-498,0.18059,0.2759,True,False,773,0.56163,0,,0,,Lower-priority / background candidate
1103,TOX3,1,0.42234,0.51631,0.24407,0.21284,0.38615,0.60665,0.11191,0.04764,1109,711,1604,1720,-495,0.17828,0.27424,True,False,1349,0.28809,0,,0,,Current-positive low-rank / possible model miss
599,TNS1,1,0.44209,0.40594,0.27016,0.29894,0.41607,0.16399,0.14294,0.16676,1055,1510,1548,1505,-493,0.17193,0.27313,True,False,1502,0.22244,0,,0,,Current-positive low-rank / possible model miss
225,MS4A14,0,0.71019,0.68229,0.53354,0.38071,0.81662,0.95734,0.54958,0.29751,332,78,814,1269,-482,0.17665,0.26704,True,False,565,0.65526,0,,0,,Lower-priority / background candidate
737,RIGI,0,0.55465,0.43598,0.38684,0.45639,0.58726,0.27756,0.32022,0.41828,746,1305,1228,1051,-482,0.16781,0.26704,True,False,1115,0.40083,0,,0,,Lower-priority / background candidate
1235,MYL7,1,0.48859,0.427,0.33155,0.42088,0.49252,0.23823,0.2277,0.36122,917,1376,1395,1154,-478,0.15703,0.26482,True,False,1264,0.32992,0,,0,,Current-positive low-rank / possible model miss
1257,IL23R,1,0.84092,0.57546,0.64057,0.70287,0.97839,0.77839,0.71524,0.84709,40,401,515,277,-475,0.20034,0.26316,True,False,209,0.82978,0,,0,,Lower-priority / background candidate
864,SLC39A11,1,0.56538,0.78037,0.39991,0.24903,0.59945,0.99778,0.34349,0.09695,724,5,1186,1631,-462,0.16548,0.25596,True,False,886,0.50942,0,,0,,Lower-priority / background candidate
47,EMSY,1,0.67649,0.64766,0.51099,0.41055,0.76953,0.91246,0.5169,0.34127,417,159,873,1190,-456,0.1655,0.25263,True,False,613,0.63504,0,,0,,Lower-priority / background candidate
333,KCNIP4,0,0.55182,0.59477,0.39081,0.31138,0.58061,0.82327,0.32964,0.19169,758,320,1211,1460,-453,0.16101,0.25097,True,False,943,0.4813,0,,0,,Lower-priority / background candidate
1480,OR4D1,0,0.79816,0.6801,0.6188,0.54261,0.93296,0.95236,0.68199,0.55734,122,87,575,800,-453,0.17937,0.25097,True,False,295,0.78116,0,,0,,Lower-priority / background candidate
1751,PLEKHH2,1,0.50982,0.40156,0.35696,0.50018,0.51911,0.14515,0.27258,0.4964,869,1544,1314,910,-445,0.15287,0.24654,True,False,1207,0.35831,0,,0,,Current-positive low-rank / possible model miss
211,FABP9,1,0.81756,0.74999,0.64004,0.42851,0.95845,0.99391,0.71413,0.37895,76,12,517,1122,-441,0.17753,0.24432,True,False,337,0.76136,0,,0,,Lower-priority / background candidate
1365,LCORL,1,0.45358,0.5678,0.30512,0.32234,0.43546,0.76122,0.19224,0.2072,1020,432,1459,1432,-439,0.14847,0.24321,True,False,1119,0.39903,0,,0,,Current-positive low-rank / possible model miss
595,ZEB2,1,0.57166,0.5594,0.41617,0.37566,0.61053,0.73906,0.36787,0.28754,704,472,1142,1287,-438,0.15548,0.24266,True,False,903,0.50125,0,,0,,Lower-priority / background candidate
1297,POTEJ,1,0.55658,0.61671,0.40266,0.37867,0.59003,0.86094,0.34792,0.29307,741,252,1178,1277,-437,0.15392,0.24211,True,False,857,0.52299,0,,0,,Lower-priority / background candidate
1056,BIVM,0,0.70708,0.64929,0.54905,0.37896,0.80997,0.91357,0.5723,0.29363,344,157,773,1276,-429,0.15803,0.23767,True,False,584,0.64737,0,,0,,Lower-priority / background candidate
85,POLR2B,1,0.67888,0.59644,0.52544,0.5117,0.77341,0.82604,0.5374,0.5097,410,315,836,886,-426,0.15344,0.23601,True,False,545,0.66163,0,,0,,Lower-priority / background candidate
1138,HNRNPA1L2,0,0.3709,0.3981,0.22401,0.23637,0.31801,0.13629,0.08255,0.07756,1232,1560,1657,1666,-425,0.14689,0.23546,True,False,1643,0.1536,0,,0,,Lower-priority / background candidate
721,UBE2U,1,0.49364,0.39009,0.35421,0.42814,0.49862,0.10859,0.26759,0.37784,906,1610,1323,1124,-417,0.13943,0.23102,True,False,1301,0.31316,0,,0,,Current-positive low-rank / possible model miss
567,TRIM73,1,0.69724,0.57898,0.54985,0.49609,0.80055,0.7856,0.57396,0.4903,361,388,770,921,-409,0.14739,0.22659,True,False,543,0.6626,0,,0,,Lower-priority / background candidate
232,RBM23,1,0.66486,0.54184,0.52043,0.6242,0.75291,0.68698,0.53019,0.69917,447,566,849,544,-402,0.14443,0.22272,True,False,537,0.66731,0,,0,,Lower-priority / background candidate
77,EXOSC10,0,0.80381,0.59896,0.64502,0.63659,0.94349,0.83047,0.72632,0.72299,103,307,495,501,-392,0.15878,0.21717,True,False,254,0.80582,0,,0,,Lower-priority / background candidate
52,PPP2R2A,1,0.68925,0.71736,0.54969,0.45488,0.78781,0.98449,0.57341,0.41607,384,29,771,1055,-387,0.13956,0.2144,True,False,491,0.69044,0,,0,,Lower-priority / background candidate
951,ZNF532,1,0.6768,0.47706,0.53876,0.5224,0.77008,0.45152,0.55845,0.52632,416,991,798,856,-382,0.13803,0.21163,True,False,739,0.57659,0,,0,,Lower-priority / background candidate
1534,SENP6,1,0.43306,0.3454,0.30536,0.39873,0.40443,0.02715,0.1928,0.32465,1076,1757,1458,1220,-382,0.1277,0.21163,True,False,1466,0.23726,0,,0,,Current-positive low-rank / possible model miss
94,BAK1,0,0.42676,0.62478,0.30117,0.23332,0.39668,0.87036,0.18615,0.07313,1090,235,1470,1674,-380,0.12559,0.21053,True,False,1159,0.38158,0,,0,,Lower-priority / background candidate
997,GRB10,0,0.67769,0.607,0.5402,0.41008,0.77119,0.8421,0.56066,0.34017,414,286,794,1192,-380,0.13749,0.21053,True,False,627,0.62853,0,,0,,Lower-priority / background candidate
107,TMEM145,1,0.63154,0.51036,0.49843,0.4576,0.70471,0.5856,0.49529,0.42272,534,749,912,1043,-378,0.1331,0.20942,True,False,794,0.55208,0,,0,,Lower-priority / background candidate
544,IFNW1,0,0.58016,0.42145,0.4424,0.51432,0.62161,0.22161,0.41219,0.51302,684,1406,1062,880,-378,0.13776,0.20942,True,False,1013,0.44211,0,,0,,Lower-priority / background candidate
1243,CDO1,1,0.59116,0.3733,0.45554,0.55866,0.63657,0.06981,0.42826,0.58615,657,1680,1033,748,-376,0.13562,0.20831,True,False,1046,0.43019,0,,0,,Current-positive low-rank / possible model miss
1198,GPHN,0,0.46523,0.60175,0.3414,0.30995,0.45042,0.8338,0.2421,0.18726,993,301,1369,1468,-376,0.12382,0.20831,True,False,1054,0.42839,0,,0,,Lower-priority / background candidate
396,NCAM1,0,0.34762,0.49256,0.21449,0.22988,0.27701,0.51856,0.07036,0.06759,1306,870,1679,1684,-373,0.13313,0.20665,True,False,1476,0.23338,0,,0,,Lower-priority / background candidate
