gene_symbol,found_in_candidate_universe,true_label,consensus_rank,mean_percentile_rank,best_rank,n_curated_pathways,curated_pathways,n_external_sets,external_sets,relabel_audit_priority,case_interpretation,dnabert2_minus_handcrafted_rank_delta,dnabert2_minus_handcrafted_score_delta,model_rank_summary
NKX6-1,True,1,115,0.89003,23,1,Beta_cell_function_development,0,,,Known/current-positive high-confidence recovery,-30,0.03987,"DNABERT-2 multimodal: rank 23, score 0.855; Protein-only: rank 39, score 0.806; Handcrafted multimodal: rank 53, score 0.815; Genomic-only: rank 683, score 0.521"
MTNR1B,True,0,743,0.57562,267,2,Beta_cell_function_development; Known_T2D_GWAS_loci,0,,moderate,Lower-priority / background candidate,-128,0.04703,"Genomic-only: rank 267, score 0.613; DNABERT-2 multimodal: rank 768, score 0.548; Handcrafted multimodal: rank 896, score 0.501; Protein-only: rank 1137, score 0.425"
IGF2BP2,True,0,1638,0.15554,1247,1,Known_T2D_GWAS_loci,0,,low,Lower-priority / background candidate,-114,0.04568,"Genomic-only: rank 1247, score 0.443; DNABERT-2 multimodal: rank 1579, score 0.254; Protein-only: rank 1582, score 0.270; Handcrafted multimodal: rank 1693, score 0.209"
HHEX,True,1,830,0.53587,676,1,Known_T2D_GWAS_loci,0,,,Lower-priority / background candidate,156,-0.05889,"Protein-only: rank 676, score 0.580; Handcrafted multimodal: rank 735, score 0.562; DNABERT-2 multimodal: rank 891, score 0.503; Genomic-only: rank 1053, score 0.468"
TCF7L2,True,0,1721,0.10138,1319,1,Known_T2D_GWAS_loci,0,,low,Lower-priority / background candidate,17,0.00047,"Genomic-only: rank 1319, score 0.434; Protein-only: rank 1622, score 0.255; Handcrafted multimodal: rank 1767, score 0.162; DNABERT-2 multimodal: rank 1784, score 0.163"
SLC30A8,True,0,1587,0.18324,1426,3,Beta_cell_function_development; Insulin_secretion_KATP_Ca; Known_T2D_GWAS_loci,0,,low,Lower-priority / background candidate,-64,0.00904,"DNABERT-2 multimodal: rank 1426, score 0.304; Genomic-only: rank 1478, score 0.411; Handcrafted multimodal: rank 1490, score 0.295; Protein-only: rank 1507, score 0.297"
NDUFV1,True,0,22,0.95374,28,1,Mitochondrial_complex_I_OXPHOS,0,,high,Current-negative but pathway-supported hypothesis candidate,67,-0.02239,"Handcrafted multimodal: rank 28, score 0.831; Protein-only: rank 77, score 0.779; DNABERT-2 multimodal: rank 95, score 0.809; Genomic-only: rank 138, score 0.656"
NDUFA12,True,0,158,0.85997,30,1,Mitochondrial_complex_I_OXPHOS,0,,high,Current-negative but pathway-supported hypothesis candidate,-181,0.08693,"Genomic-only: rank 30, score 0.717; DNABERT-2 multimodal: rank 98, score 0.806; Handcrafted multimodal: rank 279, score 0.719; Protein-only: rank 608, score 0.603"
NDUFA7,True,1,107,0.89584,28,1,Mitochondrial_complex_I_OXPHOS,0,,,Known/current-positive high-confidence recovery,-95,0.07402,"DNABERT-2 multimodal: rank 28, score 0.853; Handcrafted multimodal: rank 123, score 0.779; Protein-only: rank 145, score 0.746; Genomic-only: rank 460, score 0.561"
NDUFB11,True,1,95,0.90125,55,1,Mitochondrial_complex_I_OXPHOS,0,,,Known/current-positive high-confidence recovery,-40,0.03332,"DNABERT-2 multimodal: rank 55, score 0.828; Handcrafted multimodal: rank 95, score 0.795; Protein-only: rank 167, score 0.740; Genomic-only: rank 400, score 0.576"
NDUFS6,True,1,90,0.90512,120,1,Mitochondrial_complex_I_OXPHOS,0,,,Known/current-positive high-confidence recovery,-56,0.03725,"Genomic-only: rank 120, score 0.663; DNABERT-2 multimodal: rank 151, score 0.783; Handcrafted multimodal: rank 207, score 0.745; Protein-only: rank 211, score 0.727"
NDUFB10,True,0,360,0.75208,198,1,Mitochondrial_complex_I_OXPHOS,0,,moderate,Current-negative but pathway-supported hypothesis candidate,-113,0.05295,"DNABERT-2 multimodal: rank 198, score 0.762; Handcrafted multimodal: rank 311, score 0.709; Protein-only: rank 351, score 0.685; Genomic-only: rank 934, score 0.485"
NDUFS7,True,0,339,0.76136,278,1,Mitochondrial_complex_I_OXPHOS,0,,low,Current-negative but pathway-supported hypothesis candidate,313,-0.10618,"Handcrafted multimodal: rank 278, score 0.719; Protein-only: rank 396, score 0.669; Genomic-only: rank 462, score 0.561; DNABERT-2 multimodal: rank 591, score 0.613"
NDUFA9,True,0,431,0.71731,423,1,Mitochondrial_complex_I_OXPHOS,0,,low,Current-negative but pathway-supported hypothesis candidate,-13,0.00935,"Protein-only: rank 423, score 0.661; DNABERT-2 multimodal: rank 428, score 0.673; Handcrafted multimodal: rank 441, score 0.663; Genomic-only: rank 753, score 0.509"
NDUFB4,True,0,470,0.6982,359,1,Mitochondrial_complex_I_OXPHOS,0,,low,Current-negative but pathway-supported hypothesis candidate,91,-0.03087,"Genomic-only: rank 359, score 0.586; Handcrafted multimodal: rank 505, score 0.641; DNABERT-2 multimodal: rank 596, score 0.611; Protein-only: rank 723, score 0.566"
PPARG,True,1,247,0.80789,276,3,Incretin_diabetes_pharmacology; Insulin_signalling; Known_T2D_GWAS_loci,0,,,Lower-priority / background candidate,-4,0.01193,"DNABERT-2 multimodal: rank 276, score 0.731; Handcrafted multimodal: rank 280, score 0.719; Genomic-only: rank 308, score 0.598; Protein-only: rank 527, score 0.628"
PROX1,True,0,743,0.57562,643,1,Known_T2D_GWAS_loci,0,,low,Lower-priority / background candidate,144,-0.05529,"Handcrafted multimodal: rank 643, score 0.595; DNABERT-2 multimodal: rank 787, score 0.540; Genomic-only: rank 787, score 0.504; Protein-only: rank 851, score 0.526"
GLIS3,True,0,856,0.52521,383,2,Beta_cell_function_development; Known_T2D_GWAS_loci,0,,low,Lower-priority / background candidate,92,-0.03876,"Protein-only: rank 383, score 0.673; Handcrafted multimodal: rank 847, score 0.521; DNABERT-2 multimodal: rank 939, score 0.483; Genomic-only: rank 1263, score 0.440"
CDC123,True,1,168,0.85582,48,1,Known_T2D_GWAS_loci,0,,,Known/current-positive high-confidence recovery,-213,0.10278,"Genomic-only: rank 48, score 0.701; DNABERT-2 multimodal: rank 61, score 0.824; Handcrafted multimodal: rank 274, score 0.721; Protein-only: rank 662, score 0.586"
ADAMTS9,True,1,229,0.81911,180,1,Known_T2D_GWAS_loci,0,,,Lower-priority / background candidate,-24,0.02309,"DNABERT-2 multimodal: rank 180, score 0.770; Protein-only: rank 186, score 0.735; Handcrafted multimodal: rank 204, score 0.746; Genomic-only: rank 740, score 0.512"
HMGA2,True,1,230,0.81911,238,1,Known_T2D_GWAS_loci,0,,,Lower-priority / background candidate,-27,0.01765,"Genomic-only: rank 238, score 0.623; DNABERT-2 multimodal: rank 319, score 0.716; Handcrafted multimodal: rank 346, score 0.698; Protein-only: rank 407, score 0.666"
