gene_symbol,true_label,consensus_rank,mean_percentile_rank,best_rank,n_curated_pathways,curated_pathways,n_external_sets,relabel_audit_priority,case_interpretation,dnabert2_minus_handcrafted_rank_delta,model_rank_summary
HMGA2,1,230,0.8191,238,1,Known_T2D_GWAS_loci,0,,Lower-priority / background candidate,-27,"Genomic-only: rank 238, score 0.623; DNABERT-2 multimodal: rank 319, score 0.716; Handcrafted multimodal: rank 346, score 0.698; Protein-only: rank 407, score 0.666"
GCK,1,236,0.8156,98,5,Beta_cell_function_development; Glucose_metabolism_transport; Incretin_diabetes_pharmacology; Insulin_secretion_KATP_Ca; Known_T2D_GWAS_loci,0,,Lower-priority / background candidate,-45,"Protein-only: rank 98, score 0.766; DNABERT-2 multimodal: rank 256, score 0.741; Handcrafted multimodal: rank 301, score 0.713; Genomic-only: rank 680, score 0.521"
PPARG,1,247,0.8079,276,3,Incretin_diabetes_pharmacology; Insulin_signalling; Known_T2D_GWAS_loci,0,,Lower-priority / background candidate,-4,"DNABERT-2 multimodal: rank 276, score 0.731; Handcrafted multimodal: rank 280, score 0.719; Genomic-only: rank 308, score 0.598; Protein-only: rank 527, score 0.628"
INSR,1,290,0.7848,162,4,Glucose_metabolism_transport; Incretin_diabetes_pharmacology; Insulin_signalling; Known_T2D_GWAS_loci,0,,Lower-priority / background candidate,-68,"Genomic-only: rank 162, score 0.647; DNABERT-2 multimodal: rank 395, score 0.684; Handcrafted multimodal: rank 463, score 0.656; Protein-only: rank 538, score 0.625"
NDUFS7,0,339,0.7614,278,1,Mitochondrial_complex_I_OXPHOS,0,low,Current-negative but pathway-supported hypothesis candidate,313,"Handcrafted multimodal: rank 278, score 0.719; Protein-only: rank 396, score 0.669; Genomic-only: rank 462, score 0.561; DNABERT-2 multimodal: rank 591, score 0.613"
NDUFB10,0,360,0.7521,198,1,Mitochondrial_complex_I_OXPHOS,0,moderate,Current-negative but pathway-supported hypothesis candidate,-113,"DNABERT-2 multimodal: rank 198, score 0.762; Handcrafted multimodal: rank 311, score 0.709; Protein-only: rank 351, score 0.685; Genomic-only: rank 934, score 0.485"
GIPR,0,413,0.7255,348,3,Incretin_diabetes_pharmacology; Insulin_secretion_KATP_Ca; Known_T2D_GWAS_loci,0,high,Current-negative but pathway-supported hypothesis candidate,-48,"Protein-only: rank 348, score 0.686; DNABERT-2 multimodal: rank 408, score 0.680; Handcrafted multimodal: rank 456, score 0.658; Genomic-only: rank 774, score 0.506"
NDUFA9,0,431,0.7173,423,1,Mitochondrial_complex_I_OXPHOS,0,low,Current-negative but pathway-supported hypothesis candidate,-13,"Protein-only: rank 423, score 0.661; DNABERT-2 multimodal: rank 428, score 0.673; Handcrafted multimodal: rank 441, score 0.663; Genomic-only: rank 753, score 0.509"
NDUFB4,0,470,0.6982,359,1,Mitochondrial_complex_I_OXPHOS,0,low,Current-negative but pathway-supported hypothesis candidate,91,"Genomic-only: rank 359, score 0.586; Handcrafted multimodal: rank 505, score 0.641; DNABERT-2 multimodal: rank 596, score 0.611; Protein-only: rank 723, score 0.566"
MTNR1B,0,743,0.5756,267,2,Beta_cell_function_development; Known_T2D_GWAS_loci,0,moderate,Lower-priority / background candidate,-128,"Genomic-only: rank 267, score 0.613; DNABERT-2 multimodal: rank 768, score 0.548; Handcrafted multimodal: rank 896, score 0.501; Protein-only: rank 1137, score 0.425"
PROX1,0,743,0.5756,643,1,Known_T2D_GWAS_loci,0,low,Lower-priority / background candidate,144,"Handcrafted multimodal: rank 643, score 0.595; DNABERT-2 multimodal: rank 787, score 0.540; Genomic-only: rank 787, score 0.504; Protein-only: rank 851, score 0.526"
HHEX,1,830,0.5359,676,1,Known_T2D_GWAS_loci,0,,Lower-priority / background candidate,156,"Protein-only: rank 676, score 0.580; Handcrafted multimodal: rank 735, score 0.562; DNABERT-2 multimodal: rank 891, score 0.503; Genomic-only: rank 1053, score 0.468"
GLIS3,0,856,0.5252,383,2,Beta_cell_function_development; Known_T2D_GWAS_loci,0,low,Lower-priority / background candidate,92,"Protein-only: rank 383, score 0.673; Handcrafted multimodal: rank 847, score 0.521; DNABERT-2 multimodal: rank 939, score 0.483; Genomic-only: rank 1263, score 0.440"
ABCC8,1,864,0.5198,543,2,Incretin_diabetes_pharmacology; Insulin_secretion_KATP_Ca,0,,Lower-priority / background candidate,-567,"Genomic-only: rank 543, score 0.546; DNABERT-2 multimodal: rank 645, score 0.594; Protein-only: rank 1071, score 0.448; Handcrafted multimodal: rank 1212, score 0.391"
KCNJ11,1,1081,0.4162,724,3,Incretin_diabetes_pharmacology; Insulin_secretion_KATP_Ca; Known_T2D_GWAS_loci,0,,Current-positive low-rank / possible model miss,-86,"Genomic-only: rank 724, score 0.514; Protein-only: rank 1037, score 0.459; DNABERT-2 multimodal: rank 1186, score 0.392; Handcrafted multimodal: rank 1272, score 0.371"
PDX1,1,1091,0.4114,668,1,Beta_cell_function_development,0,,Current-positive low-rank / possible model miss,147,"Genomic-only: rank 668, score 0.525; Handcrafted multimodal: rank 1121, score 0.422; Protein-only: rank 1197, score 0.408; DNABERT-2 multimodal: rank 1268, score 0.361"
NEUROD1,1,1105,0.4048,131,1,Beta_cell_function_development,0,,Current-positive low-rank / possible model miss,-153,"Genomic-only: rank 131, score 0.659; DNABERT-2 multimodal: rank 1125, score 0.415; Handcrafted multimodal: rank 1278, score 0.367; Protein-only: rank 1767, score 0.190"
DPP4,0,1515,0.2165,1322,1,Incretin_diabetes_pharmacology,0,low,Lower-priority / background candidate,-4,"Genomic-only: rank 1322, score 0.434; DNABERT-2 multimodal: rank 1438, score 0.301; Handcrafted multimodal: rank 1442, score 0.313; Protein-only: rank 1459, score 0.311"
SLC30A8,0,1587,0.1832,1426,3,Beta_cell_function_development; Insulin_secretion_KATP_Ca; Known_T2D_GWAS_loci,0,low,Lower-priority / background candidate,-64,"DNABERT-2 multimodal: rank 1426, score 0.304; Genomic-only: rank 1478, score 0.411; Handcrafted multimodal: rank 1490, score 0.295; Protein-only: rank 1507, score 0.297"
IGF2BP2,0,1638,0.1555,1247,1,Known_T2D_GWAS_loci,0,low,Lower-priority / background candidate,-114,"Genomic-only: rank 1247, score 0.443; DNABERT-2 multimodal: rank 1579, score 0.254; Protein-only: rank 1582, score 0.270; Handcrafted multimodal: rank 1693, score 0.209"
TCF7L2,0,1721,0.1014,1319,1,Known_T2D_GWAS_loci,0,low,Lower-priority / background candidate,17,"Genomic-only: rank 1319, score 0.434; Protein-only: rank 1622, score 0.255; Handcrafted multimodal: rank 1767, score 0.162; DNABERT-2 multimodal: rank 1784, score 0.163"
