top_k,model_a,model_a_display,model_b,model_b_display,n_overlap,jaccard,overlap_genes
200,DNABERT2_multimodal,DNABERT-2 multimodal,Genomic_only_K3K4Basic,Genomic-only,85,0.26984,ADAD1; AKAP11; ANKRD17; AOC1; APBB1; APOL5; ARID3B; ARMC8; ATP4B; B4GALNT1; C12ORF43; C1ORF167; C4ORF36; C8ORF88; CACNA2D3; CAPN10; CCDC188; CDC123; CDH24; CHRD; COQ5; CRTC1; DENND2A; DESI1; DNAH11; DNMT3A; DRC7; DTYMK; DYNC2I1; EML5; ETS1; FABP9; FAM90A26; FEZF1; GMDS; GRM8; HCN4; HHIPL1; IFIH1; JAG1; KMT5B; LINGO2; LRRIQ1; MDGA2; MRC2; MTOR; NBPF3; NBPF9; NDUFA12; NDUFS6; NDUFV1; NEXMIF; OR4D1; P2RY12; PACRG; PCDHGB5; PIGT; PLA2G3; PNLIP; PTCHD4; RBM27; RLF; RNF216; RRP12; SEC14L3; SEPTIN4; SH3YL1; SIGLEC9; SLC22A10; SMARCAD1; SSX5; TAF11L9; TAF2; TECPR2; TOGARAM1; TSC22D2; UBE2E2; VDR; ZBTB38; ZC3H12C; ZC3H13; ZNF329; ZNF431; ZNF704; ZNF879
200,DNABERT2_multimodal,DNABERT-2 multimodal,Handcrafted_multimodal,Handcrafted multimodal,130,0.48148,ABCA8; ACADS; ADAD1; AKAP11; ANK1; ANKMY1; AOC1; APOL5; ARID3B; ARL15; ATP13A1; ATP4B; B4GALNT1; BHMT; BMAL1; C8ORF88; CACNA2D3; CAPN10; CCDC188; CCDC57; CDH24; CFAP65; CHERP; CHRD; CLEC18A; COLGALT1; COQ5; CRTC1; DENND2A; DNAH11; DNAJC10; DTYMK; DYNC2I1; E4F1; EBAG9; EMILIN2; EML5; EPHA7; ETS1; FAM90A26; FEZF1; FGD5; FN3KRP; GCKR; GMDS; GPC5; GRM8; GRP; HAUS6; HCN4; HHIPL1; HMGCR; IGF2BP3; JAG1; KCNB2; KCNK16; KIF16B; KMT5B; KRT81; LINGO2; LRMDA; LRRC74A; LRRIQ1; MDGA2; METTL25B; MLXIPL; MTOR; MYO5C; NBPF9; NDUFA7; NDUFB11; NDUFV1; NEXMIF; NKX6-1; NLRC3; NRAP; NSD3; OCRL; OR1L1; PACRG; PCNT; PHGDH; PKD1; PLA2G3; PNLIP; PRSS37; QSOX1; RAET1L; RBM27; RGS18; RLF; RNF216; SCAND3; SEC14L3; SEPTIN12; SEPTIN4; SETD5; SLC12A8; SLC22A10; SLC2A7; SMARCAD1; SSX5; SYDE2; TAF11L9; TAF2; TBC1D3; TECPR2; THEMIS; TLCD4; TLE4; TNRC6A; TOGARAM1; TSC22D2; UBE2E2; USP48; VDR; VN1R2; VWA5B1; WASHC2C; WDR11; ZBTB39; ZC3H12C; ZC3H13; ZNF329; ZNF431; ZNF462; ZNF544; ZNF689; ZNF704; ZNF747
200,DNABERT2_multimodal,DNABERT-2 multimodal,Protein_only_ProtBERT_SW,Protein-only,112,0.38889,ACADS; ADAD1; ADAMTS9; ALS2; ANK1; AOC1; APOL5; ARL15; ATP13A1; ATP4B; B4GALNT1; BHMT; BMAL1; CACNA2D3; CCDC188; CCDC57; CDH24; CHRD; COLGALT1; COQ5; DENND2A; DNAH11; DTYMK; E4F1; EBAG9; EIF4E2; EMILIN2; EML5; EPHA7; ETS1; FEZF1; FGD5; FN3KRP; GCKR; GMDS; GPC5; GRM8; GRP; HAUS6; HHIPL1; HMGA1; HMGCR; JAG1; KCNB2; KCNK16; KIF16B; KRT81; LRMDA; LRRC74A; LRRIQ1; MEF2C; METTL25B; MLXIPL; MRPS30; MTHFD2; MYO5C; NBPF9; NDUFA7; NDUFB11; NDUFV1; NEXMIF; NKX6-1; NLRC3; NOXA1; NPEPL1; NRAP; NSD3; OR1L1; PACRG; PCNT; PHGDH; PKD1; PLA2G3; PRSS37; QSOX1; RAET1L; RBM27; RGS18; RLF; RNF216; SCAND3; SEPTIN4; SETD5; SLC12A8; SLC2A7; SMARCAD1; SPATA31A5; SSX5; TAF2; TBC1D3; THEMIS; TLCD4; TNRC6A; TOGARAM1; TSC22D2; USP48; VDR; VN1R2; VWA5B1; WASHC2C; ZBTB38; ZBTB39; ZC3H13; ZFP64; ZNF326; ZNF329; ZNF431; ZNF462; ZNF544; ZNF689; ZNF704; ZNF747
200,Genomic_only_K3K4Basic,Genomic-only,Handcrafted_multimodal,Handcrafted multimodal,77,0.23839,ACVR2A; ADAD1; AKAP11; AOC1; APOL5; ARID3B; ATP4B; B4GALNT1; C8ORF88; CACNA2D3; CAPN10; CCDC188; CDH24; CHRD; CLIC5; COBLL1; COQ5; CRTC1; DENND2A; DNAH11; DTYMK; DYNC2I1; EML5; ETS1; FAM149B1; FAM90A26; FEZF1; FITM2; GMDS; GRM8; HCN4; HHIPL1; IL17REL; JAG1; KDM5A; KMT5B; LINGO2; LRRIQ1; MAN1A2; MBOAT1; MDGA2; MGAM; MPPED2; MRPS14; MTOR; NBPF9; NDUFV1; NEXMIF; OSBPL5; PACRG; PLA2G3; PNLIP; RBM27; RGS6; RLF; RNF166; RNF216; SEC14L3; SEPTIN4; SHQ1; SLC22A10; SMARCAD1; SSX5; SYTL2; TAF11L9; TAF2; TCEANC2; TECPR2; TOGARAM1; TSC22D2; UBE2E2; VDR; ZC3H12C; ZC3H13; ZNF329; ZNF431; ZNF704
200,Genomic_only_K3K4Basic,Genomic-only,Protein_only_ProtBERT_SW,Protein-only,47,0.13314,ADAD1; AOC1; APOL5; ATP4B; B4GALNT1; CACNA2D3; CCDC188; CDH24; CHRD; COBLL1; COQ5; DENND2A; DNAH11; DTYMK; EML5; ETS1; FEZF1; FITM2; GMDS; GRM8; HHIPL1; JAG1; LRRIQ1; MPPED2; MRPS14; NBPF9; NDUFV1; NEXMIF; OSBPL5; PACRG; PLA2G3; RBM27; RLF; RNF216; SEPTIN4; SHQ1; SMARCAD1; SSX5; TAF2; TOGARAM1; TSC22D2; VDR; ZBTB38; ZC3H13; ZNF329; ZNF431; ZNF704
200,Handcrafted_multimodal,Handcrafted multimodal,Protein_only_ProtBERT_SW,Protein-only,143,0.55642,ACADS; ACSL1; ADAD1; ANK1; AOC1; APOL5; ARL15; ATP13A1; ATP4B; B4GALNT1; BHMT; BMAL1; BMF; BPTF; CACNA2D3; CAMK2B; CCDC188; CCDC57; CDH24; CHRD; COBLL1; COL23A1; COLGALT1; COQ5; DENND2A; DNAH11; DTYMK; E4F1; EBAG9; EMILIN2; EML5; EPHA7; ETS1; FADS2; FAM185A; FEZF1; FGD5; FGFR4; FITM2; FMO5; FN3KRP; GAL3ST2; GCKR; GDF7; GMDS; GPC5; GRID1; GRM8; GRP; HAUS6; HHIPL1; HMGCR; HSF2; IER5L; INS; JAG1; KCNB2; KCNK16; KIF16B; KRT81; LDB2; LIPH; LRMDA; LRRC74A; LRRIQ1; MAGI2; MARCHF10; MAST2; MEOX2; METTL25B; MIER2; MLXIPL; MPPED2; MRPS14; MYBL2; MYO5C; NADK2; NBPF9; NDUFA7; NDUFB11; NDUFV1; NEXMIF; NKX6-1; NLRC3; NRAP; NSD3; NUDT4B; OR1L1; OSBPL5; PACRG; PCBD1; PCDH11Y; PCNT; PHGDH; PIM3; PKD1; PLA2G3; POU5F1B; PRSS37; QSOX1; RAET1L; RBM27; RGS18; RLF; RNF216; RPAP1; SARDH; SCAND3; SCARB2; SDCBP; SEPTIN4; SETD5; SHQ1; SLC12A8; SLC2A7; SLCO4A1; SLCO6A1; SMARCAD1; SMC2; SSX5; TAF2; TBC1D3; THEMIS; TLCD4; TNRC6A; TOGARAM1; TRIM66; TSC22D2; USP48; VDR; VN1R2; VWA5B1; WASHC2C; WDR3; ZBTB39; ZC3H13; ZNF329; ZNF431; ZNF462; ZNF544; ZNF689; ZNF704; ZNF747
300,DNABERT2_multimodal,DNABERT-2 multimodal,Genomic_only_K3K4Basic,Genomic-only,148,0.32743,ACSL1; ACVR2A; ADAD1; AKAP11; AKAP17A; AMDHD1; ANKMY1; ANKRD17; AOC1; APBB1; APOL5; ARHGAP19; ARID3B; ARL15; ARMC8; ATP4B; B4GALNT1; C12ORF43; C1ORF167; C4ORF36; C8ORF88; CACNA2D3; CALCR; CAPN10; CCDC188; CCDC57; CDC123; CDH24; CHRD; COA6; COBLL1; COQ5; COXFA4; CRTC1; DENND2A; DESI1; DNAH11; DNMT3A; DRC7; DTYMK; DYNC2I1; EBF2; EMILIN2; EML5; ESR1; ETS1; FABP9; FADS2; FAM149B1; FAM90A26; FEZF1; FITM2; FMO5; GMDS; GRM8; HCN4; HHIPL1; IFIH1; IGF2BP3; IL17REL; JAG1; KCNB2; KDM5A; KMT5B; KRT81; LINGO2; LRMDA; LRRIQ1; MBOAT1; MDGA2; MDM4; MLXIPL; MPPED2; MRC2; MTARC2; MTOR; MYO5C; NBPF3; NBPF9; NDUFA12; NDUFS6; NDUFV1; NEXMIF; NLRC3; OCRL; OR4D1; P2RY12; PACRG; PCDHGB5; PCNT; PI16; PIGT; PIP4K2A; PLA2G3; PNLIP; POTEG; PPP2R1A; PRKN; PTCHD4; RAB11FIP4; RAET1L; RASSF9; RBM27; RGS18; RGS6; RLF; RNF216; RRP12; RRP8; SDCBP; SEC14L3; SEPTIN4; SERINC2; SH3YL1; SHQ1; SIGLEC9; SLC22A10; SMARCAD1; SSX5; STEAP1; SYTL2; TAF11L9; TAF2; TCEANC2; TECPR2; TLCD4; TNFRSF19; TNRC6A; TOGARAM1; TSC22D2; TSPEAR; UBASH3A; UBE2E2; VDR; VPS13C; WDR11; ZBTB38; ZBTB39; ZC3H12C; ZC3H13; ZFHX3; ZNF25; ZNF329; ZNF431; ZNF462; ZNF512B; ZNF704; ZNF879
300,DNABERT2_multimodal,DNABERT-2 multimodal,Handcrafted_multimodal,Handcrafted multimodal,233,0.63488,ABCA8; ACADS; ACSL1; ACVR2A; ADAD1; ADAMTS9; ADRA1D; AKAP11; AMDHD1; ANK1; ANKH; ANKMY1; AOC1; APBB1; APOL5; ARAP1; ARHGAP30; ARID3B; ARL15; ATP13A1; ATP4B; B4GALNT1; BHMT; BMAL1; C12ORF43; C8ORF88; CACNA2D3; CAPN10; CCDC188; CCDC57; CDC123; CDH24; CFAP65; CHERP; CHRD; CLEC18A; COBLL1; COL23A1; COLGALT1; COQ5; CRTC1; DENND2A; DESI1; DNAH11; DNAJC10; DNMT3A; DTYMK; DYNC2I1; E4F1; EBAG9; EIF4E2; EIF5A2; EMILIN2; EML5; EPHA7; ESR1; ETS1; EYA2; FADS2; FAM149B1; FAM185A; FAM90A26; FBXL13; FCHSD2; FEZF1; FGD5; FGFR4; FITM2; FMO5; FN3KRP; GAL3ST2; GCKR; GMDS; GPC5; GPR85; GRM8; GRP; GTF2IRD1; HAUS6; HCN4; HECTD1; HHIPL1; HMGA1; HMGCR; HSF2; ICE1; IER5L; IFIH1; IGF2BP3; IL17REL; IRS1; JAG1; JPT2; KCNB2; KCNK16; KDM5A; KIF16B; KLB; KMT5B; KRT77; KRT81; LINGO2; LIPH; LRMDA; LRRC74A; LRRIQ1; MAGI1; MAGI2; MAST2; MBOAT1; MDGA2; MDM4; MEF2C; MEIS1; MEOX2; METTL25B; MIER2; MLXIPL; MPPED2; MRPS30; MTARC2; MTHFD2; MTOR; MYO5C; NBPF1; NBPF3; NBPF9; NDUFA12; NDUFA7; NDUFB11; NDUFB6; NDUFS3; NDUFS6; NDUFV1; NEXMIF; NKX6-1; NLRC3; NOXA1; NPEPL1; NPIPA8; NRAP; NSD3; OCRL; OR1L1; OR2L5; PACRG; PAPOLG; PCBD1; PCNT; PCYOX1; PHGDH; PI16; PIGT; PISD; PKD1; PLA2G3; PNLIP; POLR2D; PPARG; PRSS37; PTCHD4; QSOX1; RAB11FIP4; RAET1L; RBM27; RGS17; RGS18; RGS6; RLF; RNF216; RPAP1; RPL7; RRP12; SARDH; SCAND3; SCART1; SCGB1D2; SDCBP; SEC14L3; SEPTIN12; SEPTIN4; SETD5; SHQ1; SLC12A8; SLC22A10; SLC26A8; SLC2A7; SMARCAD1; SNX11; SORT1; SOX7; SSX5; SYDE2; SYTL2; TAF11L9; TAF2; TAF8; TBC1D3; TCEANC2; TECPR2; THEMIS; TLCD4; TLE4; TNFRSF19; TNRC6A; TOGARAM1; TSC22D2; UBASH3A; UBE2E2; USP48; VDR; VN1R2; VPS13C; VWA5B1; WASHC2C; WDR11; ZBED4; ZBTB38; ZBTB39; ZC3H12C; ZC3H13; ZFHX3; ZFP64; ZNF326; ZNF329; ZNF431; ZNF462; ZNF512B; ZNF544; ZNF689; ZNF704; ZNF747; ZNF879
300,DNABERT2_multimodal,DNABERT-2 multimodal,Protein_only_ProtBERT_SW,Protein-only,195,0.48148,ACADS; ACSL1; ADAD1; ADAMTS9; ADRA1D; ALS2; ANK1; ANKH; ANKMY1; AOC1; APOL5; ARHGAP30; ARL15; ATP13A1; ATP4B; B4GALNT1; BHMT; BMAL1; C8ORF88; CACNA2D3; CCDC188; CCDC57; CDH24; CHERP; CHRD; CLEC18A; COBLL1; COL23A1; COLGALT1; COQ5; CRTC1; DENND2A; DNAH11; DNAJC10; DTYMK; DYNC2I1; E4F1; EBAG9; EIF4E2; EMILIN2; EML5; EPHA7; ETS1; EYA2; FADS2; FAM185A; FBXL13; FCHSD2; FEZF1; FGD5; FGFR4; FIBCD1; FITM2; FMO5; FN3KRP; GAL3ST2; GCK; GCKR; GMDS; GPC5; GPR85; GRM8; GRP; GTF2IRD1; HAUS6; HHIPL1; HMGA1; HMGCR; HSF2; ICE1; IER5L; IGF2BP3; IL23R; IRS1; JAG1; JPH2; KCNB2; KCNK16; KIF16B; KLB; KMT5B; KRT3; KRT77; KRT81; LINGO2; LIPH; LRMDA; LRRC74A; LRRIQ1; MAGI1; MAGI2; MAST2; MBLAC1; MEF2C; MEOX2; METTL25B; MIER2; MLXIPL; MPPED2; MRPS30; MTHFD2; MTOR; MYO5C; NBPF9; NDUFA7; NDUFB11; NDUFB6; NDUFS3; NDUFS6; NDUFV1; NEXMIF; NKX6-1; NLRC3; NOXA1; NPEPL1; NRAP; NSD3; OCRL; OR1L1; OR2L5; PACRG; PAPOLG; PCBD1; PCNT; PCYOX1; PHGDH; PISD; PKD1; PLA2G3; PNLIP; POLR2D; PRSS37; QSOX1; RAB11FIP4; RAET1L; RBM27; RGS17; RGS18; RLF; RNF216; RPAP1; RPL7; RRP8; SARDH; SCAND3; SCART1; SCGB1D2; SDCBP; SEPTIN12; SEPTIN4; SETD5; SHQ1; SLC12A8; SLC22A10; SLC2A7; SMARCAD1; SOX7; SPATA31A5; SREBF1; SSX5; SYDE2; TAF2; TAF8; TBC1D3; TCEANC2; TECPR2; THEMIS; TLCD4; TLE4; TNFRSF19; TNRC6A; TOGARAM1; TSC22D2; UBASH3A; UBE2E2; USP48; VDR; VN1R2; VPS13C; VWA5B1; WASHC2C; WIPI1; ZBTB38; ZBTB39; ZC3H13; ZFP64; ZNF324B; ZNF326; ZNF329; ZNF431; ZNF462; ZNF544; ZNF689; ZNF704; ZNF747
300,Genomic_only_K3K4Basic,Genomic-only,Handcrafted_multimodal,Handcrafted multimodal,141,0.30719,ACSL1; ACVR2A; ADAD1; AKAP11; AMDHD1; ANKMY1; AOC1; APBB1; APOL5; ARID3B; ARL15; ATP4B; B4GALNT1; BMF; C12ORF43; C8ORF88; CACNA2D3; CAPN10; CCDC188; CCDC57; CDC123; CDC25A; CDH24; CEP63; CHRD; CLIC5; COBLL1; COL13A1; COQ5; CRTC1; DENND2A; DESI1; DNAH11; DNMT3A; DTYMK; DYNC2I1; ELF1; EMILIN2; EML5; ESR1; ETS1; EVI2A; FADS2; FAM149B1; FAM90A26; FEZF1; FITM2; FMO5; GMDS; GRM8; HCN4; HHIPL1; HIVEP2; IFIH1; IGF2BP3; IL17REL; JADE1; JAG1; KCNB2; KDM5A; KMT5B; KRT81; LINGO2; LRMDA; LRRIQ1; MAN1A2; MBOAT1; MDGA2; MDM4; MGAM; MLXIPL; MPPED2; MRPS14; MTARC2; MTOR; MYO5C; NBPF3; NBPF9; NDUFA12; NDUFS6; NDUFV1; NEXMIF; NLRC3; OCRL; OSBPL5; PACRG; PCNT; PDGFC; PENK; PI16; PIGT; PLA2G3; PNLIP; POLGARF; PRC1; PTCHD4; RAB11FIP4; RAET1L; RBM27; REM2; RGS18; RGS6; RLF; RNF166; RNF216; RRP12; SDCBP; SEC14L3; SEPTIN4; SGK2; SHQ1; SLC22A10; SMARCAD1; SSX5; SYTL2; TAF11L9; TAF2; TCEANC2; TECPR2; TLCD4; TNFRSF11A; TNFRSF19; TNRC6A; TOGARAM1; TSC22D2; UBASH3A; UBE2E2; VDR; VPS13C; WDR11; ZBTB38; ZBTB39; ZC3H12C; ZC3H13; ZFHX3; ZNF329; ZNF431; ZNF462; ZNF512B; ZNF704; ZNF879
300,Genomic_only_K3K4Basic,Genomic-only,Protein_only_ProtBERT_SW,Protein-only,96,0.19048,ACSL1; ADAD1; ANKMY1; AOC1; APOL5; ARL15; ATP4B; B4GALNT1; BMF; C8ORF88; CACNA2D3; CCDC188; CCDC57; CDC25A; CDH24; CEP63; CHRD; COBLL1; COQ5; CRTC1; DENND2A; DNAH11; DTYMK; DYNC2I1; EMILIN2; EML5; ETS1; EVI2A; FADS2; FEZF1; FITM2; FMO5; GMDS; GRM8; HHIPL1; HIVEP2; IGF2BP3; JAG1; KCNB2; KMT5B; KRT81; LINGO2; LRMDA; LRRIQ1; MGAM; MLXIPL; MPPED2; MRPS14; MTOR; MYO5C; NBPF9; NDUFS6; NDUFV1; NEXMIF; NLRC3; OCRL; OSBPL5; PACRG; PCNT; PDGFC; PLA2G3; PNLIP; PTGFRN; RAB11FIP4; RAET1L; RBM27; RGS18; RLF; RNF216; RRP8; SDCBP; SEPTIN4; SHQ1; SLC22A10; SMARCAD1; SSX5; TAF2; TCEANC2; TECPR2; TLCD4; TNFRSF11A; TNFRSF19; TNRC6A; TOGARAM1; TSC22D2; UBASH3A; UBE2E2; VDR; VPS13C; ZBTB38; ZBTB39; ZC3H13; ZNF329; ZNF431; ZNF462; ZNF704
300,Handcrafted_multimodal,Handcrafted multimodal,Protein_only_ProtBERT_SW,Protein-only,229,0.61725,ACADS; ACSL1; ACTN1; ADAD1; ADAMTS9; ADRA1D; ANK1; ANKH; ANKMY1; AOC1; APOL5; ARHGAP30; ARHGAP5; ARL15; ATP13A1; ATP4B; B4GALNT1; BHMT; BMAL1; BMF; BPTF; C8ORF88; CACNA2D3; CAMK2B; CCDC188; CCDC57; CCDC6; CCDC74B; CDC25A; CDH24; CEP63; CHERP; CHRD; CLEC18A; COBLL1; COL23A1; COLGALT1; COQ5; CRTC1; DENND2A; DNAH11; DNAJC10; DTYMK; DYNC2I1; E4F1; EBAG9; EIF4E2; EMILIN2; EML5; EPHA7; ETS1; EVI2A; EYA2; FADS2; FAM185A; FBXL13; FCHSD2; FEZF1; FGD5; FGFR4; FITM2; FMO5; FN3KRP; GAL3ST2; GALNT3; GCKR; GDF7; GLP2R; GMDS; GPC5; GPR85; GRID1; GRM8; GRP; GTF2IRD1; HAUS6; HHIPL1; HIVEP2; HMGA1; HMGCR; HSF2; ICE1; IER5L; IGF2BP3; INS; IRS1; JAG1; KCNB2; KCNK16; KCP; KIF16B; KLB; KMT5B; KRT77; KRT81; LDB2; LINGO2; LIPH; LRFN2; LRMDA; LRRC74A; LRRIQ1; MAFF; MAGI1; MAGI2; MARCHF10; MAST2; MEF2C; MEOX2; METTL25B; MGAM; MIER2; MLXIPL; MPPED2; MRPS14; MRPS30; MTHFD2; MTOR; MYBL2; MYO5C; NADK2; NBPF9; NDUFA7; NDUFB11; NDUFB6; NDUFS3; NDUFS6; NDUFV1; NEXMIF; NKX6-1; NLRC3; NOXA1; NPEPL1; NRAP; NRXN3; NSD3; NUDT4B; OCRL; OR1L1; OR2L5; OR4D2; OSBPL5; PACRG; PAPOLG; PCBD1; PCDH11Y; PCNT; PCYOX1; PDE4B; PDGFC; PHGDH; PIM3; PISD; PKD1; PLA2G3; PNLIP; POLR2D; POU5F1B; PRSS37; QSOX1; RAB11FIP4; RAET1L; RBM27; RGS17; RGS18; RIOX2; RLF; RNF216; RNPS1; RPAP1; RPL7; SARDH; SCAND3; SCARB2; SCART1; SCGB1D2; SDCBP; SEPTIN12; SEPTIN4; SETD5; SHQ1; SLC12A8; SLC22A10; SLC2A7; SLCO4A1; SLCO6A1; SMARCAD1; SMC2; SOX7; SSX5; SYDE2; TAF2; TAF8; TBC1D3; TCEANC2; TECPR2; THEMIS; TLCD4; TLE4; TNFRSF11A; TNFRSF19; TNRC6A; TOGARAM1; TRIM66; TSC22D2; UBASH3A; UBE2E2; USP48; VDR; VN1R2; VPS13C; VWA5B1; WASHC2C; WDR3; ZBTB38; ZBTB39; ZC3H13; ZC3H6; ZFP64; ZNF326; ZNF329; ZNF407; ZNF431; ZNF462; ZNF541; ZNF544; ZNF689; ZNF704; ZNF747
