sample_index,gene_symbol,true_label,mean_oof_score__DNABERT2_multimodal,mean_oof_score__Genomic_only_K3K4Basic,mean_oof_score__Handcrafted_multimodal,mean_oof_score__Protein_only_ProtBERT_SW,percentile_rank__DNABERT2_multimodal,percentile_rank__Genomic_only_K3K4Basic,percentile_rank__Handcrafted_multimodal,percentile_rank__Protein_only_ProtBERT_SW,rank_desc__DNABERT2_multimodal,rank_desc__Genomic_only_K3K4Basic,rank_desc__Handcrafted_multimodal,rank_desc__Protein_only_ProtBERT_SW,dnabert2_minus_handcrafted_rank_delta,dnabert2_minus_handcrafted_score_delta,dnabert2_minus_handcrafted_percentile_delta,dnabert2_moved_up,dnabert2_moved_down,consensus_rank,mean_percentile_rank,n_curated_pathways,curated_pathways,n_external_sets,external_sets,case_interpretation
26,GALNT10,0,0.39262,0.55336,0.28324,0.31292,0.34404,0.72133,0.16011,0.19335,1185,504,1517,1457,-332,0.10938,0.18393,True,False,1218,0.35471,0,,0,,Lower-priority / background candidate
27,ALDH2,0,0.21781,0.44587,0.24537,0.24402,0.06371,0.3241,0.11524,0.0903,1691,1221,1598,1643,93,-0.02756,-0.05152,False,True,1657,0.14834,0,,0,,Lower-priority / background candidate
28,CACNA1D,0,0.41307,0.45663,0.4394,0.40281,0.37507,0.36676,0.40665,0.3313,1129,1144,1072,1208,57,-0.02633,-0.03158,False,True,1181,0.36994,2,Beta_cell_function_development; Insulin_secretion_KATP_Ca,0,,Lower-priority / background candidate
29,OR2T34,1,0.71457,0.59654,0.64819,0.63363,0.82161,0.82659,0.73075,0.71911,323,314,487,508,-164,0.06639,0.09086,True,False,307,0.77452,0,,0,,Lower-priority / background candidate
30,LIPC,0,0.33742,0.56168,0.3593,0.21631,0.26094,0.74681,0.2759,0.05042,1335,458,1308,1715,27,-0.02188,-0.01496,False,True,1252,0.33352,0,,0,,Lower-priority / background candidate
31,JADE1,1,0.71943,0.63226,0.71846,0.65521,0.8277,0.8831,0.84432,0.75845,312,212,282,437,30,0.00097,-0.01662,False,True,211,0.82839,0,,0,,Lower-priority / background candidate
32,UBQLN4,0,0.529,0.58374,0.52769,0.51042,0.54737,0.7928,0.54127,0.50748,818,375,829,890,-11,0.0013,0.00609,True,False,690,0.59723,0,,0,,Lower-priority / background candidate
33,AKAP17A,1,0.72714,0.73102,0.6133,0.44391,0.84044,0.98837,0.67258,0.40222,289,22,592,1080,-303,0.11383,0.16787,True,False,412,0.7259,0,,0,,Lower-priority / background candidate
34,ATG16L1,1,0.39744,0.52697,0.57754,0.61068,0.35125,0.64211,0.61773,0.67202,1172,647,691,593,481,-0.1801,-0.26648,False,True,752,0.57078,0,,0,,Lower-priority / background candidate
35,GAL3ST4,0,0.36931,0.51676,0.3967,0.33324,0.31413,0.60831,0.33795,0.22438,1239,708,1196,1401,43,-0.02739,-0.02382,False,True,1177,0.37119,0,,0,,Lower-priority / background candidate
36,SLC22A2,0,0.37377,0.50598,0.4418,0.46515,0.32299,0.57341,0.41053,0.43435,1223,771,1065,1022,158,-0.06803,-0.08753,False,True,1034,0.43532,0,,0,,Lower-priority / background candidate
37,EIF1,1,0.57076,0.68089,0.51026,0.27972,0.60942,0.95512,0.51579,0.14072,706,82,875,1552,-169,0.06051,0.09363,True,False,789,0.55526,0,,0,,Lower-priority / background candidate
38,EXOC6,0,0.66087,0.49226,0.54346,0.61218,0.74737,0.5169,0.56565,0.67479,457,873,785,588,-328,0.11741,0.18172,True,False,630,0.62618,0,,0,,Lower-priority / background candidate
39,LEP,0,0.48609,0.56532,0.62822,0.64119,0.48864,0.75734,0.69862,0.73186,924,439,545,485,379,-0.14213,-0.20997,False,True,531,0.66911,0,,0,,Lower-priority / background candidate
40,THUMPD2,0,0.18679,0.38916,0.16892,0.20474,0.03158,0.10526,0.02604,0.03712,1749,1616,1759,1739,-10,0.01786,0.00554,True,False,1779,0.05,0,,0,,Lower-priority / background candidate
41,RTN2,0,0.50982,0.52782,0.23731,0.27567,0.51967,0.64377,0.10138,0.13352,868,644,1623,1565,-755,0.27251,0.41828,True,False,1224,0.34958,0,,0,,Lower-priority / background candidate
42,CAMK1D,1,0.35013,0.42914,0.32328,0.31597,0.2831,0.24931,0.21607,0.19778,1295,1356,1416,1449,-121,0.02685,0.06704,True,False,1469,0.23656,1,Known_T2D_GWAS_loci,0,,Current-positive low-rank / possible model miss
43,USP48,1,0.83909,0.57734,0.78948,0.74066,0.97673,0.78006,0.94294,0.91136,43,398,104,161,-61,0.04961,0.0338,True,False,92,0.90277,0,,0,,Known/current-positive high-confidence recovery
44,ATP4A,0,0.2784,0.48419,0.18097,0.1704,0.1662,0.47867,0.03546,0.00997,1506,942,1742,1788,-236,0.09742,0.13075,True,False,1612,0.17258,0,,0,,Lower-priority / background candidate
45,CFAP119,0,0.5491,0.53343,0.58242,0.58695,0.57729,0.66482,0.62438,0.63601,764,606,679,658,85,-0.03331,-0.04709,False,True,632,0.62562,0,,0,,Lower-priority / background candidate
46,C6ORF132,1,0.63706,0.50718,0.59134,0.7059,0.71246,0.57839,0.63989,0.85429,520,762,651,264,-131,0.04572,0.07258,True,False,477,0.69626,0,,0,,Lower-priority / background candidate
47,EMSY,1,0.67649,0.64766,0.51099,0.41055,0.76953,0.91246,0.5169,0.34127,417,159,873,1190,-456,0.1655,0.25263,True,False,613,0.63504,0,,0,,Lower-priority / background candidate
48,YEATS2,0,0.54052,0.45442,0.52165,0.56279,0.56565,0.36066,0.53241,0.59391,785,1155,845,734,-60,0.01886,0.03324,True,False,874,0.51316,0,,0,,Lower-priority / background candidate
49,DCSTAMP,1,0.60581,0.42055,0.60186,0.54924,0.66371,0.21828,0.6554,0.57174,608,1412,623,774,-15,0.00395,0.00831,True,False,851,0.52729,0,,0,,Lower-priority / background candidate
50,ADARB1,0,0.20407,0.55409,0.27557,0.28324,0.04931,0.7241,0.15125,0.1446,1717,499,1533,1545,184,-0.0715,-0.10194,False,True,1396,0.26731,0,,0,,Lower-priority / background candidate
51,SLC26A9,0,0.37119,0.4311,0.36665,0.46958,0.31856,0.25983,0.2903,0.44044,1231,1337,1282,1011,-51,0.00454,0.02826,True,False,1271,0.32729,0,,0,,Lower-priority / background candidate
52,PPP2R2A,1,0.68925,0.71736,0.54969,0.45488,0.78781,0.98449,0.57341,0.41607,384,29,771,1055,-387,0.13956,0.2144,True,False,491,0.69044,0,,0,,Lower-priority / background candidate
53,PLEKHM2,0,0.25932,0.38698,0.24762,0.37629,0.13352,0.09917,0.11911,0.2892,1565,1627,1591,1284,-26,0.0117,0.0144,True,False,1630,0.16025,0,,0,,Lower-priority / background candidate
54,NDUFA3,1,0.45198,0.39386,0.49965,0.5167,0.43158,0.12078,0.49972,0.5169,1027,1588,904,873,123,-0.04767,-0.06814,False,True,1132,0.39224,1,Mitochondrial_complex_I_OXPHOS,0,,Current-positive low-rank / possible model miss
55,PROSER2,1,0.6564,0.43588,0.66388,0.67087,0.74127,0.27701,0.75734,0.78393,468,1306,439,391,29,-0.00748,-0.01607,False,True,601,0.63989,0,,0,,Lower-priority / background candidate
56,FOXRED2,0,0.62102,0.66001,0.52774,0.36128,0.68698,0.93019,0.54183,0.26482,566,127,828,1328,-262,0.09328,0.14515,True,False,677,0.60596,0,,0,,Lower-priority / background candidate
57,IL10,1,0.54297,0.49827,0.59603,0.65748,0.56731,0.54349,0.64598,0.76066,782,825,640,433,142,-0.05306,-0.07867,False,True,622,0.62936,0,,0,,Lower-priority / background candidate
58,WIPI1,1,0.72705,0.57162,0.70528,0.71374,0.83934,0.76787,0.81994,0.86482,291,420,326,245,-35,0.02177,0.01939,True,False,221,0.82299,0,,0,,Lower-priority / background candidate
59,COMMD8,1,0.63556,0.53813,0.58539,0.54698,0.7108,0.67701,0.63102,0.5651,523,584,667,786,-144,0.05017,0.07978,True,False,587,0.64598,0,,0,,Lower-priority / background candidate
60,FGFR3,1,0.67247,0.40884,0.61466,0.60864,0.76233,0.17507,0.67701,0.67036,430,1490,584,596,-154,0.0578,0.08532,True,False,751,0.57119,0,,0,,Lower-priority / background candidate
61,ZFP92,0,0.25172,0.52616,0.33262,0.32808,0.12133,0.63823,0.23158,0.21607,1587,654,1388,1416,199,-0.08089,-0.11025,False,True,1323,0.3018,0,,0,,Lower-priority / background candidate
62,ADAMTS18,0,0.23444,0.43076,0.35916,0.3616,0.08809,0.25817,0.27535,0.26593,1647,1340,1309,1326,338,-0.12473,-0.18726,False,True,1503,0.22188,0,,0,,Lower-priority / background candidate
63,PCSK5,1,0.29245,0.44232,0.41995,0.5394,0.18781,0.30582,0.37562,0.55236,1467,1254,1128,809,339,-0.1275,-0.18781,False,True,1216,0.3554,0,,0,,Current-positive low-rank / possible model miss
64,MICALL1,1,0.44648,0.41321,0.45431,0.56557,0.42382,0.18892,0.42659,0.59945,1041,1465,1036,724,5,-0.00782,-0.00277,False,True,1095,0.4097,0,,0,,Current-positive low-rank / possible model miss
65,CNTN2,0,0.48354,0.46449,0.49512,0.69295,0.48144,0.40166,0.48809,0.82826,937,1081,925,311,12,-0.01158,-0.00665,False,True,799,0.54986,0,,0,,Lower-priority / background candidate
66,INF2,0,0.26902,0.47305,0.34517,0.35972,0.1518,0.4349,0.24931,0.26316,1532,1021,1356,1331,176,-0.07615,-0.09751,False,True,1376,0.27479,0,,0,,Lower-priority / background candidate
67,DPP4,0,0.30083,0.43436,0.31338,0.31145,0.20388,0.26814,0.20166,0.19224,1438,1322,1442,1459,-4,-0.01255,0.00222,True,False,1515,0.21648,1,Incretin_diabetes_pharmacology,0,,Lower-priority / background candidate
68,SP9,0,0.37542,0.57433,0.40446,0.39507,0.32576,0.77507,0.35291,0.31524,1218,407,1169,1237,49,-0.02904,-0.02715,False,True,1012,0.44224,0,,0,,Lower-priority / background candidate
69,PLA2G3,1,0.81714,0.68951,0.83894,0.73419,0.95679,0.9662,0.98781,0.89695,79,62,23,187,56,-0.0218,-0.03102,False,True,26,0.95194,0,,0,,Known/current-positive high-confidence recovery
70,CATSPERE,0,0.24644,0.46898,0.25003,0.31292,0.10803,0.41884,0.12299,0.19391,1611,1050,1584,1456,27,-0.00359,-0.01496,False,True,1532,0.21094,0,,0,,Lower-priority / background candidate
71,ITIH4,1,0.66715,0.42386,0.62073,0.68798,0.759,0.23102,0.68366,0.8144,436,1389,572,336,-136,0.04642,0.07535,True,False,642,0.62202,0,,0,,Lower-priority / background candidate
72,KIF21B,1,0.53497,0.54565,0.5102,0.40972,0.5579,0.69862,0.51524,0.33906,799,545,876,1194,-77,0.02477,0.04266,True,False,849,0.5277,0,,0,,Lower-priority / background candidate
73,TMEM168,0,0.55544,0.46146,0.46826,0.37191,0.58837,0.38449,0.44598,0.28033,744,1112,1001,1300,-257,0.08718,0.14238,True,False,1063,0.42479,0,,0,,Lower-priority / background candidate
74,NDUFA1,0,0.29625,0.42028,0.30286,0.39114,0.19501,0.21718,0.18837,0.31025,1454,1414,1466,1246,-12,-0.00661,0.00665,True,False,1488,0.2277,1,Mitochondrial_complex_I_OXPHOS,0,,Lower-priority / background candidate
75,CHPF2,0,0.58084,0.4621,0.65936,0.68899,0.62216,0.38726,0.74958,0.81662,683,1107,453,332,230,-0.07852,-0.12742,False,True,593,0.64391,0,,0,,Lower-priority / background candidate
76,PTPRD,1,0.48258,0.38174,0.43837,0.46552,0.47978,0.08754,0.40499,0.43546,940,1648,1075,1020,-135,0.04421,0.07479,True,False,1221,0.35194,0,,0,,Current-positive low-rank / possible model miss
77,EXOSC10,0,0.80381,0.59896,0.64502,0.63659,0.94349,0.83047,0.72632,0.72299,103,307,495,501,-392,0.15878,0.21717,True,False,254,0.80582,0,,0,,Lower-priority / background candidate
78,FXR1,0,0.32989,0.56406,0.33516,0.23602,0.25097,0.75402,0.23435,0.07701,1353,445,1383,1667,-30,-0.00527,0.01662,True,False,1267,0.32909,0,,0,,Lower-priority / background candidate
79,CCND2,0,0.3474,0.4747,0.32967,0.51591,0.27645,0.44155,0.22493,0.51413,1307,1009,1400,878,-93,0.01772,0.05152,True,False,1195,0.36427,0,,0,,Lower-priority / background candidate
80,POLR3A,0,0.34005,0.51508,0.47086,0.35368,0.26759,0.60332,0.44986,0.25485,1323,717,994,1346,329,-0.13081,-0.18227,False,True,1129,0.39391,0,,0,,Lower-priority / background candidate
81,MAFF,1,0.6195,0.47677,0.74625,0.76673,0.68366,0.44986,0.88698,0.94681,572,994,205,97,367,-0.12674,-0.20332,False,True,382,0.74183,0,,0,,Lower-priority / background candidate
82,SPRY4,1,0.44993,0.64192,0.47838,0.42996,0.42826,0.90083,0.4615,0.38172,1033,180,973,1117,60,-0.02845,-0.03324,False,True,815,0.54307,0,,0,,Lower-priority / background candidate
83,HSPA4,0,0.34968,0.53022,0.46945,0.50624,0.28199,0.65042,0.44764,0.5036,1297,632,998,897,299,-0.11978,-0.16565,False,True,957,0.47091,0,,0,,Lower-priority / background candidate
84,SHLD2,1,0.25582,0.43768,0.52174,0.66484,0.12742,0.28643,0.53296,0.77341,1576,1289,844,410,732,-0.26592,-0.40554,False,True,1047,0.43006,0,,0,,Current-positive low-rank / possible model miss
85,POLR2B,1,0.67888,0.59644,0.52544,0.5117,0.77341,0.82604,0.5374,0.5097,410,315,836,886,-426,0.15344,0.23601,True,False,545,0.66163,0,,0,,Lower-priority / background candidate
86,KICS2,0,0.42068,0.55856,0.39253,0.42473,0.38393,0.73573,0.33241,0.37119,1113,478,1206,1136,-93,0.02814,0.05152,True,False,990,0.45582,0,,0,,Lower-priority / background candidate
87,DIP2B,0,0.6034,0.61195,0.58433,0.6218,0.6615,0.84931,0.62826,0.69363,612,273,672,554,-60,0.01907,0.03324,True,False,451,0.70817,0,,0,,Lower-priority / background candidate
88,RPP40,1,0.52599,0.42071,0.57194,0.59706,0.54127,0.21939,0.60942,0.65706,829,1410,706,620,123,-0.04595,-0.06814,False,True,893,0.50679,0,,0,,Lower-priority / background candidate
89,HHIP,0,0.58379,0.70312,0.56684,0.36194,0.62604,0.97618,0.59778,0.26759,676,44,727,1323,-51,0.01695,0.02826,True,False,654,0.6169,0,,0,,Lower-priority / background candidate
90,ARAP1,1,0.83086,0.55354,0.73783,0.65382,0.9723,0.72244,0.8759,0.75623,51,502,225,441,-174,0.09304,0.0964,True,False,206,0.83172,0,,0,,Lower-priority / background candidate
91,TTI2,1,0.26253,0.44576,0.37144,0.27862,0.14238,0.32355,0.29751,0.1385,1549,1222,1269,1556,280,-0.10891,-0.15513,False,True,1493,0.22548,0,,0,,Current-positive low-rank / possible model miss
92,MED9,0,0.19731,0.37247,0.16922,0.20066,0.04266,0.06814,0.02659,0.03102,1729,1683,1758,1750,-29,0.02809,0.01607,True,False,1783,0.04211,0,,0,,Lower-priority / background candidate
93,TRAK2,0,0.34941,0.33451,0.32863,0.35932,0.28144,0.01496,0.22327,0.2615,1298,1779,1403,1334,-105,0.02078,0.05817,True,False,1560,0.19529,0,,0,,Lower-priority / background candidate
94,BAK1,0,0.42676,0.62478,0.30117,0.23332,0.39668,0.87036,0.18615,0.07313,1090,235,1470,1674,-380,0.12559,0.21053,True,False,1159,0.38158,0,,0,,Lower-priority / background candidate
95,KIAA1549,1,0.3113,0.45346,0.39614,0.4015,0.22548,0.35679,0.33573,0.32964,1399,1162,1200,1211,199,-0.08484,-0.11025,False,True,1304,0.31191,0,,0,,Current-positive low-rank / possible model miss
96,HMHB1,0,0.24076,0.52587,0.40577,0.51134,0.09806,0.63657,0.35512,0.50914,1629,657,1165,887,464,-0.16501,-0.25706,False,True,1117,0.39972,0,,0,,Lower-priority / background candidate
97,BAHCC1,1,0.39692,0.52541,0.54531,0.49475,0.35014,0.63158,0.56731,0.48809,1174,666,782,925,392,-0.14839,-0.21717,False,True,887,0.50928,0,,0,,Lower-priority / background candidate
98,ZNF169,1,0.48937,0.56827,0.53748,0.44031,0.49363,0.76177,0.55512,0.39723,915,431,804,1089,111,-0.04811,-0.0615,False,True,795,0.55194,0,,0,,Lower-priority / background candidate
99,ABCB10,0,0.29137,0.51187,0.36592,0.33165,0.18615,0.59114,0.28975,0.22105,1470,739,1283,1407,187,-0.07455,-0.1036,False,True,1279,0.32202,0,,0,,Lower-priority / background candidate
100,RASGRP2,0,0.19776,0.4097,0.21814,0.2585,0.04377,0.17784,0.07645,0.10859,1727,1485,1668,1610,59,-0.02038,-0.03269,False,True,1720,0.10166,0,,0,,Lower-priority / background candidate
101,PRR20C,0,0.17751,0.4834,0.19545,0.19426,0.02382,0.47535,0.05208,0.02327,1763,948,1712,1764,51,-0.01794,-0.02826,False,True,1662,0.14363,0,,0,,Lower-priority / background candidate
102,PTGFRN,1,0.59506,0.71785,0.65177,0.71916,0.64543,0.98504,0.73629,0.87091,641,28,477,234,164,-0.05671,-0.09086,False,True,245,0.80942,0,,0,,Lower-priority / background candidate
103,CTLA4,0,0.35906,0.3763,0.33998,0.37287,0.29363,0.07535,0.23878,0.28366,1276,1670,1375,1294,-99,0.01908,0.05485,True,False,1499,0.22285,0,,0,,Lower-priority / background candidate
104,BICRA,1,0.40449,0.42713,0.3934,0.39553,0.36066,0.23878,0.33407,0.31745,1155,1375,1203,1233,-48,0.01109,0.02659,True,False,1303,0.31274,0,,0,,Current-positive low-rank / possible model miss
105,CDC123,1,0.82361,0.70054,0.72083,0.58559,0.96676,0.97396,0.84875,0.6338,61,48,274,662,-213,0.10278,0.11801,True,False,168,0.85582,1,Known_T2D_GWAS_loci,0,,Known/current-positive high-confidence recovery
106,SYNDIG1,1,0.54031,0.51887,0.4759,0.3906,0.5651,0.61496,0.45762,0.30859,786,696,980,1249,-194,0.0644,0.10748,True,False,933,0.48656,0,,0,,Lower-priority / background candidate
107,TMEM145,1,0.63154,0.51036,0.49843,0.4576,0.70471,0.5856,0.49529,0.42272,534,749,912,1043,-378,0.1331,0.20942,True,False,794,0.55208,0,,0,,Lower-priority / background candidate
108,DESI1,1,0.7816,0.66465,0.72711,0.67432,0.91634,0.93629,0.85873,0.7928,152,116,256,375,-104,0.05449,0.05762,True,False,134,0.87604,0,,0,,Known/current-positive high-confidence recovery
109,DNAI2,0,0.38414,0.50714,0.3868,0.53998,0.33573,0.57784,0.31967,0.55457,1200,763,1229,805,-29,-0.00266,0.01607,True,False,1000,0.44695,0,,0,,Lower-priority / background candidate
110,TMEM144,0,0.36914,0.3609,0.38628,0.48099,0.31357,0.04764,0.31801,0.45983,1240,1720,1232,976,8,-0.01713,-0.00443,False,True,1356,0.28476,0,,0,,Lower-priority / background candidate
111,PRKD1,1,0.31014,0.3288,0.34339,0.48532,0.22327,0.00886,0.24654,0.46925,1403,1790,1361,959,42,-0.03326,-0.02327,False,True,1467,0.23698,0,,0,,Current-positive low-rank / possible model miss
112,ZC3H4,0,0.56576,0.42944,0.68238,0.73516,0.60111,0.25152,0.78726,0.89806,721,1352,385,185,336,-0.11662,-0.18615,False,True,614,0.63449,0,,0,,Lower-priority / background candidate
113,LDLRAD1,1,0.45998,0.40492,0.4614,0.613,0.44266,0.15734,0.43712,0.6759,1007,1522,1017,586,-10,-0.00142,0.00554,True,False,1055,0.42825,0,,0,,Current-positive low-rank / possible model miss
114,WFS1,1,0.41549,0.42696,0.44589,0.47652,0.37784,0.23767,0.41773,0.45097,1124,1377,1052,992,72,-0.03041,-0.03989,False,True,1178,0.37105,1,Known_T2D_GWAS_loci,0,,Current-positive low-rank / possible model miss
115,ADGRE5,0,0.25022,0.34182,0.22728,0.28843,0.11745,0.02327,0.08698,0.15513,1594,1764,1649,1526,-55,0.02294,0.03047,True,False,1727,0.09571,0,,0,,Lower-priority / background candidate
116,ATF7IP2,0,0.32876,0.38097,0.37224,0.45949,0.24875,0.08532,0.29972,0.42659,1357,1652,1265,1036,92,-0.04348,-0.05097,False,True,1404,0.2651,0,,0,,Lower-priority / background candidate
117,RALGAPA2,0,0.6431,0.44421,0.65814,0.62259,0.72133,0.31634,0.74737,0.69474,504,1235,457,552,47,-0.01504,-0.02604,False,True,647,0.61994,0,,0,,Lower-priority / background candidate
118,UPK3BL1,0,0.42562,0.47868,0.40469,0.34344,0.39446,0.45873,0.35402,0.23934,1094,978,1167,1374,-73,0.02093,0.04044,True,False,1201,0.36163,0,,0,,Lower-priority / background candidate
119,C11ORF24,0,0.42609,0.58894,0.36099,0.32849,0.39612,0.81108,0.28033,0.21662,1091,342,1300,1415,-209,0.0651,0.11579,True,False,1060,0.42604,0,,0,,Lower-priority / background candidate
120,NUP153,1,0.59434,0.43115,0.59032,0.63038,0.64432,0.26039,0.63657,0.71191,643,1336,657,521,-14,0.00403,0.00776,True,False,767,0.5633,0,,0,,Lower-priority / background candidate
121,SORT1,0,0.7486,0.53082,0.74195,0.69412,0.87368,0.65485,0.88033,0.83158,229,624,217,305,12,0.00665,-0.00665,False,True,243,0.81011,0,,0,,Lower-priority / background candidate
122,ADA,0,0.69637,0.42123,0.5719,0.60174,0.79889,0.2205,0.60886,0.66205,364,1408,707,611,-343,0.12447,0.19003,True,False,747,0.57258,0,,0,,Lower-priority / background candidate
123,TPRA1,0,0.1457,0.32646,0.15169,0.25977,0.00554,0.00776,0.01219,0.11025,1796,1792,1784,1607,12,-0.00598,-0.00665,False,True,1791,0.03393,0,,0,,Lower-priority / background candidate
124,XRCC2,0,0.47346,0.48578,0.49111,0.47997,0.46427,0.48754,0.4831,0.45928,968,926,934,977,34,-0.01766,-0.01884,False,True,949,0.47355,0,,0,,Lower-priority / background candidate
125,SPTBN4,0,0.68093,0.61398,0.64059,0.52626,0.77673,0.85596,0.71579,0.52964,404,261,514,850,-110,0.04034,0.06094,True,False,427,0.71953,0,,0,,Lower-priority / background candidate
