top_n,group,gene_symbol,true_label,handcrafted_rank,dnabert2_rank,rank_improvement_by_dnabert2,curated_biological_themes,why_this_gene_matters,literature_evidence_to_fill,citation_to_fill,final_interpretation_to_fill
100,moved_out_from_handcrafted,RPS19,0,85,116,-31,,"Moved out by DNABERT-2; check whether it supports mitochondrial/OXPHOS, glucose metabolism, insulin signalling, beta-cell biology, or known T2D evidence.",,,
100,moved_out_from_handcrafted,ATG16L1,1,92,122,-30,,"Moved out by DNABERT-2; check whether it supports mitochondrial/OXPHOS, glucose metabolism, insulin signalling, beta-cell biology, or known T2D evidence.",,,
100,moved_out_from_handcrafted,EXOC1,0,97,132,-35,,"Moved out by DNABERT-2; check whether it supports mitochondrial/OXPHOS, glucose metabolism, insulin signalling, beta-cell biology, or known T2D evidence.",,,
100,moved_out_from_handcrafted,QSOX1,0,98,120,-22,,"Moved out by DNABERT-2; check whether it supports mitochondrial/OXPHOS, glucose metabolism, insulin signalling, beta-cell biology, or known T2D evidence.",,,
100,moved_out_from_handcrafted,TNIP1,1,100,107,-7,,"Moved out by DNABERT-2; check whether it supports mitochondrial/OXPHOS, glucose metabolism, insulin signalling, beta-cell biology, or known T2D evidence.",,,
100,moved_in_by_DNABERT2,PARP8,1,115,33,82,,"Moved in by DNABERT-2; check whether it captures alternative regulatory, transcriptional, neuronal, metabolic, or diabetes-related signal.",,,
100,moved_in_by_DNABERT2,GPAT4,1,109,56,53,,"Moved in by DNABERT-2; check whether it captures alternative regulatory, transcriptional, neuronal, metabolic, or diabetes-related signal.",,,
100,moved_in_by_DNABERT2,SLC38A11,1,107,59,48,,"Moved in by DNABERT-2; check whether it captures alternative regulatory, transcriptional, neuronal, metabolic, or diabetes-related signal.",,,
100,moved_in_by_DNABERT2,SCTR,1,105,63,42,,"Moved in by DNABERT-2; check whether it captures alternative regulatory, transcriptional, neuronal, metabolic, or diabetes-related signal.",,,
100,moved_in_by_DNABERT2,TBC1D8,0,106,65,41,,"Moved in by DNABERT-2; check whether it captures alternative regulatory, transcriptional, neuronal, metabolic, or diabetes-related signal.",,,
100,moved_in_by_DNABERT2,PELO,1,119,84,35,,"Moved in by DNABERT-2; check whether it captures alternative regulatory, transcriptional, neuronal, metabolic, or diabetes-related signal.",,,
100,moved_in_by_DNABERT2,AFAP1L2,1,104,86,18,,"Moved in by DNABERT-2; check whether it captures alternative regulatory, transcriptional, neuronal, metabolic, or diabetes-related signal.",,,
100,moved_in_by_DNABERT2,TENT5C,1,110,88,22,,"Moved in by DNABERT-2; check whether it captures alternative regulatory, transcriptional, neuronal, metabolic, or diabetes-related signal.",,,
100,moved_in_by_DNABERT2,NDUFA9,1,125,89,36,mitochondrial_function;oxidative_phosphorylation,"Moved in by DNABERT-2; check whether it captures alternative regulatory, transcriptional, neuronal, metabolic, or diabetes-related signal.",,,
100,moved_in_by_DNABERT2,TMEM106B,1,113,91,22,,"Moved in by DNABERT-2; check whether it captures alternative regulatory, transcriptional, neuronal, metabolic, or diabetes-related signal.",,,
100,moved_in_by_DNABERT2,HCFC2,0,102,92,10,,"Moved in by DNABERT-2; check whether it captures alternative regulatory, transcriptional, neuronal, metabolic, or diabetes-related signal.",,,
100,moved_in_by_DNABERT2,PGBD5,0,139,93,46,,"Moved in by DNABERT-2; check whether it captures alternative regulatory, transcriptional, neuronal, metabolic, or diabetes-related signal.",,,
100,moved_in_by_DNABERT2,ARF5,1,101,97,4,,"Moved in by DNABERT-2; check whether it captures alternative regulatory, transcriptional, neuronal, metabolic, or diabetes-related signal.",,,
