gene_symbol_upper,handcrafted_rank,dnabert2_rank,rank_delta_dnabert2_minus_handcrafted,handcrafted_score,dnabert2_score,score_delta_dnabert2_minus_handcrafted,gene_id,gene_symbol,true_label,rank_improvement_by_dnabert2,top50_membership,top100_membership,rank_shift_category,rank_direction,abs_rank_shift,abs_score_shift,curated_biological_themes,has_curated_theme_support
ANKRD55,194,129,-65,0.3394,0.5,0.1606,ENSG00000164512,ANKRD55,1,65,outside_both,outside_both,large_up_by_DNABERT2,DNABERT2_ranked_higher,65,0.1606,,False
TLCD5,210,146,-64,0.3134,0.4454,0.1319,ENSG00000181264,TLCD5,0,64,outside_both,outside_both,large_up_by_DNABERT2,DNABERT2_ranked_higher,64,0.1319,,False
SHROOM3,170,234,64,0.3812,0.2744,-0.1068,ENSG00000138771,SHROOM3,1,-64,outside_both,outside_both,large_down_by_DNABERT2,DNABERT2_ranked_lower,64,0.1068,,False
USP44,204,141,-63,0.3228,0.4584,0.1356,ENSG00000136014,USP44,1,63,outside_both,outside_both,large_up_by_DNABERT2,DNABERT2_ranked_higher,63,0.1356,,False
TMEM87A,128,191,63,0.4942,0.3668,-0.1274,ENSG00000103978,TMEM87A,0,-63,outside_both,outside_both,large_down_by_DNABERT2,DNABERT2_ranked_lower,63,0.1274,,False
ANKFN1,224,163,-61,0.2842,0.408,0.1238,ENSG00000153930,ANKFN1,0,61,outside_both,outside_both,large_up_by_DNABERT2,DNABERT2_ranked_higher,61,0.1238,,False
MYBL2,80,140,60,0.6387,0.4651,-0.1736,ENSG00000101057,MYBL2,1,-60,outside_both,moved_out_from_handcrafted,large_down_by_DNABERT2,DNABERT2_ranked_lower,60,0.1736,,False
NOA1,208,265,57,0.3152,0.1751,-0.14,ENSG00000084092,NOA1,0,-57,outside_both,outside_both,large_down_by_DNABERT2,DNABERT2_ranked_lower,57,0.14,,False
TNFAIP3,215,158,-57,0.2989,0.4227,0.1238,ENSG00000118503,TNFAIP3,1,57,outside_both,outside_both,large_up_by_DNABERT2,DNABERT2_ranked_higher,57,0.1238,,False
ILVBL,55,110,55,0.693,0.5481,-0.1449,ENSG00000105135,ILVBL,0,-55,outside_both,moved_out_from_handcrafted,large_down_by_DNABERT2,DNABERT2_ranked_lower,55,0.1449,,False
GATD3,23,77,54,0.7709,0.6461,-0.1248,ENSG00000160221,GATD3,0,-54,moved_out_from_handcrafted,shared,large_down_by_DNABERT2,DNABERT2_ranked_lower,54,0.1248,,False
PSMD6,166,112,-54,0.3875,0.5401,0.1526,ENSG00000163636,PSMD6,1,54,outside_both,outside_both,large_up_by_DNABERT2,DNABERT2_ranked_higher,54,0.1526,,False
KLHL7,132,186,54,0.4918,0.3811,-0.1107,ENSG00000122550,KLHL7,0,-54,outside_both,outside_both,large_down_by_DNABERT2,DNABERT2_ranked_lower,54,0.1107,,False
SLC5A1,20,74,54,0.7724,0.6508,-0.1216,ENSG00000100170,SLC5A1,1,-54,moved_out_from_handcrafted,shared,large_down_by_DNABERT2,DNABERT2_ranked_lower,54,0.1216,glucose_metabolism;known_t2d_gwas_or_monogenic,True
IGSF21,88,35,-53,0.6208,0.7366,0.1158,ENSG00000117154,IGSF21,1,53,moved_in_by_DNABERT2,shared,large_up_by_DNABERT2,DNABERT2_ranked_higher,53,0.1158,,False
GPAT4,109,56,-53,0.5723,0.6808,0.1085,ENSG00000158669,GPAT4,1,53,outside_both,moved_in_by_DNABERT2,large_up_by_DNABERT2,DNABERT2_ranked_higher,53,0.1085,,False
DCSTAMP,229,176,-53,0.2743,0.3911,0.1169,ENSG00000164935,DCSTAMP,1,53,outside_both,outside_both,large_up_by_DNABERT2,DNABERT2_ranked_higher,53,0.1169,,False
MAGI1,54,3,-51,0.6936,0.8457,0.1521,ENSG00000151276,MAGI1,1,51,moved_in_by_DNABERT2,shared,large_up_by_DNABERT2,DNABERT2_ranked_higher,51,0.1521,,False
MFSD6L,167,117,-50,0.3855,0.5307,0.1452,ENSG00000185156,MFSD6L,0,50,outside_both,outside_both,large_up_by_DNABERT2,DNABERT2_ranked_higher,50,0.1452,,False
NOS2,187,139,-48,0.3514,0.4667,0.1153,ENSG00000007171,NOS2,1,48,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,48,0.1153,,False
KIF16B,211,259,48,0.3129,0.2001,-0.1128,ENSG00000089177,KIF16B,0,-48,outside_both,outside_both,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,48,0.1128,,False
SLC38A11,107,59,-48,0.5754,0.6757,0.1004,ENSG00000169507,SLC38A11,1,48,outside_both,moved_in_by_DNABERT2,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,48,0.1004,,False
TIGAR,192,144,-48,0.341,0.4493,0.1082,ENSG00000078237,TIGAR,1,48,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,48,0.1082,,False
PGBD5,139,93,-46,0.4643,0.606,0.1417,ENSG00000177614,PGBD5,0,46,outside_both,moved_in_by_DNABERT2,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,46,0.1417,,False
DRC7,263,218,-45,0.1733,0.2933,0.12,ENSG00000159625,DRC7,0,45,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,45,0.12,,False
PIGT,198,154,-44,0.3319,0.4294,0.0974,ENSG00000124155,PIGT,0,44,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,44,0.0974,,False
ADO,154,198,44,0.4199,0.3488,-0.0711,ENSG00000181915,ADO,1,-44,outside_both,outside_both,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,44,0.0711,,False
SMPDL3A,59,103,44,0.6904,0.5702,-0.1202,ENSG00000172594,SMPDL3A,0,-44,outside_both,moved_out_from_handcrafted,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,44,0.1202,,False
LRRC37A3,247,204,-43,0.2264,0.3233,0.0969,ENSG00000176809,LRRC37A3,0,43,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,43,0.0969,,False
STOX2,144,101,-43,0.4526,0.5725,0.1199,ENSG00000173320,STOX2,0,43,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,43,0.1199,,False
TMC3,178,135,-43,0.3683,0.479,0.1107,ENSG00000188869,TMC3,0,43,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,43,0.1107,,False
B3GLCT,95,53,-42,0.6005,0.6844,0.0838,ENSG00000187676,B3GLCT,1,42,outside_both,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,42,0.0838,,False
SCTR,105,63,-42,0.5795,0.6683,0.0889,ENSG00000080293,SCTR,1,42,outside_both,moved_in_by_DNABERT2,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,42,0.0889,,False
TBC1D8,106,65,-41,0.5757,0.6665,0.0909,ENSG00000204634,TBC1D8,0,41,outside_both,moved_in_by_DNABERT2,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,41,0.0909,,False
ALOXE3,201,160,-41,0.3281,0.4218,0.0936,ENSG00000179148,ALOXE3,0,41,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,41,0.0936,,False
MT4,222,183,-39,0.2917,0.3826,0.0909,ENSG00000102891,MT4,0,39,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,39,0.0909,,False
FOCAD,207,168,-39,0.3176,0.3966,0.079,ENSG00000188352,FOCAD,1,39,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,39,0.079,,False
PRICKLE1,99,60,-39,0.591,0.6741,0.0831,ENSG00000139174,PRICKLE1,1,39,outside_both,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,39,0.0831,,False
NSD3,67,29,-38,0.6688,0.7505,0.0817,ENSG00000147548,NSD3,0,38,moved_in_by_DNABERT2,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,38,0.0817,,False
FAXC,45,8,-37,0.7118,0.8048,0.093,ENSG00000146267,FAXC,0,37,shared,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,37,0.093,,False
MGAM,46,82,36,0.7106,0.6412,-0.0694,ENSG00000257335,MGAM,1,-36,moved_out_from_handcrafted,shared,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,36,0.0694,,False
HMG20A,26,62,36,0.7633,0.6699,-0.0934,ENSG00000140382,HMG20A,1,-36,moved_out_from_handcrafted,shared,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,36,0.0934,,False
NDUFA9,125,89,-36,0.5,0.6238,0.1238,ENSG00000139180,NDUFA9,1,36,outside_both,moved_in_by_DNABERT2,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,36,0.1238,mitochondrial_function;oxidative_phosphorylation,True
CEP95,231,267,36,0.266,0.1692,-0.0968,ENSG00000258890,CEP95,0,-36,outside_both,outside_both,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,36,0.0968,,False
TSHZ3,9,44,35,0.8087,0.7119,-0.0968,ENSG00000121297,TSHZ3,1,-35,shared,shared,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,35,0.0968,,False
EXOC1,97,132,35,0.5977,0.4811,-0.1166,ENSG00000090989,EXOC1,0,-35,outside_both,moved_out_from_handcrafted,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,35,0.1166,,False
VN1R2,259,224,-35,0.1912,0.2847,0.0935,ENSG00000196131,VN1R2,0,35,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,35,0.0935,,False
PELO,119,84,-35,0.5269,0.6364,0.1095,ENSG00000152684,PELO,1,35,outside_both,moved_in_by_DNABERT2,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,35,0.1095,,False
SLCO6A1,93,58,-35,0.605,0.6761,0.0711,ENSG00000205359,SLCO6A1,1,35,outside_both,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,35,0.0711,,False
NEUROD1,5,39,34,0.8185,0.7195,-0.0989,ENSG00000162992,NEUROD1,1,-34,shared,shared,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,34,0.0989,beta_cell_biology;known_t2d_gwas_or_monogenic;pancreatic_development,True
MIB2,140,174,34,0.4636,0.3931,-0.0705,ENSG00000197530,MIB2,0,-34,outside_both,outside_both,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,34,0.0705,,False
TRIP10,122,156,34,0.5146,0.4234,-0.0912,ENSG00000125733,TRIP10,0,-34,outside_both,outside_both,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,34,0.0912,,False
GLRA1,70,37,-33,0.6611,0.7235,0.0624,ENSG00000145888,GLRA1,1,33,moved_in_by_DNABERT2,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,33,0.0624,,False
ETAA1,169,202,33,0.3833,0.3345,-0.0488,ENSG00000143971,ETAA1,1,-33,outside_both,outside_both,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,33,0.0488,,False
EMILIN2,155,123,-32,0.4161,0.5217,0.1056,ENSG00000132205,EMILIN2,1,32,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,32,0.1056,,False
NDUFB9,141,109,-32,0.4618,0.5495,0.0878,ENSG00000147684,NDUFB9,1,32,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,32,0.0878,mitochondrial_function;oxidative_phosphorylation,True
TUBB4A,57,25,-32,0.6917,0.7552,0.0634,ENSG00000104833,TUBB4A,0,32,moved_in_by_DNABERT2,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,32,0.0634,,False
RPS19,85,116,31,0.6232,0.5309,-0.0923,ENSG00000105372,RPS19,0,-31,outside_both,moved_out_from_handcrafted,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,31,0.0923,,False
BCORL1,162,131,-31,0.4026,0.4849,0.0823,ENSG00000085185,BCORL1,1,31,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,31,0.0823,,False
MTNR1B,126,157,31,0.5,0.4233,-0.0767,ENSG00000134640,MTNR1B,1,-31,outside_both,outside_both,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,31,0.0767,known_t2d_gwas_or_monogenic,True
G6PC2,219,188,-31,0.2937,0.3712,0.0775,ENSG00000152254,G6PC2,1,31,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,31,0.0775,glucose_metabolism,True
DDC,77,46,-31,0.645,0.7036,0.0586,ENSG00000132437,DDC,1,31,moved_in_by_DNABERT2,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,31,0.0586,,False
MRAP,200,170,-30,0.3306,0.3955,0.0648,ENSG00000170262,MRAP,0,30,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,30,0.0648,,False
PAXIP1,41,11,-30,0.7236,0.7868,0.0632,ENSG00000157212,PAXIP1,0,30,shared,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,30,0.0632,,False
GEMIN2,163,193,30,0.4011,0.3568,-0.0443,ENSG00000092208,GEMIN2,0,-30,outside_both,outside_both,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,30,0.0443,,False
ATG16L1,92,122,30,0.6069,0.5241,-0.0828,ENSG00000085978,ATG16L1,1,-30,outside_both,moved_out_from_handcrafted,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,30,0.0828,,False
ETV1,4,34,30,0.8241,0.7375,-0.0866,ENSG00000006468,ETV1,1,-30,shared,shared,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,30,0.0866,,False
ZBED4,136,106,-30,0.4823,0.5694,0.0871,ENSG00000100426,ZBED4,0,30,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,30,0.0871,,False
C8ORF88,168,197,29,0.384,0.3512,-0.0328,ENSG00000253250,C8orf88,0,-29,outside_both,outside_both,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,29,0.0328,,False
ZNF689,190,219,29,0.3449,0.293,-0.0519,ENSG00000156853,ZNF689,0,-29,outside_both,outside_both,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,29,0.0519,,False
FBXO15,174,203,29,0.3765,0.333,-0.0435,ENSG00000141665,FBXO15,0,-29,outside_both,outside_both,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,29,0.0435,,False
IPCEF1,235,206,-29,0.2591,0.317,0.0579,ENSG00000074706,IPCEF1,0,29,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,29,0.0579,,False
STEAP1,182,153,-29,0.3602,0.436,0.0759,ENSG00000164647,STEAP1,1,29,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,29,0.0759,,False
C12ORF60,203,232,29,0.3231,0.2762,-0.0469,ENSG00000182993,C12orf60,0,-29,outside_both,outside_both,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,29,0.0469,,False
HLCS,148,121,-27,0.4512,0.5248,0.0736,ENSG00000159267,HLCS,0,27,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,27,0.0736,,False
SERBP1,68,95,27,0.6681,0.5932,-0.0749,ENSG00000142864,SERBP1,0,-27,outside_both,shared,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,27,0.0749,,False
TMEM121,129,102,-27,0.4931,0.5712,0.0781,ENSG00000184986,TMEM121,0,27,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,27,0.0781,,False
PLEKHH2,196,169,-27,0.3348,0.396,0.0612,ENSG00000152527,PLEKHH2,1,27,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,27,0.0612,,False
PLA2G3,233,260,27,0.2644,0.1993,-0.065,ENSG00000100078,PLA2G3,0,-27,outside_both,outside_both,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,27,0.065,,False
GNPDA2,94,68,-26,0.6044,0.66,0.0556,ENSG00000163281,GNPDA2,1,26,outside_both,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,26,0.0556,,False
BEND3,137,111,-26,0.4813,0.5439,0.0626,ENSG00000178409,BEND3,1,26,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,26,0.0626,,False
DYNC2I1,153,179,26,0.4241,0.3874,-0.0368,ENSG00000126870,DYNC2I1,0,-26,outside_both,outside_both,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,26,0.0368,,False
EXOSC2,108,133,25,0.5726,0.4811,-0.0915,ENSG00000130713,EXOSC2,0,-25,outside_both,outside_both,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,25,0.0915,,False
SMC1A,195,220,25,0.3376,0.2914,-0.0461,ENSG00000072501,SMC1A,0,-25,outside_both,outside_both,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,25,0.0461,,False
ZNF404,238,213,-25,0.2489,0.3062,0.0573,ENSG00000176222,ZNF404,0,25,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,25,0.0573,,False
CCDC6,35,10,-25,0.743,0.7885,0.0455,ENSG00000108091,CCDC6,0,25,shared,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,25,0.0455,,False
IGF2BP2,25,50,25,0.7645,0.688,-0.0765,ENSG00000073792,IGF2BP2,1,-25,shared,shared,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,25,0.0765,known_t2d_gwas_or_monogenic,True
ZCCHC8,218,194,-24,0.2959,0.3554,0.0595,ENSG00000033030,ZCCHC8,0,24,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,24,0.0595,,False
NAA16,123,147,24,0.5125,0.4444,-0.0681,ENSG00000172766,NAA16,0,-24,outside_both,outside_both,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,24,0.0681,,False
CATSPERE,202,225,23,0.328,0.2833,-0.0447,ENSG00000179397,CATSPERE,0,-23,outside_both,outside_both,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,23,0.0447,,False
PTPN22,188,165,-23,0.3488,0.4057,0.057,ENSG00000134242,PTPN22,1,23,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,23,0.057,,False
SLC35A4,189,212,23,0.3459,0.3066,-0.0393,ENSG00000176087,SLC35A4,0,-23,outside_both,outside_both,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,23,0.0393,,False
GRM7,38,61,23,0.732,0.6729,-0.0592,ENSG00000196277,GRM7,0,-23,moved_out_from_handcrafted,shared,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,23,0.0592,,False
ANGPTL4,157,180,23,0.4136,0.3858,-0.0278,ENSG00000167772,ANGPTL4,1,-23,outside_both,outside_both,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,23,0.0278,,False
RAI1,254,231,-23,0.2037,0.2766,0.0728,ENSG00000108557,RAI1,1,23,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,23,0.0728,,False
TENT5C,110,88,-22,0.5615,0.6291,0.0676,ENSG00000183508,TENT5C,1,22,outside_both,moved_in_by_DNABERT2,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,22,0.0676,,False
MRC2,44,22,-22,0.7144,0.7597,0.0452,ENSG00000011028,MRC2,1,22,shared,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,22,0.0452,,False
TMEM106B,113,91,-22,0.551,0.609,0.058,ENSG00000106460,TMEM106B,1,22,outside_both,moved_in_by_DNABERT2,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,22,0.058,,False
MED9,193,215,22,0.3399,0.2983,-0.0416,ENSG00000141026,MED9,0,-22,outside_both,outside_both,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,22,0.0416,,False
ADCY9,31,9,-22,0.7568,0.7911,0.0342,ENSG00000162104,ADCY9,1,22,shared,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,22,0.0342,,False
RNF17,262,240,-22,0.1787,0.2554,0.0767,ENSG00000132972,RNF17,0,22,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,22,0.0767,,False
CCNH,183,161,-22,0.3591,0.4174,0.0583,ENSG00000134480,CCNH,1,22,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,22,0.0583,,False
QSOX1,98,120,22,0.5973,0.525,-0.0723,ENSG00000116260,QSOX1,0,-22,outside_both,moved_out_from_handcrafted,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,22,0.0723,,False
MARCHF10,221,243,22,0.2926,0.2507,-0.0419,ENSG00000173838,MARCHF10,0,-22,outside_both,outside_both,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,22,0.0419,,False
PISD,149,171,22,0.4415,0.3954,-0.0462,ENSG00000241878,PISD,1,-22,outside_both,outside_both,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,22,0.0462,,False
APOL2,264,242,-22,0.172,0.251,0.079,ENSG00000128335,APOL2,0,22,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,22,0.079,,False
DYNC2H1,250,228,-22,0.217,0.2785,0.0615,ENSG00000187240,DYNC2H1,1,22,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,22,0.0615,,False
EIF4E2,42,64,22,0.7182,0.6671,-0.0511,ENSG00000135930,EIF4E2,0,-22,moved_out_from_handcrafted,shared,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,22,0.0511,,False
TAF9B,73,52,-21,0.6482,0.6861,0.0379,ENSG00000187325,TAF9B,0,21,outside_both,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,21,0.0379,,False
ATP1A2,22,43,21,0.7723,0.713,-0.0593,ENSG00000018625,ATP1A2,1,-21,shared,shared,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,21,0.0593,,False
WDR20,62,83,21,0.6794,0.6404,-0.039,ENSG00000140153,WDR20,0,-21,outside_both,shared,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,21,0.039,,False
DGKD,78,99,21,0.641,0.5859,-0.0551,ENSG00000077044,DGKD,1,-21,outside_both,shared,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,21,0.0551,,False
EXOC3L1,268,248,-20,0.1451,0.2358,0.0907,ENSG00000179044,EXOC3L1,0,20,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,20,0.0907,,False
NCALD,58,38,-20,0.6916,0.7229,0.0313,ENSG00000104490,NCALD,1,20,moved_in_by_DNABERT2,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,20,0.0313,,False
PRDM5,50,30,-20,0.7008,0.7493,0.0484,ENSG00000138738,PRDM5,1,20,shared,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,20,0.0484,,False
MTNAP1,220,200,-20,0.2936,0.3486,0.0549,ENSG00000141219,MTNAP1,0,20,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,20,0.0549,,False
NDUFAF4,161,181,20,0.4048,0.3841,-0.0207,ENSG00000123545,NDUFAF4,1,-20,outside_both,outside_both,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,20,0.0207,,False
MAPK8IP1,114,134,20,0.5467,0.481,-0.0657,ENSG00000121653,MAPK8IP1,1,-20,outside_both,outside_both,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,20,0.0657,,False
NT5C2,47,28,-19,0.7102,0.7508,0.0406,ENSG00000076685,NT5C2,1,19,shared,shared,small_up_by_DNABERT2,DNABERT2_ranked_higher,19,0.0406,,False
CDK5RAP1,127,108,-19,0.4948,0.5521,0.0573,ENSG00000101391,CDK5RAP1,1,19,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,19,0.0573,,False
ART3,186,167,-19,0.3527,0.3991,0.0464,ENSG00000156219,ART3,1,19,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,19,0.0464,,False
CCDC22,251,270,19,0.2168,0.1615,-0.0553,ENSG00000101997,CCDC22,0,-19,outside_both,outside_both,small_down_by_DNABERT2,DNABERT2_ranked_lower,19,0.0553,,False
