gene_symbol_upper,handcrafted_rank,dnabert2_rank,rank_delta_dnabert2_minus_handcrafted,handcrafted_score,dnabert2_score,score_delta_dnabert2_minus_handcrafted,gene_id,gene_symbol,true_label,rank_improvement_by_dnabert2,top50_membership,top100_membership,rank_shift_category,rank_direction,abs_rank_shift,abs_score_shift,curated_biological_themes,has_curated_theme_support
EBF2,52,45,-7,0.6967,0.7099,0.0132,ENSG00000221818,EBF2,1,7,moved_in_by_DNABERT2,shared,small_up_by_DNABERT2,DNABERT2_ranked_higher,7,0.0132,,False
MAGI1,54,3,-51,0.6936,0.8457,0.1521,ENSG00000151276,MAGI1,1,51,moved_in_by_DNABERT2,shared,large_up_by_DNABERT2,DNABERT2_ranked_higher,51,0.1521,,False
HAS2,56,51,-5,0.6927,0.6863,-0.0064,ENSG00000170961,HAS2,1,5,outside_both,shared,small_up_by_DNABERT2,DNABERT2_ranked_higher,5,0.0064,,False
TUBB4A,57,25,-32,0.6917,0.7552,0.0634,ENSG00000104833,TUBB4A,0,32,moved_in_by_DNABERT2,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,32,0.0634,,False
NCALD,58,38,-20,0.6916,0.7229,0.0313,ENSG00000104490,NCALD,1,20,moved_in_by_DNABERT2,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,20,0.0313,,False
KIF2A,60,71,11,0.6866,0.6548,-0.0318,ENSG00000068796,KIF2A,0,-11,outside_both,shared,small_down_by_DNABERT2,DNABERT2_ranked_lower,11,0.0318,,False
GALNT3,61,48,-13,0.6852,0.6968,0.0116,ENSG00000115339,GALNT3,1,13,moved_in_by_DNABERT2,shared,small_up_by_DNABERT2,DNABERT2_ranked_higher,13,0.0116,,False
WDR20,62,83,21,0.6794,0.6404,-0.039,ENSG00000140153,WDR20,0,-21,outside_both,shared,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,21,0.039,,False
UBALD2,63,75,12,0.6792,0.649,-0.0302,ENSG00000185262,UBALD2,0,-12,outside_both,shared,small_down_by_DNABERT2,DNABERT2_ranked_lower,12,0.0302,,False
EIF1,64,67,3,0.6755,0.6618,-0.0136,ENSG00000173812,EIF1,0,-3,outside_both,shared,stable,DNABERT2_ranked_lower,3,0.0136,,False
COL23A1,65,66,1,0.6753,0.6625,-0.0128,ENSG00000050767,COL23A1,0,-1,outside_both,shared,stable,DNABERT2_ranked_lower,1,0.0128,,False
SLC5A2,66,69,3,0.6688,0.6585,-0.0103,ENSG00000140675,SLC5A2,1,-3,outside_both,shared,stable,DNABERT2_ranked_lower,3,0.0103,glucose_metabolism,True
NSD3,67,29,-38,0.6688,0.7505,0.0817,ENSG00000147548,NSD3,0,38,moved_in_by_DNABERT2,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,38,0.0817,,False
SERBP1,68,95,27,0.6681,0.5932,-0.0749,ENSG00000142864,SERBP1,0,-27,outside_both,shared,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,27,0.0749,,False
PIP5K1A,69,70,1,0.6619,0.6556,-0.0062,ENSG00000143398,PIP5K1A,0,-1,outside_both,shared,stable,DNABERT2_ranked_lower,1,0.0062,,False
GLRA1,70,37,-33,0.6611,0.7235,0.0624,ENSG00000145888,GLRA1,1,33,moved_in_by_DNABERT2,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,33,0.0624,,False
MAML2,72,87,15,0.6573,0.6305,-0.0268,ENSG00000184384,MAML2,1,-15,outside_both,shared,small_down_by_DNABERT2,DNABERT2_ranked_lower,15,0.0268,,False
TAF9B,73,52,-21,0.6482,0.6861,0.0379,ENSG00000187325,TAF9B,0,21,outside_both,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,21,0.0379,,False
ELF1,74,76,2,0.6475,0.6472,-0.0003,ENSG00000120690,ELF1,1,-2,outside_both,shared,stable,DNABERT2_ranked_lower,2,0.0003,,False
KCNJ11,75,78,3,0.6474,0.6455,-0.0019,ENSG00000187486,KCNJ11,1,-3,outside_both,shared,stable,DNABERT2_ranked_lower,3,0.0019,beta_cell_biology;known_t2d_gwas_or_monogenic,True
ENPP3,76,90,14,0.6451,0.6143,-0.0308,ENSG00000154269,ENPP3,1,-14,outside_both,shared,small_down_by_DNABERT2,DNABERT2_ranked_lower,14,0.0308,,False
DDC,77,46,-31,0.645,0.7036,0.0586,ENSG00000132437,DDC,1,31,moved_in_by_DNABERT2,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,31,0.0586,,False
DGKD,78,99,21,0.641,0.5859,-0.0551,ENSG00000077044,DGKD,1,-21,outside_both,shared,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,21,0.0551,,False
KDM2B,81,79,-2,0.6379,0.6454,0.0075,ENSG00000089094,KDM2B,1,2,outside_both,shared,stable,DNABERT2_ranked_higher,2,0.0075,,False
PPP2R5D,82,96,14,0.633,0.5915,-0.0415,ENSG00000112640,PPP2R5D,0,-14,outside_both,shared,small_down_by_DNABERT2,DNABERT2_ranked_lower,14,0.0415,,False
NCAM1,83,72,-11,0.6276,0.6524,0.0248,ENSG00000149294,NCAM1,1,11,outside_both,shared,small_up_by_DNABERT2,DNABERT2_ranked_higher,11,0.0248,,False
NDUFC2,84,80,-4,0.6263,0.6437,0.0174,ENSG00000151366,NDUFC2,1,4,outside_both,shared,stable,DNABERT2_ranked_higher,4,0.0174,mitochondrial_function;oxidative_phosphorylation,True
ZFP64,86,73,-13,0.622,0.6517,0.0297,ENSG00000020256,ZFP64,1,13,outside_both,shared,small_up_by_DNABERT2,DNABERT2_ranked_higher,13,0.0297,,False
ZNF821,87,85,-2,0.6215,0.6362,0.0147,ENSG00000102984,ZNF821,0,2,outside_both,shared,stable,DNABERT2_ranked_higher,2,0.0147,,False
IGSF21,88,35,-53,0.6208,0.7366,0.1158,ENSG00000117154,IGSF21,1,53,moved_in_by_DNABERT2,shared,large_up_by_DNABERT2,DNABERT2_ranked_higher,53,0.1158,,False
CHRNA1,89,19,-70,0.6176,0.7656,0.1479,ENSG00000138435,CHRNA1,0,70,moved_in_by_DNABERT2,shared,large_up_by_DNABERT2,DNABERT2_ranked_higher,70,0.1479,,False
ARF3,90,81,-9,0.6146,0.6412,0.0266,ENSG00000134287,ARF3,0,9,outside_both,shared,small_up_by_DNABERT2,DNABERT2_ranked_higher,9,0.0266,,False
TSPAN8,91,100,9,0.6138,0.5839,-0.0299,ENSG00000127324,TSPAN8,1,-9,outside_both,shared,small_down_by_DNABERT2,DNABERT2_ranked_lower,9,0.0299,,False
SLCO6A1,93,58,-35,0.605,0.6761,0.0711,ENSG00000205359,SLCO6A1,1,35,outside_both,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,35,0.0711,,False
GNPDA2,94,68,-26,0.6044,0.66,0.0556,ENSG00000163281,GNPDA2,1,26,outside_both,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,26,0.0556,,False
B3GLCT,95,53,-42,0.6005,0.6844,0.0838,ENSG00000187676,B3GLCT,1,42,outside_both,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,42,0.0838,,False
FGGY,96,94,-2,0.5985,0.6038,0.0053,ENSG00000172456,FGGY,0,2,outside_both,shared,stable,DNABERT2_ranked_higher,2,0.0053,,False
PRICKLE1,99,60,-39,0.591,0.6741,0.0831,ENSG00000139174,PRICKLE1,1,39,outside_both,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,39,0.0831,,False
