gene_symbol_upper,handcrafted_rank,dnabert2_rank,rank_delta_dnabert2_minus_handcrafted,handcrafted_score,dnabert2_score,score_delta_dnabert2_minus_handcrafted,gene_id,gene_symbol,true_label,rank_improvement_by_dnabert2,top50_membership,top100_membership,rank_shift_category,rank_direction,abs_rank_shift,abs_score_shift,curated_biological_themes,has_curated_theme_support
NOA1,208,265,57,0.3152,0.1751,-0.14,ENSG00000084092,NOA1,0,-57,outside_both,outside_both,large_down_by_DNABERT2,DNABERT2_ranked_lower,57,0.14,,False
ILVBL,55,110,55,0.693,0.5481,-0.1449,ENSG00000105135,ILVBL,0,-55,outside_both,moved_out_from_handcrafted,large_down_by_DNABERT2,DNABERT2_ranked_lower,55,0.1449,,False
KLHL7,132,186,54,0.4918,0.3811,-0.1107,ENSG00000122550,KLHL7,0,-54,outside_both,outside_both,large_down_by_DNABERT2,DNABERT2_ranked_lower,54,0.1107,,False
GATD3,23,77,54,0.7709,0.6461,-0.1248,ENSG00000160221,GATD3,0,-54,moved_out_from_handcrafted,shared,large_down_by_DNABERT2,DNABERT2_ranked_lower,54,0.1248,,False
SLC5A1,20,74,54,0.7724,0.6508,-0.1216,ENSG00000100170,SLC5A1,1,-54,moved_out_from_handcrafted,shared,large_down_by_DNABERT2,DNABERT2_ranked_lower,54,0.1216,glucose_metabolism;known_t2d_gwas_or_monogenic,True
KIF16B,211,259,48,0.3129,0.2001,-0.1128,ENSG00000089177,KIF16B,0,-48,outside_both,outside_both,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,48,0.1128,,False
SMPDL3A,59,103,44,0.6904,0.5702,-0.1202,ENSG00000172594,SMPDL3A,0,-44,outside_both,moved_out_from_handcrafted,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,44,0.1202,,False
ADO,154,198,44,0.4199,0.3488,-0.0711,ENSG00000181915,ADO,1,-44,outside_both,outside_both,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,44,0.0711,,False
HMG20A,26,62,36,0.7633,0.6699,-0.0934,ENSG00000140382,HMG20A,1,-36,moved_out_from_handcrafted,shared,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,36,0.0934,,False
CEP95,231,267,36,0.266,0.1692,-0.0968,ENSG00000258890,CEP95,0,-36,outside_both,outside_both,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,36,0.0968,,False
MGAM,46,82,36,0.7106,0.6412,-0.0694,ENSG00000257335,MGAM,1,-36,moved_out_from_handcrafted,shared,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,36,0.0694,,False
EXOC1,97,132,35,0.5977,0.4811,-0.1166,ENSG00000090989,EXOC1,0,-35,outside_both,moved_out_from_handcrafted,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,35,0.1166,,False
TSHZ3,9,44,35,0.8087,0.7119,-0.0968,ENSG00000121297,TSHZ3,1,-35,shared,shared,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,35,0.0968,,False
MIB2,140,174,34,0.4636,0.3931,-0.0705,ENSG00000197530,MIB2,0,-34,outside_both,outside_both,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,34,0.0705,,False
TRIP10,122,156,34,0.5146,0.4234,-0.0912,ENSG00000125733,TRIP10,0,-34,outside_both,outside_both,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,34,0.0912,,False
