gene_symbol,true_label,phase9_gene_role,handcrafted_rank,dnabert2_rank,rank_improvement_by_dnabert2,handcrafted_score,dnabert2_score,score_delta_dnabert2_minus_handcrafted,top50_membership,top100_membership,curated_biological_themes,phase9_interpretation_to_use
GALNT3,1,DNABERT2_moved_in_top50,61,48,13,0.6852,0.6968,0.0116,moved_in_by_DNABERT2,shared,,DNABERT-2 moved this gene into the top-50. This gene should be checked for alternative regulatory or neurological/metabolic evidence.
NSD3,0,DNABERT2_moved_in_top50,67,29,38,0.6688,0.7505,0.0817,moved_in_by_DNABERT2,shared,,DNABERT-2 moved this gene into the top-50. This gene should be checked for alternative regulatory or neurological/metabolic evidence.
GLRA1,1,DNABERT2_moved_in_top50,70,37,33,0.6611,0.7235,0.0624,moved_in_by_DNABERT2,shared,,DNABERT-2 moved this gene into the top-50. This gene should be checked for alternative regulatory or neurological/metabolic evidence.
DDC,1,DNABERT2_moved_in_top50,77,46,31,0.645,0.7036,0.0586,moved_in_by_DNABERT2,shared,,DNABERT-2 moved this gene into the top-50. This gene should be checked for alternative regulatory or neurological/metabolic evidence.
IGSF21,1,DNABERT2_moved_in_top50,88,35,53,0.6208,0.7366,0.1158,moved_in_by_DNABERT2,shared,,DNABERT-2 moved this gene into the top-50. This gene should be checked for alternative regulatory or neurological/metabolic evidence.
CHRNA1,0,DNABERT2_moved_in_top50,89,19,70,0.6176,0.7656,0.1479,moved_in_by_DNABERT2,shared,,DNABERT-2 moved this gene into the top-50. This gene should be checked for alternative regulatory or neurological/metabolic evidence.
PARP8,1,DNABERT2_moved_in_top50,115,33,82,0.5407,0.7399,0.1991,moved_in_by_DNABERT2,moved_in_by_DNABERT2,,DNABERT-2 moved this gene into the top-50. This gene should be checked for alternative regulatory or neurological/metabolic evidence.
NDUFA13,1,DNABERT2_moved_out_top100,53,151,-98,0.6944,0.4408,-0.2535,outside_both,moved_out_from_handcrafted,mitochondrial_function;oxidative_phosphorylation,DNABERT-2 moved this gene out of the top-100. This may contribute to weaker pathway concentration if the gene belongs to curated T2D themes.
NDUFB3,1,DNABERT2_moved_out_top50,19,104,-85,0.7789,0.5697,-0.2092,moved_out_from_handcrafted,moved_out_from_handcrafted,mitochondrial_function;oxidative_phosphorylation,"DNABERT-2 moved this gene out of the top-50. If this gene has mitochondrial/OXPHOS, glucose, insulin, or beta-cell support, this helps explain weaker DNABERT-2 enrichment."
SLC5A1,1,DNABERT2_moved_out_top50,20,74,-54,0.7724,0.6508,-0.1216,moved_out_from_handcrafted,shared,glucose_metabolism;known_t2d_gwas_or_monogenic,"DNABERT-2 moved this gene out of the top-50. If this gene has mitochondrial/OXPHOS, glucose, insulin, or beta-cell support, this helps explain weaker DNABERT-2 enrichment."
NDUFA7,1,DNABERT2_moved_out_top50,29,98,-69,0.7594,0.587,-0.1724,moved_out_from_handcrafted,shared,mitochondrial_function;oxidative_phosphorylation,"DNABERT-2 moved this gene out of the top-50. If this gene has mitochondrial/OXPHOS, glucose, insulin, or beta-cell support, this helps explain weaker DNABERT-2 enrichment."
NDUFB1,1,DNABERT2_moved_out_top50,37,55,-18,0.7382,0.6809,-0.0573,moved_out_from_handcrafted,shared,mitochondrial_function;oxidative_phosphorylation,"DNABERT-2 moved this gene out of the top-50. If this gene has mitochondrial/OXPHOS, glucose, insulin, or beta-cell support, this helps explain weaker DNABERT-2 enrichment."
DPP4,1,DNABERT2_moved_out_top50,39,57,-18,0.7289,0.6765,-0.0524,moved_out_from_handcrafted,shared,beta_cell_biology;known_t2d_gwas_or_monogenic,"DNABERT-2 moved this gene out of the top-50. If this gene has mitochondrial/OXPHOS, glucose, insulin, or beta-cell support, this helps explain weaker DNABERT-2 enrichment."
NDUFB2,1,shared_top50_gene,3,18,-15,0.8312,0.7672,-0.0639,shared,shared,mitochondrial_function;oxidative_phosphorylation,"This gene is shared between the handcrafted and DNABERT-2 top lists, supporting stable candidate prioritization across genomic representations."
NEUROD1,1,shared_top50_gene,5,39,-34,0.8185,0.7195,-0.0989,shared,shared,beta_cell_biology;known_t2d_gwas_or_monogenic;pancreatic_development,"This gene is shared between the handcrafted and DNABERT-2 top lists, supporting stable candidate prioritization across genomic representations."
INSR,1,shared_top50_gene,6,6,0,0.8175,0.8328,0.0153,shared,shared,insulin_signalling;known_t2d_gwas_or_monogenic,"This gene is shared between the handcrafted and DNABERT-2 top lists, supporting stable candidate prioritization across genomic representations."
GAD1,1,shared_top50_gene,7,5,2,0.8134,0.8365,0.023,shared,shared,beta_cell_biology;known_t2d_gwas_or_monogenic,"This gene is shared between the handcrafted and DNABERT-2 top lists, supporting stable candidate prioritization across genomic representations."
NDUFV1,1,shared_top50_gene,11,13,-2,0.8046,0.7829,-0.0218,shared,shared,mitochondrial_function;oxidative_phosphorylation,"This gene is shared between the handcrafted and DNABERT-2 top lists, supporting stable candidate prioritization across genomic representations."
CACNA1D,1,shared_top50_gene,13,2,11,0.7985,0.8604,0.0619,shared,shared,beta_cell_biology;known_t2d_gwas_or_monogenic,"This gene is shared between the handcrafted and DNABERT-2 top lists, supporting stable candidate prioritization across genomic representations."
HHEX,1,shared_top50_gene,14,26,-12,0.7984,0.7533,-0.0452,shared,shared,known_t2d_gwas_or_monogenic,"This gene is shared between the handcrafted and DNABERT-2 top lists, supporting stable candidate prioritization across genomic representations."
IGF2BP2,1,shared_top50_gene,25,50,-25,0.7645,0.688,-0.0765,shared,shared,known_t2d_gwas_or_monogenic,"This gene is shared between the handcrafted and DNABERT-2 top lists, supporting stable candidate prioritization across genomic representations."
SCD5,1,shared_top50_gene,36,31,5,0.7419,0.7455,0.0036,shared,shared,lipid_metabolism,"This gene is shared between the handcrafted and DNABERT-2 top lists, supporting stable candidate prioritization across genomic representations."
PDX1,1,shared_top50_gene,48,47,1,0.707,0.7017,-0.0053,shared,shared,beta_cell_biology;known_t2d_gwas_or_monogenic;pancreatic_development,"This gene is shared between the handcrafted and DNABERT-2 top lists, supporting stable candidate prioritization across genomic representations."
