rank_by_score,disease_id,evidence_mode,target_id,target_symbol,target_name,association_score,ds_clinical_precedence,ds_gwas_credible_sets,ds_eva,ds_genomics_england,ds_eva_somatic,ds_europepmc,prio_geneticConstraint,prio_hasHighQualityChemicalProbes,prio_hasLigand,prio_hasPocket,prio_hasSafetyEvent,prio_hasSmallMoleculeBinder,prio_isInMembrane,prio_isSecreted,prio_maxClinicalStage,prio_mouseKOScore,prio_mouseOrthologMaxIdentityPercentage,prio_paralogMaxIdentityPercentage,prio_tissueDistribution,prio_tissueSpecificity,prio_geneEssentiality,ds_impc,ds_gene_burden,ds_uniprot_variants,ds_uniprot_literature,prio_isCancerDriverGene,ds_expression_atlas,prio_hasTEP,rank_by_score_clean
13,MONDO_0005148,direct_only,ENSG00000115159,GPD2,glycerol-3-phosphate dehydrogenase 2,0.7068921905305894,0.9986081372456912,,0.6173874989078019,,,0.1363446050236229,-0.2942084942084941,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.7888429076592104,0.6630000000000003,,-1.0,-1.0,0.0,0.3656095816836289,,,,,,,13
14,MONDO_0005148,direct_only,ENSG00000164756,SLC30A8,solute carrier family 30 member 8,0.6974093822415375,,0.9421368941525056,0.7308814240352514,,,0.7534117353877728,-0.0819635962493104,,0.0,0.0,,0.0,1.0,0.0,,-0.2849917124074505,0.0243899999999996,0.0,0.5,1.0,0.0,0.446859532784422,,,,,,,14
15,MONDO_0005148,direct_only,ENSG00000148737,TCF7L2,transcription factor 7 like 2,0.6772682024701681,,0.9147530751135547,0.2842414218166335,,,0.9643456312284826,-0.7158301158301159,,1.0,0.0,255.0,1.0,0.0,0.0,,-0.8841823322477599,0.7334400000000002,0.0,-1.0,-1.0,0.0,0.4602863599283386,,,0.607930797611621,255.0,,,15
16,MONDO_0005148,direct_only,ENSG00000106331,PAX4,paired box 4,0.6761979218577042,,0.8905301631829737,0.6637189284512575,,,0.3828212160647135,0.1589630446773304,,0.0,0.0,,0.0,0.0,0.0,,-0.7208680696754449,0.0,0.0,,,0.0,,,0.3039653988058105,0.3039653988058105,,,,16
17,MONDO_0005148,direct_only,ENSG00000164258,NDUFS4,NADH:ubiquinone oxidoreductase subunit S4,0.6749684045061369,0.9986081372456912,0.4466545428894468,,,,,0.6965250965250964,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.9211005013496032,0.4,0.0,-1.0,-1.0,0.0,,,,,,,,17
18,MONDO_0005148,direct_only,ENSG00000010310,GIPR,gastric inhibitory polypeptide receptor,0.6743302170705993,0.9683703958849756,0.4925379228235705,,,,0.5615911207733489,0.7607280750137893,,1.0,0.0,255.0,1.0,0.0,0.0,1.0,-0.1918770117413384,0.0,0.0,0.0,0.5,0.0,0.4189859057139292,,,,,,,18
19,MONDO_0005148,direct_only,ENSG00000162992,NEUROD1,neuronal differentiation 1,0.671465857855922,,,0.674063159034177,0.8274613634158176,,0.3737069076626518,-0.4519580805295091,,0.0,0.0,,0.0,0.0,0.0,,-0.8743903670838238,0.8876399999999997,0.0,0.5,0.75,0.0,,,0.607930797611621,0.607930797611621,,,,19
20,MONDO_0005148,direct_only,ENSG00000198888,MT-ND1,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1,0.6556905258463207,0.9986081372456912,,,,,0.1782737754584912,,,0.0,0.0,255.0,0.0,0.0,0.0,1.0,,0.0,,-1.0,0.5,,,,,0.3039653988058105,,,,20
21,MONDO_0005148,direct_only,ENSG00000197594,ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1,0.6538895558580068,,,0.8894598169441027,,0.2445232763726742,0.5589518597546279,-0.3964699393270822,,1.0,0.0,,1.0,1.0,1.0,,-0.9712997410684234,0.0,0.0,0.0,0.5,0.0,,,,0.607930797611621,,,,21
22,MONDO_0005148,direct_only,ENSG00000197635,DPP4,dipeptidyl peptidase 4,0.6432827162361505,0.9981950138708704,,,,,0.954188839355206,-0.11715388858246,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,-0.8838034952024245,0.2232399999999998,0.0,0.0,0.5,0.0,0.5511044663048749,,,,,,,22
23,MONDO_0005148,direct_only,ENSG00000213619,NDUFS3,NADH:ubiquinone oxidoreductase core subunit S3,0.6427179016186971,0.9986081372456912,0.2210944610133079,,,,0.1503176444961134,-0.1934914506343077,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.7604864403007968,0.3560600000000001,,-1.0,0.5,0.0,,,,,,,,23
24,MONDO_0005148,direct_only,ENSG00000053918,KCNQ1,potassium voltage-gated channel subfamily Q member 1,0.6355195912918692,,0.8725203545198673,,,,0.9395287550350934,-0.0916712630998345,1.0,1.0,0.0,255.0,1.0,1.0,0.0,1.0,-0.9432403169533372,0.3860950000000002,0.0,0.0,0.5,0.0,,,,0.607930797611621,,,,24
25,MONDO_0005148,direct_only,ENSG00000140675,SLC5A2,solute carrier family 5 member 2,0.6351936842498059,0.9974377552980216,,,,,0.9481524613249462,0.4015444015444016,1.0,1.0,0.0,,1.0,1.0,0.0,1.0,-0.3508419754899991,0.53125,0.0,0.5,1.0,0.0,,,,,,,,25
26,MONDO_0005148,direct_only,ENSG00000113161,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,0.6342492877983139,0.9085867500093788,0.4676155462264257,,,,0.8010576605938883,-0.7436293436293436,1.0,1.0,1.0,255.0,1.0,0.0,0.0,1.0,-0.3074028175658705,0.6734250000000003,,-1.0,0.5,-1.0,,,,,,,,26
27,MONDO_0005148,direct_only,ENSG00000145996,CDKAL1,CDKAL1 threonylcarbamoyladenosine tRNA methylthiotransferase,0.6301224563431727,,0.8496053534412038,0.2279740491043579,,,0.7668072629862864,-0.514396028681743,,0.0,0.0,,0.0,0.0,0.0,,-0.7857486610232586,0.5250450000000001,0.0,-1.0,-1.0,0.0,,,,0.607930797611621,,,,27
28,MONDO_0005148,direct_only,ENSG00000166136,NDUFB8,NADH:ubiquinone oxidoreductase subunit B8,0.6288540501591654,0.9986081372456912,0.1366049987187881,,,,0.074599863653586,-0.0535024820739106,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.4870861386104308,0.05914,,-1.0,-1.0,0.0,,,,,,,,28
29,MONDO_0005148,direct_only,ENSG00000185002,RFX6,regulatory factor X6,0.6247057987125729,,0.8238474259167556,,,,0.3672599786826904,-0.4460011031439602,,0.0,0.0,,0.0,0.0,0.0,,-0.660054523539604,0.3696100000000001,0.0,0.5,0.75,0.0,0.4129673908175742,0.7599134970145264,,,,,,29
30,MONDO_0005148,direct_only,ENSG00000186010,NDUFA13,NADH:ubiquinone oxidoreductase subunit A13,0.618703076068161,0.9986081372456912,0.0753650055087828,,,,0.0121586159522324,0.5127413127413127,,0.0,0.0,,1.0,0.0,0.0,1.0,-0.5786753726513527,0.1666649999999997,,-1.0,-1.0,-1.0,,,,,,,,30
31,MONDO_0005148,direct_only,ENSG00000186951,PPARA,peroxisome proliferator activated receptor alpha,0.6178173993845495,0.9640407276737232,0.1460655601424412,,,,0.4527600294473894,-0.4211803640375069,1.0,1.0,1.0,255.0,1.0,0.0,0.0,1.0,-0.9589030378978264,0.6153849999999998,-0.0064099999999999,-1.0,0.5,0.0,0.4515405999260315,,,,,,,31
32,MONDO_0005148,direct_only,ENSG00000128609,NDUFA5,NADH:ubiquinone oxidoreductase subunit A5,0.6174892005795394,0.9986081372456912,0.0587319465876114,,,,0.1094275435700918,0.6111417539988968,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.13793,,-1.0,0.5,0.0,,,,,,,,32
33,MONDO_0005148,direct_only,ENSG00000165264,NDUFB6,NADH:ubiquinone oxidoreductase subunit B6,0.6168825853298671,0.9986081372456912,0.0398518473581527,,,,0.2337778154804205,0.9526751241036956,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,,-1.0,-1.0,0.0,,,,,,,,33
34,MONDO_0005148,direct_only,ENSG00000198695,MT-ND6,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6,0.616156509035007,0.9986081372456912,,,,,0.2984506688399214,,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.2626188680297503,0.0,,-1.0,0.5,,,,,,,,,34
35,MONDO_0005148,direct_only,ENSG00000090266,NDUFB2,NADH:ubiquinone oxidoreductase subunit B2,0.6145451510601535,0.9986081372456912,0.0490878877150847,,,,,0.7067843353557639,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.1428550000000001,,-1.0,-1.0,0.0,,,,,,,,35
36,MONDO_0005148,direct_only,ENSG00000151366,NDUFC2,NADH:ubiquinone oxidoreductase subunit C2,0.613829473725224,0.9986081372456912,,,,,0.2218947411282416,-0.0068394925537782,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,,-1.0,-1.0,0.0,,,,,,,,36
37,MONDO_0005148,direct_only,ENSG00000004779,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1,0.611704389560787,0.9986081372456912,,,,,0.1519826994029052,-0.5523441809156096,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.2948700000000002,0.0,-1.0,0.5,-1.0,,,,,,,,37
38,MONDO_0005148,direct_only,ENSG00000198763,MT-ND2,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2,0.6108872242568398,0.9986081372456912,,,,,0.1250992019009677,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.5,,,,,,,,,38
39,MONDO_0005148,direct_only,ENSG00000178057,NDUFAF3,NADH:ubiquinone oxidoreductase complex assembly factor 3,0.610673313096752,0.9986081372456912,,,,,0.1180618495928368,0.4143408714837286,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,,-1.0,0.5,0.0,,,,,,,,39
40,MONDO_0005148,direct_only,ENSG00000198886,MT-ND4,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4,0.6103398411310162,0.9986081372456912,,,,,0.1070911283513457,,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,,0.0,0.0,-1.0,0.5,,,,,,,,,40
41,MONDO_0005148,direct_only,ENSG00000212907,MT-ND4L,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L,0.6096588677261778,0.9986081372456912,,,,,0.0846881375006188,,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,,-1.0,0.5,,,,,,,,,41
42,MONDO_0005148,direct_only,ENSG00000130414,NDUFA10,NADH:ubiquinone oxidoreductase subunit A10,0.6094278803169999,0.9986081372456912,,,,,0.0770890025304736,0.2662989520132377,,0.0,0.0,,1.0,0.0,0.0,1.0,-0.4699633750755963,0.0,0.0,-1.0,0.5,0.0,,,,,,,,42
43,MONDO_0005148,direct_only,ENSG00000198786,MT-ND5,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5,0.6093936596690952,0.9986081372456912,,,,,0.0759631951840084,,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,0.0,-1.0,0.5,,,,,,,,,43
44,MONDO_0005148,direct_only,ENSG00000125356,NDUFA1,NADH:ubiquinone oxidoreductase subunit A1,0.6091583950062923,0.9986081372456912,,,,,0.0682233450653041,,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.8508722250290404,0.1428550000000001,,-1.0,0.5,0.0,,,,,,,,44
45,MONDO_0005148,direct_only,ENSG00000131495,NDUFA2,NADH:ubiquinone oxidoreductase subunit A2,0.6089325406506516,0.9986081372456912,,,,,0.0607930797611621,0.5547710976282405,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.2929299999999998,,-1.0,-1.0,0.0,,,,,,,,45
46,MONDO_0005148,direct_only,ENSG00000023228,NDUFS1,NADH:ubiquinone oxidoreductase core subunit S1,0.6089325406506516,0.9986081372456912,,,,,0.0607930797611621,-0.2271373414230557,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.6618650751880195,0.7042650000000001,0.0,-1.0,0.5,0.0,,,,,,,,46
47,MONDO_0005148,direct_only,ENSG00000198840,MT-ND3,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3,0.6088671499598877,0.9986081372456912,,,,,0.0586418253413844,,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,,-1.0,0.5,,,,,,,,,47
48,MONDO_0005148,direct_only,ENSG00000184752,NDUFA12,NADH:ubiquinone oxidoreductase subunit A12,0.6082857759049534,0.9986081372456912,,,,,0.0395155018447553,0.3729729729729729,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.4482750000000003,,-1.0,0.5,0.0,,,,,,,,48
49,MONDO_0005148,direct_only,ENSG00000099795,NDUFB7,NADH:ubiquinone oxidoreductase subunit B7,0.6082806428514161,0.9986081372456912,,,,,0.0393466321787521,0.976061776061776,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.1240900000000003,,-1.0,-1.0,0.0,,,,,,,,49
50,MONDO_0005148,direct_only,ENSG00000167792,NDUFV1,NADH:ubiquinone oxidoreductase core subunit V1,0.6082806428514161,0.9986081372456912,,,,,0.0393466321787521,0.2111417539988969,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.6285074818796199,0.7952599999999996,,-1.0,-1.0,0.0,,,,,,,,50
51,MONDO_0005148,direct_only,ENSG00000189043,COXFA4,cytochrome c oxidase associated subunit FA4,0.6081933809412823,0.9986081372456912,,,,,0.0364758478566972,0.7876447876447876,,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.4444450000000003,-0.1049375000000001,-1.0,0.5,,,,,,,,,51
52,MONDO_0005148,direct_only,ENSG00000110717,NDUFS8,NADH:ubiquinone oxidoreductase core subunit S8,0.6081471834594466,0.9986081372456912,,,,,0.0349560208626682,-0.3258687258687258,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.7183575696040686,0.5,,-1.0,-1.0,0.0,,,,,,,,52
53,MONDO_0005148,direct_only,ENSG00000174886,NDUFA11,NADH:ubiquinone oxidoreductase subunit A11,0.6080085910139399,0.9986081372456912,,,,,0.030396539880581,0.8261445118587976,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0220234253186279,0.0,,-1.0,-1.0,0.0,,,,,,,,53
54,MONDO_0005148,direct_only,ENSG00000184983,NDUFA6,NADH:ubiquinone oxidoreductase subunit A6,0.6080085910139399,0.9986081372456912,,,,,0.030396539880581,0.6993932708218422,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.7276503966677363,0.375,,-1.0,-1.0,0.0,,,,,,,,54
55,MONDO_0005148,direct_only,ENSG00000137806,NDUFAF1,NADH:ubiquinone oxidoreductase complex assembly factor 1,0.6080085910139399,0.9986081372456912,,,,,0.030396539880581,-0.2209597352454495,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,,-1.0,-1.0,-1.0,,,,,,,,55
56,MONDO_0005148,direct_only,ENSG00000140990,NDUFB10,NADH:ubiquinone oxidoreductase subunit B10,0.6080085910139399,0.9986081372456912,,,,,0.030396539880581,0.7256480970766686,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0406999999999996,,-1.0,0.75,-1.0,,,,,,,,56
57,MONDO_0005148,direct_only,ENSG00000065518,NDUFB4,NADH:ubiquinone oxidoreductase subunit B4,0.6080085910139399,0.9986081372456912,,,,,0.030396539880581,0.2880308880308879,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,,-1.0,0.5,0.0,,,,,,,,57
58,MONDO_0005148,direct_only,ENSG00000168653,NDUFS5,NADH:ubiquinone oxidoreductase subunit S5,0.6080085910139399,0.9986081372456912,,,,,0.030396539880581,0.2191947049089906,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,,-1.0,-1.0,-1.0,,,,,,,,58
59,MONDO_0005148,direct_only,ENSG00000164182,NDUFAF2,NADH:ubiquinone oxidoreductase complex assembly factor 2,0.6079161960502687,0.9986081372456912,,,,,0.0273568858925229,0.2420297848869277,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0236699999999999,,-1.0,-1.0,0.0,,,,,,,,59
60,MONDO_0005148,direct_only,ENSG00000158864,NDUFS2,NADH:ubiquinone oxidoreductase core subunit S2,0.6076390111592552,0.9986081372456912,,,,,0.0182379239283486,-0.4487589630446773,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,-0.6344264618669704,0.6112299999999997,,-1.0,0.5,0.0,,,,,,,,60
61,MONDO_0005148,direct_only,ENSG00000119013,NDUFB3,NADH:ubiquinone oxidoreductase subunit B3,0.607546616195584,0.9986081372456912,,,,,0.0151982699402905,0.6542746828461115,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0220234253186279,0.0,,-1.0,0.5,-1.0,,,,,,,,61
62,MONDO_0005148,direct_only,ENSG00000119421,NDUFA8,NADH:ubiquinone oxidoreductase subunit A8,0.6074542212319128,0.9986081372456912,,,,,0.0121586159522324,0.2445670159955875,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.6891059635184138,0.3313949999999998,,-1.0,0.5,0.0,,,,,,,,62
63,MONDO_0005148,direct_only,ENSG00000136521,NDUFB5,NADH:ubiquinone oxidoreductase subunit B5,0.6074542212319128,0.9986081372456912,,,,,0.0121586159522324,0.7247655819084391,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.7970037908026695,0.0,,-1.0,0.5,0.0,,,,,,,,63
64,MONDO_0005148,direct_only,ENSG00000147684,NDUFB9,NADH:ubiquinone oxidoreductase subunit B9,0.6074542212319128,0.9986081372456912,,,,,0.0121586159522324,0.3357970215113073,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.551243653830459,0.2737450000000002,,-1.0,0.5,-1.0,,,,,,,,64
65,MONDO_0005148,direct_only,ENSG00000115286,NDUFS7,NADH:ubiquinone oxidoreductase core subunit S7,0.6074542212319128,0.9986081372456912,,,,,0.0121586159522324,-0.4025372311086597,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.6301919666369088,0.3192500000000002,,-1.0,0.5,0.0,,,,,,,,65
66,MONDO_0005148,direct_only,ENSG00000185633,COXFA4L2,cytochrome c oxidase hypoxia associated subunit FA4L2,0.6070846413772282,0.9986081372456912,,,,,,0.8619966905681191,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.7126449999999999,0.0,0.0,0.5,,,,,,,,,66
67,MONDO_0005148,direct_only,ENSG00000170906,NDUFA3,NADH:ubiquinone oxidoreductase subunit A3,0.6070846413772282,0.9986081372456912,,,,,,0.6597904026475454,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0476199999999998,,-1.0,0.5,0.0,,,,,,,,67
68,MONDO_0005148,direct_only,ENSG00000267855,NDUFA7,NADH:ubiquinone oxidoreductase subunit A7,0.6070846413772282,0.9986081372456912,,,,,,0.9178157749586322,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.4025292816482848,0.5575200000000002,,-1.0,0.5,0.0,,,,,,,,68
69,MONDO_0005148,direct_only,ENSG00000139180,NDUFA9,NADH:ubiquinone oxidoreductase subunit A9,0.6070846413772282,0.9986081372456912,,,,,,-0.3141753998896855,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.7183575696040686,0.0,,-1.0,-1.0,0.0,,,,,,,,69
70,MONDO_0005148,direct_only,ENSG00000123545,NDUFAF4,NADH:ubiquinone oxidoreductase complex assembly factor 4,0.6070846413772282,0.9986081372456912,,,,,,-0.0114726971869828,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,,-1.0,-1.0,0.0,,,,,,,,70
71,MONDO_0005148,direct_only,ENSG00000183648,NDUFB1,NADH:ubiquinone oxidoreductase subunit B1,0.6070846413772282,0.9986081372456912,,,,,,0.7461665747380033,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,,-1.0,-1.0,-1.0,,,,,,,,71
72,MONDO_0005148,direct_only,ENSG00000147123,NDUFB11,NADH:ubiquinone oxidoreductase subunit B11,0.6070846413772282,0.9986081372456912,,,,,,,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,,-1.0,0.5,0.0,,,,,,,,72
73,MONDO_0005148,direct_only,ENSG00000109390,NDUFC1,NADH:ubiquinone oxidoreductase subunit C1,0.6070846413772282,0.9986081372456912,,,,,,0.7186982901268615,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,,-1.0,0.75,0.0,,,,,,,,73
74,MONDO_0005148,direct_only,ENSG00000145494,NDUFS6,NADH:ubiquinone oxidoreductase subunit S6,0.6070846413772282,0.9986081372456912,,,,,,0.7108659680088252,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.9267852223592232,0.0,,-1.0,0.5,0.0,,,,,,,,74
75,MONDO_0005148,direct_only,ENSG00000178127,NDUFV2,NADH:ubiquinone oxidoreductase core subunit V2,0.6070846413772282,0.9986081372456912,,,,,,-0.5637065637065637,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.4025292816482848,0.598395,,-1.0,-1.0,0.0,,,,,,,,75
76,MONDO_0005148,direct_only,ENSG00000160194,NDUFV3,NADH:ubiquinone oxidoreductase subunit V3,0.6070846413772282,0.9986081372456912,,,,,,0.6549365692222835,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0537322466794323,0.0,,-1.0,0.5,0.0,,,,,,,,76
77,MONDO_0005148,direct_only,ENSG00000257335,MGAM,maltase-glucoamylase,0.6047196470893594,0.98809329074216,,,,,0.1324922096267748,-0.2349696635410921,,1.0,1.0,,1.0,1.0,0.0,1.0,-0.1250770947412433,0.0,0.0,0.5,0.5,0.0,,,,,,,,77
78,MONDO_0005148,direct_only,ENSG00000243480,AMY2A,amylase alpha 2A,0.5997984923419163,0.984352241712298,,,,,0.0454146726040244,-0.2086045228902371,,1.0,0.0,,1.0,0.0,1.0,1.0,,,-0.970645,0.5,1.0,0.0,,,,,,,,78
79,MONDO_0005148,direct_only,ENSG00000130203,APOE,apolipoprotein E,0.5924952601512928,,0.9266069010481762,,,,0.9600562379564116,0.531053502482074,,0.0,0.0,255.0,0.0,0.0,1.0,,-0.9832055691366652,0.0,0.0,-1.0,0.5,0.0,,,,,,,,79
80,MONDO_0005148,direct_only,ENSG00000171298,GAA,alpha glucosidase,0.5818377173123381,0.9475084144123708,,,,,0.1914089964766094,0.0689464975179261,0.0,1.0,0.0,,1.0,0.0,0.0,1.0,-0.9386901336257888,0.0178550000000001,0.0,-1.0,-1.0,0.0,,,,,,,,80
