rank_by_score,disease_id,evidence_mode,target_id,target_symbol,target_name,association_score,ds_clinical_precedence,ds_gwas_credible_sets,ds_eva,ds_genomics_england,ds_eva_somatic,ds_europepmc,prio_geneticConstraint,prio_hasHighQualityChemicalProbes,prio_hasLigand,prio_hasPocket,prio_hasSafetyEvent,prio_hasSmallMoleculeBinder,prio_isInMembrane,prio_isSecreted,prio_maxClinicalStage,prio_mouseKOScore,prio_mouseOrthologMaxIdentityPercentage,prio_paralogMaxIdentityPercentage,prio_tissueDistribution,prio_tissueSpecificity,prio_geneEssentiality,ds_impc,ds_gene_burden,ds_uniprot_variants,ds_uniprot_literature,prio_isCancerDriverGene,ds_expression_atlas,prio_hasTEP
34,MONDO_0005148,direct_only,ENSG00000198695,MT-ND6,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6,0.616156509035007,0.9986081372456911,,,,,0.29845066883992144,,,0,0,,0,0,0,1,-0.2626188680297503,0,,-1,0.5,,,,,,,,
35,MONDO_0005148,direct_only,ENSG00000090266,NDUFB2,NADH:ubiquinone oxidoreductase subunit B2,0.6145451510601535,0.9986081372456911,0.049087887715084745,,,,,0.7067843353557639,,0,0,,0,0,0,1,,0.14285500000000012,,-1,-1,0,,,,,,,
36,MONDO_0005148,direct_only,ENSG00000151366,NDUFC2,NADH:ubiquinone oxidoreductase subunit C2,0.613829473725224,0.9986081372456911,,,,,0.22189474112824167,-0.006839492553778248,,0,0,,0,0,0,1,0,0,,-1,-1,0,,,,,,,
37,MONDO_0005148,direct_only,ENSG00000004779,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1,0.611704389560787,0.9986081372456911,,,,,0.15198269940290526,-0.5523441809156096,,0,0,,0,0,0,1,,0.29487000000000024,0,-1,0.5,-1,,,,,,,
38,MONDO_0005148,direct_only,ENSG00000198763,MT-ND2,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2,0.6108872242568398,0.9986081372456911,,,,,0.12509920190096774,,,0,0,,0,0,0,1,0,0,0,-1,0.5,,,,,,,,
39,MONDO_0005148,direct_only,ENSG00000178057,NDUFAF3,NADH:ubiquinone oxidoreductase complex assembly factor 3,0.610673313096752,0.9986081372456911,,,,,0.11806184959283683,0.41434087148372867,,0,0,,0,0,0,1,,0,,-1,0.5,0,,,,,,,
40,MONDO_0005148,direct_only,ENSG00000198886,MT-ND4,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4,0.6103398411310162,0.9986081372456911,,,,,0.1070911283513457,,0,0,0,,1,0,0,1,,0,0,-1,0.5,,,,,,,,
41,MONDO_0005148,direct_only,ENSG00000212907,MT-ND4L,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L,0.6096588677261778,0.9986081372456911,,,,,0.08468813750061889,,,0,0,,0,0,0,1,,0,,-1,0.5,,,,,,,,
42,MONDO_0005148,direct_only,ENSG00000130414,NDUFA10,NADH:ubiquinone oxidoreductase subunit A10,0.6094278803169999,0.9986081372456911,,,,,0.07708900253047361,0.2662989520132377,,0,0,,1,0,0,1,-0.4699633750755963,0,0,-1,0.5,0,,,,,,,
43,MONDO_0005148,direct_only,ENSG00000198786,MT-ND5,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5,0.6093936596690952,0.9986081372456911,,,,,0.07596319518400844,,,0,0,,0,0,0,1,,0,0,-1,0.5,,,,,,,,
44,MONDO_0005148,direct_only,ENSG00000125356,NDUFA1,NADH:ubiquinone oxidoreductase subunit A1,0.6091583950062923,0.9986081372456911,,,,,0.06822334506530414,,,0,0,,0,0,0,1,-0.8508722250290404,0.14285500000000012,,-1,0.5,0,,,,,,,
45,MONDO_0005148,direct_only,ENSG00000131495,NDUFA2,NADH:ubiquinone oxidoreductase subunit A2,0.6089325406506516,0.9986081372456911,,,,,0.06079307976116211,0.5547710976282405,,0,0,,0,0,0,1,,0.2929299999999998,,-1,-1,0,,,,,,,
46,MONDO_0005148,direct_only,ENSG00000023228,NDUFS1,NADH:ubiquinone oxidoreductase core subunit S1,0.6089325406506516,0.9986081372456911,,,,,0.06079307976116211,-0.22713734142305575,,0,0,,0,0,0,1,-0.6618650751880195,0.7042650000000001,0,-1,0.5,0,,,,,,,
47,MONDO_0005148,direct_only,ENSG00000198840,MT-ND3,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3,0.6088671499598877,0.9986081372456911,,,,,0.05864182534138446,,,0,0,,0,0,0,1,,0,,-1,0.5,,,,,,,,
48,MONDO_0005148,direct_only,ENSG00000184752,NDUFA12,NADH:ubiquinone oxidoreductase subunit A12,0.6082857759049534,0.9986081372456911,,,,,0.03951550184475537,0.37297297297297294,,0,0,,0,0,0,1,0,0.4482750000000003,,-1,0.5,0,,,,,,,
49,MONDO_0005148,direct_only,ENSG00000099795,NDUFB7,NADH:ubiquinone oxidoreductase subunit B7,0.6082806428514161,0.9986081372456911,,,,,0.039346632178752144,0.976061776061776,,0,0,,0,0,0,1,0,0.12409000000000034,,-1,-1,0,,,,,,,
50,MONDO_0005148,direct_only,ENSG00000167792,NDUFV1,NADH:ubiquinone oxidoreductase core subunit V1,0.6082806428514161,0.9986081372456911,,,,,0.039346632178752144,0.2111417539988969,,0,0,,0,0,0,1,-0.6285074818796199,0.7952599999999996,,-1,-1,0,,,,,,,
51,MONDO_0005148,direct_only,ENSG00000189043,COXFA4,cytochrome c oxidase associated subunit FA4,0.6081933809412823,0.9986081372456911,,,,,0.03647584785669727,0.7876447876447876,,0,0,,1,0,0,1,0,0.4444450000000003,-0.10493750000000013,-1,0.5,,,,,,,,
52,MONDO_0005148,direct_only,ENSG00000110717,NDUFS8,NADH:ubiquinone oxidoreductase core subunit S8,0.6081471834594466,0.9986081372456911,,,,,0.03495602086266821,-0.32586872586872584,,0,0,,0,0,0,1,-0.7183575696040686,0.5,,-1,-1,0,,,,,,,
53,MONDO_0005148,direct_only,ENSG00000174886,NDUFA11,NADH:ubiquinone oxidoreductase subunit A11,0.6080085910139399,0.9986081372456911,,,,,0.030396539880581056,0.8261445118587976,,0,0,,0,0,0,1,-0.022023425318627998,0,,-1,-1,0,,,,,,,
54,MONDO_0005148,direct_only,ENSG00000184983,NDUFA6,NADH:ubiquinone oxidoreductase subunit A6,0.6080085910139399,0.9986081372456911,,,,,0.030396539880581056,0.6993932708218422,,0,0,,0,0,0,1,-0.7276503966677363,0.375,,-1,-1,0,,,,,,,
55,MONDO_0005148,direct_only,ENSG00000137806,NDUFAF1,NADH:ubiquinone oxidoreductase complex assembly factor 1,0.6080085910139399,0.9986081372456911,,,,,0.030396539880581056,-0.22095973524544954,,0,0,,0,0,0,1,,0,,-1,-1,-1,,,,,,,
56,MONDO_0005148,direct_only,ENSG00000140990,NDUFB10,NADH:ubiquinone oxidoreductase subunit B10,0.6080085910139399,0.9986081372456911,,,,,0.030396539880581056,0.7256480970766686,,0,0,,0,0,0,1,,0.040699999999999646,,-1,0.75,-1,,,,,,,
57,MONDO_0005148,direct_only,ENSG00000065518,NDUFB4,NADH:ubiquinone oxidoreductase subunit B4,0.6080085910139399,0.9986081372456911,,,,,0.030396539880581056,0.28803088803088794,,0,0,,0,0,0,1,,0,,-1,0.5,0,,,,,,,
58,MONDO_0005148,direct_only,ENSG00000168653,NDUFS5,NADH:ubiquinone oxidoreductase subunit S5,0.6080085910139399,0.9986081372456911,,,,,0.030396539880581056,0.21919470490899062,,0,0,,0,0,0,1,0,0,,-1,-1,-1,,,,,,,
59,MONDO_0005148,direct_only,ENSG00000164182,NDUFAF2,NADH:ubiquinone oxidoreductase complex assembly factor 2,0.6079161960502687,0.9986081372456911,,,,,0.02735688589252295,0.24202978488692772,,0,0,,0,0,0,1,0,0.023669999999999903,,-1,-1,0,,,,,,,
60,MONDO_0005148,direct_only,ENSG00000158864,NDUFS2,NADH:ubiquinone oxidoreductase core subunit S2,0.6076390111592552,0.9986081372456911,,,,,0.01823792392834863,-0.44875896304467733,0,0,0,,1,0,0,1,-0.6344264618669704,0.6112299999999997,,-1,0.5,0,,,,,,,
61,MONDO_0005148,direct_only,ENSG00000119013,NDUFB3,NADH:ubiquinone oxidoreductase subunit B3,0.607546616195584,0.9986081372456911,,,,,0.015198269940290528,0.6542746828461115,,0,0,,0,0,0,1,-0.022023425318627998,0,,-1,0.5,-1,,,,,,,
62,MONDO_0005148,direct_only,ENSG00000119421,NDUFA8,NADH:ubiquinone oxidoreductase subunit A8,0.6074542212319128,0.9986081372456911,,,,,0.012158615952232422,0.2445670159955875,,0,0,,0,0,0,1,-0.6891059635184138,0.33139499999999983,,-1,0.5,0,,,,,,,
63,MONDO_0005148,direct_only,ENSG00000136521,NDUFB5,NADH:ubiquinone oxidoreductase subunit B5,0.6074542212319128,0.9986081372456911,,,,,0.012158615952232422,0.7247655819084391,,0,0,,0,0,0,1,-0.7970037908026695,0,,-1,0.5,0,,,,,,,
64,MONDO_0005148,direct_only,ENSG00000147684,NDUFB9,NADH:ubiquinone oxidoreductase subunit B9,0.6074542212319128,0.9986081372456911,,,,,0.012158615952232422,0.3357970215113073,,0,0,,0,0,0,1,-0.551243653830459,0.27374500000000024,,-1,0.5,-1,,,,,,,
65,MONDO_0005148,direct_only,ENSG00000115286,NDUFS7,NADH:ubiquinone oxidoreductase core subunit S7,0.6074542212319128,0.9986081372456911,,,,,0.012158615952232422,-0.4025372311086597,,0,0,,0,0,0,1,-0.6301919666369088,0.31925000000000026,,-1,0.5,0,,,,,,,
66,MONDO_0005148,direct_only,ENSG00000185633,COXFA4L2,cytochrome c oxidase hypoxia associated subunit FA4L2,0.6070846413772282,0.9986081372456911,,,,,,0.8619966905681191,,0,0,,0,0,0,1,,0.7126449999999999,0,0,0.5,,,,,,,,
67,MONDO_0005148,direct_only,ENSG00000170906,NDUFA3,NADH:ubiquinone oxidoreductase subunit A3,0.6070846413772282,0.9986081372456911,,,,,,0.6597904026475454,,0,0,,0,0,0,1,,0.047619999999999864,,-1,0.5,0,,,,,,,
68,MONDO_0005148,direct_only,ENSG00000267855,NDUFA7,NADH:ubiquinone oxidoreductase subunit A7,0.6070846413772282,0.9986081372456911,,,,,,0.9178157749586322,,0,0,,0,0,0,1,-0.4025292816482848,0.5575200000000002,,-1,0.5,0,,,,,,,
69,MONDO_0005148,direct_only,ENSG00000139180,NDUFA9,NADH:ubiquinone oxidoreductase subunit A9,0.6070846413772282,0.9986081372456911,,,,,,-0.31417539988968557,,0,0,,0,0,0,1,-0.7183575696040686,0,,-1,-1,0,,,,,,,
70,MONDO_0005148,direct_only,ENSG00000123545,NDUFAF4,NADH:ubiquinone oxidoreductase complex assembly factor 4,0.6070846413772282,0.9986081372456911,,,,,,-0.01147269718698285,,0,0,,0,0,0,1,,0,,-1,-1,0,,,,,,,
71,MONDO_0005148,direct_only,ENSG00000183648,NDUFB1,NADH:ubiquinone oxidoreductase subunit B1,0.6070846413772282,0.9986081372456911,,,,,,0.7461665747380033,,0,0,,0,0,0,1,,0,,-1,-1,-1,,,,,,,
72,MONDO_0005148,direct_only,ENSG00000147123,NDUFB11,NADH:ubiquinone oxidoreductase subunit B11,0.6070846413772282,0.9986081372456911,,,,,,,,0,0,,0,0,0,1,,0,,-1,0.5,0,,,,,,,
73,MONDO_0005148,direct_only,ENSG00000109390,NDUFC1,NADH:ubiquinone oxidoreductase subunit C1,0.6070846413772282,0.9986081372456911,,,,,,0.7186982901268615,,0,0,,0,0,0,1,,0,,-1,0.75,0,,,,,,,
74,MONDO_0005148,direct_only,ENSG00000145494,NDUFS6,NADH:ubiquinone oxidoreductase subunit S6,0.6070846413772282,0.9986081372456911,,,,,,0.7108659680088252,,0,0,,0,0,0,1,-0.9267852223592232,0,,-1,0.5,0,,,,,,,
75,MONDO_0005148,direct_only,ENSG00000178127,NDUFV2,NADH:ubiquinone oxidoreductase core subunit V2,0.6070846413772282,0.9986081372456911,,,,,,-0.5637065637065637,,0,0,,0,0,0,1,-0.4025292816482848,0.598395,,-1,-1,0,,,,,,,
76,MONDO_0005148,direct_only,ENSG00000160194,NDUFV3,NADH:ubiquinone oxidoreductase subunit V3,0.6070846413772282,0.9986081372456911,,,,,,0.6549365692222835,,0,0,,0,0,0,1,-0.05373224667943238,0,,-1,0.5,0,,,,,,,
77,MONDO_0005148,direct_only,ENSG00000257335,MGAM,maltase-glucoamylase,0.6047196470893594,0.9880932907421601,,,,,0.13249220962677485,-0.23496966354109217,,1,1,,1,1,0,1,-0.1250770947412433,0,0,0.5,0.5,0,,,,,,,
78,MONDO_0005148,direct_only,ENSG00000243480,AMY2A,amylase alpha 2A,0.5997984923419163,0.984352241712298,,,,,0.04541467260402448,-0.20860452289023712,,1,0,,1,0,1,1,,,-0.970645,0.5,1,0,,,,,,,
79,MONDO_0005148,direct_only,ENSG00000130203,APOE,apolipoprotein E,0.5924952601512928,,0.9266069010481762,,,,0.9600562379564115,0.531053502482074,,0,0,255,0,0,1,,-0.9832055691366653,0,0,-1,0.5,0,,,,,,,
80,MONDO_0005148,direct_only,ENSG00000171298,GAA,alpha glucosidase,0.5818377173123381,0.9475084144123707,,,,,0.19140899647660942,0.06894649751792614,0,1,0,,1,0,0,1,-0.9386901336257888,0.01785500000000013,0,-1,-1,0,,,,,,,
81,MONDO_0005148,direct_only,ENSG00000145730,PAM,peptidylglycine alpha-amidating monooxygenase,0.5754371880839976,,0.8513848512853143,,,,0.10347537425731015,-0.18290126861555434,,1,0,,1,0,1,,-0.7963313921595191,0.049329999999999784,,-1,0.5,0,0.4129673908175742,0.33878053229923205,,,,,
82,MONDO_0005148,direct_only,ENSG00000182247,UBE2E2,ubiquitin conjugating enzyme E2 E2,0.5712073518044537,,0.9296467340205766,,,,0.19891972303560895,-0.6986210700496415,,0,0,,0,0,0,,0,0.9751249999999999,-0.6890550000000001,-1,-1,0,,,,,,,
83,MONDO_0005148,direct_only,ENSG00000134640,MTNR1B,melatonin receptor 1B,0.571199212002098,,0.888618482319798,,,,0.8627490921833364,0.9451737451737452,1,1,0,255,1,1,0,1,-0.17073779750080204,0,0,,,0,0.3520527248968897,,,,,,
84,MONDO_0005148,direct_only,ENSG00000090402,SI,sucrase-isomaltase,0.5693987967650281,0.9292983962955084,,,,,0.14638776332375006,0.07082184225041366,,1,1,,1,1,0,1,-0.612931392203036,0,0,0.5,1,0,,,,,,,
85,MONDO_0005148,direct_only,ENSG00000257743,MGAM2,maltase-glucoamylase 2 (putative),0.5684447247380215,0.9292983962955084,,,,,0.11500024254819831,,,1,0,,1,0,0,1,,0,0,0.5,0.5,,,,,,,,
86,MONDO_0005148,direct_only,ENSG00000153814,JAZF1,JAZF zinc finger 1,0.5678865466186642,,0.904268080525323,,,,0.5972433455089672,-0.7539988968560397,,0,0,,0,0,0,,-0.37483691099318206,0.9794249999999998,,-1,0.5,0,,,,,,,
87,MONDO_0005148,direct_only,ENSG00000175445,LPL,lipoprotein lipase,0.5655588402561879,,0.8951315209570052,,,,0.703396532549134,0.1929398786541643,,1,0,255,1,0,1,,-0.9101857952112236,0.6421050000000001,0,0,0.5,0,,,,,,,
88,MONDO_0005148,direct_only,ENSG00000171435,KSR2,kinase suppressor of ras 2,0.5652714223322836,,0.8780775448431376,0.19453785523571876,,,0.14024512224479724,-0.8732487589630447,,1,1,,1,0,0,,0,0.8263150000000004,0,0.5,0.5,0,,,,,,,
89,MONDO_0005148,direct_only,ENSG00000134443,GRP,gastrin releasing peptide,0.5648167305980163,,0.9095198789700852,,,,0.39121509154745254,0.8455598455598456,,0,0,,0,0,1,,-0.5786388891017213,0,0,0,0.5,0,,,,,,,
90,MONDO_0005148,direct_only,ENSG00000168925,CTRB1,chymotrypsinogen B1,0.5643570576136395,,0.9232537902262045,,,,0.10141432332698354,0.9332597904026476,,1,0,,1,0,1,,-0.029181098548593243,0.25855499999999976,-0.8954374999999999,0,1,0,,,,,,,
91,MONDO_0005148,direct_only,ENSG00000139515,PDX1,pancreatic and duodenal homeobox 1,0.5611638814943927,,0.11500853951124422,0.7440292838275211,,,0.6638857942654626,0.7634859349145064,,0,0,,0,0,0,,-0.8759758128526307,0.39929500000000007,0,0.5,0.75,0,0.6165305346352074,,,0.607930797611621,,,
92,MONDO_0005148,direct_only,ENSG00000144891,AGTR1,angiotensin II receptor type 1,0.5594339548587529,0.9005183025020299,,,,,0.3941614737039504,0.2520683949255378,,1,0,255,1,0,0,1,-0.9648072264487106,0.7214500000000001,0,0,0.5,0,,,,,,,
