sample_index,gene_symbol,label,gene_symbol_length,gene_symbol_length_bin
308,ALG13,0,5,len_5
318,RSAD1,0,5,len_5
337,PGBD5,0,5,len_5
343,VEGFA,0,5,len_5
350,MOB1B,0,5,len_5
354,SMAD3,0,5,len_5
362,CCT6B,0,5,len_5
364,RDH14,0,5,len_5
366,CYRIA,0,5,len_5
379,STAG3,0,5,len_5
382,ASGR2,0,5,len_5
387,APOA4,0,5,len_5
392,SPRY2,0,5,len_5
396,NCAM1,0,5,len_5
413,PHF13,0,5,len_5
418,KHDC1,0,5,len_5
421,FOXK1,0,5,len_5
422,NUP85,0,5,len_5
424,ARPIN,0,5,len_5
436,ALG14,0,5,len_5
445,KIFC3,0,5,len_5
446,COPB1,0,5,len_5
448,STOX2,0,5,len_5
453,MEF2C,0,5,len_5
465,PTPRG,0,5,len_5
471,MYO19,0,5,len_5
474,FNDC7,0,5,len_5
475,GPR85,0,5,len_5
479,HAUS6,0,5,len_5
481,CEP68,0,5,len_5
483,GAGE1,0,5,len_5
491,DCAF5,0,5,len_5
493,HERC3,0,5,len_5
505,MEIS2,0,5,len_5
508,LYRM7,0,5,len_5
509,GLP1R,0,5,len_5
523,TTC9C,0,5,len_5
524,AREL1,0,5,len_5
528,ITIH6,0,5,len_5
533,LRP12,0,5,len_5
542,CPNE4,0,5,len_5
544,IFNW1,0,5,len_5
548,DACH1,0,5,len_5
556,SYDE2,0,5,len_5
558,FXYD2,0,5,len_5
563,IGF1R,0,5,len_5
576,KRT15,0,5,len_5
586,NR2F1,0,5,len_5
590,GDAP2,0,5,len_5
596,DOCK9,0,5,len_5
601,TCAF1,0,5,len_5
603,USP19,0,5,len_5
617,STAP1,0,5,len_5
638,PAGE3,0,5,len_5
640,CST9L,0,5,len_5
645,RIOX2,0,5,len_5
646,GSG1L,0,5,len_5
675,ATAD2,0,5,len_5
678,TOMM7,0,5,len_5
687,NEMP1,0,5,len_5
690,IFT52,0,5,len_5
695,PDGFC,0,5,len_5
701,SIPA1,0,5,len_5
702,KMT5B,0,5,len_5
706,FEM1A,0,5,len_5
723,ZPBP2,0,5,len_5
746,SPPL3,0,5,len_5
748,CWH43,0,5,len_5
755,RNF17,0,5,len_5
765,CNGA4,0,5,len_5
767,CLCA1,0,5,len_5
771,TBRG1,0,5,len_5
775,NHSL1,0,5,len_5
781,ZBED3,0,5,len_5
783,PTCH1,0,5,len_5
806,MOCOS,0,5,len_5
817,RAMP1,0,5,len_5
821,HOATZ,0,5,len_5
843,NEGR1,0,5,len_5
854,MED27,0,5,len_5
860,OR2K2,0,5,len_5
862,MAML2,0,5,len_5
865,CEP95,0,5,len_5
866,SH2B3,0,5,len_5
870,ITGA1,0,5,len_5
895,UNC80,0,5,len_5
906,KCTD4,0,5,len_5
912,CEBPG,0,5,len_5
931,PTGS1,0,5,len_5
934,AGTR1,0,5,len_5
936,CNOT7,0,5,len_5
938,KCNQ1,0,5,len_5
941,NCOR2,0,5,len_5
950,HNF4A,0,5,len_5
964,WDR43,0,5,len_5
975,CDHR1,0,5,len_5
976,GRB14,0,5,len_5
984,LAMC1,0,5,len_5
985,MTSS2,0,5,len_5
986,ADCY1,0,5,len_5
997,GRB10,0,5,len_5
999,ZC3H6,0,5,len_5
1003,HDAC4,0,5,len_5
1027,CTRB2,0,5,len_5
1028,RSPO3,0,5,len_5
1031,ILVBL,0,5,len_5
1037,SOCS2,0,5,len_5
1038,DYRK2,0,5,len_5
1043,HTR1E,0,5,len_5
1045,RPTOR,0,5,len_5
1051,TNIP1,0,5,len_5
1066,SOX18,0,5,len_5
1080,NR1H4,0,5,len_5
1097,ZNF57,0,5,len_5
1102,SGPL1,0,5,len_5
1105,SIDT1,0,5,len_5
1114,RPS19,0,5,len_5
1115,APLP2,0,5,len_5
1118,IFFO2,0,5,len_5
1123,UNC5C,0,5,len_5
1132,NARS2,0,5,len_5
1140,NR3C2,0,5,len_5
1146,OR8J3,0,5,len_5
1156,PRDM5,0,5,len_5
1160,CECR2,0,5,len_5
1161,PNLIP,0,5,len_5
1167,ULBP1,0,5,len_5
1176,KIF5A,0,5,len_5
1179,PLPP5,0,5,len_5
1180,OR5W2,0,5,len_5
1183,GTF2I,0,5,len_5
1191,VPS72,0,5,len_5
1211,TECTA,0,5,len_5
1215,FMNL1,0,5,len_5
1221,JAZF1,0,5,len_5
1222,ZNF93,0,5,len_5
1229,BEND6,0,5,len_5
1233,NFAT5,0,5,len_5
1253,ETAA1,0,5,len_5
1256,GLB1L,0,5,len_5
1268,PROB1,0,5,len_5
1280,MYH10,0,5,len_5
1282,SLIT2,0,5,len_5
1286,INHBB,0,5,len_5
1288,SUGP2,0,5,len_5
1295,CPSF3,0,5,len_5
1302,ADCY5,0,5,len_5
1304,ESPL1,0,5,len_5
1305,ZFPM2,0,5,len_5
1306,ADRB1,0,5,len_5
1319,TSHZ3,0,5,len_5
1325,BMP8A,0,5,len_5
1326,ZNF41,0,5,len_5
1361,TCOF1,0,5,len_5
1368,SMC1A,0,5,len_5
1380,REXO2,0,5,len_5
1388,RUSC2,0,5,len_5
1395,CALCR,0,5,len_5
1397,LCE2D,0,5,len_5
1398,APOBR,0,5,len_5
1400,TENM4,0,5,len_5
1401,SF3B4,0,5,len_5
1403,NBPF3,0,5,len_5
1407,HDAC9,0,5,len_5
1409,SPAG6,0,5,len_5
1418,IFIH1,0,5,len_5
1425,CPEB3,0,5,len_5
1427,OSER1,0,5,len_5
1430,KIF11,0,5,len_5
1439,TSSK2,0,5,len_5
1449,SPG11,0,5,len_5
1476,CGNL1,0,5,len_5
1480,OR4D1,0,5,len_5
1482,PCSK1,0,5,len_5
1500,WSCD1,0,5,len_5
1511,MEX3D,0,5,len_5
1520,APLP1,0,5,len_5
1524,SETD5,0,5,len_5
1537,HMGB1,0,5,len_5
1538,GLP2R,0,5,len_5
1549,PAAF1,0,5,len_5
1550,PIAS1,0,5,len_5
1552,CEP43,0,5,len_5
1560,ZFP64,0,5,len_5
1562,EXOC2,0,5,len_5
1563,CERKL,0,5,len_5
1570,GLIS3,0,5,len_5
1574,MBNL1,0,5,len_5
1589,HYLS1,0,5,len_5
1593,CENPW,0,5,len_5
1597,KLF14,0,5,len_5
1611,CTBP1,0,5,len_5
1620,MMRN2,0,5,len_5
1629,GATD3,0,5,len_5
1631,TPCN2,0,5,len_5
1633,AP3S2,0,5,len_5
1634,NXPH3,0,5,len_5
1640,RPAP1,0,5,len_5
1654,PEAK1,0,5,len_5
1656,SAFB2,0,5,len_5
1664,NELL1,0,5,len_5
1668,SCN4A,0,5,len_5
1670,DDX47,0,5,len_5
1684,LDOC1,0,5,len_5
1686,FOXA2,0,5,len_5
1700,ZGRF1,0,5,len_5
1716,LMAN1,0,5,len_5
1717,KRT81,0,5,len_5
1718,ASIC1,0,5,len_5
1725,MED23,0,5,len_5
1733,APOL2,0,5,len_5
1734,CCDC6,0,5,len_5
1740,ABCD2,0,5,len_5
1749,MS4A7,0,5,len_5
1753,TAF9B,0,5,len_5
1758,TEAD2,0,5,len_5
1763,CLRN1,0,5,len_5
1764,ZMYM1,0,5,len_5
1765,MKRN2,0,5,len_5
1766,RNPS1,0,5,len_5
1773,LCE3E,0,5,len_5
1774,USP29,0,5,len_5
1777,VMA21,0,5,len_5
1779,CHST2,0,5,len_5
1781,OR6A2,0,5,len_5
1789,OR2W3,0,5,len_5
1791,KDM4F,0,5,len_5
1793,NDST3,0,5,len_5
1803,AKAP3,0,5,len_5
17,UBE3B,1,5,len_5
23,HAGHL,1,5,len_5
25,KCNG4,1,5,len_5
31,JADE1,1,5,len_5
43,USP48,1,5,len_5
58,WIPI1,1,5,len_5
60,FGFR3,1,5,len_5
63,PCSK5,1,5,len_5
71,ITIH4,1,5,len_5
76,PTPRD,1,5,len_5
82,SPRY4,1,5,len_5
84,SHLD2,1,5,len_5
88,RPP40,1,5,len_5
90,ARAP1,1,5,len_5
104,BICRA,1,5,len_5
108,DESI1,1,5,len_5
111,PRKD1,1,5,len_5
131,KDM4A,1,5,len_5
140,PDE3B,1,5,len_5
144,WSCD2,1,5,len_5
150,OR4D2,1,5,len_5
151,PPM1F,1,5,len_5
161,KRT36,1,5,len_5
173,ITPKC,1,5,len_5
174,OR2L5,1,5,len_5
193,ZNRF3,1,5,len_5
203,ARMC8,1,5,len_5
205,BFSP2,1,5,len_5
211,FABP9,1,5,len_5
213,MEIS1,1,5,len_5
214,MYO5C,1,5,len_5
217,TSHZ2,1,5,len_5
220,RAMP3,1,5,len_5
230,HMGA1,1,5,len_5
232,RBM23,1,5,len_5
250,CASS4,1,5,len_5
312,MYBL2,1,5,len_5
314,ABCA7,1,5,len_5
317,SYNJ2,1,5,len_5
329,STK40,1,5,len_5
342,NLRC3,1,5,len_5
371,NADK2,1,5,len_5
372,SDCBP,1,5,len_5
374,CEP63,1,5,len_5
377,LAMA3,1,5,len_5
383,ABCA8,1,5,len_5
386,ATP4B,1,5,len_5
390,FADS2,1,5,len_5
398,NEPRO,1,5,len_5
399,FBXW7,1,5,len_5
400,KLHL7,1,5,len_5
406,EPS15,1,5,len_5
407,PDE4B,1,5,len_5
408,ENPP1,1,5,len_5
409,CSMD3,1,5,len_5
412,BTBD1,1,5,len_5
415,TECTB,1,5,len_5
425,RAB42,1,5,len_5
430,ABCC8,1,5,len_5
432,SRP54,1,5,len_5
441,PRDM7,1,5,len_5
459,NOXA1,1,5,len_5
463,POTEB,1,5,len_5
464,GMPPA,1,5,len_5
472,ZNF25,1,5,len_5
480,AZIN1,1,5,len_5
489,CHD1L,1,5,len_5
490,USP54,1,5,len_5
497,PPARA,1,5,len_5
502,HMGA2,1,5,len_5
520,RBM44,1,5,len_5
522,DEDD2,1,5,len_5
527,FITM2,1,5,len_5
534,FEZF1,1,5,len_5
537,CDKL2,1,5,len_5
539,TRPC7,1,5,len_5
541,SCAF1,1,5,len_5
545,NBPF1,1,5,len_5
549,UBAP1,1,5,len_5
550,GPAT4,1,5,len_5
551,DUSP9,1,5,len_5
561,GPR26,1,5,len_5
562,HCFC2,1,5,len_5
564,NAA60,1,5,len_5
565,ROBO2,1,5,len_5
571,MYOZ2,1,5,len_5
579,HMGCR,1,5,len_5
591,ACADS,1,5,len_5
592,RGS18,1,5,len_5
594,KCNK4,1,5,len_5
598,BMAL1,1,5,len_5
606,OTOGL,1,5,len_5
622,GSDMC,1,5,len_5
633,EBAG9,1,5,len_5
637,TLCD4,1,5,len_5
642,PDE3A,1,5,len_5
648,EXOC1,1,5,len_5
653,PHGDH,1,5,len_5
663,BEND7,1,5,len_5
667,VN1R2,1,5,len_5
669,FOXN3,1,5,len_5
679,AP3B1,1,5,len_5
686,CDH24,1,5,len_5
691,ADCY9,1,5,len_5
696,RBBP6,1,5,len_5
698,FSCN3,1,5,len_5
704,PDCD4,1,5,len_5
705,SNX22,1,5,len_5
713,DDX20,1,5,len_5
715,NTNG1,1,5,len_5
717,NAA16,1,5,len_5
721,UBE2U,1,5,len_5
724,POTEG,1,5,len_5
730,MAGI1,1,5,len_5
732,WDR11,1,5,len_5
740,IL2RA,1,5,len_5
742,CTDP1,1,5,len_5
772,PARP8,1,5,len_5
777,HUWE1,1,5,len_5
785,CXXC1,1,5,len_5
791,TIMP4,1,5,len_5
793,KDM4B,1,5,len_5
796,ZMIZ1,1,5,len_5
797,FHOD1,1,5,len_5
814,CBLN4,1,5,len_5
826,APOL5,1,5,len_5
833,ABCA6,1,5,len_5
839,ZNF81,1,5,len_5
840,GPSM1,1,5,len_5
845,IER5L,1,5,len_5
849,PLCB4,1,5,len_5
852,PTGS2,1,5,len_5
855,PRMT6,1,5,len_5
857,STK24,1,5,len_5
859,HSH2D,1,5,len_5
872,PCNX4,1,5,len_5
885,HERC2,1,5,len_5
887,NBPF9,1,5,len_5
889,THADA,1,5,len_5
893,EPHA7,1,5,len_5
894,PRIM1,1,5,len_5
896,ACSL1,1,5,len_5
897,KRT77,1,5,len_5
901,PLCG2,1,5,len_5
902,HNF1B,1,5,len_5
904,AUTS2,1,5,len_5
910,GTSE1,1,5,len_5
913,DMRT2,1,5,len_5
925,NRSN1,1,5,len_5
932,MYO1D,1,5,len_5
935,SNTB1,1,5,len_5
940,SCN5A,1,5,len_5
948,MTUS2,1,5,len_5
955,SMCO2,1,5,len_5
963,WNT9B,1,5,len_5
973,PCNX1,1,5,len_5
974,PLCZ1,1,5,len_5
983,MON1B,1,5,len_5
992,GRID1,1,5,len_5
993,CSTF3,1,5,len_5
996,ZBED4,1,5,len_5
1002,SCN2A,1,5,len_5
1004,KIF2A,1,5,len_5
1006,PPARG,1,5,len_5
1007,QSOX1,1,5,len_5
1009,CLCA4,1,5,len_5
1011,SARDH,1,5,len_5
1015,NOP14,1,5,len_5
1016,BEND3,1,5,len_5
1029,ERBB4,1,5,len_5
1033,REV3L,1,5,len_5
1036,PXMP4,1,5,len_5
1041,PTPRM,1,5,len_5
1046,DZIP3,1,5,len_5
1048,PACRG,1,5,len_5
1061,CTRB1,1,5,len_5
1068,MDH1B,1,5,len_5
1078,APBB1,1,5,len_5
1087,NLGN1,1,5,len_5
1094,CAGE1,1,5,len_5
1096,NOC3L,1,5,len_5
1124,RREB1,1,5,len_5
1137,MAGI2,1,5,len_5
1148,ZNF26,1,5,len_5
1150,SGIP1,1,5,len_5
1162,ACTN1,1,5,len_5
1172,NEMP2,1,5,len_5
1190,NT5C2,1,5,len_5
1201,MDGA2,1,5,len_5
1204,LSM11,1,5,len_5
1217,VPS53,1,5,len_5
1227,RGS17,1,5,len_5
1231,KMT5C,1,5,len_5
1237,CDKL5,1,5,len_5
1241,ATXN7,1,5,len_5
1245,FOLH1,1,5,len_5
1246,MACF1,1,5,len_5
1252,TCF12,1,5,len_5
1255,PCBD1,1,5,len_5
1257,IL23R,1,5,len_5
1263,LIN7A,1,5,len_5
1266,KCNH7,1,5,len_5
1269,REEP3,1,5,len_5
1276,RAB29,1,5,len_5
1278,ERAP1,1,5,len_5
1279,DHFR2,1,5,len_5
1287,BEND2,1,5,len_5
1289,TIGAR,1,5,len_5
1297,POTEJ,1,5,len_5
1301,CHERP,1,5,len_5
1316,ALPK2,1,5,len_5
1318,G6PC2,1,5,len_5
1327,CLIC5,1,5,len_5
1329,MGAM2,1,5,len_5
1335,BACH2,1,5,len_5
1336,AGTR2,1,5,len_5
1338,SOX12,1,5,len_5
1356,MEIOC,1,5,len_5
1358,TRAF3,1,5,len_5
1365,LCORL,1,5,len_5
1374,CRTC1,1,5,len_5
1383,IKZF5,1,5,len_5
1390,OR5I1,1,5,len_5
1392,RCCD1,1,5,len_5
1394,WDR20,1,5,len_5
1396,MTMR4,1,5,len_5
1402,FAIM2,1,5,len_5
1410,TRPS1,1,5,len_5
1415,CHIC1,1,5,len_5
1421,PEAK3,1,5,len_5
1435,SF3B3,1,5,len_5
1438,DTYMK,1,5,len_5
1440,CERS3,1,5,len_5
1447,TAFA5,1,5,len_5
1452,LRIG1,1,5,len_5
1464,PSMD6,1,5,len_5
1468,P2RY1,1,5,len_5
1472,SNX29,1,5,len_5
1485,MAML3,1,5,len_5
1486,PPARD,1,5,len_5
1490,ITPKB,1,5,len_5
1507,LRRC1,1,5,len_5
1514,ZNFX1,1,5,len_5
1526,RBMS1,1,5,len_5
1527,ADAD1,1,5,len_5
1534,SENP6,1,5,len_5
1536,KCNB2,1,5,len_5
1546,RAB41,1,5,len_5
1555,P4HA2,1,5,len_5
1578,PRR12,1,5,len_5
1592,KDM5A,1,5,len_5
1596,NCALD,1,5,len_5
1600,ZZEF1,1,5,len_5
1606,ENPP6,1,5,len_5
1610,FGFR4,1,5,len_5
1621,SYTL2,1,5,len_5
1625,SNX11,1,5,len_5
1628,ZFPM1,1,5,len_5
1630,CCND1,1,5,len_5
1637,MIER2,1,5,len_5
1648,CADPS,1,5,len_5
1650,FOXP1,1,5,len_5
1655,INTS2,1,5,len_5
1659,ARL15,1,5,len_5
1667,LRFN2,1,5,len_5
1672,TLCD5,1,5,len_5
1685,RBM27,1,5,len_5
1688,PI4KB,1,5,len_5
1690,PAMR1,1,5,len_5
1692,BRWD3,1,5,len_5
1696,KDM2B,1,5,len_5
1702,SIRPA,1,5,len_5
1704,SGSM1,1,5,len_5
1707,PDILT,1,5,len_5
1711,KCNU1,1,5,len_5
1726,ATP9B,1,5,len_5
1729,OR1L1,1,5,len_5
1731,FFAR1,1,5,len_5
1736,CRHR2,1,5,len_5
1738,CAND2,1,5,len_5
1741,RHOT2,1,5,len_5
1746,UBE3C,1,5,len_5
1748,MEOX2,1,5,len_5
1752,HERC1,1,5,len_5
1762,NRXN3,1,5,len_5
1769,CYTH1,1,5,len_5
1771,USP44,1,5,len_5
1783,ABCA1,1,5,len_5
1794,MAST2,1,5,len_5
1797,FOCAD,1,5,len_5
0,PSENEN,0,6,len_6
6,OSGIN2,0,6,len_6
14,KCNK17,0,6,len_6
16,SMIM39,0,6,len_6
21,NEXMIF,0,6,len_6
32,UBQLN4,0,6,len_6
48,YEATS2,0,6,len_6
50,ADARB1,0,6,len_6
74,NDUFA1,0,6,len_6
80,POLR3A,0,6,len_6
99,ABCB10,0,6,len_6
101,PRR20C,0,6,len_6
115,ADGRE5,0,6,len_6
125,SPTBN4,0,6,len_6
127,MPPED2,0,6,len_6
128,CLNS1A,0,6,len_6
138,PITRM1,0,6,len_6
145,ATP8B4,0,6,len_6
162,NUDT15,0,6,len_6
167,MFSD6L,0,6,len_6
176,ARPC5L,0,6,len_6
187,ZFAND3,0,6,len_6
192,TEX101,0,6,len_6
194,RASSF1,0,6,len_6
195,TRIOBP,0,6,len_6
201,XXYLT1,0,6,len_6
215,JARID2,0,6,len_6
219,SMIM41,0,6,len_6
225,MS4A14,0,6,len_6
236,ZCCHC9,0,6,len_6
244,CEP295,0,6,len_6
247,SCART1,0,6,len_6
259,MTNAP1,0,6,len_6
268,NDUFV1,0,6,len_6
272,CELSR2,0,6,len_6
284,PAXIP1,0,6,len_6
286,ADRA1B,0,6,len_6
299,CYFIP2,0,6,len_6
304,ZNF416,0,6,len_6
320,NDUFB8,0,6,len_6
323,ATP8B2,0,6,len_6
324,TSPAN8,0,6,len_6
328,NDUFB4,0,6,len_6
333,KCNIP4,0,6,len_6
339,CACNG4,0,6,len_6
340,NUTM2G,0,6,len_6
341,PABPC4,0,6,len_6
347,CDKN1B,0,6,len_6
355,ZNF446,0,6,len_6
358,DNMT3A,0,6,len_6
363,GEMIN2,0,6,len_6
394,CHRNA1,0,6,len_6
416,HIVEP1,0,6,len_6
426,TECPR1,0,6,len_6
435,FYTTD1,0,6,len_6
442,CAMK2B,0,6,len_6
458,CHAF1A,0,6,len_6
468,UBE2E3,0,6,len_6
477,OR52R1,0,6,len_6
482,PKD1L1,0,6,len_6
496,MAGEA4,0,6,len_6
501,ZNF717,0,6,len_6
511,ACTL7A,0,6,len_6
512,PIK3R1,0,6,len_6
513,YTHDC2,0,6,len_6
514,NDUFB5,0,6,len_6
531,PSMD13,0,6,len_6
547,ZNF268,0,6,len_6
568,ANKIB1,0,6,len_6
569,PLPPR1,0,6,len_6
570,JMJD1C,0,6,len_6
581,NYNRIN,0,6,len_6
583,OLFML1,0,6,len_6
584,ZNF281,0,6,len_6
593,KLHL21,0,6,len_6
597,MAGEE1,0,6,len_6
607,NDUFA9,0,6,len_6
614,ARID5B,0,6,len_6
619,NDUFS5,0,6,len_6
620,DNASE1,0,6,len_6
624,KIF26A,0,6,len_6
647,VPS35L,0,6,len_6
657,NDUFA6,0,6,len_6
660,CIMIP3,0,6,len_6
666,PWWP2A,0,6,len_6
676,ZDHHC1,0,6,len_6
680,NDUFB9,0,6,len_6
683,FNDC3B,0,6,len_6
684,NDUFV3,0,6,len_6
685,SETD1B,0,6,len_6
688,CDKN2B,0,6,len_6
692,NDUFA5,0,6,len_6
697,CLEC2D,0,6,len_6
719,ARID3B,0,6,len_6
725,ZNF814,0,6,len_6
727,NDUFS7,0,6,len_6
733,SCARB2,0,6,len_6
734,ZNF224,0,6,len_6
739,PRDM14,0,6,len_6
743,TMEM17,0,6,len_6
749,TRIP10,0,6,len_6
764,ARPP21,0,6,len_6
766,PPFIA4,0,6,len_6
769,SUPT3H,0,6,len_6
774,TRMT9B,0,6,len_6
776,OSGIN1,0,6,len_6
798,FBXO15,0,6,len_6
802,TM4SF4,0,6,len_6
813,FIBCD1,0,6,len_6
815,USP6NL,0,6,len_6
820,NOTCH2,0,6,len_6
822,ATP2A3,0,6,len_6
825,ITGA11,0,6,len_6
829,MTNR1B,0,6,len_6
832,SLC1A2,0,6,len_6
836,ZNF664,0,6,len_6
844,CCP110,0,6,len_6
851,NDUFA8,0,6,len_6
868,RNF112,0,6,len_6
909,PDZRN4,0,6,len_6
914,HIVEP2,0,6,len_6
916,SAMM50,0,6,len_6
917,MAGEC2,0,6,len_6
918,ATP1B2,0,6,len_6
933,OR52E8,0,6,len_6
943,ZNF184,0,6,len_6
944,ZNF407,0,6,len_6
953,ZNF257,0,6,len_6
957,CIMAP2,0,6,len_6
961,SMIM26,0,6,len_6
965,B3GLCT,0,6,len_6
970,CEP120,0,6,len_6
979,CLUAP1,0,6,len_6
980,CHMP4B,0,6,len_6
991,ZNF821,0,6,len_6
994,GXYLT1,0,6,len_6
1001,VPS33B,0,6,len_6
1005,ZYG11B,0,6,len_6
1013,SERGEF,0,6,len_6
1014,LRRIQ1,0,6,len_6
1030,FAM53A,0,6,len_6
1047,MAGEB6,0,6,len_6
1057,RNASE8,0,6,len_6
1069,OR11L1,0,6,len_6
1072,ACVR1C,0,6,len_6
1079,ZNF800,0,6,len_6
1088,RASSF9,0,6,len_6
1109,PLXND1,0,6,len_6
1119,FHIP2A,0,6,len_6
1121,SLC7A5,0,6,len_6
1122,ABCA13,0,6,len_6
1126,CAMK2G,0,6,len_6
1144,TCF7L2,0,6,len_6
1145,ZNF709,0,6,len_6
1147,PNPLA3,0,6,len_6
1163,ZNF746,0,6,len_6
1169,POLR3H,0,6,len_6
1185,LARP4B,0,6,len_6
1187,NDUFS8,0,6,len_6
1189,TRIM11,0,6,len_6
1196,ANGPT4,0,6,len_6
1207,PARD3B,0,6,len_6
1209,CGRRF1,0,6,len_6
1213,SERBP1,0,6,len_6
1216,COL6A1,0,6,len_6
1236,EIF4G3,0,6,len_6
1247,ALOXE3,0,6,len_6
1261,STARD7,0,6,len_6
1262,ZBTB20,0,6,len_6
1265,DIPK2B,0,6,len_6
1274,HMG20A,0,6,len_6
1283,BCL11B,0,6,len_6
1296,ZNF430,0,6,len_6
1315,NKX6-3,0,6,len_6
1323,APPBP2,0,6,len_6
1334,OR6C75,0,6,len_6
1340,ANKFN1,0,6,len_6
1342,ZNF536,0,6,len_6
1344,FAM83G,0,6,len_6
1357,SCYGR4,0,6,len_6
1364,CFAP44,0,6,len_6
1369,TENT5C,0,6,len_6
1377,CLASP2,0,6,len_6
1385,ERVV-1,0,6,len_6
1386,CCDC92,0,6,len_6
1414,ZNF654,0,6,len_6
1423,NPC1L1,0,6,len_6
1433,SCYGR5,0,6,len_6
1437,MAP2K5,0,6,len_6
1446,CT45A1,0,6,len_6
1455,MANSC4,0,6,len_6
1459,AFG3L2,0,6,len_6
1473,HOXD10,0,6,len_6
1483,RIIAD1,0,6,len_6
1484,SEC16B,0,6,len_6
1491,ZNHIT6,0,6,len_6
1494,BCORL1,0,6,len_6
1495,GALNT3,0,6,len_6
1499,BRICD5,0,6,len_6
1505,MFHAS1,0,6,len_6
1513,NDUFC2,0,6,len_6
1519,GPR176,0,6,len_6
1530,QRICH2,0,6,len_6
1531,TMEM88,0,6,len_6
1541,CDKN2C,0,6,len_6
1542,UBALD2,0,6,len_6
1548,GOLT1B,0,6,len_6
1561,LINGO1,0,6,len_6
1568,RIMBP2,0,6,len_6
1573,IGFLR1,0,6,len_6
1580,KLHL42,0,6,len_6
1582,CEP128,0,6,len_6
1587,NDUFS1,0,6,len_6
1591,GIGYF1,0,6,len_6
1594,ZNF236,0,6,len_6
1601,ADGRG4,0,6,len_6
1609,RNF138,0,6,len_6
1624,NDUFB3,0,6,len_6
1632,IFNLR1,0,6,len_6
1635,AKR1C8,0,6,len_6
1669,PLA2G6,0,6,len_6
1676,NUP160,0,6,len_6
1680,PTPN21,0,6,len_6
1694,FRMPD3,0,6,len_6
1697,CEP104,0,6,len_6
1699,SEMA6C,0,6,len_6
1712,CCDC22,0,6,len_6
1719,CROCC2,0,6,len_6
1722,TNRC6C,0,6,len_6
1724,IFT122,0,6,len_6
1727,PTPN22,0,6,len_6
1757,DPYSL5,0,6,len_6
1768,ZNF775,0,6,len_6
1770,ZNF699,0,6,len_6
1772,ANKMY1,0,6,len_6
1775,GAREM1,0,6,len_6
4,KCNK16,1,6,len_6
5,TM6SF2,1,6,len_6
9,STEAP1,1,6,len_6
10,UGT3A1,1,6,len_6
15,VPS33A,1,6,len_6
20,DNAH11,1,6,len_6
22,SORCS2,1,6,len_6
29,OR2T34,1,6,len_6
42,CAMK1D,1,6,len_6
54,NDUFA3,1,6,len_6
59,COMMD8,1,6,len_6
69,PLA2G3,1,6,len_6
85,POLR2B,1,6,len_6
97,BAHCC1,1,6,len_6
98,ZNF169,1,6,len_6
102,PTGFRN,1,6,len_6
105,CDC123,1,6,len_6
120,NUP153,1,6,len_6
129,CFAP69,1,6,len_6
135,MRPS16,1,6,len_6
137,DYNLT3,1,6,len_6
157,CABIN1,1,6,len_6
163,ZNF136,1,6,len_6
183,ZNF326,1,6,len_6
184,IGSF21,1,6,len_6
188,ADRA1D,1,6,len_6
198,UBE2E2,1,6,len_6
208,ZNF704,1,6,len_6
209,ZNF711,1,6,len_6
216,CCDC57,1,6,len_6
222,CEP350,1,6,len_6
223,ZCCHC8,1,6,len_6
235,OCIAD2,1,6,len_6
238,NFATC2,1,6,len_6
