split_id,model_name,n_train,n_val,n_test,validation_mcc,roc_auc,pr_auc,accuracy,precision,recall,specificity,f1,mcc,tn,fp,fn,tp,threshold,feature_columns
11,Nuisance_all_including_gene_symbol_length,1155,289,362,0.26213,0.63029,0.64039,0.59392,0.61486,0.50276,0.68508,0.55319,0.19105,124,57,90,91,0.55093,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length
12,Nuisance_all_including_gene_symbol_length,1156,289,361,0.27155,0.61504,0.59671,0.55125,0.60714,0.28333,0.81768,0.38636,0.11953,148,33,129,51,0.60322,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length
13,Nuisance_all_including_gene_symbol_length,1156,289,361,0.3492,0.66572,0.65713,0.60942,0.70103,0.37778,0.83978,0.49097,0.24539,152,29,112,68,0.58964,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length
14,Nuisance_all_including_gene_symbol_length,1156,289,361,0.22987,0.62634,0.62196,0.57064,0.55118,0.77348,0.36667,0.64368,0.15344,66,114,41,140,0.41883,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length
15,Nuisance_all_including_gene_symbol_length,1156,289,361,0.25639,0.63398,0.63001,0.57895,0.66667,0.32044,0.83889,0.43284,0.18627,151,29,123,58,0.5744,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length
16,Nuisance_all_including_gene_symbol_length,1155,289,362,0.23594,0.6248,0.61828,0.57735,0.71875,0.25414,0.90055,0.37551,0.20275,163,18,135,46,0.62298,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length
17,Nuisance_all_including_gene_symbol_length,1156,289,361,0.24284,0.65463,0.63844,0.59003,0.5708,0.71667,0.46409,0.63547,0.18679,84,97,51,129,0.46484,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length
18,Nuisance_all_including_gene_symbol_length,1156,289,361,0.24446,0.62452,0.63431,0.54294,0.52322,0.93889,0.14917,0.67197,0.14347,27,154,11,169,0.30929,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length
19,Nuisance_all_including_gene_symbol_length,1156,289,361,0.26481,0.61301,0.58783,0.53463,0.56701,0.30387,0.76667,0.39568,0.07956,138,42,126,55,0.58011,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length
20,Nuisance_all_including_gene_symbol_length,1156,289,361,0.2247,0.63487,0.64053,0.58172,0.55906,0.78453,0.37778,0.65287,0.17771,68,112,39,142,0.45505,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length
21,Nuisance_all_including_gene_symbol_length,1155,289,362,0.20728,0.62281,0.65107,0.58011,0.6,0.48066,0.67956,0.53374,0.16349,123,58,94,87,0.53425,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length
22,Nuisance_all_including_gene_symbol_length,1156,289,361,0.25996,0.63944,0.63625,0.5374,0.51988,0.94444,0.1326,0.67061,0.13188,24,157,10,170,0.32969,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length
23,Nuisance_all_including_gene_symbol_length,1156,289,361,0.203,0.68177,0.63124,0.5651,0.53651,0.93889,0.19337,0.68283,0.19832,35,146,11,169,0.37415,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length
24,Nuisance_all_including_gene_symbol_length,1156,289,361,0.24674,0.619,0.60644,0.55956,0.64103,0.27624,0.84444,0.3861,0.14662,152,28,131,50,0.59979,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length
25,Nuisance_all_including_gene_symbol_length,1156,289,361,0.26713,0.59131,0.58215,0.55402,0.59091,0.35912,0.75,0.44674,0.11853,135,45,116,65,0.58891,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction; gene_symbol_length
1,Nuisance_pure_feature_summaries_no_gene_symbol,1155,289,362,0.1556,0.64967,0.65888,0.53039,0.51652,0.95028,0.1105,0.66926,0.11194,20,161,9,172,0.28588,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction
2,Nuisance_pure_feature_summaries_no_gene_symbol,1156,289,361,0.22123,0.6085,0.59278,0.59003,0.57143,0.71111,0.46961,0.63366,0.18621,85,96,52,128,0.47142,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction
3,Nuisance_pure_feature_summaries_no_gene_symbol,1156,289,361,0.20516,0.63177,0.63322,0.5928,0.58209,0.65,0.53591,0.61417,0.18712,97,84,63,117,0.49131,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction
4,Nuisance_pure_feature_summaries_no_gene_symbol,1156,289,361,0.27021,0.68542,0.64191,0.6205,0.59091,0.79006,0.45,0.67612,0.25533,81,99,38,143,0.44978,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction
5,Nuisance_pure_feature_summaries_no_gene_symbol,1156,289,361,0.30975,0.59478,0.60406,0.53186,0.52632,0.66298,0.4,0.5868,0.06528,72,108,61,120,0.48122,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction
6,Nuisance_pure_feature_summaries_no_gene_symbol,1155,289,362,0.31347,0.6211,0.6325,0.57735,0.65217,0.33149,0.8232,0.43956,0.17766,149,32,121,60,0.59491,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction
7,Nuisance_pure_feature_summaries_no_gene_symbol,1156,289,361,0.24675,0.67093,0.64858,0.59557,0.62143,0.48333,0.70718,0.54375,0.1955,128,53,93,87,0.53897,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction
8,Nuisance_pure_feature_summaries_no_gene_symbol,1156,289,361,0.2118,0.65129,0.63027,0.61496,0.6185,0.59444,0.63536,0.60623,0.23,115,66,73,107,0.53909,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction
9,Nuisance_pure_feature_summaries_no_gene_symbol,1156,289,361,0.34634,0.6298,0.62309,0.59003,0.66019,0.37569,0.80556,0.47887,0.20069,145,35,113,68,0.56945,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction
10,Nuisance_pure_feature_summaries_no_gene_symbol,1156,289,361,0.22402,0.62615,0.61677,0.55956,0.65278,0.25967,0.86111,0.37154,0.15113,155,25,134,47,0.59857,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction
11,Nuisance_pure_feature_summaries_no_gene_symbol,1155,289,362,0.26438,0.63209,0.64322,0.59669,0.62774,0.47514,0.71823,0.54088,0.19935,130,51,95,86,0.55807,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction
12,Nuisance_pure_feature_summaries_no_gene_symbol,1156,289,361,0.29515,0.61627,0.5996,0.55679,0.61628,0.29444,0.81768,0.3985,0.1316,148,33,127,53,0.60089,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction
13,Nuisance_pure_feature_summaries_no_gene_symbol,1156,289,361,0.26899,0.67035,0.66362,0.60111,0.69149,0.36111,0.83978,0.47445,0.22888,152,29,115,65,0.58904,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction
14,Nuisance_pure_feature_summaries_no_gene_symbol,1156,289,361,0.23695,0.63367,0.61921,0.57341,0.55794,0.71823,0.42778,0.62802,0.15261,77,103,51,130,0.44241,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction
15,Nuisance_pure_feature_summaries_no_gene_symbol,1156,289,361,0.24444,0.63404,0.62609,0.5651,0.65,0.28729,0.84444,0.39847,0.15859,152,28,129,52,0.57863,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction
16,Nuisance_pure_feature_summaries_no_gene_symbol,1155,289,362,0.22508,0.62568,0.61639,0.56354,0.68852,0.23204,0.89503,0.34711,0.16974,162,19,139,42,0.63115,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction
17,Nuisance_pure_feature_summaries_no_gene_symbol,1156,289,361,0.24167,0.65384,0.63768,0.59003,0.57143,0.71111,0.46961,0.63366,0.18621,85,96,52,128,0.46774,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction
18,Nuisance_pure_feature_summaries_no_gene_symbol,1156,289,361,0.24125,0.62612,0.63523,0.53463,0.51818,0.95,0.12155,0.67059,0.12768,22,159,9,171,0.29171,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction
19,Nuisance_pure_feature_summaries_no_gene_symbol,1156,289,361,0.25444,0.61393,0.58478,0.56787,0.56614,0.59116,0.54444,0.57838,0.13575,98,82,74,107,0.50254,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction
20,Nuisance_pure_feature_summaries_no_gene_symbol,1156,289,361,0.23142,0.6322,0.63885,0.58449,0.56175,0.77901,0.38889,0.65278,0.18238,70,110,40,141,0.45697,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction
21,Nuisance_pure_feature_summaries_no_gene_symbol,1155,289,362,0.19751,0.62318,0.65092,0.58011,0.58382,0.55801,0.60221,0.57062,0.16038,109,72,80,101,0.50092,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction
22,Nuisance_pure_feature_summaries_no_gene_symbol,1156,289,361,0.27021,0.63404,0.62331,0.59557,0.57658,0.71111,0.48066,0.63682,0.19705,87,94,52,128,0.47689,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction
23,Nuisance_pure_feature_summaries_no_gene_symbol,1156,289,361,0.203,0.69125,0.63699,0.56233,0.53481,0.93889,0.18785,0.68145,0.19183,34,147,11,169,0.37492,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction
24,Nuisance_pure_feature_summaries_no_gene_symbol,1156,289,361,0.24674,0.61878,0.60611,0.55956,0.64103,0.27624,0.84444,0.3861,0.14662,152,28,131,50,0.59989,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction
25,Nuisance_pure_feature_summaries_no_gene_symbol,1156,289,361,0.26565,0.59184,0.58671,0.55679,0.60606,0.33149,0.78333,0.42857,0.12869,141,39,121,60,0.60066,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; protein_zero_fraction; hand_genomic_zero_fraction; dnabert2_genomic_zero_fraction
1,Nuisance_protein_summary_only,1155,289,362,0.14877,0.61042,0.59601,0.58564,0.58378,0.59669,0.57459,0.59016,0.17131,104,77,73,108,0.52367,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; protein_zero_fraction
2,Nuisance_protein_summary_only,1156,289,361,0.17663,0.59088,0.55719,0.57341,0.56842,0.6,0.54696,0.58378,0.14716,99,82,72,108,0.51603,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; protein_zero_fraction
3,Nuisance_protein_summary_only,1156,289,361,0.16989,0.58275,0.55125,0.55679,0.57353,0.43333,0.67956,0.49367,0.11649,123,58,102,78,0.55492,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; protein_zero_fraction
4,Nuisance_protein_summary_only,1156,289,361,0.21882,0.64451,0.62697,0.59834,0.59375,0.62983,0.56667,0.61126,0.1969,102,78,67,114,0.51966,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; protein_zero_fraction
5,Nuisance_protein_summary_only,1156,289,361,0.23802,0.5636,0.54694,0.54017,0.52988,0.73481,0.34444,0.61574,0.08609,62,118,48,133,0.46517,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; protein_zero_fraction
6,Nuisance_protein_summary_only,1155,289,362,0.25096,0.58805,0.56435,0.55525,0.54132,0.72376,0.38674,0.61939,0.11736,70,111,50,131,0.48862,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; protein_zero_fraction
7,Nuisance_protein_summary_only,1156,289,361,0.19545,0.63238,0.58708,0.61219,0.63889,0.51111,0.71271,0.5679,0.22854,129,52,88,92,0.53506,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; protein_zero_fraction
8,Nuisance_protein_summary_only,1156,289,361,0.1636,0.61842,0.60041,0.5651,0.54733,0.73889,0.39227,0.62884,0.1398,71,110,47,133,0.50091,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; protein_zero_fraction
9,Nuisance_protein_summary_only,1156,289,361,0.28728,0.59306,0.56654,0.55956,0.56044,0.56354,0.55556,0.56198,0.1191,100,80,79,102,0.52543,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; protein_zero_fraction
10,Nuisance_protein_summary_only,1156,289,361,0.16952,0.58674,0.5551,0.59834,0.60714,0.56354,0.63333,0.58453,0.19734,114,66,79,102,0.52979,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; protein_zero_fraction
11,Nuisance_protein_summary_only,1155,289,362,0.19197,0.578,0.56274,0.52762,0.51761,0.81215,0.24309,0.63226,0.06719,44,137,34,147,0.43151,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; protein_zero_fraction
12,Nuisance_protein_summary_only,1156,289,361,0.22659,0.59015,0.57493,0.5651,0.56284,0.57222,0.55801,0.56749,0.13025,101,80,77,103,0.51965,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; protein_zero_fraction
13,Nuisance_protein_summary_only,1156,289,361,0.18439,0.61133,0.58303,0.51801,0.71429,0.05556,0.9779,0.10309,0.08664,177,4,170,10,0.61391,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; protein_zero_fraction
14,Nuisance_protein_summary_only,1156,289,361,0.21801,0.63115,0.58306,0.60388,0.59794,0.64088,0.56667,0.61867,0.20813,102,78,65,116,0.51396,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; protein_zero_fraction
15,Nuisance_protein_summary_only,1156,289,361,0.20742,0.59576,0.56672,0.51801,0.50986,1.0,0.03333,0.67537,0.13037,6,174,0,181,0.28291,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; protein_zero_fraction
