test_sample_index,test_gene_symbol,test_label,nearest_trainval_sample_index,nearest_trainval_gene_symbol,nearest_trainval_label,nearest_trainval_split,max_cosine_similarity_to_trainval,similarity_risk
1566,PRTG,0,1494,BCORL1,0,val,0.42435303,lower_similarity
1567,ARL6IP6,1,809,PPP2R2C,0,train,0.79733187,lower_similarity
1568,RIMBP2,0,304,ZNF416,0,train,0.8444296,lower_similarity
1569,NDUFAF1,1,1101,SLC26A8,0,train,0.73594457,lower_similarity
1570,GLIS3,0,157,CABIN1,1,train,0.82039034,lower_similarity
1571,TOR1AIP2,0,1430,KIF11,0,val,0.82109547,lower_similarity
1572,SDK2,0,260,AKAP6,0,train,0.5548989,lower_similarity
1573,IGFLR1,0,997,GRB10,0,train,0.64912903,lower_similarity
1574,MBNL1,0,815,USP6NL,0,train,0.8653207,lower_similarity
1575,RALY,0,143,SLC22A17,0,train,0.44641307,lower_similarity
1576,TMEM208,0,431,IL1B,1,train,0.7851082,lower_similarity
1577,SEPTIN12,1,141,CCDC74B,0,train,0.72933984,lower_similarity
1578,PRR12,1,371,NADK2,1,train,0.7283772,lower_similarity
1579,GRP,1,283,TOGARAM1,1,train,0.6436314,lower_similarity
1580,KLHL42,0,471,MYO19,0,train,0.9500911,moderate_high_similarity
1581,HSD17B12,1,822,ATP2A3,0,train,0.9176701,lower_similarity
1582,CEP128,0,406,EPS15,1,train,0.63936543,lower_similarity
1583,MARCKS,1,1048,PACRG,1,train,0.64145124,lower_similarity
1584,H2BC14,1,214,MYO5C,1,train,0.62025905,lower_similarity
1585,PPP2R1A,1,1171,KCNJ11,1,train,0.788983,lower_similarity
1586,C3ORF70,1,954,GALC,0,train,0.5564312,lower_similarity
1587,NDUFS1,0,203,ARMC8,1,train,0.6994939,lower_similarity
1588,PPP1R3B,1,1092,ZNF599,1,train,0.655305,lower_similarity
1589,HYLS1,0,1359,KRTAP19-7,0,val,0.64746165,lower_similarity
1590,TM4SF1,1,518,MRPS30,1,train,0.76941,lower_similarity
1591,GIGYF1,0,1156,PRDM5,0,train,0.81117034,lower_similarity
1592,KDM5A,1,797,FHOD1,1,train,0.75575876,lower_similarity
1593,CENPW,0,774,TRMT9B,0,train,0.5696964,lower_similarity
1594,ZNF236,0,55,PROSER2,1,train,0.64421713,lower_similarity
1595,NDUFS3,1,612,SMARCAD1,0,train,0.8474892,lower_similarity
1596,NCALD,1,1367,NDUFC1,1,val,0.52996135,lower_similarity
1597,KLF14,0,242,QSER1,0,train,0.6296885,lower_similarity
1598,HLCS,0,862,MAML2,0,train,0.8344929,lower_similarity
1599,SPHKAP,1,481,CEP68,0,train,0.49742442,lower_similarity
1600,ZZEF1,1,407,PDE4B,1,train,0.6527463,lower_similarity
1601,ADGRG4,0,671,NOS1,1,train,0.76158327,lower_similarity
1602,SMPDL3A,1,475,GPR85,0,train,0.6723646,lower_similarity
1603,PIP5K1A,0,1253,ETAA1,0,train,0.72119987,lower_similarity
1604,GRM4,1,1285,TMEM87A,0,val,0.5423341,lower_similarity
1605,ADM5,0,1116,PGM1,0,train,0.72270316,lower_similarity
1606,ENPP6,1,304,ZNF416,0,train,0.527614,lower_similarity
1607,ZNF747,1,1381,NDUFA7,1,val,0.76612616,lower_similarity
1608,EPC2,1,1422,PCDHGA6,0,val,0.5312686,lower_similarity
1609,RNF138,0,548,DACH1,0,train,0.82937,lower_similarity
1610,FGFR4,1,349,NDUFB11,1,train,0.8542998,lower_similarity
1611,CTBP1,0,809,PPP2R2C,0,train,0.738904,lower_similarity
1612,PCDH11Y,1,498,JPH2,1,train,0.72899306,lower_similarity
1613,AFF3,0,393,ICE1,1,train,0.7967495,lower_similarity
1614,GAA,0,787,ZNF573,1,train,0.9062197,lower_similarity
1615,SYF2,0,715,NTNG1,1,train,0.81192034,lower_similarity
1616,NPEPL1,1,780,NDUFA2,1,train,0.62185943,lower_similarity
1617,KIF7,0,304,ZNF416,0,train,0.88958377,lower_similarity
1618,ARF3,1,1419,ZNF516,1,val,0.4867745,lower_similarity
1619,C10ORF143,1,704,PDCD4,1,train,0.73499864,lower_similarity
1620,MMRN2,0,182,NRF1,0,train,0.7111558,lower_similarity
1621,SYTL2,1,1088,RASSF9,0,train,0.7893027,lower_similarity
1622,SPRED2,1,1001,VPS33B,0,train,0.66676295,lower_similarity
1623,TBC1D3,1,217,TSHZ2,1,train,0.73420066,lower_similarity
1624,NDUFB3,0,770,CFAP47,1,train,0.92173624,lower_similarity
1625,SNX11,1,1374,CRTC1,1,val,0.56968766,lower_similarity
1626,ZNF670,1,538,C1GALT1,0,train,0.5687898,lower_similarity
1627,TFRC,1,141,CCDC74B,0,train,0.7145086,lower_similarity
1628,ZFPM1,1,238,NFATC2,1,train,0.6057509,lower_similarity
1629,GATD3,0,1484,SEC16B,0,val,0.73082125,lower_similarity
1630,CCND1,1,469,SLC12A8,0,train,0.72768,lower_similarity
1631,TPCN2,0,1439,TSSK2,0,val,0.7073443,lower_similarity
1632,IFNLR1,0,1143,COL27A1,1,train,0.89448917,lower_similarity
1633,AP3S2,0,268,NDUFV1,0,train,0.6661849,lower_similarity
1634,NXPH3,0,1336,AGTR2,1,val,0.50441664,lower_similarity
1635,AKR1C8,0,662,PISD,1,train,0.6067273,lower_similarity
1636,IPO7,1,441,PRDM7,1,train,0.85953456,lower_similarity
1637,MIER2,1,498,JPH2,1,train,0.721899,lower_similarity
1638,SPINK2,1,492,PIP4K2A,1,train,0.67552316,lower_similarity
1639,GPR12,0,1525,PLEKHA4,1,val,0.77592254,lower_similarity
1640,RPAP1,0,1417,TLE4,1,val,0.8845548,lower_similarity
1641,IGF2BP2,0,1330,ERF,0,val,0.6547398,lower_similarity
1642,SHROOM3,0,170,TTI1,1,train,0.6378131,lower_similarity
1643,SLCO4A1,1,625,PPP4R3A,0,train,0.5489544,lower_similarity
1644,COLGALT1,1,560,VDR,1,train,0.9557172,moderate_high_similarity
1645,RPL7,1,922,ZNF329,1,train,0.73350006,lower_similarity
1646,KRI1,1,1452,LRIG1,1,val,0.7337426,lower_similarity
1647,CEMIP2,1,245,ST6GAL1,1,train,0.75106597,lower_similarity
1648,CADPS,1,157,CABIN1,1,train,0.8145109,lower_similarity
1649,PRC1,1,1102,SGPL1,0,train,0.83521026,lower_similarity
1650,FOXP1,1,866,SH2B3,0,train,0.6466294,lower_similarity
1651,CRY2,0,1108,ADAMTS9,1,train,0.82489747,lower_similarity
1652,FHIT,0,881,LPL,0,train,0.6530791,lower_similarity
1653,APIP,0,799,SWT1,1,train,0.878537,lower_similarity
1654,PEAK1,0,890,C8ORF88,0,train,0.56692505,lower_similarity
1655,INTS2,1,490,USP54,1,train,0.7249564,lower_similarity
1656,SAFB2,0,409,CSMD3,1,train,0.68583226,lower_similarity
1657,KLHDC10,0,762,PAX4,0,train,0.63251203,lower_similarity
1658,ANKRD24,1,24,ENPP3,0,train,0.52741975,lower_similarity
1659,ARL15,1,587,PCNT,1,train,0.9718046,moderate_high_similarity
1660,SLC2A7,1,534,FEZF1,1,train,0.8339958,lower_similarity
1661,RNF166,1,885,HERC2,1,train,0.7993859,lower_similarity
1662,SLC16A11,1,491,DCAF5,0,train,0.6218166,lower_similarity
1663,SFI1,1,1213,SERBP1,0,train,0.7881231,lower_similarity
1664,NELL1,0,826,APOL5,1,train,0.7613853,lower_similarity
1665,IDE,1,1439,TSSK2,0,val,0.77127737,lower_similarity
1666,EIF5A2,1,549,UBAP1,1,train,0.693599,lower_similarity
1667,LRFN2,1,1197,MIB2,1,train,0.7280135,lower_similarity
1668,SCN4A,0,644,FBXL18,1,train,0.6854053,lower_similarity
1669,PLA2G6,0,712,VIPAS39,0,train,0.83822507,lower_similarity
1670,DDX47,0,45,CFAP119,0,train,0.7212372,lower_similarity
1671,SMC2,1,149,HSF2,1,train,0.75629425,lower_similarity
1672,TLCD5,1,581,NYNRIN,0,train,0.50011885,lower_similarity
1673,ARHGAP22,0,1211,TECTA,0,train,0.60515714,lower_similarity
1674,TFAP2B,1,86,KICS2,0,train,0.5728571,lower_similarity
1675,ZBTB24,1,439,CCNO,0,train,0.5824038,lower_similarity
1676,NUP160,0,115,ADGRE5,0,train,0.6517381,lower_similarity
1677,AFAP1L2,0,1419,ZNF516,1,val,0.5441582,lower_similarity
1678,SLC25A52,0,926,RFX6,0,train,0.58011746,lower_similarity
1679,SLC12A4,1,1522,TNFRSF19,0,val,0.77027714,lower_similarity
1680,PTPN21,0,1120,LTK,1,train,0.5350981,lower_similarity
1681,OCRL,1,812,COA6,1,train,0.5720707,lower_similarity
1682,POC5,1,1511,MEX3D,0,val,0.5433215,lower_similarity
1683,ANKRD55,0,1518,RASGRP1,0,val,0.40559852,lower_similarity
1684,LDOC1,0,1243,CDO1,1,train,0.7853893,lower_similarity
1685,RBM27,1,1162,ACTN1,1,train,0.749702,lower_similarity
1686,FOXA2,0,1395,CALCR,0,val,0.7844093,lower_similarity
1687,SLC30A4,0,362,CCT6B,0,train,0.58066916,lower_similarity
1688,PI4KB,1,1452,LRIG1,1,val,0.73843026,lower_similarity
1689,ETV1,1,1215,FMNL1,0,train,0.8072104,lower_similarity
1690,PAMR1,1,557,ZBTB14,1,train,0.9132198,lower_similarity
1691,MITF,0,1253,ETAA1,0,train,0.8613001,lower_similarity
1692,BRWD3,1,967,COXFA4L2,0,train,0.54832053,lower_similarity
1693,LIPF,1,393,ICE1,1,train,0.7674131,lower_similarity
1694,FRMPD3,0,854,MED27,0,train,0.8519558,lower_similarity
1695,RAB3GAP2,0,583,OLFML1,0,train,0.6499624,lower_similarity
1696,KDM2B,1,115,ADGRE5,0,train,0.7239769,lower_similarity
1697,CEP104,0,1288,SUGP2,0,val,0.9949576,high_near_duplicate
1698,ROS1,0,993,CSTF3,1,train,0.6817695,lower_similarity
1699,SEMA6C,0,784,LZIC,0,train,0.89693344,lower_similarity
1700,ZGRF1,0,139,IL12B,0,train,0.6930777,lower_similarity
1701,GRM8,1,453,MEF2C,0,train,0.8145034,lower_similarity
1702,SIRPA,1,1527,ADAD1,1,val,0.5821098,lower_similarity
1703,RGS6,1,241,USP27X,1,train,0.86106896,lower_similarity
1704,SGSM1,1,514,NDUFB5,0,train,0.56948584,lower_similarity
1705,TNFRSF11A,1,1346,FN3KRP,1,val,0.65075165,lower_similarity
1706,NDUFB2,1,426,TECPR1,0,train,0.8799861,lower_similarity
1707,PDILT,1,1079,ZNF800,0,train,0.7497904,lower_similarity
1708,PGRMC2,1,1168,PPP2R3A,0,train,0.90006673,lower_similarity
1709,PKD1,1,1040,BBX,1,train,0.62467474,lower_similarity
1710,MCM8,0,27,ALDH2,0,train,0.8110841,lower_similarity
1711,KCNU1,1,862,MAML2,0,train,0.73858863,lower_similarity
1712,CCDC22,0,504,LHX2,0,train,0.7101065,lower_similarity
1713,NEUROD1,1,799,SWT1,1,train,0.89714414,lower_similarity
1714,PGLS,0,1075,PAX2,0,train,0.61796385,lower_similarity
1715,ATP5F1E,1,1416,C2ORF68,0,val,0.82020056,lower_similarity
1716,LMAN1,0,1330,ERF,0,val,0.6747053,lower_similarity
1717,KRT81,0,857,STK24,1,train,0.70882857,lower_similarity
1718,ASIC1,0,943,ZNF184,0,train,0.55476075,lower_similarity
1719,CROCC2,0,1329,MGAM2,1,val,0.5503477,lower_similarity
1720,MRPS18C,0,1242,TLE1,0,train,0.77749974,lower_similarity
1721,NDUFS4,1,926,RFX6,0,train,0.5540167,lower_similarity
1722,TNRC6C,0,1354,SUN5,0,val,0.6606786,lower_similarity
1723,SSPN,1,1464,PSMD6,1,val,0.5953283,lower_similarity
1724,IFT122,0,53,PLEKHM2,0,train,0.63930094,lower_similarity
1725,MED23,0,149,HSF2,1,train,0.6358397,lower_similarity
1726,ATP9B,1,580,PKIG,1,train,0.7538655,lower_similarity
1727,PTPN22,0,762,PAX4,0,train,0.7223054,lower_similarity
1728,HES2,0,118,UPK3BL1,0,train,0.74737936,lower_similarity
1729,OR1L1,1,1232,ETS1,1,train,0.75094354,lower_similarity
1730,NDUFV2,1,842,LDB2,0,train,0.5306606,lower_similarity
1731,FFAR1,1,426,TECPR1,0,train,0.9340973,lower_similarity
1732,DYNC2H1,0,553,SPDYE2B,1,train,0.64748335,lower_similarity
1733,APOL2,0,495,WDR7,0,train,0.68305165,lower_similarity
1734,CCDC6,0,1007,QSOX1,1,train,0.56105477,lower_similarity
1735,FAM90A3,1,859,HSH2D,1,train,0.8017312,lower_similarity
1736,CRHR2,1,1361,TCOF1,0,val,0.86226785,lower_similarity
1737,TRAF3IP2,1,602,JADE3,0,train,0.88322157,lower_similarity
1738,CAND2,1,774,TRMT9B,0,train,0.70042324,lower_similarity
1739,AOAH,0,1437,MAP2K5,0,val,0.7758831,lower_similarity
1740,ABCD2,0,362,CCT6B,0,train,0.6000983,lower_similarity
1741,RHOT2,1,504,LHX2,0,train,0.7079458,lower_similarity
1742,AAR2,0,1108,ADAMTS9,1,train,0.7818987,lower_similarity
1743,NDNF,0,218,RMC1,0,train,0.9153682,lower_similarity
1744,PML,1,1141,NUP133,1,train,0.5089857,lower_similarity
1745,ANKRD17,0,1088,RASSF9,0,train,0.45028946,lower_similarity
1746,UBE3C,1,550,GPAT4,1,train,0.8709986,lower_similarity
1747,SIX3,1,1053,RAB11FIP4,0,train,0.5817924,lower_similarity
1748,MEOX2,1,616,MRPS14,1,train,0.9015174,lower_similarity
1749,MS4A7,0,129,CFAP69,1,train,0.61231995,lower_similarity
1750,SLC35F1,0,158,STPG2,0,train,0.6907364,lower_similarity
1751,PLEKHH2,1,1061,CTRB1,1,train,0.52788866,lower_similarity
1752,HERC1,1,233,GDF7,1,train,0.6910457,lower_similarity
1753,TAF9B,0,1242,TLE1,0,train,0.7444125,lower_similarity
1754,NDUFB6,1,623,ZNF541,1,train,0.6017417,lower_similarity
1755,GOLGA8B,0,61,ZFP92,0,train,0.619241,lower_similarity
1756,SLC5A1,1,1133,HK1,0,train,0.9323288,lower_similarity
1757,DPYSL5,0,394,CHRNA1,0,train,0.84721226,lower_similarity
1758,TEAD2,0,1223,WT1,0,train,0.5431098,lower_similarity
1759,NPIPB11,0,1411,NOL6,0,val,0.493374,lower_similarity
1760,IL1RAPL2,0,986,ADCY1,0,train,0.6188251,lower_similarity
1761,JPT2,0,60,FGFR3,1,train,0.59043336,lower_similarity
1762,NRXN3,1,488,TSC22D2,1,train,0.57987636,lower_similarity
1763,CLRN1,0,1323,APPBP2,0,val,0.84280974,lower_similarity
1764,ZMYM1,0,1497,RGMA,0,val,0.8320924,lower_similarity
1765,MKRN2,0,797,FHOD1,1,train,0.7754142,lower_similarity
1766,RNPS1,0,1108,ADAMTS9,1,train,0.89711666,lower_similarity
1767,SLC30A1,1,1305,ZFPM2,0,val,0.6615068,lower_similarity
1768,ZNF775,0,1502,NDUFAF3,1,val,0.5327436,lower_similarity
1769,CYTH1,1,716,CASR,1,train,0.6332137,lower_similarity
1770,ZNF699,0,951,ZNF532,1,train,0.87938994,lower_similarity
1771,USP44,1,39,LEP,0,train,0.64950967,lower_similarity
1772,ANKMY1,0,419,THEMIS,1,train,0.6439063,lower_similarity
1773,LCE3E,0,497,PPARA,1,train,0.8062502,lower_similarity
1774,USP29,0,1084,TMEM200C,0,train,0.84587777,lower_similarity
1775,GAREM1,0,1193,RNF150,1,train,0.686851,lower_similarity
1776,SREBF1,1,773,SIGLEC9,1,train,0.57943386,lower_similarity
1777,VMA21,0,941,NCOR2,0,train,0.8800743,lower_similarity
1778,DHX8,0,659,CCDC13,1,train,0.88016933,lower_similarity
1779,CHST2,0,1419,ZNF516,1,val,0.49358445,lower_similarity
1780,NDUFB7,1,503,NKX6-1,1,train,0.75861865,lower_similarity
1781,OR6A2,0,510,RAB11FIP1,0,train,0.58466953,lower_similarity
1782,SORBS2,1,730,MAGI1,1,train,0.6029547,lower_similarity
1783,ABCA1,1,833,ABCA6,1,train,0.6199158,lower_similarity
1784,FSBP,0,144,WSCD2,1,train,0.50698406,lower_similarity
1785,MTOR,1,1487,ITPRID2,0,val,0.5701126,lower_similarity
1786,SGO2,0,617,STAP1,0,train,0.53777105,lower_similarity
1787,GSC2,0,623,ZNF541,1,train,0.63938415,lower_similarity
1788,L2HGDH,1,1248,ZNF462,1,train,0.8609253,lower_similarity
1789,OR2W3,0,950,HNF4A,0,train,0.5791902,lower_similarity
1790,PHKB,0,1414,ZNF654,0,val,0.66201764,lower_similarity
1791,KDM4F,0,509,GLP1R,0,train,0.47055256,lower_similarity
1792,HHIPL1,1,612,SMARCAD1,0,train,0.94695413,lower_similarity
1793,NDST3,0,490,USP54,1,train,0.6978592,lower_similarity
1794,MAST2,1,1113,ADO,1,train,0.80002606,lower_similarity
1795,ANKRD28,1,610,DUSP23,1,train,0.81741214,lower_similarity
1796,DNM3,1,759,KBTBD3,1,train,0.7715035,lower_similarity
1797,FOCAD,1,1003,HDAC4,0,train,0.61983687,lower_similarity
1798,USP17L3,0,1234,GFM2,0,train,0.8748198,lower_similarity
1799,MATCAP2,0,1081,SLC28A2,0,train,0.8240737,lower_similarity
1800,IGF2BP1,1,45,CFAP119,0,train,0.6781302,lower_similarity
1801,MDM4,1,539,TRPC7,1,train,0.4324936,lower_similarity
1802,PIM3,1,423,IGSF10,1,train,0.9215987,lower_similarity
1803,AKAP3,0,425,RAB42,1,train,0.56733334,lower_similarity
1804,ZBTB38,1,370,TNFAIP6,1,train,0.64987874,lower_similarity
1805,TPR,0,1412,NOL4,0,val,0.8716662,lower_similarity
