sample_index,gene_symbol,label,split_origin,protein_embedding_l2_norm,protein_embedding_mean,protein_embedding_std,hand_genomic_l2_norm,hand_genomic_mean,hand_genomic_std,dnabert2_genomic_l2_norm,dnabert2_genomic_mean,dnabert2_genomic_std,protein_zero_fraction,hand_genomic_zero_fraction,dnabert2_genomic_zero_fraction,protein_sequence_length,has_sequence,gene_symbol_length
18,PNOC,1,train,3.946102,0.0010758121,0.12331098,3359.5025570854045,22.26413644305891,176.65581943547917,2.3792176,0.0033924005,0.085785575,0.0,0.008426966292134831,0.0,,,4
19,PROX1,1,train,2.8882616,0.00030863378,0.09025765,3323.1640141352955,21.668856834799602,174.78930377245325,2.5731518,0.002604964,0.09281407,0.0,0.019662921348314606,0.0,,,5
20,DNAH11,0,train,3.2911248,0.0013392342,0.10283894,3335.9034144106076,22.01270398785554,175.42683530091566,2.6433048,0.0029876505,0.09533524,0.0,0.011235955056179775,0.0,,,6
21,NEXMIF,0,train,3.3731818,0.0016792156,0.10539856,3338.861696094494,22.119217975210447,175.57146609403682,2.596185,0.0031897787,0.09362744,0.0,0.0056179775280898875,0.0,,,6
22,SORCS2,1,train,3.6541367,0.0017483047,0.114178374,3309.2192473418513,21.677584950668592,174.04346391148113,2.4342356,0.0027489122,0.087794885,0.0,0.0056179775280898875,0.0,,,6
23,HAGHL,0,train,4.9747577,0.0014320265,0.15545458,3415.2773075508717,22.23427287040936,179.63857205264964,2.5926325,0.0037492018,0.09347842,0.0,0.03089887640449438,0.0,,,5
24,ENPP3,1,train,3.7615733,0.0014426037,0.11754029,3321.9673587592847,21.977943420002138,174.6867859474849,2.6162527,0.0026322939,0.09436918,0.0,0.0,0.0,,,5
25,KCNG4,0,train,2.934951,0.00038824463,0.0917164,3317.74591378109,21.26103772313807,174.5501010969173,2.8132467,0.0018771378,0.101496935,0.0,0.019662921348314606,0.0,,,5
26,GALNT10,1,train,4.145145,0.0015170069,0.1295269,3326.946432054478,22.032317977910797,174.94591428358737,2.4671774,0.003205822,0.08896885,0.0,0.0028089887640449437,0.0,,,7
27,ALDH2,1,train,3.2002392,0.0010046118,0.10000243,3311.9990419117603,21.788436201657962,174.17809927178675,2.5620239,0.0025584127,0.092413664,0.0,0.0028089887640449437,0.0,,,5
28,CACNA1D,1,train,3.0569837,0.002190481,0.09550564,3318.238628382027,21.586716677563114,174.5364362570278,2.5852258,0.0027388632,0.09324609,0.0,0.016853932584269662,0.0,,,7
29,OR2T34,0,train,3.0175786,0.0014390058,0.094288334,3319.895981039755,21.966812086706135,174.5775381342858,2.6148808,0.0026874172,0.094318114,0.0,0.0056179775280898875,0.0,,,6
30,LIPC,1,train,3.2182114,0.0014557459,0.10055856,3314.66828676831,21.827187229680447,174.3158227592514,2.5435104,0.0026703968,0.09174217,0.0,0.008426966292134831,0.0,,,4
31,JADE1,0,train,2.3815162,0.0005506981,0.07442035,3342.8547631788088,22.1539814278553,175.78039128413752,2.604863,0.0029348054,0.093949065,0.0,0.0056179775280898875,0.0,,,5
32,UBQLN4,0,train,3.41797,0.0012052527,0.10680477,3318.0484334640746,22.05718564714615,174.46744397575264,2.4429584,0.0029203326,0.08810428,0.0,0.0028089887640449437,0.0,,,6
33,AKAP17A,0,train,4.8665175,0.0019930028,0.1520656,3356.9886989788,22.426664463386942,176.50095525861101,2.642707,0.0034442174,0.09529825,0.0,0.008426966292134831,0.0,,,7
34,ATG16L1,1,train,3.2874236,0.0015464122,0.10272036,3325.452334654217,21.90517805748662,174.88207359016099,2.5113866,0.0028362584,0.09057746,0.0,0.011235955056179775,0.0,,,7
35,GAL3ST4,0,train,3.9737697,0.0018488255,0.12416654,3312.3843676261718,21.5038233744326,174.23404337072003,2.6253624,0.0025999087,0.09469893,0.0,0.008426966292134831,0.0,,,7
36,SLC22A2,1,train,4.0167747,0.0019661025,0.12550882,3323.887423858075,21.652982261717884,174.82990467420746,2.52822,0.0024277268,0.09119698,0.0,0.0,0.0,,,7
37,EIF1,0,train,4.7039366,0.0017925098,0.1469871,3497.070982720199,22.791399072547105,183.9377491168683,2.7628922,0.0036718019,0.09962965,0.0,0.07584269662921349,0.0,,,4
38,EXOC6,1,train,3.3364012,0.0017748304,0.10424743,3311.7862350185715,21.968770632953923,174.1440777643952,2.6119103,0.002556067,0.09421453,0.0,0.0,0.0,,,5
39,LEP,1,train,3.0874732,0.000934518,0.09647901,3318.583041410881,21.972480515777395,174.50668991984585,2.4829786,0.002876642,0.08955058,0.0,0.008426966292134831,0.0,,,3
40,THUMPD2,0,train,3.1866763,0.0009509255,0.09957909,3383.0429962919243,21.13078626423506,178.05142475457944,2.5777495,0.0020107504,0.09299478,0.0,0.0898876404494382,0.0,,,7
41,RTN2,0,train,3.651416,0.0012713745,0.11409967,3333.055751217639,22.105429775866927,175.26305455248524,2.5925117,0.0027220708,0.0935096,0.0,0.008426966292134831,0.0,,,4
42,CAMK1D,1,train,3.6932874,0.0015905277,0.11540426,3316.652982993524,21.24137132024735,174.49414275784295,2.5165684,0.0022939164,0.090779856,0.0,0.028089887640449437,0.0,,,6
43,USP48,1,train,3.4321783,0.0020909521,0.10723519,3316.1719969660976,21.903962639747082,174.38651503780568,2.713526,0.002560473,0.097882465,0.0,0.0056179775280898875,0.0,,,5
44,ATP4A,1,train,4.0018625,0.0011969807,0.12505248,3337.715627931873,21.979259843080012,175.52782625862503,2.453326,0.0031553209,0.08847052,0.0,0.0,0.0,,,5
45,CFAP119,0,train,3.7833908,0.0016400856,0.11821958,3321.844823170974,22.011927329972828,174.67596122379115,2.547729,0.0028547503,0.09188891,0.0,0.0,0.0,,,7
46,C6ORF132,0,train,3.5994647,0.001200745,0.11247686,3318.9749028115643,21.930690704166967,174.53287862046062,2.5108852,0.0026914729,0.09056378,0.0,0.014044943820224719,0.0,,,8
47,EMSY,1,train,4.7548084,0.0019973055,0.14857434,3338.492549625054,22.21737715301509,175.5393509307787,2.6267178,0.0030466926,0.09473454,0.0,0.011235955056179775,0.0,,,4
48,YEATS2,0,train,3.097423,0.0011132356,0.09678806,3314.1817029989456,21.66715825768082,174.30979907100527,2.489549,0.0025758091,0.08979692,0.0,0.0056179775280898875,0.0,,,6
49,DCSTAMP,1,train,3.3811376,0.0011240727,0.10565457,3311.736581824424,21.29273180598566,174.2253783413223,2.5443745,0.0025342063,0.09177722,0.0,0.03089887640449438,0.0,,,7
50,ADARB1,1,train,4.486932,0.0017250533,0.14020602,3330.598598378075,21.803296084286206,175.16966429648417,2.444937,0.002866747,0.08817748,0.0,0.011235955056179775,0.0,,,6
51,SLC26A9,1,train,4.904692,0.001997282,0.1532586,3309.5348519473587,21.29150410054835,174.10796821347228,2.3271062,0.0029085989,0.08392182,0.0,0.011235955056179775,0.0,,,7
52,PPP2R2A,1,train,3.957974,0.0014833389,0.12367777,3415.166241755514,22.676719344418146,179.57732284345968,2.636854,0.0034205578,0.09508777,0.0,0.019662921348314606,0.0,,,7
53,PLEKHM2,1,train,3.0853345,0.0008885703,0.09641261,3318.6310732275883,22.025293169287014,174.50259793500072,2.2397919,0.0033743624,0.080751054,0.0,0.0,0.0,,,7
54,NDUFA3,1,train,4.136408,0.0013368914,0.12925585,3324.318843948572,21.21580844847312,174.90652743021548,2.423185,0.0024255097,0.08740552,0.0,0.033707865168539325,0.0,,,6
55,PROSER2,0,train,2.7450266,0.0007638496,0.08577868,3319.7818661395263,21.64225959037771,174.61197531140556,2.738599,0.0020114165,0.098800205,0.0,0.0,0.0,,,7
56,FOXRED2,0,train,3.7367413,0.0014009116,0.116764754,3346.6788491472958,22.213560348529082,175.97715851504574,2.5001895,0.0031998754,0.090161055,0.0,0.011235955056179775,0.0,,,7
57,IL10,1,train,3.549077,0.0014976521,0.11089854,3345.475429773923,22.00765577491666,175.9387494790465,2.4976466,0.0029706645,0.090077095,0.0,0.008426966292134831,0.0,,,4
58,WIPI1,1,train,3.4121277,0.0021376705,0.10660755,3316.8033376658395,22.031715910338843,174.40414791731052,2.5191152,0.002600374,0.09086353,0.0,0.011235955056179775,0.0,,,5
59,COMMD8,0,train,2.7061715,0.0008478847,0.08456362,3316.271517465174,21.858797673377886,174.39749792711237,2.479556,0.0030384676,0.08942167,0.0,0.011235955056179775,0.0,,,6
60,FGFR3,1,train,3.0292184,0.0014447804,0.09465205,3309.615736550094,21.520958228716246,174.08407450510785,2.3634717,0.0027306667,0.085240714,0.0,0.014044943820224719,0.0,,,5
61,ZFP92,0,train,3.5870304,0.0012409021,0.112087846,3343.7832534880886,22.525546447784244,175.78277548431345,2.5527031,0.0033404778,0.09205215,0.0,0.0,0.0,,,5
62,ADAMTS18,1,train,4.4146967,0.0018996976,0.1379462,3310.544870123623,21.73155060001807,174.10753710181197,2.55719,0.0026844956,0.09223559,0.0,0.0,0.0,,,8
63,PCSK5,0,train,3.8485987,0.001216393,0.12026255,3310.8964657980387,21.80459100759185,174.11718496740818,2.536642,0.002735437,0.0914923,0.0,0.0028089887640449437,0.0,,,5
64,MICALL1,0,train,3.6424217,0.0011098769,0.11382027,3322.862124699578,21.370572207254778,174.80990491488723,2.37759,0.002693576,0.08575159,0.0,0.025280898876404494,0.0,,,7
65,CNTN2,1,train,3.7813115,0.0012862324,0.11815899,3315.445899665531,21.394268203345487,174.41100782953322,2.4734662,0.0027364523,0.08921157,0.0,0.025280898876404494,0.0,,,5
66,INF2,0,train,3.493064,0.0009930306,0.10915374,3317.8639330162487,22.061704948150602,174.45701618173368,2.552967,0.0026083894,0.09208533,0.0,0.0056179775280898875,0.0,,,4
67,DPP4,1,train,5.494204,0.0030183508,0.17166735,3310.1291219829354,21.365144719170452,174.1306794458507,2.6868608,0.0021218297,0.09693052,0.0,0.014044943820224719,0.0,,,4
68,SP9,1,train,5.683967,0.0013783523,0.17761861,3364.849363431768,22.28124101005343,176.93928464981053,2.4669464,0.003201979,0.08896065,0.0,0.0028089887640449437,0.0,,,3
69,PLA2G3,0,train,3.422114,0.0017578644,0.106926605,3429.199236519904,22.640119221818246,180.33155095706033,2.7083778,0.003510562,0.0976671,0.0,0.008426966292134831,0.0,,,6
70,CATSPERE,0,train,5.3902497,0.0023044804,0.16842954,3336.0417349988247,21.87453730565653,175.45150504429827,2.536538,0.0028167032,0.091486074,0.0,0.0056179775280898875,0.0,,,8
71,ITIH4,1,train,2.315822,0.00039411278,0.07236837,3367.47191457838,21.19103179619799,177.21314688352683,2.8188221,0.0019212844,0.10169733,0.0,0.03932584269662921,0.0,,,5
72,KIF21B,0,train,3.7073023,0.0009542201,0.11584927,3324.3607488979164,21.941337384435037,174.81923292135934,2.5986872,0.0027313752,0.09373226,0.0,0.014044943820224719,0.0,,,6
73,TMEM168,0,train,3.209076,0.00042623305,0.100282714,3314.2500336096964,21.25350546180675,174.36436724676716,2.6963685,0.0021255955,0.097273596,0.0,0.033707865168539325,0.0,,,7
74,NDUFA1,1,train,3.5599325,0.0013290544,0.11123994,3315.653160156307,21.783525800284544,174.37388836401877,2.4577487,0.0027406116,0.08864401,0.0,0.0028089887640449437,0.0,,,6
75,CHPF2,0,train,2.6884158,0.001051988,0.08400641,3313.77489804174,21.767065930495225,174.27562309157284,2.7351959,0.0021062167,0.0986754,0.0,0.0,0.0,,,5
76,PTPRD,1,train,2.6913297,0.00087538245,0.084099494,3313.856317746411,21.80591939045929,174.27511477145455,2.347395,0.0030846677,0.08464813,0.0,0.0028089887640449437,0.0,,,5
77,EXOSC10,0,train,4.0605745,0.0013330809,0.12688595,3317.778536879982,22.014634467481354,174.45840035068247,2.5686362,0.0027647167,0.092646435,0.0,0.0,0.0,,,7
78,FXR1,1,train,4.368784,0.0014394262,0.13651691,3316.1196023908037,21.983000017478613,174.37377040123013,2.417907,0.0029761873,0.08719792,0.0,0.0028089887640449437,0.0,,,4
79,CCND2,1,train,3.6279643,0.0013783746,0.1133655,3367.7736126822774,21.174278952723874,177.23125306587843,2.8571806,0.001571146,0.10308765,0.0,0.07584269662921349,0.0,,,5
80,POLR3A,0,train,3.7638278,0.0015560975,0.11760932,3339.3886979647405,22.04900009654402,175.60844854889532,2.4430118,0.003159371,0.08809795,0.0,0.008426966292134831,0.0,,,6
81,MAFF,1,train,4.1081495,0.0018861247,0.12836581,3341.266757790724,21.25993548151564,175.80598456006703,2.732551,0.002146166,0.09857908,0.0,0.033707865168539325,0.0,,,4
82,SPRY4,1,train,4.1794868,0.0016946236,0.13059796,3351.8178242714544,22.459007425463312,176.22057352507804,2.429567,0.003275033,0.087608255,0.0,0.025280898876404494,0.0,,,5
83,HSPA4,1,train,3.019497,0.0013460929,0.09434969,3319.7378373098986,22.084886868127217,174.55419199169393,2.4119008,0.0029982922,0.08698031,0.0,0.0,0.0,,,5
84,SHLD2,0,train,3.1500628,0.0014123024,0.09842933,3311.784865149799,21.691124589606257,174.17880562924236,2.522706,0.0025853107,0.09099359,0.0,0.0056179775280898875,0.0,,,5
85,POLR2B,0,train,3.038217,0.0011876512,0.09493685,3338.2901835639914,22.119114499176472,175.54094955166966,2.6383078,0.0026987575,0.09516347,0.0,0.0028089887640449437,0.0,,,6
86,KICS2,0,train,2.8954554,0.00029140594,0.09048251,3344.234014133431,22.17927395113668,175.85088129169287,2.3840325,0.0034114579,0.0859587,0.0,0.011235955056179775,0.0,,,5
87,DIP2B,0,train,3.0492988,0.00080706173,0.09528717,3369.204344381621,22.478632519053193,177.1469828579965,2.5088482,0.0034018627,0.09046632,0.0,0.0028089887640449437,0.0,,,5
88,RPP40,0,train,3.4597945,0.0017843595,0.10810384,3315.9101156447937,21.828685275410006,174.3819658165824,2.3856158,0.0027754975,0.08603874,0.0,0.0028089887640449437,0.0,,,5
89,HHIP,1,train,2.7753437,0.00038267195,0.08672865,3358.4620357431877,22.173468551173933,176.61164245813234,2.562447,0.0031417634,0.09241095,0.0,0.011235955056179775,0.0,,,4
90,ARAP1,1,train,2.571788,0.00068866054,0.08036543,3316.1510996222746,21.975168824134233,174.37644004125056,2.7273283,0.0024536687,0.09838339,0.0,0.0056179775280898875,0.0,,,5
91,TTI2,0,train,5.338275,0.0016041584,0.16681339,3314.935993689979,21.819666819463404,174.33106342338894,2.6394725,0.0024501,0.095212236,0.0,0.0056179775280898875,0.0,,,4
92,MED9,0,train,3.4402514,0.0015216535,0.107497096,3315.2657155260285,21.662916085790695,174.36822071130405,2.3737297,0.0026425116,0.085613824,0.0,0.0056179775280898875,0.0,,,4
93,TRAK2,0,train,3.4282088,0.0020281377,0.10711232,3308.863778505725,21.389616871109634,174.06010772455122,2.4588609,0.0023270193,0.08869597,0.0,0.008426966292134831,0.0,,,5
94,BAK1,1,train,4.467035,0.0015796175,0.13958591,3361.9326768969318,22.191082630707907,176.7948186043626,2.5751126,0.00320522,0.09286608,0.0,0.0028089887640449437,0.0,,,4
95,KIAA1549,0,train,3.5856273,0.002089819,0.112031356,3315.4421946490156,22.066813074499656,174.3269947966569,2.3651922,0.0031190105,0.085289516,0.0,0.0,0.0,,,8
96,HMHB1,1,train,3.1997464,0.00088612246,0.09998815,3326.735000749876,22.181284118101434,174.9157937957057,2.4418678,0.0032234068,0.088054344,0.0,0.0028089887640449437,0.0,,,5
97,BAHCC1,0,train,3.3733616,0.0008316847,0.105414264,3398.8077289042403,22.103174468170305,178.77525015011545,2.5880752,0.003983384,0.09330413,0.0,0.042134831460674156,0.0,,,6
98,ZNF169,1,train,2.900712,0.001227466,0.09063894,3321.493400465854,22.05433400212817,174.6518388249028,2.4704018,0.0031493783,0.08908729,0.0,0.0028089887640449437,0.0,,,6
99,ABCB10,1,train,5.6753993,0.0015394557,0.17734954,3352.6964716541006,21.731415186454537,176.3586987506156,2.565484,0.0029135335,0.09252808,0.0,0.02247191011235955,0.0,,,6
100,RASGRP2,0,train,3.4864204,0.0011181436,0.1089449,3316.4962821565978,21.895337860986857,174.4049201516264,2.6257083,0.0026262403,0.094710685,0.0,0.0,0.0,,,7
101,PRR20C,0,train,3.3982759,0.0013572101,0.10618744,3326.6702709091805,21.87121288753528,174.95137773991624,2.5551317,0.002929436,0.09215382,0.0,0.0028089887640449437,0.0,,,6
102,PTGFRN,1,train,3.818868,0.0017566484,0.11932669,3409.430469742625,23.034327051008542,179.22531147054997,2.761118,0.0035446065,0.09957019,0.0,0.014044943820224719,0.0,,,6
103,CTLA4,1,train,3.2435021,0.0017144515,0.101344936,3310.355619363809,21.74536222086086,174.0957044178663,2.4166615,0.0027388467,0.087160744,0.0,0.011235955056179775,0.0,,,5
104,BICRA,0,train,2.5570157,0.0008598495,0.07990211,3309.85622743515,21.621238700068655,174.08449204151822,2.5937407,0.0022674107,0.09356608,0.0,0.0056179775280898875,0.0,,,5
105,CDC123,1,train,3.5290928,0.0017074477,0.110270925,3319.4268870865258,21.931793213753064,174.55688356555063,2.6552591,0.0028175507,0.095771976,0.0,0.008426966292134831,0.0,,,6
106,SYNDIG1,1,train,3.1701863,0.0006082487,0.09906646,3318.9647101114565,21.70110717169483,174.56102889758782,2.6127877,0.002370308,0.09425105,0.0,0.019662921348314606,0.0,,,7
107,TMEM145,0,train,4.617776,0.0017405491,0.144295,3318.7245175384865,21.4981265748787,174.5733169152765,2.7218869,0.002267543,0.09819145,0.0,0.0056179775280898875,0.0,,,7
108,DESI1,0,train,3.259655,0.001766216,0.10184891,3344.3345013597295,22.224494811213845,175.850540061425,2.5727375,0.0030137498,0.09278674,0.0,0.0056179775280898875,0.0,,,5
109,DNAI2,0,train,3.9974763,0.0012607926,0.124914765,3332.021077299546,22.009984326947734,175.21979800007517,2.592911,0.0026929688,0.09352486,0.0,0.0056179775280898875,0.0,,,5
110,TMEM144,1,train,3.0591118,0.000997606,0.09559204,3335.99060089394,21.590843290682077,175.48391137775965,2.6089847,0.002806465,0.09410179,0.0,0.019662921348314606,0.0,,,7
111,PRKD1,1,train,3.134492,0.00047396746,0.097951725,3309.591247464573,21.542967702682287,174.08004437489987,2.488276,0.0025916405,0.08975051,0.0,0.011235955056179775,0.0,,,5
112,ZC3H4,1,train,2.7264264,0.001132889,0.0851933,3311.3429690076514,21.80161164810984,174.1414074286191,2.5758371,0.0025813363,0.09291167,0.0,0.0028089887640449437,0.0,,,5
113,LDLRAD1,0,train,2.4403722,0.00055987027,0.07625958,3365.926480542002,21.21288975359262,177.12803889671747,2.6562328,0.0020251262,0.09582715,0.0,0.033707865168539325,0.0,,,7
114,WFS1,1,train,4.7494483,0.0018212541,0.1484091,3315.432046863911,21.939306035743638,174.34254555788496,2.598219,0.0024041028,0.09372432,0.0,0.0056179775280898875,0.0,,,4
115,ADGRE5,0,train,3.3978758,0.00078305183,0.106180735,3308.70600848584,21.2884120427818,174.0640904592001,2.3965037,0.0025554718,0.08643861,0.0,0.016853932584269662,0.0,,,6
116,ATF7IP2,0,train,5.271112,0.0017844666,0.1647126,3310.944958296173,21.84174786762757,174.1151180495847,2.3816895,0.0028080018,0.08589594,0.0,0.0,0.0,,,7
117,RALGAPA2,0,train,3.1407416,0.001453513,0.098137416,3333.776091491705,21.4888369395769,175.3781858045356,2.6401277,0.0026423652,0.09523074,0.0,0.025280898876404494,0.0,,,8
118,UPK3BL1,0,train,3.8498206,0.0012721615,0.12030016,3330.8746841157335,21.784065147260574,175.18680210809146,2.6242318,0.0025266618,0.09466009,0.0,0.0028089887640449437,0.0,,,7
119,C11ORF24,0,train,2.5984473,0.00024149101,0.081201114,3330.368066663501,22.068805620017052,175.12409727441857,2.517495,0.0029423665,0.09079461,0.0,0.0,0.0,,,8
120,NUP153,0,train,3.2314138,0.0014560848,0.10097119,3319.882868095324,21.716974712305174,174.60809286301009,2.3237221,0.0027620178,0.08380459,0.0,0.0028089887640449437,0.0,,,6
121,SORT1,1,train,3.164652,0.0017442601,0.09887999,3396.807158966383,22.212220389478492,178.6548884358143,2.5233185,0.003150727,0.09099789,0.0,0.03932584269662921,0.0,,,5
122,ADA,1,train,2.4377456,0.00095886993,0.07617351,3322.91737857123,21.390669222374733,174.8103971675868,2.654954,0.0021605052,0.09577803,0.0,0.0056179775280898875,0.0,,,3
123,TPRA1,0,train,4.4519477,0.0016132696,0.139114,3309.5786548833516,21.573050579369223,174.07564637149454,2.2231739,0.0029764853,0.08016664,0.0,0.0056179775280898875,0.0,,,5
124,XRCC2,0,train,3.0744321,0.0012886015,0.096067354,3349.7232777206978,22.187793470200692,176.14303978595288,2.605892,0.0026830558,0.09399374,0.0,0.011235955056179775,0.0,,,5
125,SPTBN4,0,train,3.9486644,0.0012301782,0.12338963,3353.3662621992244,22.19153769255872,176.33717050317114,2.561834,0.0031250005,0.09238939,0.0,0.0056179775280898875,0.0,,,6
126,FAM221B,0,train,2.653118,0.00011457899,0.082909845,3309.1662693407675,21.293583435978285,174.08803351062772,2.7154462,0.0020851025,0.097963035,0.0,0.025280898876404494,0.0,,,7
127,MPPED2,1,train,3.3516963,0.0017811221,0.10472537,3334.1274221217573,22.237561371625073,175.3035923170293,2.63841,0.0027397834,0.095166,0.0,0.0,0.0,,,6
128,CLNS1A,0,train,3.0598204,0.0007989985,0.09561605,3315.9030355510317,21.988110939624416,174.36155707997463,2.901205,0.0022040603,0.10466501,0.0,0.0,0.0,,,6
129,CFAP69,1,train,3.1297748,0.0010531701,0.09779979,3416.7565403999656,22.247392137077554,179.71594563966977,2.5790863,0.0033726518,0.09300362,0.0,0.07303370786516854,0.0,,,6
130,ZFYVE21,0,train,4.495868,0.0014950826,0.14048795,3336.2219895525136,22.27987469281407,175.41012392599683,2.3216608,0.003518818,0.08370179,0.0,0.011235955056179775,0.0,,,7
131,KDM4A,0,train,2.343026,0.0005063482,0.07321782,3332.7498732982217,22.14202378821036,175.2420947948697,2.5625331,0.0027438411,0.09242674,0.0,0.0,0.0,,,5
132,DDX28,0,train,4.509677,0.0013596327,0.14092085,3338.378006952082,21.81050511302715,175.58425089541754,2.6396008,0.002505298,0.09521543,0.0,0.028089887640449437,0.0,,,5
133,AK8,0,train,3.2786677,0.0010963944,0.102452494,3336.667698211234,21.74832640840158,175.50062417482897,2.508105,0.0029183438,0.09045638,0.0,0.014044943820224719,0.0,,,3
134,FTO,1,train,3.8876486,0.0013046276,0.12148202,3316.5417393287357,21.338188294195508,174.47639002848237,2.4874346,0.0024113788,0.08972517,0.0,0.028089887640449437,0.0,,,3
135,MRPS16,0,train,3.7190623,0.0016773639,0.116208605,3313.915417062028,21.501528212458773,174.31608733972786,2.5184562,0.0025994412,0.09083977,0.0,0.0,0.0,,,6
136,ADH1B,1,train,5.5770235,0.0016089962,0.17427455,3320.0510044729263,21.52754925592907,174.64052709074338,2.4668791,0.0027862426,0.08897222,0.0,0.014044943820224719,0.0,,,5
137,DYNLT3,0,train,4.1630187,0.0016165979,0.1300843,3345.4158743926605,22.30870651845865,175.89764857032606,2.5302932,0.0032316607,0.09124689,0.0,0.0028089887640449437,0.0,,,6
138,PITRM1,0,train,3.0459995,0.0017242536,0.09517186,3311.262450439705,21.651913927478112,174.15578314310173,2.5621092,0.0025083188,0.09241813,0.0,0.0056179775280898875,0.0,,,6
139,IL12B,1,train,4.3369107,0.0012049957,0.13552313,3317.7027633995003,21.523909398637365,174.51557685927924,2.613263,0.002304036,0.09426985,0.0,0.014044943820224719,0.0,,,5
140,PDE3B,1,train,3.138399,-1.3592653e-05,0.09807496,3339.9256890268603,21.265802108175016,175.73368020373178,2.4583964,0.0023769087,0.08867789,0.0,0.02247191011235955,0.0,,,5
141,CCDC74B,0,train,3.576895,0.0018073568,0.11176336,3349.446077634596,22.08922838820025,176.14062084651698,2.4912593,0.003182254,0.089839235,0.0,0.0056179775280898875,0.0,,,7
142,PCGF3,1,train,2.96045,0.0011605285,0.09250678,3311.050537500249,21.815920581294236,174.12399542571038,2.3483024,0.003154955,0.084678315,0.0,0.011235955056179775,0.0,,,5
143,SLC22A17,0,train,4.0626807,0.001963801,0.12694357,3349.175708892172,22.131635023797195,176.1208553816621,2.5241103,0.003092506,0.09102847,0.0,0.008426966292134831,0.0,,,8
