sample_index,gene_symbol,label,split_origin,protein_embedding_cluster
122,ADA,1,train,80
123,TPRA1,0,train,33
124,XRCC2,0,train,117
125,SPTBN4,0,train,42
126,FAM221B,0,train,18
127,MPPED2,1,train,102
128,CLNS1A,0,train,86
129,CFAP69,1,train,13
130,ZFYVE21,0,train,12
131,KDM4A,0,train,3
132,DDX28,0,train,42
133,AK8,0,train,64
134,FTO,1,train,77
135,MRPS16,0,train,26
136,ADH1B,1,train,70
137,DYNLT3,0,train,42
138,PITRM1,0,train,80
139,IL12B,1,train,33
140,PDE3B,1,train,18
141,CCDC74B,0,train,62
142,PCGF3,1,train,96
143,SLC22A17,0,train,29
144,WSCD2,1,train,42
145,ATP8B4,0,train,52
146,ACOT6,0,train,60
147,UHRF1,1,train,109
148,MRAP,0,train,60
149,HSF2,0,train,73
150,OR4D2,0,train,99
151,PPM1F,0,train,119
152,AMY2A,1,train,108
153,LAMA1,1,train,110
154,CDC42BPB,0,train,5
155,TMEM121,0,train,11
156,FAM185A,1,train,36
157,CABIN1,0,train,45
158,STPG2,0,train,44
159,ATXN7L3,0,train,61
160,WDR44,0,train,91
161,KRT36,0,train,21
162,NUDT15,0,train,108
163,ZNF136,0,train,78
164,SERINC2,0,train,34
165,DCLK2,1,train,5
166,IZUMO1R,0,train,82
167,MFSD6L,0,train,12
168,ZFHX3,1,train,113
169,CCDC197,0,train,97
170,TTI1,0,train,38
171,XPC,0,train,93
172,IRX6,1,train,30
173,ITPKC,0,train,118
174,OR2L5,0,train,80
175,CDCA5,0,train,28
176,ARPC5L,0,train,86
177,TNFRSF6B,1,train,14
178,U2AF1L4,0,train,26
179,ZNF324B,0,train,18
180,KIF3C,1,train,48
181,SRP68,0,train,68
182,NRF1,1,train,0
183,ZNF326,0,train,89
184,IGSF21,1,train,66
185,ASAH1,1,train,16
186,NPC1,1,train,81
187,ZFAND3,1,train,42
188,ADRA1D,1,train,76
189,BACE2,1,train,77
190,OR6M1,0,train,5
191,LRRK1,1,train,16
192,TEX101,0,train,113
193,ZNRF3,1,train,39
194,RASSF1,0,train,110
195,TRIOBP,0,train,32
196,EYA1,1,train,33
197,KRT9,0,train,56
198,UBE2E2,1,train,25
199,ID4,1,train,35
200,COQ6,0,train,70
201,XXYLT1,0,train,119
202,SCAF4,0,train,87
203,ARMC8,0,train,33
204,C20ORF96,0,train,57
205,BFSP2,0,train,78
206,PCDHGB5,0,train,114
207,CUL7,0,train,22
208,ZNF704,0,train,9
209,ZNF711,0,train,47
210,COL23A1,0,train,46
211,FABP9,0,train,114
212,SBF1,0,train,12
213,MEIS1,1,train,0
214,MYO5C,1,train,46
215,JARID2,1,train,90
216,CCDC57,0,train,36
217,TSHZ2,1,train,26
218,RMC1,1,train,8
219,SMIM41,0,train,45
220,RAMP3,1,train,26
221,XRN2,0,train,12
222,CEP350,0,train,114
223,ZCCHC8,0,train,53
224,FAM149B1,0,train,106
225,MS4A14,0,train,92
226,GLRA1,1,train,86
227,CDC42BPA,1,train,17
228,ONECUT1,1,train,34
229,FEM1C,0,train,41
230,HMGA1,1,train,14
231,CTTNBP2,1,train,110
232,RBM23,0,train,12
233,GDF7,1,train,101
234,PDE8B,1,train,27
235,OCIAD2,1,train,19
236,ZCCHC9,0,train,71
237,CST8,0,train,64
238,NFATC2,1,train,10
239,SLCO6A1,1,train,39
240,DGLUCY,0,train,47
241,USP27X,0,train,38
242,QSER1,1,train,42
243,PLCL2,1,train,12
244,CEP295,0,train,60
245,ST6GAL1,1,train,61
246,RIN1,0,train,104
247,SCART1,0,train,102
248,EVI2A,1,train,65
249,ROPN1,0,train,29
250,CASS4,0,train,47
251,SEPHS1,0,train,60
252,HTT,1,train,91
253,JADE2,1,train,11
254,ZNF816,0,train,56
255,INSR,1,train,12
256,SCGN,1,train,23
257,L3MBTL3,1,train,42
258,ABTB3,0,train,79
259,MTNAP1,0,train,2
260,AKAP6,1,train,34
261,ECE2,1,train,70
262,GSTT4,0,train,111
263,TECPR2,0,train,66
264,PIKFYVE,0,train,102
265,DMD,1,train,54
266,RNPEPL1,0,train,52
267,PHKA1,0,train,20
268,NDUFV1,1,train,21
269,RUNX3,1,train,102
270,C4ORF36,0,train,100
271,COL13A1,1,train,4
272,CELSR2,1,train,21
273,NRAP,0,train,7
274,HDHD5,0,train,54
275,TENT5A,0,train,76
276,CCDC8,0,train,5
277,LRMDA,1,train,54
278,BOD1L1,0,train,37
279,TCTN3,0,train,31
280,UBAP2,1,train,69
281,FAM91A1,0,train,34
282,DRD2,1,train,114
283,TOGARAM1,0,train,101
284,PAXIP1,0,train,76
285,NUDT4B,0,train,18
286,ADRA1B,1,train,5
287,OR52E6,0,train,58
288,XDH,1,train,43
289,BORA,0,train,116
290,LTBP3,1,train,12
291,CCNJ,0,train,100
292,ZNF579,0,train,20
293,PRPF40A,1,train,11
294,FBXL13,1,train,39
295,SEPTIN3,0,train,76
296,GBA2,1,train,98
297,RNF216,0,train,82
298,RAMP2,1,train,31
299,CYFIP2,0,train,93
300,PLEKHA1,1,train,48
301,PLEKHG1,1,train,67
302,TPK1,0,train,5
303,ELF1,1,train,10
304,ZNF416,0,train,61
305,FAM90A26,0,train,76
306,ZDHHC13,0,train,0
307,PPP1R3A,1,train,56
308,ALG13,0,train,17
309,GMDS,1,train,56
310,TCF4,1,train,30
311,CACNA1I,0,train,52
312,MYBL2,1,train,61
313,SSR1,1,train,48
314,ABCA7,0,train,23
315,EMILIN2,1,train,91
316,SLC38A11,1,train,81
317,SYNJ2,0,train,22
318,RSAD1,0,train,12
319,ANKRD30A,0,train,99
320,NDUFB8,1,train,102
321,PBX4,0,train,33
322,PLA2G4D,0,train,94
323,ATP8B2,1,train,63
324,TSPAN8,1,train,12
325,CPQ,1,train,17
326,ASB1,0,train,59
327,CCSER1,1,train,5
328,NDUFB4,1,train,52
329,STK40,0,train,17
330,ZHX3,1,train,57
331,DNAAF11,0,train,113
332,NUS1,1,train,47
333,KCNIP4,0,train,5
334,CRYBA1,1,train,74
335,SHQ1,1,train,57
336,SV2A,1,train,52
337,PGBD5,0,train,54
338,TAF2,0,train,65
339,CACNG4,0,train,8
340,NUTM2G,0,train,70
341,PABPC4,1,train,1
342,NLRC3,1,train,21
343,VEGFA,1,train,11
344,CCT2,0,train,13
345,YKT6,1,train,0
346,KRTAP7-1,0,train,44
347,CDKN1B,1,train,96
348,EIF2B2,0,train,37
349,NDUFB11,1,train,73
350,MOB1B,1,train,30
351,GNPDA2,1,train,52
352,RAB27B,0,train,69
353,BPIFB2,0,train,63
354,SMAD3,1,train,61
355,ZNF446,0,train,21
356,RAB5IF,0,train,48
357,WDR3,0,train,3
358,DNMT3A,1,train,3
359,MC4R,1,train,111
360,AASDHPPT,0,train,27
361,SAG,1,train,12
362,CCT6B,0,train,67
363,GEMIN2,0,train,77
364,RDH14,1,train,86
365,MGAM,1,train,100
366,CYRIA,1,train,86
367,ZNF689,0,train,73
368,C12ORF60,0,train,95
369,NDUFS6,1,train,65
370,TNFAIP6,1,train,109
371,NADK2,1,train,26
372,SDCBP,0,train,46
373,SCAND3,0,train,22
374,CEP63,0,train,43
375,TMF1,0,train,116
376,KCNJ12,1,train,53
377,LAMA3,0,train,18
378,AMDHD1,0,train,34
379,STAG3,0,train,111
380,POLR2D,0,train,14
381,TNKS1BP1,0,train,5
382,ASGR2,0,train,109
383,ABCA8,0,train,9
384,TOR1AIP1,0,train,17
385,ANKRD16,0,train,27
386,ATP4B,1,train,3
387,APOA4,1,train,118
388,ARF5,1,train,36
389,CACNA2D3,1,train,106
390,FADS2,1,train,73
391,HMBS,1,train,47
392,SPRY2,1,train,2
393,ICE1,0,train,9
394,CHRNA1,0,train,32
395,MSRA,1,train,28
396,NCAM1,1,train,70
397,NKX2-6,1,train,78
398,NEPRO,0,train,50
399,FBXW7,1,train,7
400,KLHL7,0,train,92
401,SEPTIN4,0,train,57
402,HHEX,1,train,13
403,NDUFA10,1,train,54
404,CLEC18A,0,train,23
405,NDUFAB1,1,train,18
406,EPS15,0,train,95
407,PDE4B,1,train,95
408,ENPP1,1,train,60
409,CSMD3,0,train,45
410,ARHGAP30,0,train,47
411,CFAP65,0,train,39
412,BTBD1,1,train,114
413,PHF13,1,train,46
414,SCHIP1,0,train,1
415,TECTB,0,train,57
416,HIVEP1,0,train,8
417,REL,1,train,54
418,KHDC1,0,train,109
419,THEMIS,1,train,9
420,ARG1,1,train,13
421,FOXK1,1,train,91
422,NUP85,0,train,46
423,IGSF10,0,train,61
424,ARPIN,1,train,80
425,RAB42,0,train,18
426,TECPR1,1,train,94
427,FST,1,train,12
428,CMIP,1,train,39
429,ZC3H11B,1,train,2
430,ABCC8,1,train,52
431,IL1B,1,train,28
432,SRP54,1,train,5
433,GTF2IRD1,1,train,11
434,DGKD,1,train,43
435,FYTTD1,0,train,1
436,ALG14,0,train,118
437,SH3YL1,1,train,95
438,PCDHGA8,0,train,118
439,CCNO,0,train,78
440,SSX5,0,train,89
441,PRDM7,0,train,23
442,CAMK2B,1,train,76
443,COBLL1,1,train,110
444,PPP4R3C,0,train,101
445,KIFC3,0,train,37
446,COPB1,1,train,84
447,PCYOX1,0,train,18
448,STOX2,0,train,54
449,PLA2G2F,1,train,108
450,GDAP1L1,1,train,67
451,CLEC14A,1,train,23
452,C11ORF52,0,train,28
453,MEF2C,1,train,119
454,ZC3H13,1,train,10
455,NDUFAF2,1,train,109
456,CSF1,1,train,78
457,COMT,1,train,46
458,CHAF1A,0,train,34
459,NOXA1,0,train,65
460,CA10,1,train,12
461,IL13,1,train,76
462,FAF2,0,train,67
463,POTEB,0,train,38
464,GMPPA,0,train,13
465,PTPRG,1,train,55
466,UCMA,1,train,22
467,TLR4,1,train,2
468,UBE2E3,1,train,1
469,SLC12A8,1,train,38
470,SLC22A10,0,train,110
471,MYO19,1,train,8
472,ZNF25,0,train,34
473,EXOSC2,0,train,98
474,FNDC7,0,train,64
475,GPR85,0,train,38
476,GRIN2D,0,train,33
477,OR52R1,0,train,60
478,CYP7B1,1,train,36
479,HAUS6,1,train,73
480,AZIN1,1,train,64
481,CEP68,1,train,39
482,PKD1L1,0,train,119
483,GAGE1,0,train,35
484,FBN2,1,train,101
485,FAXC,0,train,72
486,ANGPTL4,1,train,52
487,TANK,1,train,7
488,TSC22D2,1,train,80
489,CHD1L,1,train,47
490,USP54,0,train,45
491,DCAF5,1,train,110
492,PIP4K2A,1,train,109
493,HERC3,0,train,80
494,PRSS37,0,train,57
495,WDR7,1,train,30
496,MAGEA4,0,train,105
497,PPARA,1,train,84
498,JPH2,1,train,26
499,HEY2,1,train,118
500,TUBGCP3,0,train,63
501,ZNF717,0,train,114
502,HMGA2,1,train,48
503,NKX6-1,1,train,106
504,LHX2,1,train,60
505,MEIS2,0,train,28
506,IL17REL,1,train,71
507,A1CF,1,train,58
508,LYRM7,0,train,28
509,GLP1R,1,train,86
510,RAB11FIP1,0,train,57
511,ACTL7A,0,train,14
512,PIK3R1,1,train,115
513,YTHDC2,1,train,30
514,NDUFB5,1,train,95
515,CCDC81,0,train,42
516,GPATCH2,0,train,27
517,SLC49A3,0,train,67
518,MRPS30,1,train,109
519,NDUFAF5,0,train,8
520,RBM44,0,train,77
521,PPP3CA,1,train,77
522,DEDD2,0,train,84
523,TTC9C,0,train,50
524,AREL1,0,train,37
525,DRD3,1,train,47
526,ACE,1,train,86
527,FITM2,1,train,76
528,ITIH6,0,train,12
529,EML1,0,train,22
530,FOXD4L5,0,train,38
531,PSMD13,0,train,15
532,SEPHS2,0,train,78
533,LRP12,1,train,42
534,FEZF1,1,train,65
535,LRRC37A3,0,train,45
536,CST11,0,train,16
537,CDKL2,1,train,58
538,C1GALT1,1,train,93
539,TRPC7,0,train,38
540,GLI2,1,train,57
541,SCAF1,0,train,45
542,CPNE4,1,train,28
543,ZZZ3,0,train,39
544,IFNW1,0,train,12
545,NBPF1,0,train,56
546,CUL3,0,train,57
547,ZNF268,1,train,13
548,DACH1,1,train,55
549,UBAP1,1,train,21
550,GPAT4,1,train,48
551,DUSP9,1,train,74
552,TNRC6A,1,train,38
553,SPDYE2B,0,train,87
554,TFEB,1,train,59
555,GPR156,0,train,48
556,SYDE2,0,train,25
557,ZBTB14,0,train,82
558,FXYD2,1,train,47
559,ZIK1,0,train,52
560,VDR,1,train,52
561,GPR26,1,train,114
562,HCFC2,0,train,115
563,IGF1R,1,train,53
564,NAA60,0,train,25
565,ROBO2,1,train,12
566,MT4,0,train,51
567,TRIM73,0,train,14
568,ANKIB1,0,train,56
569,PLPPR1,1,train,76
570,JMJD1C,1,train,61
571,MYOZ2,1,train,78
572,PSTPIP1,1,train,53
573,TSPEAR,0,train,16
574,SLC22A3,1,train,85
575,MLXIPL,1,train,16
576,KRT15,0,train,45
577,RBPJ,1,train,16
578,ENTPD7,0,train,34
579,HMGCR,1,train,89
580,PKIG,1,train,56
581,NYNRIN,1,train,18
582,SEC23IP,1,train,60
583,OLFML1,0,train,27
584,ZNF281,1,train,76
585,NDUFA12,1,train,29
586,NR2F1,1,train,59
587,PCNT,1,train,89
588,FUT9,0,train,5
589,PLK5,0,train,63
590,GDAP2,0,train,63
591,ACADS,1,train,80
592,RGS18,0,train,46
593,KLHL21,1,train,42
594,KCNK4,0,train,5
595,ZEB2,1,train,29
596,DOCK9,0,train,47
597,MAGEE1,0,train,106
598,BMAL1,1,train,23
599,TNS1,1,train,67
600,CNR1,1,train,79
601,TCAF1,0,train,14
602,JADE3,0,train,94
603,USP19,0,train,108
604,ZNF343,0,train,18
605,BICDL2,0,train,64
606,OTOGL,0,train,61
607,NDUFA9,1,train,37
608,ISL1,1,train,1
609,C20ORF173,0,train,11
610,DUSP23,0,train,61
611,IRS2,1,train,86
612,SMARCAD1,1,train,89
613,ADAMTS6,0,train,64
614,ARID5B,1,train,28
615,DHTKD1,1,train,76
616,MRPS14,0,train,9
617,STAP1,0,train,77
618,HAS2,1,train,12
619,NDUFS5,1,train,114
620,DNASE1,1,train,33
621,TAF11L9,0,train,25
622,GSDMC,0,train,29
623,ZNF541,0,train,38
624,KIF26A,1,train,33
625,PPP4R3A,1,train,61
626,AGMO,1,train,4
627,EXOC3L1,0,train,106
628,NDUFB10,1,train,18
629,SOX7,1,train,25
630,MAEA,1,train,10
631,HCN1,1,train,57
632,NPIPA8,0,train,101
633,EBAG9,0,train,23
634,DENND2A,0,train,18
635,RBFOX1,1,train,78
636,GDF6,1,train,61
637,TLCD4,0,train,89
638,PAGE3,0,train,114
639,DDB1,0,train,22
640,CST9L,0,train,85
641,ART3,1,train,90
642,PDE3A,1,train,50
643,GRAMD2B,1,train,33
644,FBXL18,0,train,34
645,RIOX2,0,train,3
646,GSG1L,0,train,30
647,VPS35L,0,train,30
648,EXOC1,0,train,42
649,TMEM230,0,train,20
650,RELN,1,train,12
651,NOS2,1,train,60
652,NCR3LG1,1,train,56
653,PHGDH,1,train,58
654,KLLN,1,train,85
655,LTO1,1,train,82
656,PPP2R5D,0,train,69
657,NDUFA6,1,train,44
658,ATP13A1,0,train,3
659,CCDC13,0,train,28
660,CIMIP3,0,train,12
661,UMOD,1,train,68
662,PISD,1,train,66
663,BEND7,1,train,63
664,BDNF,1,train,67
665,AVEN,0,train,12
666,PWWP2A,0,train,67
667,VN1R2,0,train,25
668,ATP5MC1,1,train,109
669,FOXN3,1,train,5
670,ALS2,0,train,62
671,NOS1,1,train,63
672,LIPM,0,train,30
673,IL13RA1,1,train,42
674,FAM171A2,0,train,71
675,ATAD2,0,train,5
676,ZDHHC1,0,train,69
677,SEMA6D,0,train,54
678,TOMM7,1,train,42
679,AP3B1,1,train,11
680,NDUFB9,1,train,34
681,HNRNPA1L3,0,train,115
682,PNMA8B,0,train,12
683,FNDC3B,1,train,1
684,NDUFV3,1,train,74
685,SETD1B,0,train,1
686,CDH24,0,train,36
687,NEMP1,0,train,34
688,CDKN2B,1,train,12
689,TCP11X1,0,train,33
690,IFT52,1,train,66
691,ADCY9,1,train,80
692,NDUFA5,1,train,92
693,ZNF544,0,train,57
694,SLCO5A1,0,train,26
695,PDGFC,1,train,16
696,RBBP6,0,train,2
697,CLEC2D,0,train,52
698,FSCN3,1,train,16
699,FAM163A,0,train,8
700,LGSN,1,train,86
701,SIPA1,1,train,33
702,KMT5B,0,train,37
703,NOPCHAP1,0,train,91
704,PDCD4,1,train,97
705,SNX22,0,train,12
706,FEM1A,0,train,53
707,PKN3,0,train,34
708,NRP2,1,train,80
709,EIF2AK1,0,train,33
710,ZSWIM9,0,train,33
711,COQ5,0,train,21
712,VIPAS39,0,train,98
713,DDX20,1,train,47
714,PCDHGB4,0,train,64
715,NTNG1,1,train,5
716,CASR,1,train,43
717,NAA16,0,train,81
718,FBRSL1,1,train,7
719,ARID3B,0,train,16
720,WRN,1,train,81
721,UBE2U,0,train,95
722,TBC1D8,0,train,114
723,ZPBP2,0,train,104
724,POTEG,0,train,12
725,ZNF814,0,train,33
726,ATP1A2,1,train,57
727,NDUFS7,1,train,3
728,CAMSAP3,0,train,86
729,SEPTIN9,1,train,53
730,MAGI1,1,train,65
731,CTSH,1,train,33
732,WDR11,1,train,41
733,SCARB2,1,train,65
734,ZNF224,0,train,110
735,JAKMIP1,1,train,60
736,ESR1,1,train,59
737,RIGI,1,train,90
738,SLC12A2,1,train,109
739,PRDM14,1,train,50
740,IL2RA,1,train,32
741,EMC7,0,train,63
742,CTDP1,0,train,119
743,TMEM17,1,train,33
744,SBF2,1,train,29
745,DPH7,0,train,48
746,SPPL3,1,train,118
747,MARCHF10,0,train,57
748,CWH43,1,train,27
749,TRIP10,0,train,56
750,MYC,1,train,67
751,KCP,0,train,56
752,CFTR,1,train,118
753,MBLAC1,0,train,91
754,PAM,1,train,86
755,RNF17,0,train,111
756,CCDC188,0,train,71
757,MS4A6A,0,train,26
758,CCN5,1,train,10
759,KBTBD3,0,train,33
760,EML5,1,train,36
761,TLL2,0,train,103
762,PAX4,1,train,115
763,UAP1L1,0,train,23
764,ARPP21,1,train,48
765,CNGA4,0,train,43
766,PPFIA4,0,train,28
767,CLCA1,0,train,63
768,CCDC80,0,train,59
769,SUPT3H,0,train,30
770,CFAP47,0,train,28
771,TBRG1,0,train,109
772,PARP8,1,train,94
773,SIGLEC9,0,train,76
774,TRMT9B,1,train,37
775,NHSL1,1,train,94
776,OSGIN1,1,train,113
777,HUWE1,1,train,101
778,CHRD,0,train,106
779,EBF2,1,train,62
780,NDUFA2,1,train,25
781,ZBED3,1,train,61
782,ZNF512B,0,train,4
783,PTCH1,1,train,26
784,LZIC,0,train,74
785,CXXC1,0,train,81
786,AOC1,1,train,14
787,ZNF573,0,train,8
788,CFAP184,0,train,92
789,ZDHHC21,0,train,101
790,OSBPL5,0,train,106
791,TIMP4,1,train,96
792,TRMT10C,0,train,91
793,KDM4B,1,train,61
794,CCDC110,0,train,16
795,BPTF,1,train,99
796,ZMIZ1,1,train,16
797,FHOD1,0,train,0
798,FBXO15,0,train,43
799,SWT1,0,train,19
800,NMI,1,train,33
801,FAF1,1,train,100
802,TM4SF4,1,train,78
803,KL,1,train,109
804,SPDYE3,0,train,45
805,CDC25A,1,train,76
806,MOCOS,0,train,44
807,DEPDC1B,0,train,32
808,BRD3OS,1,train,26
809,PPP2R2C,1,train,102
810,GIPR,1,train,13
811,IL12RB1,0,train,81
812,COA6,0,train,21
813,FIBCD1,1,train,46
814,CBLN4,1,train,13
815,USP6NL,0,train,8
816,SI,1,train,16
817,RAMP1,1,train,1
818,TH,1,train,103
819,LHFPL3,1,train,87
820,NOTCH2,1,train,35
821,HOATZ,0,train,61
822,ATP2A3,1,train,33
823,TMEM87B,1,train,31
824,SOS2,1,train,70
825,ITGA11,1,train,43
826,APOL5,0,train,9
827,DROSHA,0,train,18
828,SLC16A13,1,train,77
829,MTNR1B,1,train,29
830,SLC39A6,0,train,91
831,P2RY12,1,train,0
832,SLC1A2,1,train,1
833,ABCA6,0,train,5
834,SIPA1L3,0,train,90
835,HNF1A,1,train,33
836,ZNF664,1,train,16
837,FTHL17,0,train,61
838,MAP3K1,1,train,11
839,ZNF81,0,train,86
840,GPSM1,1,train,113
841,CCDC152,0,train,48
842,LDB2,1,train,106
843,NEGR1,1,train,35
844,CCP110,0,train,60
845,IER5L,0,train,36
846,TFAP2E,0,train,38
847,DENND4B,0,train,35
848,SPATA31A7,0,train,8
849,PLCB4,0,train,42
850,LEPR,1,train,29
851,NDUFA8,1,train,49
852,PTGS2,1,train,39
853,SPATA31A5,0,train,102
854,MED27,1,train,92
855,PRMT6,1,train,3
856,COA7,0,train,3
857,STK24,1,train,58
858,MAD1L1,1,train,71
859,HSH2D,0,train,97
860,OR2K2,0,train,64
861,PCM1,1,train,39
862,MAML2,1,train,87
863,GCGR,1,train,77
864,SLC39A11,1,train,69
865,CEP95,0,train,60
866,SH2B3,1,train,37
867,ATAD3B,0,train,33
868,RNF112,0,train,17
869,PFN3,0,train,20
870,ITGA1,1,train,95
871,SETBP1,1,train,81
872,PCNX4,0,train,104
873,NFX1,0,train,18
874,GFI1,1,train,23
875,FSCB,0,train,54
876,TESPA1,0,train,3
877,TET2,1,train,16
878,B4GALNT1,0,train,11
879,PLEKHB1,0,train,63
880,BCL2,1,train,60
881,LPL,1,train,71
882,LONRF1,1,train,93
883,LRRC74A,1,train,76
884,ETV5,1,train,63
885,HERC2,0,train,43
886,ESPN,0,train,22
887,NBPF9,0,train,9
888,C12ORF43,1,train,76
889,THADA,1,train,117
890,C8ORF88,0,train,71
891,ZKSCAN4,0,train,81
892,OASL,1,train,43
893,EPHA7,0,train,26
894,PRIM1,1,train,84
895,UNC80,0,train,69
896,ACSL1,1,train,36
897,KRT77,0,train,36
898,RPA4,0,train,18
899,COXFA4,1,train,109
900,RAI1,1,train,93
901,PLCG2,1,train,74
902,HNF1B,1,train,114
903,CDKN1C,1,train,23
904,AUTS2,1,train,74
905,TMC3,0,train,8
906,KCTD4,0,train,116
907,TYK2,1,train,11
908,CPA1,1,train,100
909,PDZRN4,1,train,84
910,GTSE1,0,train,12
911,LDHB,1,train,22
912,CEBPG,1,train,84
913,DMRT2,1,train,67
914,HIVEP2,1,train,10
915,GOPC,1,train,38
916,SAMM50,1,train,111
917,MAGEC2,0,train,118
918,ATP1B2,1,train,111
919,TBC1D4,1,train,94
920,LDLRAD4,1,train,86
921,JMY,1,train,110
922,ZNF329,0,train,52
923,NEUROG3,1,train,31
924,STARD10,1,train,0
925,NRSN1,0,train,93
926,RFX6,1,train,118
927,TUBB4A,0,train,28
928,ARHGAP9,0,train,28
929,HP,1,train,94
930,SKI,1,train,50
931,PTGS1,1,train,39
932,MYO1D,0,train,105
933,OR52E8,0,train,91
934,AGTR1,1,train,36
935,SNTB1,1,train,41
936,CNOT7,0,train,111
937,DRAXIN,0,train,78
938,KCNQ1,1,train,0
939,KIF16B,0,train,73
940,SCN5A,1,train,2
941,NCOR2,1,train,52
942,MED12L,0,train,107
943,ZNF184,0,train,119
944,ZNF407,0,train,106
945,ETF1,0,train,32
946,TPP1,0,train,64
947,NDUFA11,1,train,46
948,MTUS2,0,train,117
949,CCDC127,0,train,12
950,HNF4A,1,train,11
951,ZNF532,0,train,76
952,ERN1,1,train,25
953,ZNF257,1,train,32
954,GALC,0,train,67
955,SMCO2,1,train,45
956,GAD1,1,train,13
957,CIMAP2,0,train,63
958,SLC9B1,1,train,47
959,KLHL38,0,train,66
960,RLF,0,train,16
961,SMIM26,0,train,35
962,KRT2,0,train,19
963,WNT9B,1,train,110
964,WDR43,0,train,92
965,B3GLCT,1,train,1
966,ZBTB39,0,train,25
967,COXFA4L2,1,train,61
968,CDH7,1,train,67
969,SLC35A4,0,train,70
970,CEP120,1,train,93
971,PTCHD4,0,train,12
972,ANAPC2,0,train,57
973,PCNX1,0,train,118
974,PLCZ1,0,train,18
975,CDHR1,0,train,12
976,GRB14,1,train,12
977,MTARC2,0,train,80
978,GNL2,0,train,14
979,CLUAP1,1,train,87
980,CHMP4B,1,train,44
981,SEC14L3,0,train,16
982,NSD3,0,train,54
983,MON1B,1,train,97
984,LAMC1,1,train,5
985,MTSS2,0,train,32
986,ADCY1,1,train,47
987,SLCO4C1,1,train,78
988,PTK6,0,train,12
989,NEU2,0,train,62
990,ANKDD1B,1,train,114
991,ZNF821,0,train,99
