rank_by_score,disease_id,evidence_mode,target_id,target_symbol,target_name,association_score,ds_clinical_precedence,ds_gwas_credible_sets,ds_eva,ds_genomics_england,ds_eva_somatic,ds_europepmc,prio_geneticConstraint,prio_hasHighQualityChemicalProbes,prio_hasLigand,prio_hasPocket,prio_hasSafetyEvent,prio_hasSmallMoleculeBinder,prio_isInMembrane,prio_isSecreted,prio_maxClinicalStage,prio_mouseKOScore,prio_mouseOrthologMaxIdentityPercentage,prio_paralogMaxIdentityPercentage,prio_tissueDistribution,prio_tissueSpecificity,prio_geneEssentiality,ds_impc,ds_gene_burden,ds_uniprot_variants,ds_uniprot_literature,prio_isCancerDriverGene,ds_expression_atlas,prio_hasTEP,rank_by_score_clean,label,label_name,label_source,label_rule,label_version,disease_name,positive_tier,has_ot_gwas_credible_sets,has_ot_clinical_precedence,has_ot_europepmc,has_ot_gene_burden,has_ot_eva,n_ot_evidence_datasources_present,gwas_n_association_mentions,gwas_n_unique_snps,gwas_n_unique_studies,gwas_n_unique_pubmed_ids,gwas_n_unique_regions,gwas_max_pvalue_mlog,gwas_reported_gene_mentions,gwas_has_reported_gene_support,has_gwas_catalog_strict_t2d_mapping
11,MONDO_0005148,direct_only,ENSG00000163581,SLC2A2,solute carrier family 2 member 2,0.7421463864988622,,0.8358525499901824,0.904799702580104,0.793687430215172,0.1989284665518026,0.5611851372588211,-0.1907335907335907,,1.0,0.0,,1.0,1.0,0.0,,-0.7806290245255942,0.0935099999999998,0.0,0.5,1.0,0.0,0.3316262500971393,,,,,0.0145142106469041,,11,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,0,1,0,1,7,10,5,10,7,1,29.69897000433602,2,1,1
12,MONDO_0005148,direct_only,ENSG00000105221,AKT2,AKT serine/threonine kinase 2,0.7175050307656363,,0.3986061091364385,0.7711000157301373,0.8860591375189377,,0.5911056641391622,-0.7965802537231108,1.0,1.0,1.0,255.0,1.0,0.0,0.0,1.0,-0.7157962501206744,0.906445,-0.5322250000000001,-1.0,-1.0,0.0,0.7078103996049905,,,0.607930797611621,255.0,,,12,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,0,1,0,1,6,0,0,0,0,0,,0,0,0
13,MONDO_0005148,direct_only,ENSG00000115159,GPD2,glycerol-3-phosphate dehydrogenase 2,0.7068921905305894,0.9986081372456912,,0.6173874989078019,,,0.1363446050236229,-0.2942084942084941,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.7888429076592104,0.6630000000000003,,-1.0,-1.0,0.0,0.3656095816836289,,,,,,,13,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,0,1,1,0,1,4,0,0,0,0,0,,0,0,0
14,MONDO_0005148,direct_only,ENSG00000164756,SLC30A8,solute carrier family 30 member 8,0.6974093822415375,,0.9421368941525056,0.7308814240352514,,,0.7534117353877728,-0.0819635962493104,,0.0,0.0,,0.0,1.0,0.0,,-0.2849917124074505,0.0243899999999996,0.0,0.5,1.0,0.0,0.446859532784422,,,,,,,14,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,0,1,0,1,4,70,15,55,41,1,218.698970004336,35,1,1
15,MONDO_0005148,direct_only,ENSG00000148737,TCF7L2,transcription factor 7 like 2,0.6772682024701681,,0.9147530751135547,0.2842414218166335,,,0.9643456312284826,-0.7158301158301159,,1.0,0.0,255.0,1.0,0.0,0.0,,-0.8841823322477599,0.7334400000000002,0.0,-1.0,-1.0,0.0,0.4602863599283386,,,0.607930797611621,255.0,,,15,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,0,1,0,1,5,135,47,70,55,2,1314.5228787452804,63,1,1
16,MONDO_0005148,direct_only,ENSG00000106331,PAX4,paired box 4,0.6761979218577042,,0.8905301631829737,0.6637189284512575,,,0.3828212160647135,0.1589630446773304,,0.0,0.0,,0.0,0.0,0.0,,-0.7208680696754449,0.0,0.0,,,0.0,,,0.3039653988058105,0.3039653988058105,,,,16,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,0,1,0,1,5,23,7,21,14,1,179.0,11,1,1
17,MONDO_0005148,direct_only,ENSG00000164258,NDUFS4,NADH:ubiquinone oxidoreductase subunit S4,0.6749684045061369,0.9986081372456912,0.4466545428894468,,,,,0.6965250965250964,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.9211005013496032,0.4,0.0,-1.0,-1.0,0.0,,,,,,,,17,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,1,0,0,0,2,1,1,1,1,1,11.0,0,0,1
18,MONDO_0005148,direct_only,ENSG00000010310,GIPR,gastric inhibitory polypeptide receptor,0.6743302170705993,0.9683703958849756,0.4925379228235705,,,,0.5615911207733489,0.7607280750137893,,1.0,0.0,255.0,1.0,0.0,0.0,1.0,-0.1918770117413384,0.0,0.0,0.0,0.5,0.0,0.4189859057139292,,,,,,,18,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,1,1,0,0,4,31,15,25,19,1,88.09691001300806,15,1,1
19,MONDO_0005148,direct_only,ENSG00000162992,NEUROD1,neuronal differentiation 1,0.671465857855922,,,0.674063159034177,0.8274613634158176,,0.3737069076626518,-0.4519580805295091,,0.0,0.0,,0.0,0.0,0.0,,-0.8743903670838238,0.8876399999999997,0.0,0.5,0.75,0.0,,,0.607930797611621,0.607930797611621,,,,19,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,0,0,1,0,1,5,0,0,0,0,0,,0,0,0
20,MONDO_0005148,direct_only,ENSG00000198888,MT-ND1,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1,0.6556905258463207,0.9986081372456912,,,,,0.1782737754584912,,,0.0,0.0,255.0,0.0,0.0,0.0,1.0,,0.0,,-1.0,0.5,,,,,0.3039653988058105,,,,20,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,0,1,1,0,0,3,0,0,0,0,0,,0,0,0
21,MONDO_0005148,direct_only,ENSG00000197594,ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1,0.6538895558580068,,,0.8894598169441027,,0.2445232763726742,0.5589518597546279,-0.3964699393270822,,1.0,0.0,,1.0,1.0,1.0,,-0.9712997410684234,0.0,0.0,0.0,0.5,0.0,,,,0.607930797611621,,,,21,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,0,0,1,0,1,4,0,0,0,0,0,,0,0,0
22,MONDO_0005148,direct_only,ENSG00000197635,DPP4,dipeptidyl peptidase 4,0.6432827162361505,0.9981950138708704,,,,,0.954188839355206,-0.11715388858246,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,-0.8838034952024245,0.2232399999999998,0.0,0.0,0.5,0.0,0.5511044663048749,,,,,,,22,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,0,1,1,0,0,3,0,0,0,0,0,,0,0,0
23,MONDO_0005148,direct_only,ENSG00000213619,NDUFS3,NADH:ubiquinone oxidoreductase core subunit S3,0.6427179016186971,0.9986081372456912,0.2210944610133079,,,,0.1503176444961134,-0.1934914506343077,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.7604864403007968,0.3560600000000001,,-1.0,0.5,0.0,,,,,,,,23,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,1,1,0,0,3,0,0,0,0,0,,0,0,0
24,MONDO_0005148,direct_only,ENSG00000053918,KCNQ1,potassium voltage-gated channel subfamily Q member 1,0.6355195912918692,,0.8725203545198673,,,,0.9395287550350934,-0.0916712630998345,1.0,1.0,0.0,255.0,1.0,1.0,0.0,1.0,-0.9432403169533372,0.3860950000000002,0.0,0.0,0.5,0.0,,,,0.607930797611621,,,,24,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,0,1,0,0,3,132,49,60,43,2,484.5228787452804,51,1,1
25,MONDO_0005148,direct_only,ENSG00000140675,SLC5A2,solute carrier family 5 member 2,0.6351936842498059,0.9974377552980216,,,,,0.9481524613249462,0.4015444015444016,1.0,1.0,0.0,,1.0,1.0,0.0,1.0,-0.3508419754899991,0.53125,0.0,0.5,1.0,0.0,,,,,,,,25,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,0,1,1,0,0,2,0,0,0,0,0,,0,0,0
26,MONDO_0005148,direct_only,ENSG00000113161,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,0.6342492877983139,0.9085867500093788,0.4676155462264257,,,,0.8010576605938883,-0.7436293436293436,1.0,1.0,1.0,255.0,1.0,0.0,0.0,1.0,-0.3074028175658705,0.6734250000000003,,-1.0,0.5,-1.0,,,,,,,,26,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,1,1,0,0,3,2,2,2,2,1,14.0,1,1,1
27,MONDO_0005148,direct_only,ENSG00000145996,CDKAL1,CDKAL1 threonylcarbamoyladenosine tRNA methylthiotransferase,0.6301224563431727,,0.8496053534412038,0.2279740491043579,,,0.7668072629862864,-0.514396028681743,,0.0,0.0,,0.0,0.0,0.0,,-0.7857486610232586,0.5250450000000001,0.0,-1.0,-1.0,0.0,,,,0.607930797611621,,,,27,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,0,1,0,1,4,88,40,62,48,1,415.5228787452804,36,1,1
28,MONDO_0005148,direct_only,ENSG00000166136,NDUFB8,NADH:ubiquinone oxidoreductase subunit B8,0.6288540501591654,0.9986081372456912,0.1366049987187881,,,,0.074599863653586,-0.0535024820739106,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.4870861386104308,0.05914,,-1.0,-1.0,0.0,,,,,,,,28,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,1,1,0,0,3,0,0,0,0,0,,0,0,0
29,MONDO_0005148,direct_only,ENSG00000185002,RFX6,regulatory factor X6,0.6247057987125729,,0.8238474259167556,,,,0.3672599786826904,-0.4460011031439602,,0.0,0.0,,0.0,0.0,0.0,,-0.660054523539604,0.3696100000000001,0.0,0.5,0.75,0.0,0.4129673908175742,0.7599134970145264,,,,,,29,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,0,1,1,0,4,1,1,1,1,1,9.30102999566398,0,0,1
30,MONDO_0005148,direct_only,ENSG00000186010,NDUFA13,NADH:ubiquinone oxidoreductase subunit A13,0.618703076068161,0.9986081372456912,0.0753650055087828,,,,0.0121586159522324,0.5127413127413127,,0.0,0.0,,1.0,0.0,0.0,1.0,-0.5786753726513527,0.1666649999999997,,-1.0,-1.0,-1.0,,,,,,,,30,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,1,1,0,0,3,0,0,0,0,0,,0,0,0
31,MONDO_0005148,direct_only,ENSG00000186951,PPARA,peroxisome proliferator activated receptor alpha,0.6178173993845495,0.9640407276737232,0.1460655601424412,,,,0.4527600294473894,-0.4211803640375069,1.0,1.0,1.0,255.0,1.0,0.0,0.0,1.0,-0.9589030378978264,0.6153849999999998,-0.0064099999999999,-1.0,0.5,0.0,0.4515405999260315,,,,,,,31,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,1,1,0,0,4,1,1,1,1,1,5.3979400086720375,1,1,1
32,MONDO_0005148,direct_only,ENSG00000128609,NDUFA5,NADH:ubiquinone oxidoreductase subunit A5,0.6174892005795394,0.9986081372456912,0.0587319465876114,,,,0.1094275435700918,0.6111417539988968,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.13793,,-1.0,0.5,0.0,,,,,,,,32,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,1,1,0,0,3,0,0,0,0,0,,0,0,0
33,MONDO_0005148,direct_only,ENSG00000165264,NDUFB6,NADH:ubiquinone oxidoreductase subunit B6,0.6168825853298671,0.9986081372456912,0.0398518473581527,,,,0.2337778154804205,0.9526751241036956,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,,-1.0,-1.0,0.0,,,,,,,,33,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,1,1,0,0,3,0,0,0,0,0,,0,0,0
34,MONDO_0005148,direct_only,ENSG00000198695,MT-ND6,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6,0.616156509035007,0.9986081372456912,,,,,0.2984506688399214,,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.2626188680297503,0.0,,-1.0,0.5,,,,,,,,,34,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,0,1,1,0,0,2,0,0,0,0,0,,0,0,0
35,MONDO_0005148,direct_only,ENSG00000090266,NDUFB2,NADH:ubiquinone oxidoreductase subunit B2,0.6145451510601535,0.9986081372456912,0.0490878877150847,,,,,0.7067843353557639,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.1428550000000001,,-1.0,-1.0,0.0,,,,,,,,35,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,1,0,0,0,2,1,1,1,1,1,7.154901959985743,0,0,1
36,MONDO_0005148,direct_only,ENSG00000151366,NDUFC2,NADH:ubiquinone oxidoreductase subunit C2,0.613829473725224,0.9986081372456912,,,,,0.2218947411282416,-0.0068394925537782,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,,-1.0,-1.0,0.0,,,,,,,,36,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,0,1,1,0,0,2,0,0,0,0,0,,0,0,0
37,MONDO_0005148,direct_only,ENSG00000004779,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1,0.611704389560787,0.9986081372456912,,,,,0.1519826994029052,-0.5523441809156096,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.2948700000000002,0.0,-1.0,0.5,-1.0,,,,,,,,37,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,0,1,1,0,0,2,0,0,0,0,0,,0,0,0
38,MONDO_0005148,direct_only,ENSG00000198763,MT-ND2,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2,0.6108872242568398,0.9986081372456912,,,,,0.1250992019009677,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.5,,,,,,,,,38,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,0,1,1,0,0,2,0,0,0,0,0,,0,0,0
39,MONDO_0005148,direct_only,ENSG00000178057,NDUFAF3,NADH:ubiquinone oxidoreductase complex assembly factor 3,0.610673313096752,0.9986081372456912,,,,,0.1180618495928368,0.4143408714837286,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,,-1.0,0.5,0.0,,,,,,,,39,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,0,1,1,0,0,2,0,0,0,0,0,,0,0,0
40,MONDO_0005148,direct_only,ENSG00000198886,MT-ND4,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4,0.6103398411310162,0.9986081372456912,,,,,0.1070911283513457,,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,,0.0,0.0,-1.0,0.5,,,,,,,,,40,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,0,1,1,0,0,2,0,0,0,0,0,,0,0,0
41,MONDO_0005148,direct_only,ENSG00000212907,MT-ND4L,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L,0.6096588677261778,0.9986081372456912,,,,,0.0846881375006188,,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,,-1.0,0.5,,,,,,,,,41,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,0,1,1,0,0,2,0,0,0,0,0,,0,0,0
42,MONDO_0005148,direct_only,ENSG00000130414,NDUFA10,NADH:ubiquinone oxidoreductase subunit A10,0.6094278803169999,0.9986081372456912,,,,,0.0770890025304736,0.2662989520132377,,0.0,0.0,,1.0,0.0,0.0,1.0,-0.4699633750755963,0.0,0.0,-1.0,0.5,0.0,,,,,,,,42,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,0,1,1,0,0,2,0,0,0,0,0,,0,0,0
43,MONDO_0005148,direct_only,ENSG00000198786,MT-ND5,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5,0.6093936596690952,0.9986081372456912,,,,,0.0759631951840084,,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,0.0,-1.0,0.5,,,,,,,,,43,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,0,1,1,0,0,2,0,0,0,0,0,,0,0,0
44,MONDO_0005148,direct_only,ENSG00000125356,NDUFA1,NADH:ubiquinone oxidoreductase subunit A1,0.6091583950062923,0.9986081372456912,,,,,0.0682233450653041,,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.8508722250290404,0.1428550000000001,,-1.0,0.5,0.0,,,,,,,,44,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,0,1,1,0,0,2,0,0,0,0,0,,0,0,0
45,MONDO_0005148,direct_only,ENSG00000131495,NDUFA2,NADH:ubiquinone oxidoreductase subunit A2,0.6089325406506516,0.9986081372456912,,,,,0.0607930797611621,0.5547710976282405,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.2929299999999998,,-1.0,-1.0,0.0,,,,,,,,45,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,0,1,1,0,0,2,0,0,0,0,0,,0,0,0
