target_id,target_symbol,target_name,prio_geneticConstraint,prio_hasHighQualityChemicalProbes,prio_hasLigand,prio_hasPocket,prio_hasSafetyEvent,prio_hasSmallMoleculeBinder,prio_isInMembrane,prio_isSecreted,prio_maxClinicalStage,prio_mouseKOScore,prio_mouseOrthologMaxIdentityPercentage,prio_paralogMaxIdentityPercentage,prio_tissueDistribution,prio_tissueSpecificity,prio_geneEssentiality,prio_isCancerDriverGene,prio_hasTEP
ENSG00000197635,DPP4,dipeptidyl peptidase 4,-0.11715388858246,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,-0.8838034952024245,0.2232399999999998,0.0,0.0,0.5,0.0,,
ENSG00000213619,NDUFS3,NADH:ubiquinone oxidoreductase core subunit S3,-0.1934914506343077,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.7604864403007968,0.3560600000000001,,-1.0,0.5,0.0,,
ENSG00000053918,KCNQ1,potassium voltage-gated channel subfamily Q member 1,-0.0916712630998345,1.0,1.0,0.0,255.0,1.0,1.0,0.0,1.0,-0.9432403169533372,0.3860950000000002,0.0,0.0,0.5,0.0,,
ENSG00000140675,SLC5A2,solute carrier family 5 member 2,0.4015444015444016,1.0,1.0,0.0,,1.0,1.0,0.0,1.0,-0.3508419754899991,0.53125,0.0,0.5,1.0,0.0,,
ENSG00000113161,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,-0.7436293436293436,1.0,1.0,1.0,255.0,1.0,0.0,0.0,1.0,-0.3074028175658705,0.6734250000000003,,-1.0,0.5,-1.0,,
ENSG00000145996,CDKAL1,CDKAL1 threonylcarbamoyladenosine tRNA methylthiotransferase,-0.514396028681743,,0.0,0.0,,0.0,0.0,0.0,,-0.7857486610232586,0.5250450000000001,0.0,-1.0,-1.0,0.0,,
ENSG00000166136,NDUFB8,NADH:ubiquinone oxidoreductase subunit B8,-0.0535024820739106,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.4870861386104308,0.05914,,-1.0,-1.0,0.0,,
ENSG00000185002,RFX6,regulatory factor X6,-0.4460011031439602,,0.0,0.0,,0.0,0.0,0.0,,-0.660054523539604,0.3696100000000001,0.0,0.5,0.75,0.0,,
ENSG00000186010,NDUFA13,NADH:ubiquinone oxidoreductase subunit A13,0.5127413127413127,,0.0,0.0,,1.0,0.0,0.0,1.0,-0.5786753726513527,0.1666649999999997,,-1.0,-1.0,-1.0,,
ENSG00000186951,PPARA,peroxisome proliferator activated receptor alpha,-0.4211803640375069,1.0,1.0,1.0,255.0,1.0,0.0,0.0,1.0,-0.9589030378978264,0.6153849999999998,-0.0064099999999999,-1.0,0.5,0.0,,
ENSG00000128609,NDUFA5,NADH:ubiquinone oxidoreductase subunit A5,0.6111417539988968,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.13793,,-1.0,0.5,0.0,,
ENSG00000165264,NDUFB6,NADH:ubiquinone oxidoreductase subunit B6,0.9526751241036956,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,,-1.0,-1.0,0.0,,
ENSG00000198695,MT-ND6,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6,,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.2626188680297503,0.0,,-1.0,0.5,,,
ENSG00000090266,NDUFB2,NADH:ubiquinone oxidoreductase subunit B2,0.7067843353557639,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.1428550000000001,,-1.0,-1.0,0.0,,
ENSG00000151366,NDUFC2,NADH:ubiquinone oxidoreductase subunit C2,-0.0068394925537782,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,,-1.0,-1.0,0.0,,
ENSG00000004779,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1,-0.5523441809156096,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.2948700000000002,0.0,-1.0,0.5,-1.0,,
ENSG00000198763,MT-ND2,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.5,,,
ENSG00000178057,NDUFAF3,NADH:ubiquinone oxidoreductase complex assembly factor 3,0.4143408714837286,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,,-1.0,0.5,0.0,,
ENSG00000198886,MT-ND4,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4,,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,,0.0,0.0,-1.0,0.5,,,
ENSG00000212907,MT-ND4L,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L,,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,,-1.0,0.5,,,
ENSG00000130414,NDUFA10,NADH:ubiquinone oxidoreductase subunit A10,0.2662989520132377,,0.0,0.0,,1.0,0.0,0.0,1.0,-0.4699633750755963,0.0,0.0,-1.0,0.5,0.0,,
ENSG00000198786,MT-ND5,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5,,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,0.0,-1.0,0.5,,,
ENSG00000125356,NDUFA1,NADH:ubiquinone oxidoreductase subunit A1,,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.8508722250290404,0.1428550000000001,,-1.0,0.5,0.0,,
ENSG00000131495,NDUFA2,NADH:ubiquinone oxidoreductase subunit A2,0.5547710976282405,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.2929299999999998,,-1.0,-1.0,0.0,,
ENSG00000023228,NDUFS1,NADH:ubiquinone oxidoreductase core subunit S1,-0.2271373414230557,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.6618650751880195,0.7042650000000001,0.0,-1.0,0.5,0.0,,
ENSG00000198840,MT-ND3,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3,,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,,-1.0,0.5,,,
ENSG00000184752,NDUFA12,NADH:ubiquinone oxidoreductase subunit A12,0.3729729729729729,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.4482750000000003,,-1.0,0.5,0.0,,
ENSG00000099795,NDUFB7,NADH:ubiquinone oxidoreductase subunit B7,0.976061776061776,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.1240900000000003,,-1.0,-1.0,0.0,,
ENSG00000167792,NDUFV1,NADH:ubiquinone oxidoreductase core subunit V1,0.2111417539988969,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.6285074818796199,0.7952599999999996,,-1.0,-1.0,0.0,,
ENSG00000189043,COXFA4,cytochrome c oxidase associated subunit FA4,0.7876447876447876,,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.4444450000000003,-0.1049375000000001,-1.0,0.5,,,
ENSG00000110717,NDUFS8,NADH:ubiquinone oxidoreductase core subunit S8,-0.3258687258687258,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.7183575696040686,0.5,,-1.0,-1.0,0.0,,
ENSG00000174886,NDUFA11,NADH:ubiquinone oxidoreductase subunit A11,0.8261445118587976,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0220234253186279,0.0,,-1.0,-1.0,0.0,,
ENSG00000184983,NDUFA6,NADH:ubiquinone oxidoreductase subunit A6,0.6993932708218422,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.7276503966677363,0.375,,-1.0,-1.0,0.0,,
ENSG00000137806,NDUFAF1,NADH:ubiquinone oxidoreductase complex assembly factor 1,-0.2209597352454495,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,,-1.0,-1.0,-1.0,,
ENSG00000140990,NDUFB10,NADH:ubiquinone oxidoreductase subunit B10,0.7256480970766686,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0406999999999996,,-1.0,0.75,-1.0,,
ENSG00000065518,NDUFB4,NADH:ubiquinone oxidoreductase subunit B4,0.2880308880308879,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,,-1.0,0.5,0.0,,
ENSG00000168653,NDUFS5,NADH:ubiquinone oxidoreductase subunit S5,0.2191947049089906,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,,-1.0,-1.0,-1.0,,
ENSG00000164182,NDUFAF2,NADH:ubiquinone oxidoreductase complex assembly factor 2,0.2420297848869277,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0236699999999999,,-1.0,-1.0,0.0,,
ENSG00000158864,NDUFS2,NADH:ubiquinone oxidoreductase core subunit S2,-0.4487589630446773,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,-0.6344264618669704,0.6112299999999997,,-1.0,0.5,0.0,,
ENSG00000119013,NDUFB3,NADH:ubiquinone oxidoreductase subunit B3,0.6542746828461115,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0220234253186279,0.0,,-1.0,0.5,-1.0,,
ENSG00000119421,NDUFA8,NADH:ubiquinone oxidoreductase subunit A8,0.2445670159955875,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.6891059635184138,0.3313949999999998,,-1.0,0.5,0.0,,
ENSG00000136521,NDUFB5,NADH:ubiquinone oxidoreductase subunit B5,0.7247655819084391,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.7970037908026695,0.0,,-1.0,0.5,0.0,,
ENSG00000147684,NDUFB9,NADH:ubiquinone oxidoreductase subunit B9,0.3357970215113073,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.551243653830459,0.2737450000000002,,-1.0,0.5,-1.0,,
ENSG00000115286,NDUFS7,NADH:ubiquinone oxidoreductase core subunit S7,-0.4025372311086597,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.6301919666369088,0.3192500000000002,,-1.0,0.5,0.0,,
ENSG00000185633,COXFA4L2,cytochrome c oxidase hypoxia associated subunit FA4L2,0.8619966905681191,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.7126449999999999,0.0,0.0,0.5,,,
ENSG00000170906,NDUFA3,NADH:ubiquinone oxidoreductase subunit A3,0.6597904026475454,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0476199999999998,,-1.0,0.5,0.0,,
ENSG00000267855,NDUFA7,NADH:ubiquinone oxidoreductase subunit A7,0.9178157749586322,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.4025292816482848,0.5575200000000002,,-1.0,0.5,0.0,,
ENSG00000139180,NDUFA9,NADH:ubiquinone oxidoreductase subunit A9,-0.3141753998896855,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.7183575696040686,0.0,,-1.0,-1.0,0.0,,
ENSG00000123545,NDUFAF4,NADH:ubiquinone oxidoreductase complex assembly factor 4,-0.0114726971869828,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,,-1.0,-1.0,0.0,,
ENSG00000183648,NDUFB1,NADH:ubiquinone oxidoreductase subunit B1,0.7461665747380033,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,,-1.0,-1.0,-1.0,,
ENSG00000147123,NDUFB11,NADH:ubiquinone oxidoreductase subunit B11,,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,,-1.0,0.5,0.0,,
ENSG00000109390,NDUFC1,NADH:ubiquinone oxidoreductase subunit C1,0.7186982901268615,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,,-1.0,0.75,0.0,,
ENSG00000145494,NDUFS6,NADH:ubiquinone oxidoreductase subunit S6,0.7108659680088252,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.9267852223592232,0.0,,-1.0,0.5,0.0,,
ENSG00000178127,NDUFV2,NADH:ubiquinone oxidoreductase core subunit V2,-0.5637065637065637,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.4025292816482848,0.598395,,-1.0,-1.0,0.0,,
ENSG00000160194,NDUFV3,NADH:ubiquinone oxidoreductase subunit V3,0.6549365692222835,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0537322466794323,0.0,,-1.0,0.5,0.0,,
ENSG00000257335,MGAM,maltase-glucoamylase,-0.2349696635410921,,1.0,1.0,,1.0,1.0,0.0,1.0,-0.1250770947412433,0.0,0.0,0.5,0.5,0.0,,
ENSG00000243480,AMY2A,amylase alpha 2A,-0.2086045228902371,,1.0,0.0,,1.0,0.0,1.0,1.0,,,-0.970645,0.5,1.0,0.0,,
ENSG00000130203,APOE,apolipoprotein E,0.531053502482074,,0.0,0.0,255.0,0.0,0.0,1.0,,-0.9832055691366652,0.0,0.0,-1.0,0.5,0.0,,
ENSG00000171298,GAA,alpha glucosidase,0.0689464975179261,0.0,1.0,0.0,,1.0,0.0,0.0,1.0,-0.9386901336257888,0.0178550000000001,0.0,-1.0,-1.0,0.0,,
ENSG00000145730,PAM,peptidylglycine alpha-amidating monooxygenase,-0.1829012686155543,,1.0,0.0,,1.0,0.0,1.0,,-0.7963313921595191,0.0493299999999997,,-1.0,0.5,0.0,,
ENSG00000182247,UBE2E2,ubiquitin conjugating enzyme E2 E2,-0.6986210700496415,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.975125,-0.6890550000000001,-1.0,-1.0,0.0,,
ENSG00000134640,MTNR1B,melatonin receptor 1B,0.9451737451737452,1.0,1.0,0.0,255.0,1.0,1.0,0.0,1.0,-0.170737797500802,0.0,0.0,,,0.0,,
ENSG00000090402,SI,sucrase-isomaltase,0.0708218422504136,,1.0,1.0,,1.0,1.0,0.0,1.0,-0.612931392203036,0.0,0.0,0.5,1.0,0.0,,
ENSG00000257743,MGAM2,maltase-glucoamylase 2 (putative),,,1.0,0.0,,1.0,0.0,0.0,1.0,,0.0,0.0,0.5,0.5,,,
ENSG00000153814,JAZF1,JAZF zinc finger 1,-0.7539988968560397,,0.0,0.0,,0.0,0.0,0.0,,-0.374836910993182,0.9794249999999998,,-1.0,0.5,0.0,,
ENSG00000175445,LPL,lipoprotein lipase,0.1929398786541643,,1.0,0.0,255.0,1.0,0.0,1.0,,-0.9101857952112236,0.6421050000000001,0.0,0.0,0.5,0.0,,
ENSG00000171435,KSR2,kinase suppressor of ras 2,-0.8732487589630447,,1.0,1.0,,1.0,0.0,0.0,,0.0,0.8263150000000004,0.0,0.5,0.5,0.0,,
ENSG00000134443,GRP,gastrin releasing peptide,0.8455598455598456,,0.0,0.0,,0.0,0.0,1.0,,-0.5786388891017213,0.0,0.0,0.0,0.5,0.0,,
ENSG00000168925,CTRB1,chymotrypsinogen B1,0.9332597904026476,,1.0,0.0,,1.0,0.0,1.0,,-0.0291810985485932,0.2585549999999997,-0.8954374999999999,0.0,1.0,0.0,,
ENSG00000139515,PDX1,pancreatic and duodenal homeobox 1,0.7634859349145064,,0.0,0.0,,0.0,0.0,0.0,,-0.8759758128526307,0.399295,0.0,0.5,0.75,0.0,,
ENSG00000144891,AGTR1,angiotensin II receptor type 1,0.2520683949255378,,1.0,0.0,255.0,1.0,0.0,0.0,1.0,-0.9648072264487106,0.7214500000000001,0.0,0.0,0.5,0.0,,
ENSG00000149948,HMGA2,high mobility group AT-hook 2,0.7869829012686156,,0.0,0.0,,0.0,0.0,0.0,,-0.7207012587769651,0.7706400000000002,,0.5,0.5,0.0,,
ENSG00000168928,CTRB2,chymotrypsinogen B2,0.3437396580253722,,1.0,0.0,,1.0,0.0,1.0,,-0.0291810985485932,0.2585549999999997,-0.8954374999999999,0.0,1.0,0.0,,
ENSG00000133116,KL,klotho,-0.0893546607832321,,0.0,0.0,,0.0,1.0,1.0,,-0.9761000952536092,0.2934800000000003,0.0,0.0,0.75,0.0,,
ENSG00000160867,FGFR4,fibroblast growth factor receptor 4,-0.1473800330943188,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.5074800000000004,-0.00561,0.0,0.5,0.0,255.0,
ENSG00000073792,IGF2BP2,insulin like growth factor 2 mRNA binding protein 2,-0.8671814671814672,,0.0,0.0,,0.0,0.0,0.0,,-0.8672730249871188,0.7328899999999997,-0.1318874999999998,0.0,-1.0,0.0,,
ENSG00000166035,LIPC,"lipase C, hepatic type",0.2345284059569774,,1.0,0.0,255.0,1.0,0.0,1.0,,-0.2531629546035746,0.0,0.0,0.5,1.0,0.0,,
ENSG00000154122,ANKH,ANKH inorganic pyrophosphate transport regulator,-0.7275234418091561,,0.0,0.0,,0.0,0.0,0.0,,-0.8048619447622731,0.9186999999999996,,-1.0,-1.0,0.0,,
ENSG00000172575,RASGRP1,RAS guanyl releasing protein 1,-0.6466629895201323,,1.0,0.0,,1.0,1.0,0.0,,-0.6663236260226635,0.491845,0.0,0.0,0.5,0.0,,
ENSG00000115290,GRB14,growth factor receptor bound protein 14,-0.0506343077771649,,0.0,0.0,,0.0,0.0,0.0,,-0.665999927544755,0.2870350000000002,0.0,0.0,0.5,0.0,,
ENSG00000151623,NR3C2,nuclear receptor subfamily 3 group C member 2,-0.9105350248207392,1.0,1.0,0.0,255.0,1.0,0.0,0.0,1.0,-0.8903501003255712,0.5426850000000002,0.0,-1.0,-1.0,0.0,,
ENSG00000117707,PROX1,prospero homeobox 1,-0.9423055708769994,,0.0,0.0,255.0,0.0,0.0,0.0,,-0.923922204848473,0.9185899999999996,0.0,0.0,1.0,0.0,,
ENSG00000198369,SPRED2,sprouty related EVH1 domain containing 2,0.5706563706563708,,0.0,0.0,,0.0,0.0,0.0,,-0.6687576818622439,0.6052649999999999,0.0,-1.0,-1.0,0.0,,
ENSG00000196781,TLE1,"TLE family member 1, transcriptional corepressor",-0.8511858797573083,,0.0,1.0,,0.0,0.0,0.0,,-0.2122763534834562,0.8831150000000001,-0.6655850000000001,-1.0,-1.0,0.0,,
ENSG00000100344,PNPLA3,"patatin like domain 3, 1-acylglycerol-3-phosphate O-acyltransferase ",0.4404853833425262,,0.0,0.0,255.0,0.0,0.0,0.0,,-0.6311498836596868,0.0,0.0,0.5,1.0,0.0,,
ENSG00000134954,ETS1,"ETS proto-oncogene 1, transcription factor",-0.8036403750689465,,0.0,1.0,255.0,0.0,0.0,0.0,,-0.9201767171548596,0.6804099999999998,0.0,-1.0,0.5,0.0,,
ENSG00000136267,DGKB,diacylglycerol kinase beta,-0.3589630446773304,,0.0,0.0,255.0,0.0,1.0,0.0,,-0.7192114282072728,0.7882950000000001,-0.0442099999999999,0.5,1.0,0.0,,
ENSG00000100170,SLC5A1,solute carrier family 5 member 1,-0.4285714285714286,0.0,1.0,0.0,,1.0,1.0,0.0,1.0,-0.7887632637820663,0.3975900000000003,-0.2545175,0.0,1.0,0.0,,
ENSG00000146477,SLC22A3,solute carrier family 22 member 3,0.4468836183121898,,1.0,0.0,,1.0,0.0,0.0,,-0.2546390272457713,0.3345350000000003,0.0,0.0,0.5,0.0,,
ENSG00000127324,TSPAN8,tetraspanin 8,-0.0959735245449531,,0.0,0.0,,0.0,0.0,0.0,,-0.374836910993182,0.0,0.0,0.0,0.5,0.0,,
ENSG00000068078,FGFR3,fibroblast growth factor receptor 3,-0.7324875896304468,1.0,1.0,0.0,255.0,1.0,0.0,1.0,1.0,-0.9424787278833984,0.4354849999999999,-0.17804,0.0,0.5,0.0,255.0,
ENSG00000169047,IRS1,insulin receptor substrate 1,-0.4729178157749586,,1.0,0.0,255.0,1.0,1.0,0.0,0.05,-0.931227315054194,0.4524949999999997,0.0,0.0,-1.0,0.0,,
ENSG00000266265,KLF14,KLF transcription factor 14,0.8084942084942084,,0.0,0.0,,0.0,0.0,0.0,,-0.2444259317739885,0.0,0.0,1.0,0.5,0.0,,
ENSG00000166436,TRIM66,tripartite motif containing 66,-0.3840044125758411,,,,,,0.0,0.0,,-0.373462862067547,0.0589100000000002,0.0,-1.0,0.5,,,
ENSG00000163635,ATXN7,ataxin 7,-0.9191395477109764,,0.0,0.0,,0.0,0.0,0.0,,-0.7159828126741646,0.2152450000000002,0.0,-1.0,-1.0,0.0,,
ENSG00000118971,CCND2,cyclin D2,-0.8103695532266961,,1.0,0.0,,0.0,0.0,0.0,,-0.3347723320013326,0.6020749999999999,-0.0743949999999999,0.0,0.5,0.0,255.0,
ENSG00000008196,TFAP2B,transcription factor AP-2 beta,-0.8431329288472146,,0.0,0.0,255.0,0.0,0.0,0.0,,-0.944397398643786,0.98913,-0.2826074999999999,0.5,0.5,0.0,,
ENSG00000107249,GLIS3,GLIS family zinc finger 3,-0.1996690568119139,,0.0,0.0,,0.0,0.0,0.0,,-0.7064535923270051,0.2042999999999999,0.0,0.0,0.5,0.0,,
ENSG00000122859,NEUROG3,neurogenin 3,0.9239933811362382,,0.0,0.0,,0.0,0.0,0.0,,-0.6651988058176878,0.0,0.0,0.5,0.75,0.0,,
ENSG00000159640,ACE,angiotensin I converting enzyme,-0.1537782680639823,,1.0,1.0,255.0,1.0,0.0,1.0,1.0,-0.9741134275683322,0.16539,0.0,0.0,0.5,0.0,,
ENSG00000149295,DRD2,dopamine receptor D2,-0.8243794815223386,1.0,1.0,0.0,255.0,1.0,1.0,0.0,1.0,-0.955247847655318,0.7855550000000001,0.0,0.5,0.75,0.0,,
ENSG00000128833,MYO5C,myosin VC,-0.1317153888582459,,0.0,0.0,,0.0,0.0,0.0,,,0.4632599999999996,0.0,0.0,-1.0,0.0,,
ENSG00000072274,TFRC,transferrin receptor,-0.7017098731384446,,0.0,1.0,,0.0,0.0,1.0,1.0,-0.8927789074968903,0.0,0.0,-1.0,-1.0,0.0,,
ENSG00000173175,ADCY5,adenylate cyclase 5,-0.8662989520132377,,1.0,0.0,,1.0,1.0,0.0,,-0.2024466188616067,0.7739899999999998,-0.095955,0.0,0.5,0.0,,
ENSG00000116678,LEPR,leptin receptor,-0.581246552675124,,0.0,0.0,255.0,0.0,1.0,0.0,1.0,-0.9880593990524386,0.0,0.0,-1.0,1.0,0.0,,
ENSG00000075035,WSCD2,WSC domain containing 2,-0.500165471594043,,0.0,0.0,,0.0,0.0,0.0,,-0.0537322466794323,0.6371699999999997,0.0,0.0,1.0,0.0,,
ENSG00000152804,HHEX,hematopoietically expressed homeobox,-0.4991726420297848,,0.0,0.0,,0.0,0.0,0.0,,-0.9681644973004918,,,0.0,0.5,0.0,,
ENSG00000147883,CDKN2B,cyclin dependent kinase inhibitor 2B,0.8688361831218974,,0.0,0.0,,0.0,0.0,0.0,,-0.4782224558601425,0.0942050000000001,-0.4384049999999998,0.0,0.5,0.0,,
ENSG00000263001,GTF2I,general transcription factor IIi,-0.9594043022614452,,0.0,0.0,,0.0,0.0,0.0,,-0.907066937379284,0.8547100000000001,0.0,-1.0,-1.0,0.0,,
ENSG00000043143,JADE2,jade family PHD finger 2,-0.9234418091560948,,0.0,0.0,,0.0,0.0,0.0,,-0.3045827359676156,0.5443649999999998,0.0,-1.0,-1.0,0.0,,
ENSG00000154415,PPP1R3A,protein phosphatase 1 regulatory subunit 3A,-0.1863210148924434,,0.0,0.0,,0.0,0.0,0.0,,-0.2377812813895452,0.0,0.0,0.5,0.75,0.0,,
ENSG00000185950,IRS2,insulin receptor substrate 2,-0.0498621070049641,,0.0,0.0,,0.0,0.0,0.0,,-0.900941345473937,0.2526150000000001,0.0,-1.0,0.5,0.0,,
