sample_index,label,distance_to_positive_centroid,gene_symbol,hardness_rank,negative_type
680,0,25.609512,NDUFB9,151,Hard
1513,0,25.639036,NDUFC2,152,Hard
737,0,25.659304,RIGI,153,Hard
109,0,25.659454,DNAI2,154,Hard
1407,0,25.670086,HDAC9,155,Hard
881,0,25.687908,LPL,156,Hard
1056,0,25.701721,BIVM,157,Hard
66,0,25.72417,INF2,158,Hard
1680,0,25.724903,PTPN21,159,Hard
442,0,25.739946,CAMK2B,160,Hard
1537,0,25.74524,HMGB1,161,Hard
703,0,25.763552,NOPCHAP1,162,Hard
584,0,25.803484,ZNF281,163,Hard
792,0,25.80594,TRMT10C,164,Hard
134,0,25.809769,FTO,165,Hard
533,0,25.815157,LRP12,166,Hard
1687,0,25.826189,SLC30A4,167,Hard
729,0,25.896881,SEPTIN9,168,Hard
1353,0,25.900736,DDI1,169,Hard
1359,0,25.924734,KRTAP19-7,170,Hard
363,0,25.95068,GEMIN2,171,Hard
563,0,25.952639,IGF1R,172,Hard
731,0,25.957773,CTSH,173,Hard
244,0,25.96677,CEP295,174,Hard
1027,0,25.973536,CTRB2,175,Hard
1620,0,25.986479,MMRN2,176,Hard
80,0,26.007397,POLR3A,177,Hard
1183,0,26.014679,GTF2I,178,Hard
647,0,26.016085,VPS35L,179,Hard
1420,0,26.04871,APOE,180,Hard
967,0,26.087555,COXFA4L2,181,Hard
1175,0,26.089584,KLB,182,Hard
271,0,26.09773,COL13A1,183,Hard
1768,0,26.098307,ZNF775,184,Hard
997,0,26.103008,GRB10,185,Hard
282,0,26.107658,DRD2,186,Hard
1428,0,26.111788,ZNF354B,187,Hard
1734,0,26.120455,CCDC6,188,Hard
572,0,26.12787,PSTPIP1,189,Hard
1122,0,26.13262,ABCA13,190,Hard
513,0,26.135984,YTHDC2,191,Hard
1315,0,26.15003,NKX6-3,192,Hard
1102,0,26.188528,SGPL1,193,Hard
822,0,26.189665,ATP2A3,194,Hard
1469,0,26.192902,NRG3,195,Hard
401,0,26.193407,SEPTIN4,196,Hard
277,0,26.201002,LRMDA,197,Hard
424,0,26.20247,ARPIN,198,Hard
1388,0,26.208048,RUSC2,199,Hard
1654,0,26.212938,PEAK1,200,Hard
333,0,26.21641,KCNIP4,201,Hard
39,0,26.221464,LEP,202,Hard
865,0,26.22348,CEP95,203,Hard
1222,0,26.236824,ZNF93,204,Hard
1400,0,26.239546,TENM4,205,Hard
524,0,26.255203,AREL1,206,Hard
1459,0,26.299269,AFG3L2,207,Hard
1480,0,26.30342,OR4D1,208,Hard
1641,0,26.320196,IGF2BP2,209,Hard
1615,0,26.386303,SYF2,210,Hard
487,0,26.386753,TANK,211,Hard
618,0,26.402515,HAS2,212,Hard
1185,0,26.4058,LARP4B,213,Hard
675,0,26.452343,ATAD2,214,Hard
1686,0,26.500145,FOXA2,215,Hard
392,0,26.5029,SPRY2,216,Hard
1044,0,26.509716,RNLS,217,Hard
148,0,26.52338,MRAP,218,Hard
546,0,26.583033,CUL3,219,Hard
259,0,26.58562,MTNAP1,220,Hard
1368,0,26.601643,SMC1A,221,Hard
146,0,26.604471,ACOT6,222,Hard
1589,0,26.64658,HYLS1,223,Hard
978,0,26.682135,GNL2,224,Hard
1670,0,26.72124,DDX47,225,Hard
1298,0,26.75337,GBP6,226,Hard
619,0,26.818155,NDUFS5,227,Hard
242,0,26.818636,QSER1,228,Hard
1213,0,26.843718,SERBP1,229,Hard
30,0,26.862268,LIPC,230,Hard
477,0,26.868998,OR52R1,231,Hard
1230,0,26.871918,POU5F1B,232,Hard
1191,0,26.887285,VPS72,233,Hard
810,0,26.955086,GIPR,234,Hard
260,0,26.978853,AKAP6,235,Hard
1716,0,26.984922,LMAN1,236,Hard
453,0,27.030094,MEF2C,237,Hard
569,0,27.062054,PLPPR1,238,Hard
1733,0,27.065868,APOL2,239,Hard
450,0,27.069399,GDAP1L1,240,Hard
153,0,27.109657,LAMA1,241,Hard
1022,0,27.124878,EPB41L4A,242,Hard
1724,0,27.203278,IFT122,243,Hard
771,0,27.236399,TBRG1,244,Hard
906,0,27.288422,KCTD4,245,Hard
1105,0,27.302832,SIDT1,246,Hard
1035,0,27.313534,RPTN,247,Hard
1202,0,27.319792,UNKNOWN,248,Hard
954,0,27.326689,GALC,249,Hard
689,0,27.340633,TCP11X1,250,Hard
1483,0,27.362429,RIIAD1,251,Hard
593,0,27.402645,KLHL21,252,Hard
536,0,27.40975,CST11,253,Hard
366,0,27.441883,CYRIA,254,Hard
501,0,27.475838,ZNF717,255,Hard
1673,0,27.486238,ARHGAP22,256,Hard
1603,0,27.493425,PIP5K1A,257,Hard
1755,0,27.509657,GOLGA8B,258,Hard
836,0,27.527117,ZNF664,259,Hard
1739,0,27.546082,AOAH,260,Hard
1518,0,27.550398,RASGRP1,261,Hard
1594,0,27.612425,ZNF236,262,Hard
322,0,27.623125,PLA2G4D,263,Hard
1575,0,27.646154,RALY,264,Hard
176,0,27.651672,ARPC5L,265,Hard
495,0,27.693977,WDR7,266,Hard
1699,0,27.728476,SEMA6C,267,Hard
210,0,27.731804,COL23A1,268,Hard
898,0,27.765165,RPA4,269,Hard
491,0,27.773687,DCAF5,270,Hard
700,0,27.785545,LGSN,271,Hard
1775,0,27.794952,GAREM1,272,Hard
1791,0,27.797148,KDM4F,273,Hard
769,0,27.80954,SUPT3H,274,Hard
1053,0,27.826315,RAB11FIP4,275,Hard
1147,0,27.83529,PNPLA3,276,Hard
860,0,27.847786,OR2K2,277,Hard
336,0,27.862846,SV2A,278,Hard
1473,0,27.918013,HOXD10,279,Hard
784,0,27.934883,LZIC,280,Hard
362,0,27.956772,CCT6B,281,Hard
1328,0,27.964737,CDC6,282,Hard
743,0,27.976568,TMEM17,283,Hard
439,0,27.978577,CCNO,284,Hard
1109,0,27.992798,PLXND1,285,Hard
1520,0,28.047697,APLP1,286,Hard
861,0,28.052412,PCM1,287,Hard
165,0,28.058895,DCLK2,288,Hard
764,0,28.063524,ARPP21,289,Hard
1223,0,28.07909,WT1,290,Hard
475,0,28.115,GPR85,291,Hard
132,0,28.133081,DDX28,292,Hard
19,0,28.134459,PROX1,293,Hard
666,0,28.140703,PWWP2A,294,Hard
866,0,28.174952,SH2B3,295,Hard
582,0,28.178995,SEC23IP,296,Hard
6,0,28.188742,OSGIN2,297,Hard
221,0,28.189346,XRN2,298,Medium
428,0,28.205254,CMIP,299,Medium
1611,0,28.212523,CTBP1,300,Medium
357,0,28.214592,WDR3,301,Medium
938,0,28.223309,KCNQ1,302,Medium
1075,0,28.229794,PAX2,303,Medium
1285,0,28.234282,TMEM87A,304,Medium
284,0,28.242645,PAXIP1,305,Medium
1369,0,28.259308,TENT5C,306,Medium
1379,0,28.262262,NRK,307,Medium
35,0,28.275984,GAL3ST4,308,Medium
126,0,28.287897,FAM221B,309,Medium
1218,0,28.288776,CCNH,310,Medium
226,0,28.289095,GLRA1,311,Medium
1160,0,28.312416,CECR2,312,Medium
1601,0,28.333645,ADGRG4,313,Medium
690,0,28.34344,IFT52,314,Medium
449,0,28.39432,PLA2G2F,315,Medium
123,0,28.398924,TPRA1,316,Medium
1080,0,28.410994,NR1H4,317,Medium
115,0,28.41635,ADGRE5,318,Medium
1427,0,28.434652,OSER1,319,Medium
1262,0,28.436415,ZBTB20,320,Medium
646,0,28.450544,GSG1L,321,Medium
1587,0,28.453268,NDUFS1,322,Medium
310,0,28.463812,TCF4,323,Medium
117,0,28.475243,RALGAPA2,324,Medium
1034,0,28.476526,BCL2L11,325,Medium
311,0,28.504114,CACNA1I,326,Medium
1195,0,28.512321,TAL1,327,Medium
1764,0,28.545437,ZMYM1,328,Medium
672,0,28.548658,LIPM,329,Medium
1425,0,28.557693,CPEB3,330,Medium
1167,0,28.560276,ULBP1,331,Medium
702,0,28.589907,KMT5B,332,Medium
1411,0,28.601618,NOL6,333,Medium
946,0,28.64092,TPP1,334,Medium
1251,0,28.641287,OTULINL,335,Medium
1395,0,28.730999,CALCR,336,Medium
364,0,28.734592,RDH14,337,Medium
1003,0,28.757416,HDAC4,338,Medium
1698,0,28.759052,ROS1,339,Medium
636,0,28.793839,GDF6,340,Medium
1179,0,28.803392,PLPP5,341,Medium
1538,0,28.82879,GLP2R,342,Medium
1371,0,28.861885,PPIP5K2,343,Medium
1403,0,28.875015,NBPF3,344,Medium
1165,0,28.90266,OTOG,345,Medium
65,0,28.903894,CNTN2,346,Medium
523,0,28.9101,TTC9C,347,Medium
41,0,28.932365,RTN2,348,Medium
191,0,28.981459,LRRK1,349,Medium
190,0,29.055534,OR6M1,350,Medium
607,0,29.074135,NDUFA9,351,Medium
1028,0,29.08186,RSPO3,352,Medium
493,0,29.142172,HERC3,353,Medium
1759,0,29.145962,NPIPB11,354,Medium
286,0,29.15458,ADRA1B,355,Medium
124,0,29.157366,XRCC2,356,Medium
1085,0,29.18562,RIT2,357,Medium
1444,0,29.185938,SHBG,358,Medium
720,0,29.20037,WRN,359,Medium
915,0,29.214312,GOPC,360,Medium
121,0,29.226456,SORT1,361,Medium
1268,0,29.232983,PROB1,362,Medium
1154,0,29.245209,SGCZ,363,Medium
279,0,29.246122,TCTN3,364,Medium
1038,0,29.262817,DYRK2,365,Medium
941,0,29.272455,NCOR2,366,Medium
645,0,29.309938,RIOX2,367,Medium
1397,0,29.32387,LCE2D,368,Medium
445,0,29.350815,KIFC3,369,Medium
1582,0,29.399712,CEP128,370,Medium
189,0,29.410303,BACE2,371,Medium
1760,0,29.410719,IL1RAPL2,372,Medium
602,0,29.432354,JADE3,373,Medium
1104,0,29.440145,DPRX,374,Medium
547,0,29.465034,ZNF268,375,Medium
360,0,29.475523,AASDHPPT,376,Medium
1418,0,29.47564,IFIH1,377,Medium
1382,0,29.480951,SCD5,378,Medium
1116,0,29.481422,PGM1,379,Medium
79,0,29.487217,CCND2,380,Medium
745,0,29.488092,DPH7,381,Medium
1047,0,29.526241,MAGEB6,382,Medium
127,0,29.53999,MPPED2,383,Medium
1206,0,29.541117,PATJ,384,Medium
246,0,29.544098,RIN1,385,Medium
302,0,29.550804,TPK1,386,Medium
1784,0,29.567335,FSBP,387,Medium
558,0,29.578827,FXYD2,388,Medium
1719,0,29.591177,CROCC2,389,Medium
556,0,29.600683,SYDE2,390,Medium
620,0,29.612555,DNASE1,391,Medium
842,0,29.637608,LDB2,392,Medium
7,0,29.638445,MOSMO,393,Medium
914,0,29.64146,HIVEP2,394,Medium
504,0,29.695562,LHX2,395,Medium
14,0,29.704758,KCNK17,396,Medium
706,0,29.716316,FEM1A,397,Medium
1552,0,29.72818,CEP43,398,Medium
299,0,29.72903,CYFIP2,399,Medium
1749,0,29.740881,MS4A7,400,Medium
304,0,29.762682,ZNF416,401,Medium
119,0,29.7966,C11orf24,402,Medium
403,0,29.799627,NDUFA10,403,Medium
510,0,29.816622,RAB11FIP1,404,Medium
1196,0,29.834007,ANGPT4,405,Medium
766,0,29.844032,PPFIA4,406,Medium
1173,0,29.853659,MORF4L2,407,Medium
1187,0,29.859901,NDUFS8,408,Medium
1145,0,29.898598,ZNF709,409,Medium
1653,0,29.918634,APIP,410,Medium
474,0,29.93901,FNDC7,411,Medium
1274,0,29.939148,HMG20A,412,Medium
231,0,29.944319,CTTNBP2,413,Medium
1319,0,29.972805,TSHZ3,414,Medium
1422,0,29.977371,PCDHGA6,415,Medium
1264,0,29.979723,EXD2,416,Medium
1714,0,29.981495,PGLS,417,Medium
1629,0,29.983904,GATD3,418,Medium
781,0,29.985302,ZBED3,419,Medium
1455,0,30.0972,MANSC4,420,Medium
873,0,30.110977,NFX1,421,Medium
1180,0,30.122286,OR5W2,422,Medium
985,0,30.153547,MTSS2,423,Medium
574,0,30.162403,SLC22A3,424,Medium
482,0,30.17652,PKD1L1,425,Medium
1677,0,30.17877,AFAP1L2,426,Medium
100,0,30.193281,RASGRP2,427,Medium
1786,0,30.207054,SGO2,428,Medium
1106,0,30.243746,MAPK8IP1,429,Medium
481,0,30.245789,CEP68,430,Medium
73,0,30.278318,TMEM168,431,Medium
1684,0,30.302149,LDOC1,432,Medium
1668,0,30.346033,SCN4A,433,Medium
1539,0,30.386625,SLC30A8,434,Medium
1065,0,30.386797,EXO5,435,Medium
944,0,30.399387,ZNF407,436,Medium
1656,0,30.450832,SAFB2,437,Medium
934,0,30.453287,AGTR1,438,Medium
413,0,30.48708,PHF13,439,Medium
1651,0,30.511492,CRY2,440,Medium
890,0,30.512068,C8orf88,441,Medium
727,0,30.525776,NDUFS7,442,Medium
164,0,30.557495,SERINC2,443,Medium
821,0,30.56016,HOATZ,444,Medium
1676,0,30.57621,NUP160,445,Medium
1200,0,30.626225,KRT3,446,Medium
74,0,30.636045,NDUFA1,447,Medium
1296,0,30.670826,ZNF430,448,Medium
2,0,30.686499,GPA33,449,Medium
257,0,30.692362,L3MBTL3,450,Medium
215,0,30.72902,JARID2,451,Medium
1712,0,30.807968,CCDC22,452,Medium
1057,0,30.80918,RNASE8,453,Medium
991,0,30.81863,ZNF821,454,Medium
920,0,30.831293,LDLRAD4,455,Medium
613,0,30.866043,ADAMTS6,456,Medium
1020,0,30.87047,CLK4,457,Medium
1159,0,30.902617,RP2,458,Medium
171,0,30.925146,XPC,459,Medium
962,0,30.935001,KRT2,460,Medium
308,0,30.964228,ALG13,461,Medium
396,0,30.965328,NCAM1,462,Medium
1280,0,30.994928,MYH10,463,Medium
391,0,31.00156,HMBS,464,Medium
921,0,31.003325,JMY,465,Medium
687,0,31.014994,NEMP1,466,Medium
1023,0,31.025486,TBL2,467,Medium
1500,0,31.035,WSCD1,468,Medium
597,0,31.046486,MAGEE1,469,Medium
1326,0,31.061996,ZNF41,470,Medium
1561,0,31.082195,LINGO1,471,Medium
1146,0,31.096533,OR8J3,472,Medium
1541,0,31.119787,CDKN2C,473,Medium
627,0,31.151552,EXOC3L1,474,Medium
1203,0,31.196789,JPH1,475,Medium
1054,0,31.202108,IGF2BP3,476,Medium
1144,0,31.223928,TCF7L2,477,Medium
685,0,31.226196,SETD1B,478,Medium
1442,0,31.242498,SNX8,479,Medium
457,0,31.242971,COMT,480,Medium
421,0,31.243355,FOXK1,481,Medium
802,0,31.253181,TM4SF4,482,Medium
1001,0,31.262115,VPS33B,483,Medium
1568,0,31.274807,RIMBP2,484,Medium
650,0,31.278227,RELN,485,Medium
947,0,31.336365,NDUFA11,486,Medium
1121,0,31.346283,SLC7A5,487,Medium
577,0,31.348612,RBPJ,488,Medium
749,0,31.391035,TRIP10,489,Medium
1631,0,31.391218,TPCN2,490,Medium
1765,0,31.394407,MKRN2,491,Medium
953,0,31.39648,ZNF257,492,Medium
207,0,31.444973,CUL7,493,Medium
1718,0,31.448866,ASIC1,494,Medium
45,0,31.456148,CFAP119,495,Medium
1343,0,31.461119,TOM1,496,Medium
182,0,31.47786,NRF1,497,Medium
36,0,31.514137,SLC22A2,498,Medium
1290,0,31.525263,CHD7,499,Medium
1079,0,31.545258,ZNF800,500,Medium
394,0,31.560581,CHRNA1,501,Medium
719,0,31.601635,ARID3B,502,Medium
733,0,31.640772,SCARB2,503,Medium
628,0,31.649391,NDUFB10,504,Medium
870,0,31.649523,ITGA1,505,Medium
1793,0,31.661314,NDST3,506,Medium
178,0,31.676472,U2AF1L4,507,Medium
248,0,31.677185,EVI2A,508,Medium
237,0,31.6872,CST8,509,Medium
629,0,31.71679,SOX7,510,Medium
684,0,31.7214,NDUFV3,511,Medium
1304,0,31.761229,ESPL1,512,Medium
970,0,31.839594,CEP120,513,Medium
435,0,31.876118,FYTTD1,514,Medium
44,0,31.880402,ATP4A,515,Medium
1169,0,31.897928,POLR3H,516,Medium
18,0,31.90973,PNOC,517,Medium
1161,0,31.916777,PNLIP,518,Medium
1617,0,31.957407,KIF7,519,Medium
1355,0,31.995062,PCDHGB1,520,Medium
1700,0,31.995235,ZGRF1,521,Medium
775,0,31.998943,NHSL1,522,Medium
347,0,32.004787,CDKN1B,523,Medium
38,0,32.015965,EXOC6,524,Medium
1138,0,32.06289,HNRNPA1L2,525,Medium
1487,0,32.086132,ITPRID2,526,Medium
422,0,32.10805,NUP85,527,Medium
774,0,32.154907,TRMT9B,528,Medium
345,0,32.15635,YKT6,529,Medium
586,0,32.15773,NR2F1,530,Medium
847,0,32.20136,DENND4B,531,Medium
468,0,32.20477,UBE2E3,532,Medium
1091,0,32.268703,GPD2,533,Medium
1678,0,32.271095,SLC25A52,534,Medium
21,0,32.32553,NEXMIF,535,Medium
835,0,32.38177,HNF1A,536,Medium
1494,0,32.395702,BCORL1,537,Medium
1083,0,32.439842,NFIB,538,Medium
358,0,32.51297,DNMT3A,539,Medium
1772,0,32.552082,ANKMY1,540,Medium
1168,0,32.56259,PPP2R3A,541,Medium
1657,0,32.572353,KLHDC10,542,Medium
141,0,32.574818,CCDC74B,543,Medium
568,0,32.57707,ANKIB1,544,Medium
681,0,32.5963,HNRNPA1L3,545,Medium
961,0,32.605732,SMIM26,546,Medium
1505,0,32.608585,MFHAS1,547,Medium
512,0,32.62461,PIK3R1,548,Medium
570,0,32.665726,JMJD1C,549,Medium
499,0,32.675575,HEY2,550,Medium
227,0,32.676296,CDC42BPA,551,Medium
1337,0,32.710205,CDS2,552,Medium
617,0,32.719173,STAP1,553,Medium
1694,0,32.725277,FRMPD3,554,Medium
27,0,32.747223,ALDH2,555,Medium
1484,0,32.750156,SEC16B,556,Medium
1593,0,32.752087,CENPW,557,Medium
326,0,32.785038,ASB1,558,Medium
83,0,32.83453,HSPA4,559,Medium
783,0,32.83762,PTCH1,560,Medium
626,0,32.8395,AGMO,561,Medium
1591,0,32.932255,GIGYF1,562,Medium
1781,0,32.942696,OR6A2,563,Medium
1031,0,32.9537,ILVBL,564,Medium
16,0,32.97109,SMIM39,565,Medium
219,0,33.002983,SMIM41,566,Medium
1436,0,33.00662,C19orf18,567,Medium
1344,0,33.058796,FAM83G,568,Medium
1260,0,33.093468,EBF1,569,Medium
1242,0,33.10709,TLE1,570,Medium
655,0,33.13272,LTO1,571,Medium
479,0,33.184128,HAUS6,572,Medium
1357,0,33.189747,SCYGR4,573,Medium
1710,0,33.19104,MCM8,574,Medium
1562,0,33.19689,EXOC2,575,Medium
28,0,33.2127,CACNA1D,576,Medium
1043,0,33.237877,HTR1E,577,Medium
514,0,33.26473,NDUFB5,578,Medium
1272,0,33.269867,QKI,579,Medium
832,0,33.281326,SLC1A2,580,Medium
1081,0,33.28163,SLC28A2,581,Medium
980,0,33.297802,CHMP4B,582,Medium
765,0,33.323895,CNGA4,583,Medium
320,0,33.368275,NDUFB8,584,Medium
225,0,33.386383,MS4A14,585,Medium
841,0,33.391285,CCDC152,586,Medium
1377,0,33.40074,CLASP2,587,Medium
933,0,33.42473,OR52E8,588,Medium
1570,0,33.426163,GLIS3,589,Medium
1574,0,33.43967,MBNL1,590,Medium
469,0,33.469936,SLC12A8,591,Medium
1770,0,33.470684,ZNF699,592,Medium
1045,0,33.51723,RPTOR,593,Medium
900,0,33.542915,RAI1,594,Medium
603,0,33.555904,USP19,595,Medium
110,0,33.594387,TMEM144,596,Easy
668,0,33.652397,ATP5MC1,597,Easy
652,0,33.673893,NCR3LG1,598,Easy
50,0,33.694683,ADARB1,599,Easy
269,0,33.724804,RUNX3,600,Easy
175,0,33.77278,CDCA5,601,Easy
508,0,33.800285,LYRM7,602,Easy
142,0,33.91904,PCGF3,603,Easy
452,0,33.919735,C11orf52,604,Easy
94,0,33.978004,BAK1,605,Easy
86,0,33.982246,KICS2,606,Easy
825,0,33.997902,ITGA11,607,Easy
657,0,34.010803,NDUFA6,608,Easy
725,0,34.079433,ZNF814,609,Easy
1437,0,34.089386,MAP2K5,610,Easy
614,0,34.110428,ARID5B,611,Easy
87,0,34.12179,DIP2B,612,Easy
355,0,34.2142,ZNF446,613,Easy
762,0,34.26833,PAX4,614,Easy
1753,0,34.315193,TAF9B,615,Easy
1176,0,34.323807,KIF5A,616,Easy
926,0,34.350338,RFX6,617,Easy
1118,0,34.355755,IFFO2,618,Easy
1375,0,34.367416,PLEKHM3,619,Easy
194,0,34.375694,RASSF1,620,Easy
1258,0,34.407192,ZC3H12C,621,Easy
585,0,34.408165,NDUFA12,622,Easy
1324,0,34.440666,KSR2,623,Easy
1072,0,34.446106,ACVR1C,624,Easy
1664,0,34.447094,NELL1,625,Easy
1221,0,34.474667,JAZF1,626,Easy
1281,0,34.496235,SLX4,627,Easy
1126,0,34.498287,CAMK2G,628,Easy
1363,0,34.500465,RRP12,629,Easy
744,0,34.515205,SBF2,630,Easy
776,0,34.625618,OSGIN1,631,Easy
1389,0,34.64914,TMEM184C,632,Easy
813,0,34.721622,FIBCD1,633,Easy
289,0,34.732357,BORA,634,Easy
994,0,34.75286,GXYLT1,635,Easy
1430,0,34.84305,KIF11,636,Easy
909,0,34.85325,PDZRN4,637,Easy
138,0,34.85712,PITRM1,638,Easy
583,0,34.886707,OLFML1,639,Easy
1498,0,34.903473,BIK,640,Easy
1211,0,34.90706,TECTA,641,Easy
404,0,34.93527,CLEC18A,642,Easy
8,0,34.942116,IBA57,643,Easy
912,0,35.00171,CEBPG,644,Easy
917,0,35.008865,MAGEC2,645,Easy
1624,0,35.047886,NDUFB3,646,Easy
817,0,35.088078,RAMP1,647,Easy
1409,0,35.13298,SPAG6,648,Easy
1635,0,35.15208,AKR1C8,649,Easy
