sample_index,label,distance_to_positive_centroid,gene_symbol
306,1,25.268505,ZDHHC13
307,1,27.266235,PPP1R3A
308,0,30.964228,ALG13
309,1,27.711048,GMDS
310,0,28.463812,TCF4
311,0,28.504114,CACNA1I
312,1,28.779692,MYBL2
313,1,34.036133,SSR1
314,1,38.182804,ABCA7
315,1,26.485094,EMILIN2
316,1,27.381199,SLC38A11
317,1,37.41761,SYNJ2
318,0,21.903303,RSAD1
319,1,32.403732,ANKRD30A
320,0,33.368275,NDUFB8
321,1,26.882023,PBX4
322,0,27.623125,PLA2G4D
323,0,45.655083,ATP8B2
324,0,19.992167,TSPAN8
325,1,38.246765,CPQ
326,0,32.785038,ASB1
327,1,32.024734,CCSER1
328,0,23.528025,NDUFB4
329,1,36.892647,STK40
330,1,31.042273,ZHX3
331,1,30.269955,DNAAF11
332,0,43.047123,NUS1
333,0,26.21641,KCNIP4
334,1,46.043594,CRYBA1
335,1,28.357613,SHQ1
336,0,27.862846,SV2A
337,0,24.5222,PGBD5
338,1,39.970844,TAF2
339,0,41.18281,CACNG4
340,0,45.72445,NUTM2G
341,0,41.808144,PABPC4
342,1,35.148514,NLRC3
343,0,22.621424,VEGFA
344,1,32.867252,CCT2
345,0,32.15635,YKT6
346,0,37.381912,KRTAP7-1
347,0,32.004787,CDKN1B
348,1,26.754406,EIF2B2
349,1,37.734776,NDUFB11
350,0,23.310387,MOB1B
351,1,27.13194,GNPDA2
352,1,45.65598,RAB27B
353,1,28.679953,BPIFB2
354,0,21.434587,SMAD3
355,0,34.2142,ZNF446
356,1,26.606863,RAB5IF
357,0,28.214592,WDR3
358,0,32.51297,DNMT3A
359,0,46.439175,MC4R
360,0,29.475523,AASDHPPT
361,0,22.328783,SAG
362,0,27.956772,CCT6B
363,0,25.95068,GEMIN2
364,0,28.734592,RDH14
365,1,25.80645,MGAM
366,0,27.441883,CYRIA
367,1,36.883995,ZNF689
368,1,26.010027,C12orf60
369,1,38.345154,NDUFS6
370,1,21.421999,TNFAIP6
371,1,34.94187,NADK2
372,1,21.084066,SDCBP
373,1,29.938692,SCAND3
374,1,28.887358,CEP63
375,0,35.194912,TMF1
376,1,24.897213,KCNJ12
377,1,28.348064,LAMA3
378,1,23.075922,AMDHD1
379,0,45.060234,STAG3
380,1,22.454842,POLR2D
381,1,30.066034,TNKS1BP1
382,0,24.891361,ASGR2
383,1,52.954357,ABCA8
384,0,42.322754,TOR1AIP1
385,0,36.984787,ANKRD16
386,1,24.019894,ATP4B
387,0,24.58268,APOA4
388,1,27.02396,ARF5
389,1,27.400297,CACNA2D3
390,1,34.26829,FADS2
391,0,31.00156,HMBS
392,0,26.5029,SPRY2
393,1,48.181877,ICE1
394,0,31.560581,CHRNA1
395,1,36.90995,MSRA
396,0,30.965328,NCAM1
397,1,34.68169,NKX2-6
398,1,33.095024,NEPRO
399,1,30.090267,FBXW7
400,1,33.791008,KLHL7
401,0,26.193407,SEPTIN4
402,1,28.487644,HHEX
403,0,29.799627,NDUFA10
404,0,34.93527,CLEC18A
405,1,29.969898,NDUFAB1
406,1,29.44015,EPS15
407,1,25.987898,PDE4B
408,1,31.04526,ENPP1
409,1,36.129642,CSMD3
410,1,29.195753,ARHGAP30
411,1,25.41018,CFAP65
412,1,21.355316,BTBD1
413,0,30.48708,PHF13
414,1,34.851017,SCHIP1
415,1,31.37392,TECTB
416,0,38.525585,HIVEP1
417,0,24.297752,REL
418,0,24.600908,KHDC1
419,1,41.641853,THEMIS
420,1,27.887743,ARG1
421,0,31.243355,FOXK1
422,0,32.10805,NUP85
423,1,31.642448,IGSF10
424,0,26.20247,ARPIN
425,1,31.162704,RAB42
426,0,36.41082,TECPR1
427,1,18.809708,FST
428,0,28.205254,CMIP
429,1,26.000364,ZC3H11B
430,1,23.614248,ABCC8
431,1,39.044624,IL1B
432,1,29.29123,SRP54
433,1,21.394573,GTF2IRD1
434,0,36.77629,DGKD
435,0,31.876118,FYTTD1
436,0,21.118538,ALG14
437,1,30.795303,SH3YL1
438,1,22.304838,PCDHGA8
439,0,27.978577,CCNO
440,1,39.03279,SSX5
441,1,35.73854,PRDM7
442,0,25.739946,CAMK2B
443,1,24.591349,COBLL1
444,1,45.27012,PPP4R3C
445,0,29.350815,KIFC3
446,0,36.367085,COPB1
447,1,27.349985,PCYOX1
448,0,23.139435,STOX2
449,0,28.39432,PLA2G2F
450,0,27.069399,GDAP1L1
451,0,37.63744,CLEC14A
452,0,33.919735,C11orf52
453,0,27.030094,MEF2C
454,1,28.01819,ZC3H13
455,1,26.364904,NDUFAF2
456,1,30.32509,CSF1
457,0,31.242971,COMT
458,0,25.424578,CHAF1A
459,1,34.748215,NOXA1
460,0,23.336962,CA10
461,1,24.71863,IL13
462,1,30.941021,FAF2
463,1,36.816917,POTEB
464,1,30.137014,GMPPA
465,0,40.577507,PTPRG
466,1,30.40484,UCMA
467,1,26.224672,TLR4
468,0,32.20477,UBE2E3
469,0,33.469936,SLC12A8
470,1,27.217207,SLC22A10
471,0,42.409447,MYO19
472,1,24.68653,ZNF25
473,1,36.200996,EXOSC2
474,0,29.93901,FNDC7
475,0,28.115,GPR85
476,1,25.756762,GRIN2D
477,0,26.868998,OR52R1
478,1,30.50512,CYP7B1
479,0,33.184128,HAUS6
480,1,25.065237,AZIN1
481,0,30.245789,CEP68
482,0,30.17652,PKD1L1
483,0,40.916126,GAGE1
484,1,40.20157,FBN2
485,1,43.27175,FAXC
486,0,22.815283,ANGPTL4
487,0,26.386753,TANK
488,1,25.663647,TSC22D2
489,1,41.43378,CHD1L
490,1,34.647156,USP54
491,0,27.773687,DCAF5
492,1,29.811592,PIP4K2A
493,0,29.142172,HERC3
494,1,27.24872,PRSS37
495,0,27.693977,WDR7
496,0,55.151123,MAGEA4
497,1,37.10263,PPARA
498,1,34.18029,JPH2
499,0,32.675575,HEY2
500,0,39.10775,TUBGCP3
501,0,27.475838,ZNF717
502,1,32.339092,HMGA2
503,1,33.78262,NKX6-1
504,0,29.695562,LHX2
505,0,38.552853,MEIS2
506,0,24.297138,IL17REL
507,1,30.91459,A1CF
508,0,33.800285,LYRM7
509,0,24.777744,GLP1R
510,0,29.816622,RAB11FIP1
511,0,24.09927,ACTL7A
512,0,32.62461,PIK3R1
513,0,26.135984,YTHDC2
514,0,33.26473,NDUFB5
515,1,26.455389,CCDC81
516,0,38.63068,GPATCH2
517,0,20.12493,SLC49A3
518,1,28.018377,MRPS30
519,0,39.458202,NDUFAF5
520,1,39.676926,RBM44
521,1,27.887407,PPP3CA
522,1,25.758024,DEDD2
523,0,28.9101,TTC9C
524,0,26.255203,AREL1
525,0,39.3395,DRD3
526,0,22.95674,ACE
527,1,22.420849,FITM2
528,0,23.663801,ITIH6
529,1,36.10641,EML1
530,1,33.414036,FOXD4L5
531,0,69.97732,PSMD13
532,1,30.461842,SEPHS2
533,0,25.815157,LRP12
534,1,32.63251,FEZF1
535,1,29.285786,LRRC37A3
536,0,27.40975,CST11
537,1,35.581554,CDKL2
538,0,23.048697,C1GALT1
539,1,32.53295,TRPC7
540,1,30.50037,GLI2
541,1,30.810299,SCAF1
542,0,38.55797,CPNE4
543,1,25.956175,ZZZ3
544,0,24.81183,IFNW1
545,1,29.373056,NBPF1
546,0,26.583033,CUL3
547,0,29.465034,ZNF268
548,0,41.682003,DACH1
549,1,40.385956,UBAP1
550,1,34.629574,GPAT4
551,1,31.133646,DUSP9
552,1,33.057755,TNRC6A
553,1,40.461975,SPDYE2B
554,1,31.923594,TFEB
555,1,32.33977,GPR156
556,0,29.600683,SYDE2
557,1,40.945084,ZBTB14
558,0,29.578827,FXYD2
559,1,29.276037,ZIK1
560,1,25.531141,VDR
561,1,32.525284,GPR26
562,1,41.32192,HCFC2
563,0,25.952639,IGF1R
564,1,29.889433,NAA60
565,1,19.843582,ROBO2
566,1,54.134575,MT4
567,1,26.245403,TRIM73
568,0,32.57707,ANKIB1
569,0,27.062054,PLPPR1
570,0,32.665726,JMJD1C
571,1,27.77254,MYOZ2
572,0,26.12787,PSTPIP1
573,1,33.24753,TSPEAR
574,0,30.162403,SLC22A3
575,1,25.264084,MLXIPL
576,0,36.860676,KRT15
577,0,31.348612,RBPJ
578,1,25.803225,ENTPD7
579,1,42.69122,HMGCR
580,1,39.25042,PKIG
581,0,36.092243,NYNRIN
582,0,28.178995,SEC23IP
583,0,34.886707,OLFML1
584,0,25.803484,ZNF281
585,0,34.408165,NDUFA12
586,0,32.15773,NR2F1
587,1,41.150093,PCNT
588,1,37.05612,FUT9
589,0,40.284035,PLK5
590,0,37.96339,GDAP2
591,1,23.756905,ACADS
592,1,30.335936,RGS18
593,0,27.402645,KLHL21
594,1,26.588911,KCNK4
595,1,34.68542,ZEB2
596,0,24.299284,DOCK9
597,0,31.046486,MAGEE1
598,1,31.309336,BMAL1
599,1,21.524147,TNS1
600,0,44.86402,CNR1
601,0,21.502562,TCAF1
602,0,29.432354,JADE3
603,0,33.555904,USP19
604,1,35.723824,ZNF343
605,1,26.99416,BICDL2
606,1,27.699482,OTOGL
607,0,29.074135,NDUFA9
608,1,34.753857,ISL1
609,1,24.779682,C20orf173
610,1,22.642775,DUSP23
611,1,22.400234,IRS2
612,0,44.78244,SMARCAD1
613,0,30.866043,ADAMTS6
614,0,34.110428,ARID5B
615,1,24.111551,DHTKD1
616,1,44.953384,MRPS14
617,0,32.719173,STAP1
618,0,26.402515,HAS2
619,0,26.818155,NDUFS5
620,0,29.612555,DNASE1
621,1,25.867767,TAF11L9
622,1,39.143955,GSDMC
623,1,30.962336,ZNF541
624,0,25.352886,KIF26A
625,0,25.237387,PPP4R3A
626,0,32.8395,AGMO
627,0,31.151552,EXOC3L1
628,0,31.649391,NDUFB10
629,0,31.71679,SOX7
630,1,26.068575,MAEA
631,1,35.5194,HCN1
632,1,32.649757,NPIPA8
633,1,29.238256,EBAG9
634,1,29.96558,DENND2A
635,1,27.384981,RBFOX1
636,0,28.793839,GDF6
637,1,41.87247,TLCD4
638,0,19.560436,PAGE3
639,1,32.03778,DDB1
640,0,23.266047,CST9L
641,1,32.02682,ART3
642,1,29.20718,PDE3A
643,1,22.728205,GRAMD2B
644,1,28.44316,FBXL18
645,0,29.309938,RIOX2
646,0,28.450544,GSG1L
647,0,26.016085,VPS35L
648,1,26.09044,EXOC1
649,1,41.703453,TMEM230
650,0,31.278227,RELN
651,1,24.289324,NOS2
652,0,33.673893,NCR3LG1
653,1,31.38837,PHGDH
654,0,25.128311,KLLN
655,0,33.13272,LTO1
656,0,47.01724,PPP2R5D
657,0,34.010803,NDUFA6
658,1,30.212578,ATP13A1
659,1,33.841583,CCDC13
660,0,22.228746,CIMIP3
661,0,51.999756,UMOD
662,1,31.13837,PISD
663,1,37.643948,BEND7
664,0,36.936188,BDNF
665,0,19.343904,AVEN
666,0,28.140703,PWWP2A
667,1,28.701305,VN1R2
668,0,33.652397,ATP5MC1
669,1,25.57533,FOXN3
670,1,31.022346,ALS2
671,1,32.546055,NOS1
672,0,28.548658,LIPM
673,0,22.92747,IL13RA1
674,1,22.862112,FAM171A2
675,0,26.452343,ATAD2
676,0,44.69907,ZDHHC1
677,1,31.524801,SEMA6D
678,0,25.080523,TOMM7
679,1,21.783916,AP3B1
680,0,25.609512,NDUFB9
681,0,32.5963,HNRNPA1L3
682,1,20.882559,PNMA8B
683,0,35.516483,FNDC3B
684,0,31.7214,NDUFV3
685,0,31.226196,SETD1B
686,1,35.29535,CDH24
687,0,31.014994,NEMP1
688,0,20.397282,CDKN2B
689,0,27.340633,TCP11X1
690,0,28.34344,IFT52
691,1,29.098253,ADCY9
692,0,39.630177,NDUFA5
693,1,27.489664,ZNF544
694,1,39.141197,SLCO5A1
695,0,22.82515,PDGFC
696,1,29.231068,RBBP6
697,0,37.06374,CLEC2D
698,1,29.564386,FSCN3
699,0,40.640522,FAM163A
700,0,27.785545,LGSN
701,0,24.852531,SIPA1
702,0,28.589907,KMT5B
703,0,25.763552,NOPCHAP1
704,1,46.428818,PDCD4
705,1,19.175064,SNX22
706,0,29.716316,FEM1A
707,1,28.65664,PKN3
708,1,32.477276,NRP2
709,1,24.218508,EIF2AK1
710,1,21.992863,ZSWIM9
711,1,34.02489,COQ5
712,0,43.732616,VIPAS39
713,1,35.00115,DDX20
714,1,23.53868,PCDHGB4
715,1,29.54932,NTNG1
716,1,39.1996,CASR
717,1,34.987297,NAA16
718,1,26.08904,FBRSL1
719,0,31.601635,ARID3B
720,0,29.20037,WRN
721,1,31.18257,UBE2U
722,1,22.957361,TBC1D8
723,0,39.48424,ZPBP2
724,1,21.910297,POTEG
725,0,34.079433,ZNF814
726,1,30.649216,ATP1A2
727,0,30.525776,NDUFS7
728,1,24.162745,CAMSAP3
729,0,25.896881,SEPTIN9
730,1,32.400917,MAGI1
731,0,25.957773,CTSH
732,1,40.373577,WDR11
733,0,31.640772,SCARB2
734,0,36.5999,ZNF224
735,0,25.162321,JAKMIP1
736,1,38.026806,ESR1
737,0,25.659304,RIGI
738,1,25.385235,SLC12A2
739,0,38.88462,PRDM14
740,1,37.740532,IL2RA
741,0,38.94162,EMC7
742,1,30.2188,CTDP1
743,0,27.976568,TMEM17
744,0,34.515205,SBF2
745,0,29.488092,DPH7
746,0,39.094505,SPPL3
747,0,23.279465,MARCHF10
748,0,37.795742,CWH43
749,0,31.391035,TRIP10
750,0,25.452808,MYC
751,1,32.496532,KCP
752,1,30.34676,CFTR
753,1,26.266537,MBLAC1
754,1,24.031723,PAM
755,0,58.80155,RNF17
756,1,26.464731,CCDC188
757,1,34.013805,MS4A6A
758,1,33.48395,CCN5
759,1,21.841087,KBTBD3
760,1,30.99583,EML5
761,0,21.604162,TLL2
762,0,34.26833,PAX4
763,1,44.296368,UAP1L1
764,0,28.063524,ARPP21
765,0,33.323895,CNGA4
766,0,29.844032,PPFIA4
767,0,36.480373,CLCA1
768,1,39.54106,CCDC80
769,0,27.80954,SUPT3H
770,1,37.368736,CFAP47
771,0,27.236399,TBRG1
772,1,38.06619,PARP8
773,1,28.639835,SIGLEC9
774,0,32.154907,TRMT9B
775,0,31.998943,NHSL1
776,0,34.625618,OSGIN1
777,1,47.00231,HUWE1
778,1,26.270395,CHRD
779,1,34.279907,EBF2
780,1,35.586388,NDUFA2
781,0,29.985302,ZBED3
782,1,35.590748,ZNF512B
783,0,32.83762,PTCH1
784,0,27.934883,LZIC
785,1,35.677456,CXXC1
786,1,21.385153,AOC1
787,1,42.272694,ZNF573
788,0,42.728874,CFAP184
789,0,38.238297,ZDHHC21
790,1,31.18912,OSBPL5
791,1,34.656338,TIMP4
792,0,25.80594,TRMT10C
793,1,26.285841,KDM4B
794,1,26.48036,CCDC110
795,1,30.483803,BPTF
796,1,34.92061,ZMIZ1
797,1,33.417553,FHOD1
798,0,40.835457,FBXO15
799,1,37.634247,SWT1
800,1,22.028955,NMI
801,1,34.884243,FAF1
802,0,31.253181,TM4SF4
803,0,25.460403,KL
804,1,27.075512,SPDYE3
805,1,21.451862,CDC25A
806,0,36.52245,MOCOS
807,1,36.353645,DEPDC1B
808,1,31.20366,BRD3OS
809,0,35.20405,PPP2R2C
810,0,26.955086,GIPR
811,1,29.378769,IL12RB1
812,1,41.9711,COA6
813,0,34.721622,FIBCD1
814,1,22.700747,CBLN4
815,0,42.002384,USP6NL
816,1,24.775166,SI
817,0,35.088078,RAMP1
818,1,24.435396,TH
819,1,42.559753,LHFPL3
820,0,36.039703,NOTCH2
821,0,30.56016,HOATZ
822,0,26.189665,ATP2A3
823,0,40.45033,TMEM87B
824,0,42.84308,SOS2
825,0,33.997902,ITGA11
826,1,39.848587,APOL5
827,1,27.221083,DROSHA
828,1,31.647451,SLC16A13
829,0,40.58068,MTNR1B
830,1,31.909454,SLC39A6
831,1,29.238697,P2RY12
832,0,33.281326,SLC1A2
833,1,30.311121,ABCA6
834,1,26.800203,SIPA1L3
835,0,32.38177,HNF1A
836,0,27.527117,ZNF664
837,1,30.054451,FTHL17
838,1,26.729269,MAP3K1
839,1,24.856401,ZNF81
840,1,38.575893,GPSM1
841,0,33.391285,CCDC152
842,0,29.637608,LDB2
843,0,36.062084,NEGR1
844,0,25.358728,CCP110
845,1,39.295235,IER5L
846,1,37.70147,TFAP2E
847,0,32.20136,DENND4B
848,0,35.538673,SPATA31A7
849,1,22.19981,PLCB4
850,0,40.74466,LEPR
851,0,46.510494,NDUFA8
852,1,27.065237,PTGS2
853,0,35.318222,SPATA31A5
854,0,42.707947,MED27
855,1,32.430477,PRMT6
856,1,28.379456,COA7
857,1,33.624542,STK24
858,1,24.632004,MAD1L1
859,1,47.70373,HSH2D
860,0,27.847786,OR2K2
861,0,28.052412,PCM1
862,0,42.017124,MAML2
863,1,33.440872,GCGR
864,1,44.682556,SLC39A11
865,0,26.22348,CEP95
866,0,28.174952,SH2B3
867,1,26.789291,ATAD3B
868,0,35.228325,RNF112
869,1,29.224844,PFN3
870,0,31.649523,ITGA1
871,1,25.183207,SETBP1
872,1,29.073925,PCNX4
873,0,30.110977,NFX1
874,1,30.114508,GFI1
875,1,30.39212,FSCB
876,1,29.043253,TESPA1
877,1,29.877031,TET2
878,1,19.67214,B4GALNT1
879,1,38.761543,PLEKHB1
880,0,23.076818,BCL2
881,0,25.687908,LPL
882,1,35.431057,LONRF1
883,1,22.589174,LRRC74A
884,0,35.74774,ETV5
885,1,33.39375,HERC2
886,1,29.971415,ESPN
887,1,39.66064,NBPF9
888,1,24.351452,C12orf43
889,1,27.587795,THADA
890,0,30.512068,C8orf88
891,1,25.983744,ZKSCAN4
892,1,44.97999,OASL
893,1,30.502453,EPHA7
894,1,38.45775,PRIM1
895,0,42.689087,UNC80
896,1,30.430613,ACSL1
897,1,35.23872,KRT77
898,0,27.765165,RPA4
899,1,21.56253,COXFA4
900,0,33.542915,RAI1
901,1,24.446594,PLCG2
902,1,25.95158,HNF1B
903,1,28.473486,CDKN1C
904,1,29.69156,AUTS2
905,0,40.228695,TMC3
906,0,27.288422,KCTD4
907,1,25.01444,TYK2
908,1,32.254307,CPA1
909,0,34.85325,PDZRN4
910,1,23.70497,GTSE1
911,1,32.741405,LDHB
912,0,35.00171,CEBPG
913,1,23.660324,DMRT2
914,0,29.64146,HIVEP2
915,0,29.214312,GOPC
916,0,42.136784,SAMM50
917,0,35.008865,MAGEC2
918,0,43.150246,ATP1B2
919,1,28.462,TBC1D4
920,0,30.831293,LDLRAD4
921,0,31.003325,JMY
922,1,22.484959,ZNF329
923,0,38.543564,NEUROG3
924,1,29.374079,STARD10
925,1,30.27176,NRSN1
926,0,34.350338,RFX6
