split,row_idx,gene_id,gene_symbol,label,sequence_length,n_windows
train,88,ENSG00000124783,SSR1,1,2500,2
train,89,ENSG00000139880,CDH24,0,2500,2
train,90,ENSG00000081138,CDH7,1,2500,2
train,91,ENSG00000101639,CEP192,1,2500,2
train,92,ENSG00000267680,ZNF224,0,2500,2
train,93,ENSG00000214300,SPDYE3,0,2500,2
train,94,ENSG00000215252,GOLGA8B,0,2500,2
train,95,ENSG00000103351,CLUAP1,1,2500,2
train,96,ENSG00000072609,CHFR,0,2500,2
train,97,ENSG00000116786,PLEKHM2,1,2500,2
train,98,ENSG00000130414,NDUFA10,1,2500,2
train,99,ENSG00000224420,ADM5,0,2500,2
train,100,ENSG00000188493,ACTMAP,0,2500,2
train,101,ENSG00000171649,ZIK1,0,2500,2
train,102,ENSG00000112531,QKI,1,2500,2
train,103,ENSG00000162441,LZIC,0,2500,2
train,104,ENSG00000061918,GUCY1B1,1,2500,2
train,105,ENSG00000185008,ROBO2,1,2500,2
train,106,ENSG00000084734,GCKR,1,2500,2
train,107,ENSG00000172572,PDE3A,1,2500,2
train,108,ENSG00000156639,ZFAND3,1,2500,2
train,109,ENSG00000167986,DDB1,0,2500,2
train,110,ENSG00000157322,CLEC18A,0,2500,2
train,111,ENSG00000062524,LTK,1,2500,2
train,112,ENSG00000054983,GALC,0,2500,2
train,113,ENSG00000169313,P2RY12,1,2500,2
train,114,ENSG00000171988,JMJD1C,1,2500,2
train,115,ENSG00000123329,ARHGAP9,0,2500,2
train,116,ENSG00000166669,ATF7IP2,0,2500,2
train,117,ENSG00000138944,SHISAL1,0,2500,2
train,118,ENSG00000111981,ULBP1,0,2500,2
train,119,ENSG00000165695,AK8,0,2500,2
train,120,ENSG00000166228,PCBD1,1,2500,2
train,121,ENSG00000177542,SLC25A22,0,2500,2
train,122,ENSG00000173208,ABCD2,0,2500,2
train,123,ENSG00000052749,RRP12,0,2500,2
train,124,ENSG00000065802,ASB1,0,2500,2
train,125,ENSG00000078269,SYNJ2,0,2500,2
train,126,ENSG00000175946,KLHL38,0,2500,2
train,127,ENSG00000112773,TENT5A,0,2500,2
train,128,ENSG00000086232,EIF2AK1,0,2500,2
train,129,ENSG00000215644,GCGR,1,2500,2
train,130,ENSG00000009335,UBE3C,1,2500,2
train,131,ENSG00000141560,FN3KRP,1,2500,2
train,132,ENSG00000198837,DENND4B,0,2500,2
train,133,ENSG00000166965,RCCD1,1,2500,2
train,134,ENSG00000087589,CASS4,0,2500,2
train,135,ENSG00000196683,TOMM7,1,2500,2
train,136,ENSG00000215910,C1orf167,0,2500,2
train,137,ENSG00000127663,KDM4B,1,2500,2
train,138,ENSG00000166226,CCT2,0,2500,2
train,139,ENSG00000118873,RAB3GAP2,0,2500,2
train,140,ENSG00000136869,TLR4,1,2500,2
train,141,ENSG00000105722,ERF,0,2500,2
train,142,ENSG00000178338,ZNF354B,0,2500,2
train,143,ENSG00000188483,IER5L,0,2500,2
train,144,ENSG00000186635,ARAP1,1,2500,2
train,145,ENSG00000067596,DHX8,0,2500,2
train,146,ENSG00000035720,STAP1,0,2500,2
train,147,ENSG00000166348,USP54,0,2500,2
train,148,ENSG00000102218,RP2,0,2500,2
train,149,ENSG00000106511,MEOX2,1,2500,2
train,150,ENSG00000140990,NDUFB10,1,2500,2
train,151,ENSG00000198369,SPRED2,1,2500,2
train,152,ENSG00000148513,ANKRD30A,0,2500,2
train,153,ENSG00000068028,RASSF1,0,2500,2
train,154,ENSG00000091986,CCDC80,0,2500,2
train,155,ENSG00000197976,AKAP17A,0,2500,2
train,156,ENSG00000076864,RAP1GAP,1,2500,2
train,157,ENSG00000090316,MAEA,1,2500,2
train,158,ENSG00000183310,OR2T34,0,2500,2
train,159,ENSG00000141338,ABCA8,0,2500,2
train,160,ENSG00000214309,MBLAC1,0,2500,2
train,161,ENSG00000159692,CTBP1,1,2500,2
train,162,ENSG00000189420,ZFP92,0,2500,2
train,163,ENSG00000222011,FAM185A,1,2500,2
train,164,ENSG00000036257,CUL3,0,2500,2
train,165,ENSG00000051341,POLQ,0,2500,2
train,166,ENSG00000137073,UBAP2,1,2500,2
train,167,ENSG00000105726,ATP13A1,0,2500,2
train,168,ENSG00000182575,NXPH3,0,2500,2
train,169,ENSG00000147604,RPL7,0,2500,2
train,170,ENSG00000157764,BRAF,1,2500,2
train,171,ENSG00000101084,RAB5IF,0,2500,2
train,172,ENSG00000144736,SHQ1,1,2500,2
train,173,ENSG00000172673,THEMIS,1,2500,2
train,174,ENSG00000121691,CAT,1,2500,2
train,175,ENSG00000204595,DPRX,0,2500,2
train,176,ENSG00000164823,OSGIN2,0,2500,2
train,177,ENSG00000077684,JADE1,0,2500,2
train,178,ENSG00000205129,CFAP96,0,2500,2
train,179,ENSG00000091704,CPA1,1,2500,2
train,180,ENSG00000124789,NUP153,0,2500,2
train,181,ENSG00000224578,HNRNPA1L3,0,2500,2
train,182,ENSG00000113761,ZNF346,0,2500,2
train,183,ENSG00000048052,HDAC9,1,2500,2
train,184,ENSG00000157823,AP3S2,1,2500,2
train,185,ENSG00000269526,ERVV-1,0,2500,2
train,186,ENSG00000112787,FBRSL1,1,2500,2
train,187,ENSG00000003393,ALS2,0,2500,2
train,188,ENSG00000033800,PIAS1,1,2500,2
train,189,ENSG00000196684,HSH2D,0,2500,2
train,190,ENSG00000119684,MLH3,0,2500,2
train,191,ENSG00000047936,ROS1,0,2500,2
train,192,ENSG00000165076,PRSS37,0,2500,2
train,193,ENSG00000112499,SLC22A2,1,2500,2
train,194,ENSG00000090539,CHRD,0,2500,2
train,195,ENSG00000226321,CROCC2,0,2500,2
train,196,ENSG00000103657,HERC1,1,2500,2
train,197,ENSG00000185022,MAFF,1,2500,2
train,198,ENSG00000169783,LINGO1,1,2500,2
train,199,ENSG00000197454,OR2L5,0,2500,2
train,200,ENSG00000164403,SHROOM1,0,2500,2
train,201,ENSG00000205937,RNPS1,0,2500,2
train,202,ENSG00000163633,C4orf36,0,2500,2
train,203,ENSG00000154237,LRRK1,1,2500,2
train,204,ENSG00000186510,CLCNKA,1,2500,2
train,205,ENSG00000174697,LEP,1,2500,2
train,206,ENSG00000112182,BACH2,1,2500,2
train,207,ENSG00000120333,MRPS14,0,2500,2
train,208,ENSG00000075891,PAX2,1,2500,2
train,209,ENSG00000130829,DUSP9,1,2500,2
train,210,ENSG00000095587,TLL2,0,2500,2
train,211,ENSG00000043143,JADE2,1,2500,2
train,212,ENSG00000145725,PPIP5K2,1,2500,2
train,213,ENSG00000115290,GRB14,1,2500,2
train,214,ENSG00000165973,NELL1,1,2500,2
train,215,ENSG00000265817,FSBP,0,2500,2
train,216,ENSG00000138083,SIX3,1,2500,2
train,217,ENSG00000136521,NDUFB5,1,2500,2
train,218,ENSG00000234284,ZNF879,0,2500,2
train,219,ENSG00000074201,CLNS1A,0,2500,2
train,220,ENSG00000125356,NDUFA1,1,2500,2
train,221,ENSG00000060709,RIMBP2,0,2500,2
train,222,ENSG00000181220,ZNF746,1,2500,2
train,223,ENSG00000152620,NADK2,1,2500,2
train,224,ENSG00000145431,PDGFC,1,2500,2
train,225,ENSG00000139718,SETD1B,0,2500,2
train,226,ENSG00000196584,XRCC2,0,2500,2
train,227,ENSG00000115488,NEU2,0,2500,2
train,228,ENSG00000184056,VPS33B,1,2500,2
train,229,ENSG00000160803,UBQLN4,0,2500,2
train,230,ENSG00000147650,LRP12,1,2500,2
train,231,ENSG00000157734,SNX22,0,2500,2
train,232,ENSG00000184611,KCNH7,1,2500,2
train,233,ENSG00000111275,ALDH2,1,2500,2
train,234,ENSG00000185988,PLK5,0,2500,2
train,235,ENSG00000124782,RREB1,1,2500,2
train,236,ENSG00000148429,USP6NL,0,2500,2
train,237,ENSG00000181873,IBA57,0,2500,2
train,238,ENSG00000212993,POU5F1B,1,2500,2
train,239,ENSG00000168925,CTRB1,1,2500,2
train,240,ENSG00000204950,LRRC10B,1,2500,2
train,241,ENSG00000136231,IGF2BP3,1,2500,2
train,242,ENSG00000066923,STAG3,0,2500,2
train,243,ENSG00000166377,ATP9B,0,2500,2
train,244,ENSG00000131043,AAR2,0,2500,2
train,245,ENSG00000001626,CFTR,1,2500,2
train,246,ENSG00000161944,ASGR2,0,2500,2
train,247,ENSG00000198791,CNOT7,0,2500,2
train,248,ENSG00000132613,MTSS2,0,2500,2
train,249,ENSG00000069812,HES2,0,2500,2
train,250,ENSG00000278259,MYO19,1,2500,2
train,251,ENSG00000186889,TMEM17,1,2500,2
train,252,ENSG00000055955,ITIH4,1,2500,2
train,253,ENSG00000171824,EXOSC10,0,2500,2
train,254,ENSG00000106631,MYL7,1,2500,2
train,255,ENSG00000064651,SLC12A2,1,2500,2
train,256,ENSG00000180772,AGTR2,1,2500,2
train,257,ENSG00000133980,VRTN,0,2500,2
train,258,ENSG00000186442,KRT3,0,2500,2
train,259,ENSG00000072682,P4HA2,0,2500,2
train,260,ENSG00000176102,CSTF3,0,2500,2
train,261,ENSG00000233132,FAM90A3,0,2500,2
train,262,ENSG00000177324,BEND2,0,2500,2
train,263,ENSG00000091844,RGS17,1,2500,2
train,264,ENSG00000177144,NUDT4B,0,2500,2
train,265,ENSG00000145194,ECE2,1,2500,2
train,266,ENSG00000133026,MYH10,0,2500,2
train,267,ENSG00000116819,TFAP2E,0,2500,2
train,268,ENSG00000185774,KCNIP4,0,2500,2
train,269,ENSG00000037897,METTL1,0,2500,2
train,270,ENSG00000145012,LPP,1,2500,2
train,271,ENSG00000068831,RASGRP2,0,2500,2
train,272,ENSG00000100167,SEPTIN3,0,2500,2
train,273,ENSG00000074695,LMAN1,0,2500,2
train,274,ENSG00000075884,ARHGAP15,0,2500,2
train,275,ENSG00000100284,TOM1,1,2500,2
train,276,ENSG00000114127,XRN1,0,2500,2
train,277,ENSG00000110881,ASIC1,0,2500,2
train,278,ENSG00000006704,GTF2IRD1,1,2500,2
train,279,ENSG00000283988,TAF11L9,0,2500,2
train,280,ENSG00000088876,ZNF343,0,2500,2
train,281,ENSG00000138190,EXOC6,1,2500,2
train,282,ENSG00000196700,ZNF512B,0,2500,2
train,283,ENSG00000121989,ACVR2A,1,2500,2
train,284,ENSG00000025156,HSF2,0,2500,2
train,285,ENSG00000173930,SLCO4C1,1,2500,2
train,286,ENSG00000100629,CEP128,0,2500,2
train,287,ENSG00000159199,ATP5MC1,1,2500,2
train,288,ENSG00000110628,SLC67A1,1,2500,2
train,289,ENSG00000171346,KRT15,0,2500,2
train,290,ENSG00000104043,ATP8B4,0,2500,2
train,291,ENSG00000163635,ATXN7,1,2500,2
train,292,ENSG00000196428,TSC22D2,1,2500,2
train,293,ENSG00000160072,ATAD3B,0,2500,2
train,294,ENSG00000168928,CTRB2,1,2500,2
train,295,ENSG00000131242,RAB11FIP4,1,2500,2
train,296,ENSG00000023516,AKAP11,0,2500,2
train,297,ENSG00000074047,GLI2,1,2500,2
train,298,ENSG00000147381,MAGEA4,0,2500,2
train,299,ENSG00000163646,CLRN1,0,2500,2
train,300,ENSG00000144893,MED12L,0,2500,2
train,301,ENSG00000168944,CEP120,1,2500,2
train,302,ENSG00000127311,HELB,0,2500,2
train,303,ENSG00000164938,TP53INP1,1,2500,2
train,304,ENSG00000232040,SCAND3,0,2500,2
train,305,ENSG00000169925,BRD3,1,2500,2
train,306,ENSG00000213390,ARHGAP19,1,2500,2
train,307,ENSG00000111424,VDR,1,2500,2
train,308,ENSG00000183801,OLFML1,0,2500,2
train,309,ENSG00000186951,PPARA,1,2500,2
train,310,ENSG00000268235,TCP11X1,0,2500,2
train,311,ENSG00000139151,PLCZ1,0,2500,2
train,312,ENSG00000141458,NPC1,1,2500,2
train,313,ENSG00000168769,TET2,1,2500,2
train,314,ENSG00000213996,TM6SF2,1,2500,2
train,315,ENSG00000101187,SLCO4A1,1,2500,2
train,316,ENSG00000164742,ADCY1,1,2500,2
train,317,ENSG00000106636,YKT6,1,2500,2
train,318,ENSG00000184922,FMNL1,0,2500,2
train,319,ENSG00000168653,NDUFS5,1,2500,2
train,320,ENSG00000076043,REXO2,0,2500,2
train,321,ENSG00000112282,MED23,1,2500,2
train,322,ENSG00000101407,TTI1,0,2500,2
train,323,ENSG00000284479,SMIM39,0,2500,2
train,324,ENSG00000064042,LIMCH1,0,2500,2
train,325,ENSG00000157150,TIMP4,1,2500,2
train,326,ENSG00000156304,SCAF4,0,2500,2
train,327,ENSG00000078674,PCM1,1,2500,2
train,328,ENSG00000070778,PTPN21,0,2500,2
train,329,ENSG00000106328,FSCN3,1,2500,2
train,330,ENSG00000070915,SLC12A3,1,2500,2
train,331,ENSG00000113302,IL12B,1,2500,2
train,332,ENSG00000033100,CHPF2,0,2500,2
train,333,ENSG00000111879,FAM184A,0,2500,2
train,334,ENSG00000115267,IFIH1,1,2500,2
train,335,ENSG00000182771,GRID1,1,2500,2
train,336,ENSG00000047315,POLR2B,0,2500,2
train,337,ENSG00000164542,MATCAP2,0,2500,2
train,338,ENSG00000114861,FOXP1,1,2500,2
train,339,ENSG00000147124,ZNF41,0,2500,2
train,340,ENSG00000285814,FAM90A14,0,2500,2
train,341,ENSG00000284791,SMIM41,0,2500,2
train,342,ENSG00000182247,UBE2E2,1,2500,2
train,343,ENSG00000104154,SLC30A4,0,2500,2
train,344,ENSG00000154478,GPR26,1,2500,2
train,345,ENSG00000074219,TEAD2,0,2500,2
train,346,ENSG00000205409,OR52E6,0,2500,2
train,347,ENSG00000249471,ZNF324B,0,2500,2
train,348,ENSG00000135999,EPC2,1,2500,2
train,349,ENSG00000163623,NKX6-1,1,2500,2
train,350,ENSG00000162063,CCNF,0,2500,2
train,351,ENSG00000197943,PLCG2,1,2500,2
train,352,ENSG00000197134,ZNF257,1,2500,2
train,353,ENSG00000175105,ZNF654,1,2500,2
train,354,ENSG00000066084,DIP2B,0,2500,2
train,355,ENSG00000213782,DDX47,0,2500,2
train,356,ENSG00000171634,BPTF,1,2500,2
train,357,ENSG00000065911,MTHFD2,0,2500,2
train,358,ENSG00000157851,DPYSL5,0,2500,2
train,359,ENSG00000142794,NBPF3,0,2500,2
train,360,ENSG00000160447,PKN3,0,2500,2
train,361,ENSG00000177728,TMEM94,0,2500,2
train,362,ENSG00000087269,NOP14,0,2500,2
train,363,ENSG00000175697,GPR156,0,2500,2
train,364,ENSG00000129158,SERGEF,0,2500,2
train,365,ENSG00000181722,ZBTB20,1,2500,2
train,366,ENSG00000138050,THUMPD2,0,2500,2
train,367,ENSG00000165066,NKX6-3,1,2500,2
train,368,ENSG00000104763,ASAH1,1,2500,2
train,369,ENSG00000135547,HEY2,1,2500,2
train,370,ENSG00000187391,MAGI2,1,2500,2
train,371,ENSG00000065518,NDUFB4,1,2500,2
train,372,ENSG00000134243,SORT1,1,2500,2
train,373,ENSG00000108255,CRYBA1,1,2500,2
train,374,ENSG00000135776,ABCB10,1,2500,2
train,375,ENSG00000254535,PABPC4L,0,2500,2
train,376,ENSG00000095303,PTGS1,1,2500,2
train,377,ENSG00000169340,PDILT,1,2500,2
train,378,ENSG00000113231,PDE8B,1,2500,2
train,379,ENSG00000038219,BOD1L1,0,2500,2
train,380,ENSG00000184304,PRKD1,1,2500,2
train,381,ENSG00000206530,CFAP44,1,2500,2
train,382,ENSG00000163872,YEATS2,0,2500,2
train,383,ENSG00000078328,RBFOX1,1,2500,2
train,384,ENSG00000096996,IL12RB1,0,2500,2
train,385,ENSG00000083838,ZNF446,0,2500,2
train,386,ENSG00000179603,GRM8,1,2500,2
train,387,ENSG00000174173,TRMT10C,0,2500,2
train,388,ENSG00000107679,PLEKHA1,1,2500,2
train,389,ENSG00000134363,FST,1,2500,2
train,390,ENSG00000171056,SOX7,1,2500,2
train,391,ENSG00000143434,SEMA6C,0,2500,2
train,392,ENSG00000119718,EIF2B2,0,2500,2
train,393,ENSG00000148660,CAMK2G,1,2500,2
train,394,ENSG00000166813,KIF7,0,2500,2
train,395,ENSG00000179133,C10orf67,1,2500,2
train,396,ENSG00000143772,ITPKB,0,2500,2
train,397,ENSG00000177917,ARL6IP6,1,2500,2
train,398,ENSG00000132823,OSER1,1,2500,2
train,399,ENSG00000079689,SCGN,1,2500,2
train,400,ENSG00000138622,HCN4,1,2500,2
train,401,ENSG00000022567,SLC45A4,0,2500,2
train,402,ENSG00000162341,TPCN2,1,2500,2
train,403,ENSG00000175893,ZDHHC21,0,2500,2
train,404,ENSG00000168830,HTR1E,0,2500,2
train,405,ENSG00000146166,LGSN,1,2500,2
train,406,ENSG00000184719,RNLS,1,2500,2
train,407,ENSG00000106392,C1GALT1,1,2500,2
train,408,ENSG00000149716,LTO1,1,2500,2
train,409,ENSG00000160563,MED27,1,2500,2
train,410,ENSG00000156564,LRFN2,1,2500,2
train,411,ENSG00000134824,FADS2,1,2500,2
train,412,ENSG00000158805,ZNF276,1,2500,2
train,413,ENSG00000254221,PCDHGB1,0,2500,2
train,414,ENSG00000168056,LTBP3,1,2500,2
train,415,ENSG00000136531,SCN2A,1,2500,2
train,416,ENSG00000175395,ZNF25,0,2500,2
train,417,ENSG00000196505,GDAP2,0,2500,2
train,418,ENSG00000188522,FAM83G,0,2500,2
train,419,ENSG00000187098,MITF,1,2500,2
train,420,ENSG00000151577,DRD3,1,2500,2
train,421,ENSG00000154252,GAL3ST2,0,2500,2
train,422,ENSG00000276547,PCDHGB5,0,2500,2
train,423,ENSG00000090402,SI,1,2500,2
train,424,ENSG00000141385,AFG3L2,0,2500,2
train,425,ENSG00000137869,CYP19A1,1,2500,2
train,426,ENSG00000104133,SPG11,0,2500,2
train,427,ENSG00000029534,ANK1,1,2500,2
train,428,ENSG00000172339,ALG14,0,2500,2
train,429,ENSG00000100347,SAMM50,1,2500,2
train,430,ENSG00000136111,TBC1D4,1,2500,2
train,431,ENSG00000165935,SMCO2,1,2500,2
train,432,ENSG00000152270,PDE3B,1,2500,2
train,433,ENSG00000170385,SLC30A1,1,2500,2
train,434,ENSG00000136444,RSAD1,0,2500,2
train,435,ENSG00000102313,ITIH6,0,2500,2
train,436,ENSG00000169402,RSPH10B2,0,2500,2
train,437,ENSG00000066382,MPPED2,1,2500,2
train,438,ENSG00000105792,CFAP69,1,2500,2
train,439,ENSG00000189362,NEMP2,0,2500,2
train,440,ENSG00000103460,TOX3,1,2500,2
train,441,ENSG00000065325,GLP2R,1,2500,2
train,442,ENSG00000179361,ARID3B,0,2500,2
train,443,ENSG00000163083,INHBB,1,2500,2
train,444,ENSG00000172260,NEGR1,1,2500,2
train,445,ENSG00000115993,TRAK2,0,2500,2
train,446,ENSG00000119977,TCTN3,0,2500,2
train,447,ENSG00000164307,ERAP1,1,2500,2
train,448,ENSG00000273820,USP27X,0,2500,2
train,449,ENSG00000204930,FAM221B,0,2500,2
train,450,ENSG00000103544,VPS35L,0,2500,2
train,451,ENSG00000168528,SERINC2,0,2500,2
train,452,ENSG00000138658,ZGRF1,0,2500,2
train,453,ENSG00000164684,ZNF704,0,2500,2
train,454,ENSG00000101463,SYNDIG1,1,2500,2
train,455,ENSG00000144218,AFF3,1,2500,2
train,456,ENSG00000254647,INS,1,2500,2
train,457,ENSG00000253767,PCDHGA8,0,2500,2
train,458,ENSG00000145780,FEM1C,0,2500,2
train,459,ENSG00000244405,ETV5,1,2500,2
train,460,ENSG00000102893,PHKB,0,2500,2
train,461,ENSG00000064726,BTBD1,1,2500,2
train,462,ENSG00000186088,GSAP,1,2500,2
train,463,ENSG00000102081,FMR1,1,2500,2
train,464,ENSG00000095981,KCNK16,1,2500,2
train,465,ENSG00000269713,NBPF9,0,2500,2
train,466,ENSG00000004779,NDUFAB1,1,2500,2
train,467,ENSG00000196839,ADA,1,2500,2
train,468,ENSG00000158683,PKD1L1,0,2500,2
train,469,ENSG00000135333,EPHA7,0,2500,2
train,470,ENSG00000130720,FIBCD1,1,2500,2
train,471,ENSG00000189144,ZNF573,0,2500,2
train,472,ENSG00000137478,FCHSD2,1,2500,2
train,473,ENSG00000138336,TET1,1,2500,2
train,474,ENSG00000130313,PGLS,0,2500,2
train,475,ENSG00000066629,EML1,0,2500,2
train,476,ENSG00000120008,WDR11,1,2500,2
train,477,ENSG00000163319,MRPS18C,0,2500,2
train,478,ENSG00000012504,NR1H4,1,2500,2
train,479,ENSG00000128710,HOXD10,0,2500,2
train,480,ENSG00000093010,COMT,1,2500,2
train,481,ENSG00000152078,TLCD4,0,2500,2
train,482,ENSG00000151967,SCHIP1,0,2500,2
train,483,ENSG00000196099,OR6M1,0,2500,2
train,484,ENSG00000163581,SLC2A2,1,2500,2
train,485,ENSG00000149948,HMGA2,1,2500,2
train,486,ENSG00000116852,KIF21B,0,2500,2
train,487,ENSG00000123562,MORF4L2,0,2500,2
train,488,ENSG00000198162,MAN1A2,1,2500,2
train,489,ENSG00000160867,FGFR4,1,2500,2
train,490,ENSG00000159210,SNF8,1,2500,2
train,491,ENSG00000105290,APLP1,0,2500,2
train,492,ENSG00000196498,NCOR2,1,2500,2
train,493,ENSG00000132141,CCT6B,0,2500,2
train,494,ENSG00000182168,UNC5C,1,2500,2
train,495,ENSG00000274611,TBC1D3,0,2500,2
train,496,ENSG00000165169,DYNLT3,0,2500,2
train,497,ENSG00000188263,IL17REL,1,2500,2
train,498,ENSG00000165264,NDUFB6,1,2500,2
train,499,ENSG00000164304,CAGE1,0,2500,2
train,500,ENSG00000232388,SMIM26,0,2500,2
train,501,ENSG00000186654,PRR5,0,2500,2
train,502,ENSG00000140836,ZFHX3,1,2500,2
train,503,ENSG00000054803,CBLN4,1,2500,2
train,504,ENSG00000169019,COMMD8,0,2500,2
train,505,ENSG00000163608,NEPRO,0,2500,2
train,506,ENSG00000110066,KMT5B,0,2500,2
train,507,ENSG00000135472,FAIM2,1,2500,2
train,508,ENSG00000198796,ALPK2,0,2500,2
train,509,ENSG00000164002,EXO5,0,2500,2
train,510,ENSG00000176658,MYO1D,0,2500,2
train,511,ENSG00000122741,DCAF10,0,2500,2
train,512,ENSG00000170819,BFSP2,0,2500,2
train,513,ENSG00000117174,ZNHIT6,0,2500,2
train,514,ENSG00000129596,CDO1,0,2500,2
train,515,ENSG00000158816,VWA5B1,1,2500,2
train,516,ENSG00000154370,TRIM11,0,2500,2
train,517,ENSG00000116198,CEP104,0,2500,2
train,518,ENSG00000104447,TRPS1,1,2500,2
train,519,ENSG00000083817,ZNF416,0,2500,2
train,520,ENSG00000184371,CSF1,1,2500,2
train,521,ENSG00000141655,TNFRSF11A,1,2500,2
train,522,ENSG00000169347,GP2,1,2500,2
train,523,ENSG00000206053,JPT2,0,2500,2
train,524,ENSG00000170234,PWWP2A,0,2500,2
train,525,ENSG00000162222,TTC9C,0,2500,2
train,526,ENSG00000198420,TCAF1,0,2500,2
train,527,ENSG00000197381,ADARB1,1,2500,2
train,528,ENSG00000151612,ZNF827,0,2500,2
train,529,ENSG00000101421,CHMP4B,1,2500,2
train,530,ENSG00000197959,DNM3,1,2500,2
train,531,ENSG00000244624,KRTAP20-1,0,2500,2
train,532,ENSG00000168081,PNOC,1,2500,2
train,533,ENSG00000039523,RIPOR1,0,2500,2
train,534,ENSG00000106689,LHX2,1,2500,2
train,535,ENSG00000164040,PGRMC2,1,2500,2
